,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,79.0,3.74,4.6,78.0,,2,,117,1983-06-15,,,66,87.0,43.3,,,,,,,,,1.0,,,2.0,0.0,0.0,0.0,1.0,5,3,6-6,6.8,41.0,,,8,,,,,,,,,66,,,,33.0,Derek Anderson,97.0,5.82,76.0,,56.4,4.3,5,793,6.8,AndeDe00,qb,,,,,0-3-0,63.1,,,,,,,4.0,0.8,0.0,47.0,11.8,9.4,0.0,,100.0,0.0,,2006,,CLE,,,,8,,103.0,4.0,,,235,47.0,66,99.0,12.0,158.6,,,,11.8,0.0,
2007,110.0,6.29,6.7,105.0,,14,,527,1983-06-15,,,298,85.0,66.9,,,,,,,,,2.0,,,5.0,0.0,1.0,-3.0,2.0,16,15,6-6,3.6,91.0,,,19,,,,,,,,,78,,,,11.0,Derek Anderson,113.0,6.8,101.0,,56.5,5.5,29,3787,7.2,AndeDe00,QB,,,,,10-5-0,82.5,,,,,,,32.0,2.0,3.0,70.0,2.2,4.4,3.0,,123.0,0.0,,2007,,CLE,,,,14,,117.0,32.0,,,235,70.0,109,106.0,12.7,236.7,,,,2.2,-3.0,
2008,87.0,4.54,5.1,84.0,,3,,283,1983-06-15,,,142,64.0,40.1,,,,,,,,,1.0,,,9.0,0.0,2.0,-13.0,2.0,10,9,6-6,2.8,102.0,,,8,,,,,,,,,70,,,,15.0,Derek Anderson,83.0,5.14,80.0,,50.2,3.2,9,1615,5.7,AndeDe00,QB,,,,,3-6-0,66.5,,,,,,,25.0,2.5,0.0,55.0,2.2,5.5,0.0,,109.0,0.0,,2008,,CLE,,,,14,,90.0,25.0,,,235,55.0,87,77.0,11.4,161.5,,,,2.2,-13.0,
2009,58.0,2.19,2.7,55.0,,-4,,182,1983-06-15,,,81,44.0,23.1,,,,,,,,,0.0,,,5.0,0.0,2.0,-4.0,1.0,8,7,6-6,5.5,63.0,,,10,,,,,,,,,43,,,,3.0,Derek Anderson,65.0,4.21,49.0,,44.5,1.6,3,888,4.9,AndeDe00,qb,,,,,3-4-0,42.1,,,,,,,10.0,1.3,2.0,8.0,0.8,1.0,2.0,,102.0,0.0,,2009,,CLE,,,,11,,70.0,10.0,,,235,8.0,75,61.0,11.0,111.0,,,,0.8,-4.0,
2010,86.0,4.49,5.4,86.0,,3,,327,1983-06-15,,,169,71.0,30.9,,,,,,,,,1.0,,,6.0,0.0,1.0,0.0,1.0,12,9,6-6,3.1,99.0,,,10,,,,,,,,,43,,,,11.0,Derek Anderson,86.0,5.37,80.0,,51.7,2.1,7,2065,6.3,AndeDe00,QB,,,,,2-7-0,65.9,,,,,,,5.0,0.4,0.0,25.0,5.0,2.1,0.0,,93.0,0.0,,2010,,ARI,,,,25,,76.0,5.0,,,235,25.0,176,87.0,12.2,172.1,,,,5.0,0.0,
2011,,,,,,0,,0,1983-06-15,,,0,,5.1,,,,,,,,,,,,0.0,,,,,2,0,6-6,,,,,0,,,,,,,,,0,,,,-1.0,Derek Anderson,,,,,,,0,0,,AndeDe00,,,,,,,,,,,,,,2.0,1.0,0.0,-2.0,-1.0,-1.0,0.0,,,,,2011,,CAR,,,,0,,,2.0,,,235,-2.0,0,,,0.0,,,,-1.0,,
2012,,14.5,14.5,,,0,,4,1983-06-15,,,4,,90.9,,,,,,,,,,,,,,,,,2,0,6-6,0.0,,,,0,,,,,,,,,23,,,,,Derek Anderson,,14.5,,,100.0,0.0,0,58,14.5,AndeDe00,,,,,,,118.7,,,,,,,,,,,,,,,,,,2012,,CAR,,,,0,,,,,,235,,0,,14.5,29.0,,,,,,
2013,,,,,,0,,0,1983-06-15,,,0,,84.4,,,,,,,,,,,,0.0,,,,,4,0,6-6,,,,,0,,,,,,,,,0,,,,2.0,Derek Anderson,,,,,,,0,0,,AndeDe00,,,,,,,,,,,,,,5.0,1.3,0.0,0.0,0.0,0.0,0.0,,,,,2013,,CAR,,,,0,,,5.0,,,235,0.0,0,,,0.0,,,,0.0,,
2014,123.0,7.76,8.3,118.0,,2,,97,1983-06-15,,,65,119.0,76.6,,,,,,,,,,,,2.0,0.0,2.0,-10.0,,6,2,6-6,0.0,143.0,,,0,,,,,,,,,35,,,,8.0,Derek Anderson,110.0,6.77,123.0,,67.0,5.2,5,701,7.2,AndeDe00,qb,,,,,2-0-0,105.2,,,,,,,8.0,1.3,0.0,24.0,3.0,4.0,0.0,,118.0,0.0,,2014,,CAR,,,,4,,107.0,8.0,,,235,24.0,17,101.0,10.8,116.8,,,,3.0,-10.0,
2015,,6.0,6.0,,,0,,6,1983-06-15,,,4,,8.3,,,,,,,,,,,,1.0,0.0,1.0,0.0,,3,0,6-6,0.0,,,,0,,,,,,,,,24,,,,2.0,Derek Anderson,,6.0,,,66.7,0.0,0,36,6.0,AndeDe00,,,,,,,82.6,,,,,,,7.0,2.3,0.0,-2.0,-0.3,-0.7,0.0,,,0.0,,2015,,CAR,,,,0,,,7.0,,,235,-2.0,0,,9.0,12.0,,,,-0.3,0.0,
2016,84.0,5.06,5.1,73.0,,1,,53,1983-06-15,,,36,121.0,14.9,,,,,,,,,,,,1.0,0.0,0.0,0.0,,5,2,6-6,9.4,-26.0,,,5,,,,,,,,,48,,,,4.0,Derek Anderson,148.0,8.55,69.0,,67.9,3.8,2,453,8.5,AndeDe00,qb,,,,,0-2-0,67.6,,,,,,,1.0,0.2,0.0,4.0,4.0,0.8,0.0,,150.0,0.0,,2016,,CAR,,,,0,,93.0,1.0,,,235,4.0,0,132.0,12.6,90.6,,,,4.0,0.0,
2017,,2.13,2.1,,,0,,8,1983-06-15,,,2,,0.2,,,,,,,,,,,,0.0,,,,,3,0,6-6,0.0,,,,0,,,,,,,,,9,,,,-1.0,Derek Anderson,,2.13,,,25.0,0.0,0,17,2.1,AndeDe00,,,,,,,39.6,,,,,,,2.0,0.7,0.0,-2.0,-1.0,-0.7,0.0,,,,,2017,,CAR,,,,0,,,2.0,,,235,-2.0,0,,8.5,5.7,,,,-1.0,,
2018,63.0,3.36,4.1,60.0,,1,,70,1983-06-15,,,42,87.0,25.0,,,,,,,,,,,,3.0,0.0,1.0,0.0,,2,2,6-6,5.7,44.0,,,4,,,,,,,,,40,,,,-1.0,Derek Anderson,90.0,5.76,55.0,,60.0,0.0,0,465,6.6,AndeDe00,qb,,,,,0-2-0,56.0,,,,,,,1.0,0.5,0.0,-1.0,-1.0,-0.5,0.0,,100.0,0.0,,2018,,BUF,,,,5,,52.0,1.0,,,235,-1.0,33,89.0,11.1,232.5,,,,-1.0,0.0,
Career,,4.92,5.5,,,22,,1674,1983-06-15,,,909,,,,,,,,,,,5.0,,,34.0,0.0,10.0,-30.0,7.0,78,49,6-6,3.8,,,,64,,,,,,,,,78,,,,33.0,Derek Anderson,,5.88,,,54.3,3.6,60,10878,6.5,AndeDe00,,,,,,20-29-0,70.4,,,,,,,102.0,1.3,5.0,226.0,2.2,2.9,5.0,,,0.0,,Career,,,,,,81,,,102.0,,,235,226.0,563,,12.0,139.5,,,,2.2,-30.0,
