,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1996,88.0,4.48,5.9,97.0,,9,,368,1973-04-05,,0.0,192,80.0,,,,,,,,,,,,,21.0,0.0,4.0,-17.0,,14,13,6-4,4.1,85.0,,,15,,,,,,,,,77,,,0.0,22.0,Tony Banks,89.0,5.38,90.0,,52.2,4.1,15,2544,6.9,BankTo00,QB,,,,,5-8-0,71.0,0.0,0.0,0.0,,0.0,0.0,61.0,4.4,0.0,212.0,3.5,15.1,0.0,,69.0,0.0,,1996,,STL,,,1.0,48,,102.0,61.0,,,230,212.0,306,105.0,13.3,181.7,,,,3.5,-17.0,
1997,97.0,4.97,6.1,100.0,,10,,487,1973-04-05,,,252,81.0,,,,,,,,,,1.0,,,15.0,0.0,3.0,-27.0,2.0,16,16,6-4,2.7,108.0,,,13,,,,,,,,,76,,,,23.0,Tony Banks,95.0,5.54,93.0,,51.7,2.9,14,3254,6.7,BankTo00,QB,,,,,5-11-0,71.5,,,,,,,47.0,2.9,1.0,186.0,4.0,11.6,1.0,,93.0,0.0,,1997,,STL,,,,43,,88.0,47.0,,,230,186.0,317,99.0,12.9,203.4,,,,4.0,-27.0,
1998,86.0,4.03,5.0,87.0,,7,,408,1973-04-05,,,241,110.0,,,,,,,,,,1.0,,,10.0,0.0,8.0,-23.0,1.0,14,14,6-4,3.4,97.0,,,14,,,,,,,,,80,,,,19.0,Tony Banks,87.0,5.12,89.0,,59.1,1.7,7,2535,6.2,BankTo00,QB,,,,,4-10-0,68.6,,,,,,,40.0,2.9,3.0,156.0,3.9,11.1,3.0,,88.0,0.0,,1998,,STL,,,,41,,76.0,40.0,,,230,156.0,237,90.0,10.5,181.1,,,,3.9,-23.0,
1999,102.0,5.46,6.6,105.0,,7,,320,1973-04-05,,,169,83.0,,,,,,,,,,0.0,,,11.0,0.0,2.0,0.0,1.0,12,10,6-4,2.5,111.0,,,8,,,,,,,,,76,,,,12.0,Tony Banks,94.0,5.51,104.0,,52.8,5.3,17,2136,6.7,BankTo00,QB,,,,,6-4-0,81.2,,,,,,,24.0,2.0,0.0,93.0,3.9,7.8,0.0,,87.0,0.0,,1999,,BAL,,,,33,,113.0,24.0,,,230,93.0,190,98.0,12.6,178.0,,,,3.9,0.0,
2000,86.0,4.17,5.0,87.0,,4,,274,1973-04-05,,,150,87.0,,,,,,,,,,1.0,,,5.0,0.0,2.0,-2.0,1.0,11,8,6-4,2.9,106.0,,,8,,,,,,,,,53,,,,10.0,Tony Banks,82.0,4.85,88.0,,54.7,2.9,8,1578,5.8,BankTo00,qb,,,,,5-3-0,69.3,,,,,,,19.0,1.7,0.0,57.0,3.0,5.2,0.0,,101.0,0.0,,2000,,BAL,,,,20,,88.0,19.0,,,230,57.0,152,81.0,10.5,143.5,,,,3.0,-2.0,
2001,95.0,4.92,5.8,96.0,,8,,370,1973-04-05,,,198,81.0,,,,,,,,,,1.0,,,10.0,0.0,1.0,-22.0,1.0,15,14,6-4,2.7,108.0,,,10,,,,,,,,,85,,,,17.0,Tony Banks,94.0,5.55,89.0,,53.5,2.7,10,2386,6.4,BankTo00,QB,,,,,8-6-0,71.3,,,,,,,47.0,3.1,2.0,152.0,3.2,10.1,2.0,,97.0,0.0,,2001,,WAS,,,,29,,84.0,47.0,,,230,152.0,173,94.0,12.1,159.1,,,,3.2,-22.0,
2003,98.0,5.23,6.5,103.0,,2,,102,1973-04-05,,,61,101.0,,,,,,,,,,1.0,,,1.0,0.0,1.0,0.0,1.0,7,3,6-4,2.9,104.0,,,3,,,,,,,,,46,,,,13.0,Tony Banks,92.0,5.53,105.0,,59.8,4.9,5,693,6.8,BankTo00,qb,,,,,2-1-0,84.3,,,,,,,6.0,0.9,0.0,27.0,4.5,3.9,0.0,,68.0,0.0,,2003,,HOU,,,,13,,110.0,6.0,,,230,27.0,57,100.0,11.4,99.0,,,,4.5,0.0,
2004,,8.0,8.0,,,0,,2,1973-04-05,,,1,,,,,,,,,,,,,,,,,,,5,0,6-4,0.0,,,,0,,,,,,,,,16,,,,,Tony Banks,,8.0,,,50.0,0.0,0,16,8.0,BankTo00,,,,,,,77.1,,,,,,,,,,,,,,,,,,2004,,HOU,,,,0,,,,,,230,,0,,16.0,3.2,,,,,,
2005,,4.12,4.1,,,1,,25,1973-04-05,,,14,,,,,,,,,,,,,,0.0,,,,,2,0,6-4,8.0,,,,2,,,,,,,,,31,,,,-1.0,Tony Banks,,6.92,,,56.0,4.0,1,173,6.9,BankTo00,,,,,,,57.6,,,,,,,2.0,1.0,0.0,-2.0,-1.0,-1.0,0.0,,,,,2005,,HOU,,,,0,,,2.0,,,230,-2.0,0,,12.4,86.5,,,,-1.0,,
Career,,4.7,5.8,,,48,,2356,1973-04-05,,0.0,1278,,,,,,,,,,,5.0,,,73.0,0.0,21.0,-91.0,7.0,96,78,6-4,3.1,,,,73,,,,,,,,,85,,,0.0,23.0,Tony Banks,,5.37,,,54.2,3.3,77,15315,6.5,BankTo00,,,,,,35-43-0,72.4,0.0,0.0,0.0,,0.0,0.0,246.0,2.6,6.0,881.0,3.6,9.2,6.0,,,0.0,,Career,,,,,1.0,227,,,246.0,,,230,881.0,1432,,12.0,159.5,,,,3.6,-91.0,
