,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1992,,-1.09,-0.6,,,0,,9,1970-12-04,,,4,,,,,,,,,,,0.0,,,1,,0.0,0.0,0.0,3,0,6-1,11.1,,,,1,,,,,,,,,19,,,,1,Jeff Blake,,3.0,,,44.4,0.0,0,40,4.4,BlakJe00,,,,,,,18.1,,,,,,,2,0.7,0,-2,-1.0,-0.7,0,,,0.0,,1992,,NYJ,,,,2,,,2,,,223,-2,7,,10.0,13.3,,,,-1.0,0.0,
1994,108.0,5.87,6.6,108.0,,7,,306,1970-12-04,,,156,78.0,,,,,,,,,,3.0,,,6,0.0,0.0,-5.0,2.0,10,9,6-1,2.9,103.0,,,9,,,,,,,,,76,,,,16,Jeff Blake,107.0,6.26,98.0,,51.0,4.6,14,2154,7.0,BlakJe00,QB,,,,,3-6-0,76.9,,,,,,,37,3.7,1,204,5.5,20.4,1,,103.0,0.0,,1994,,CIN,,,,19,,110.0,37,,,223,204,120,106.0,13.8,215.4,,,,5.5,-5.0,
1995,108.0,5.86,6.4,105.0,,15,,567,1970-12-04,,,326,98.0,,,,,,,,,,2.0,,,10,0.0,0.0,-7.0,3.0,16,16,6-1,3.0,103.0,,,17,,,,,,,,,88,,,,30,Jeff Blake,107.0,6.21,105.0,,57.5,4.9,28,3822,6.7,BlakJe00,QB,,,,,7-9-0,82.1,,,,,,,53,3.3,2,309,5.8,19.3,2,,114.0,0.0,,1995,,CIN,,,,24,,113.0,53,,,223,309,152,100.0,11.7,238.9,,,,5.8,-7.0,
1996,102.0,5.39,6.3,104.0,,15,,549,1970-12-04,,,308,95.0,,,,,,,,,,3.0,,,7,0.0,1.0,-5.0,5.0,16,16,6-1,2.6,110.0,,,14,,,,,,,,,61,,,,18,Jeff Blake,96.0,5.64,104.0,,56.1,4.4,24,3624,6.6,BlakJe00,QB,,,,,8-8-0,80.3,,,,,,,72,4.5,2,317,4.4,19.8,2,,95.0,0.0,,1996,,CIN,,,,44,,106.0,72,,,223,317,278,97.0,11.8,226.5,,,,4.4,-5.0,
1997,96.0,4.85,6.2,102.0,,10,,317,1970-12-04,,,184,105.0,,,,,,,,,,1.0,,,7,0.0,0.0,0.0,1.0,11,11,6-1,2.2,114.0,,,7,,,,,,,,,50,,,,16,Jeff Blake,90.0,5.28,100.0,,58.0,2.5,8,2125,6.7,BlakJe00,QB,,,,,3-8-0,77.6,,,,,,,45,4.1,3,234,5.2,21.3,3,,76.0,0.0,,1997,,CIN,,,,39,,84.0,45,,,223,234,244,99.0,11.5,193.2,,,,5.2,0.0,
1998,102.0,5.42,7.1,112.0,,3,,93,1970-12-04,,,51,92.0,,,,,,,,,,1.0,,,1,0.0,0.0,0.0,1.0,8,2,6-1,3.2,100.0,,,3,,,,,,,,,67,,,,18,Jeff Blake,105.0,6.11,101.0,,54.8,3.2,3,739,7.9,BlakJe00,qb,,,,,1-1-0,78.2,,,,,,,15,1.9,0,103,6.9,12.9,0,,60.0,0.0,,1998,,CIN,,,,15,,92.0,15,,,223,103,79,121.0,14.5,92.4,,,,6.9,0.0,
1999,102.0,5.45,6.3,102.0,,9,,389,1970-12-04,,,215,92.0,,,,,,,,,,,,,12,0.0,7.0,-28.0,,14,12,6-1,3.1,103.0,,,12,,,,,,,,,76,,,,16,Jeff Blake,102.0,5.97,100.0,,55.3,4.1,16,2670,6.9,BlakJe00,QB,,,,,3-9-0,77.6,,,,,,,63,4.5,2,332,5.3,23.7,2,,99.0,0.0,,1999,,CIN,,,,30,,101.0,63,,,223,332,168,101.0,12.4,190.7,,,,5.3,-28.0,
2000,102.0,5.31,6.2,102.0,,8,,302,1970-12-04,,,184,111.0,,,,,,,,,,1.0,,,7,0.0,3.0,-2.0,1.0,11,11,6-1,3.0,105.0,,,9,,,,,,,,,49,,,,20,Jeff Blake,98.0,5.75,107.0,,60.9,4.3,13,2025,6.7,BlakJe00,QB,,,,,7-4-0,82.7,,,,,,,57,5.2,1,243,4.3,22.1,1,,97.0,0.0,,2000,,NOR,,,,24,,105.0,57,,,223,243,150,99.0,11.0,184.1,,,,4.3,-2.0,
2001,,0.0,0.0,,,0,,1,1970-12-04,,,0,,,,,,,,,,,,,,0,,,,,1,0,6-1,0.0,,,,0,,,,,,,,,0,,,,-1,Jeff Blake,,0.0,,,0.0,0.0,0,0,0.0,BlakJe00,,,,,,,39.6,,,,,,,1,1.0,0,-1,-1.0,-1.0,0,,,,,2001,,NOR,,,,0,,,1,,,223,-1,0,,,0.0,,,,-1.0,,
2002,97.0,5.06,6.3,103.0,,6,,295,1970-12-04,,,165,88.0,,,,,,,,,,1.0,,,8,0.0,2.0,-9.0,1.0,11,10,6-1,3.7,91.0,,,11,,,,,,,,,77,,,,17,Jeff Blake,98.0,5.79,97.0,,55.9,4.4,13,2084,7.1,BlakJe00,QB,,,,,4-6-0,77.3,,,,,,,39,3.5,1,106,2.7,9.6,1,,81.0,0.0,,2002,,BAL,,,,30,,107.0,39,,,223,106,203,108.0,12.6,189.5,,,,2.7,-9.0,
