,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1993,92.0,4.54,4.9,85.0,,6,,429,1972-02-14,,,214,76.0,,,,,,,,,,2.0,,,8,0,5,-23,2.0,13,12,6-5,3.5,98.0,,,15,,,,,,,,,54,,,,15,Drew Bledsoe,91.0,5.38,84.0,,49.9,3.5,15,2494,5.8,BledDr00,QB,,,,,5-7-0,65.0,,,,,,,32,2.5,0,82,2.6,6.3,0,,121.0,0.0,,1993,,NWE,,,,16,,97.0,32,,,238,82,99,81.0,11.7,191.8,,,,2.6,-23,
1994,98.0,5.19,5.6,92.0,,13,,691,1972-02-14,,,400,99.0,,,,,,,,,,3.0,,,9,0,3,-5,3.0,16,16,6-5,3.9,88.0,,,27,,,,,,,,,62,,,,7,Drew Bledsoe,105.0,6.19,94.0,,57.9,3.6,25,4555,6.6,BledDr00,QB,,,,,10-6-0,73.6,,,,,,,44,2.8,0,40,0.9,2.5,0,,121.0,0.0,,1994,,NWE,,,,22,,98.0,44,,,238,40,139,97.0,11.4,284.7,,,,0.9,-5,
1995,86.0,4.37,4.8,80.0,,7,,636,1972-02-14,,100.0,323,76.0,,,,,,,,,,2.0,,,11,0,1,-8,2.0,15,15,6-5,2.5,111.0,,,16,,,,,,,,,47,,,-9.0,15,Drew Bledsoe,80.0,5.06,79.0,,50.8,2.0,13,3507,5.5,BledDr00,QB,,,,,6-9-0,63.7,0.0,-9.0,-0.6,-9.0,1.0,0.1,20,1.3,0,28,1.4,1.9,0,,118.0,0.0,,1995,,NWE,,,1.0,23,,76.0,21,,,238,19,170,70.0,10.9,233.8,,,,0.9,-8,
1996,108.0,5.76,6.3,104.0,,16,,623,1972-02-14,,,373,109.0,,,,,,,,,,3.0,,,9,0,1,-2,4.0,16,16,6-5,2.4,112.0,,,15,,,,,,,,,84,,,,8,Drew Bledsoe,103.0,5.97,109.0,,59.9,4.3,27,4086,6.6,BledDr00,QB,,,,,11-5-0,83.7,,,,,,,24,1.5,0,27,1.1,1.7,0,,113.0,0.0,,1996,,NWE,,,,30,,105.0,24,,,238,27,190,96.0,11.0,255.4,,,,1.1,-2,
1997,111.0,6.04,6.9,110.0,,14,,522,1972-02-14,,,314,113.0,,,,,,,,,,0.0,,,4,0,3,-4,1.0,16,16,6-5,2.9,105.0,,,15,,,,,,,,,76,,,,8,Drew Bledsoe,108.0,6.25,113.0,,60.2,5.4,28,3706,7.1,BledDr00,QB,,,,,10-6-0,87.7,,,,,,,28,1.8,0,55,2.0,3.4,0,,109.0,0.0,,1997,,NWE,,,,30,,114.0,28,,,238,55,258,107.0,11.8,231.6,,,,2.0,-4,
1998,109.0,6.01,7.1,111.0,,12,,481,1972-02-14,,,263,92.0,,,,,,,,,,3.0,,,9,0,4,-10,4.0,14,14,6-5,2.9,104.0,,,14,,,,,,,,,86,,,,10,Drew Bledsoe,112.0,6.46,104.0,,54.7,4.2,20,3633,7.6,BledDr00,QB,,,,,8-6-0,80.9,,,,,,,28,2.0,0,44,1.6,3.1,0,,101.0,0.0,,1998,,NWE,,,,36,,101.0,28,,,238,44,295,114.0,13.8,259.5,,,,1.6,-10,
1999,99.0,5.18,6.3,103.0,,11,,539,1972-02-14,,,305,97.0,,,,,,,,,,2.0,,,8,0,6,-13,2.0,16,16,6-5,3.9,92.0,,,21,,,,,,,,,68,,,,25,Drew Bledsoe,104.0,6.13,97.0,,56.6,3.5,19,3985,7.4,BledDr00,QB,,,,,8-8-0,75.6,,,,,,,42,2.6,0,101,2.4,6.3,0,,87.0,0.0,,1999,,NWE,,,,55,,95.0,42,,,238,101,342,110.0,13.1,249.1,,,,2.4,-13,
2000,95.0,4.83,5.7,96.0,,10,,531,1972-02-14,,,312,103.0,,,,,,,,,,2.0,,,9,0,3,-20,3.0,16,16,6-5,2.4,114.0,,,13,,,,,,,,,59,,,,16,Drew Bledsoe,89.0,5.26,99.0,,58.8,3.2,17,3291,6.2,BledDr00,QB,,,,,5-11-0,77.3,,,,,,,47,2.9,2,158,3.4,9.9,2,,94.0,0.0,,2000,,NWE,,,,45,,92.0,47,,,238,158,264,90.0,10.5,205.7,,,,3.4,-20,
2001,91.0,4.63,5.3,89.0,,2,,66,1972-02-14,,,40,106.0,,,,,,,,,,,,,1,0,1,0,,2,2,6-5,3.0,103.0,,,2,,,,,,,,,58,,,,8,Drew Bledsoe,90.0,5.34,95.0,,60.6,3.0,2,400,6.1,BledDr00,qb,,,,,0-2-0,75.3,,,,,,,5,2.5,0,18,3.6,9.0,0,,98.0,0.0,,2001,,NWE,,,,5,,88.0,5,,,238,18,21,87.0,10.0,200.0,,,,3.6,0,
2002,107.0,5.72,6.8,112.0,,14,,610,1972-02-14,,,375,108.0,,,,,,,,,,2.0,,,11,0,2,-8,4.0,16,16,6-5,2.5,113.0,,,15,,,,,,,,,73,,,,11,Drew Bledsoe,103.0,6.01,110.0,,61.5,3.9,24,4359,7.1,BledDr00,QB,,,,,8-8-0,86.0,,,,,,,27,1.7,2,67,2.5,4.2,2,,89.0,0.0,,2002,,BUF,,,,54,,100.0,27,,,238,67,369,110.0,11.6,272.4,,,,2.5,-8,
