,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1992,,0.18,3.0,,,0,,7,1970-02-25,,,4,,,,,,,,,,,,,,0.0,,,,,2,0,6-5,0.0,,,,0,,,,,,,,,8,,,,1.0,Dave Brown,,0.18,,,57.1,0.0,0,21,3.0,BrowDa00,,,,,,,62.2,,,,,,,2.0,1.0,0.0,-1.0,-0.5,-0.5,0.0,,,,,1992,,NYG,,,,4,,,2.0,,,230,-1.0,19,,5.3,10.5,,,,-0.5,,
1993,,,,,,0,,0,1970-02-25,,,0,,,,,,,,,,,,,,0.0,,,,,1,0,6-5,,,,,0,,,,,,,,,0,,,,-1.0,Dave Brown,,,,,,,0,0,,BrowDa00,,,,,,,,,,,,,,3.0,3.0,0.0,-4.0,-1.3,-4.0,0.0,,,,,1993,,NYG,,,,0,,,3.0,,,230,-4.0,0,,,0.0,,,,-1.3,,
1994,90.0,4.61,5.9,97.0,,9,,350,1970-02-25,0.0,,201,98.0,,,,,,,,,,1.0,,,11.0,0.0,4.0,-15.0,3.0,15,15,6-5,4.6,77.0,,,16,,,,,,,,,53,33.0,,,21.0,Dave Brown,98.0,5.84,92.0,,57.4,3.4,12,2536,7.2,BrowDa00,QB,,,,2.0,9-6-0,72.5,,,,,,,60.0,4.0,2.0,196.0,3.3,13.1,2.0,,70.0,0.0,,1994,,NYG,,,,42,57.0,95.0,60.0,,,230,196.0,248,111.0,12.6,169.1,,28.5,,3.3,-15.0,
1995,91.0,4.76,5.7,93.0,,10,,456,1970-02-25,0.0,,254,92.0,,,,,,,,,,1.0,,,10.0,0.0,2.0,-8.0,1.0,16,16,6-5,2.2,116.0,,,10,,,,,,,,,57,15.0,,,23.0,Dave Brown,84.0,5.22,93.0,,55.7,2.4,11,2814,6.2,BrowDa00,QB,,,,1.0,5-11-0,73.1,,,,,,,45.0,2.8,4.0,228.0,5.1,14.3,4.0,,82.0,0.0,,1995,,NYG,,,,44,15.0,81.0,45.0,,,230,228.0,206,86.0,11.1,175.9,,15.0,,5.1,-8.0,
1996,70.0,3.3,4.4,75.0,,5,,398,1970-02-25,,,214,86.0,,,,,,,,,,,,,9.0,0.0,1.0,-3.0,,16,16,6-5,5.0,70.0,,,20,,,,,,,,,37,,,,18.0,Dave Brown,75.0,4.78,76.0,,53.8,3.0,12,2412,6.1,BrowDa00,QB,,,,,6-10-0,61.3,,,,,,,50.0,3.1,0.0,170.0,3.4,10.6,0.0,,72.0,0.0,,1996,,NYG,,,,49,,89.0,50.0,,,230,170.0,276,84.0,11.3,150.8,,,,3.4,-3.0,
1997,95.0,4.77,5.5,93.0,,3,,180,1970-02-25,,,93,80.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,7,6,6-5,1.7,122.0,,,3,,,,,,,,,62,,,,7.0,Dave Brown,84.0,4.95,92.0,,51.7,2.8,5,1023,5.7,BrowDa00,qb,,,,,3-3-0,71.1,,,,,,,17.0,2.4,1.0,29.0,1.7,4.1,1.0,,102.0,0.0,,1997,,NYG,,,,13,,87.0,17.0,,,230,29.0,67,80.0,11.0,146.1,,,,1.7,0.0,
1998,,4.17,6.2,,,0,,5,1970-02-25,,,2,,,,,,,,,,,,,,0.0,,,,,1,0,6-5,0.0,,,,0,,,,,,,,,19,,,,2.0,Dave Brown,,4.17,,,40.0,0.0,0,31,6.2,BrowDa00,,,,,,,61.2,,,,,,,1.0,1.0,0.0,2.0,2.0,2.0,0.0,,,,,1998,,ARI,,,,1,,,1.0,,,230,2.0,6,,15.5,31.0,,,,2.0,,
1999,77.0,3.12,4.2,80.0,,1,,169,1970-02-25,,0.0,84,71.0,,,,,,,,,,,,,4.0,0.0,1.0,0.0,,8,5,6-5,3.6,96.0,,,6,,,,,,,,,71,,,0.0,10.0,Dave Brown,76.0,4.35,75.0,,49.7,1.2,2,944,5.6,BrowDa00,qb,,,,,3-2-0,55.9,0.0,0.0,0.0,,0.0,0.0,13.0,1.6,0.0,49.0,3.8,6.1,0.0,,85.0,0.0,,1999,,ARI,,,1.0,18,,71.0,13.0,,,230,49.0,130,81.0,11.2,118.0,,,,3.8,0.0,
2000,85.0,4.04,5.4,91.0,,1,,69,1970-02-25,,,40,99.0,,,,,,,,,,,,,2.0,0.0,0.0,-3.0,,6,2,6-5,4.3,84.0,,,3,,,,,,,,,44,,,,0.0,Dave Brown,89.0,5.24,89.0,,58.0,2.9,2,467,6.8,BrowDa00,qb,,,,,0-2-0,70.1,,,,,,,1.0,0.2,0.0,0.0,0.0,0.0,0.0,,64.0,0.0,,2000,,ARI,,,,10,,88.0,1.0,,,230,0.0,53,100.0,11.7,77.8,,,,0.0,-3.0,
2001,,,,,,0,,0,1970-02-25,,,0,,,,,,,,,,,,,,,,,,,1,0,6-5,,,,,0,,,,,,,,,0,,,,,Dave Brown,,,,,,,0,0,,BrowDa00,,,,,,,,,,,,,,,,,,,,,,,,,2001,,ARI,,,,0,,,,,,230,,0,,,0.0,,,,,,
