,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2002,69.0,3.24,4.7,79.0,,5,,444,1979-07-21,,,233,76.0,,,,,,,,,,2.0,,,21.0,0.0,12.0,-28.0,3.0,16,16,6-3,3.4,97.0,,,15,,,,,,,,,81,,,,20.0,David Carr,64.0,4.19,75.0,,52.5,2.0,9,2592,5.8,CarrDa00,QB,,,,,4-12-0,62.8,,,,,,,59.0,3.7,3.0,282.0,4.8,17.6,3.0,,44.0,0.0,,2002,,HOU,,,,76,,72.0,59.0,,,212,282.0,411,81.0,11.1,162.0,,,,4.8,-28.0,
2003,94.0,4.9,5.5,90.0,,7,,295,1979-07-21,,0.0,167,91.0,,,,,,,,,,2.0,,,4.0,0.0,1.0,-1.0,2.0,12,11,6-3,4.4,78.0,,,13,,,,,,,,,78,,,0.0,36.0,David Carr,104.0,6.2,86.0,,56.6,3.1,9,2013,6.8,CarrDa00,QB,,,,,3-8-0,69.5,0.0,0.0,0.0,,0.0,0.0,27.0,2.3,2.0,151.0,5.6,12.6,2.0,,111.0,0.0,,2003,,HOU,,,1.0,15,,87.0,27.0,,,212,151.0,90,100.0,12.1,167.8,,,,5.6,-1.0,
2004,103.0,5.67,6.9,108.0,,13,,466,1979-07-21,,,285,106.0,,,,,,,,,,1.0,,,10.0,0.0,4.0,-8.0,1.0,16,16,6-3,3.0,103.0,,,14,,,,,,,,,69,,,,24.0,David Carr,105.0,6.27,104.0,,61.2,3.4,16,3531,7.6,CarrDa00,QB,,,,,7-9-0,83.5,,,,,,,73.0,4.6,0.0,299.0,4.1,18.7,0.0,,79.0,0.0,,2004,,HOU,,,,49,,92.0,73.0,,,212,299.0,301,113.0,12.4,220.7,,,,4.1,-8.0,
2005,80.0,3.77,5.4,89.0,,10,,423,1979-07-21,,,256,103.0,,,,,,,,,,0.0,,,17.0,0.0,6.0,-7.0,1.0,16,16,6-3,2.6,109.0,,,11,,,,,,,,,53,,,,20.0,David Carr,71.0,4.2,95.0,,60.5,3.3,14,2488,5.9,CarrDa00,QB,,,,,2-14-0,77.2,,,,,,,56.0,3.5,1.0,308.0,5.5,19.3,1.0,,54.0,0.0,,2005,,HOU,,,,68,,91.0,56.0,,,212,308.0,424,82.0,9.7,155.5,,,,5.5,-7.0,
2006,90.0,4.57,5.5,91.0,,10,,442,1979-07-21,,,302,128.0,46.4,,,,,,,,,1.0,,,16.0,0.0,5.0,-5.0,3.0,16,16,6-3,2.7,107.0,,,12,,,,,,,,,53,,,,16.0,David Carr,87.0,5.23,101.0,,68.3,2.5,11,2767,6.3,CarrDa00,QB,,,,,6-10-0,82.1,,,,,,,53.0,3.3,2.0,195.0,3.7,12.2,2.0,,87.0,0.0,,2006,,HOU,,,,41,,83.0,53.0,,,212,195.0,240,89.0,9.2,172.9,,,,3.7,-5.0,
2007,63.0,2.66,3.5,61.0,,2,,136,1979-07-21,,,73,75.0,23.7,,,,,,,,,1.0,,,1.0,0.0,2.0,-6.0,1.0,6,4,6-3,3.7,90.0,,,5,,,,,,,,,38,,,,15.0,David Carr,58.0,3.77,67.0,,53.7,2.2,3,635,4.7,CarrDa00,qb,,,,,1-3-0,58.3,,,,,,,17.0,2.8,0.0,59.0,3.5,9.8,0.0,,84.0,0.0,,2007,,CAR,,,,13,,80.0,17.0,,,212,59.0,74,54.0,8.7,105.8,,,,3.5,-6.0,
2008,,11.77,12.9,,,0,,12,1979-07-21,,,9,,85.9,,,,,,,,,,,,0.0,,,,,3,0,6-3,0.0,,,,0,,,,,,,,,27,,,,7.0,David Carr,,8.69,,,75.0,16.7,2,115,9.6,CarrDa00,,,,,,,144.1,,,,,,,8.0,2.7,0.0,10.0,1.3,3.3,0.0,,,,,2008,,NYG,,,,1,,,8.0,,,212,10.0,2,,12.8,38.3,,,,1.3,,
2009,,6.69,7.4,,,1,,33,1979-07-21,,,21,,68.8,,,,,,,,,,,,1.0,0.0,0.0,-1.0,,6,0,6-3,0.0,,,,0,,,,,,,,,37,,,,12.0,David Carr,,6.11,,,63.6,3.0,1,225,6.8,CarrDa00,,,,,,,93.6,,,,,,,9.0,1.5,1.0,27.0,3.0,4.5,1.0,,,0.0,,2009,,NYG,,,,2,,,9.0,,,212,27.0,11,,10.7,37.5,,,,3.0,-1.0,
2010,,1.21,1.7,,,0,,13,1979-07-21,,,5,,4.1,,,,,,,,,,,,,,,,,1,0,6-3,7.7,,,,1,,,,,,,,,22,,,,,David Carr,,4.43,,,38.5,0.0,0,67,5.2,CarrDa00,,,,,,,23.6,,,,,,,,,,,,,,,,,,2010,,SFO,,,,1,,,,,,212,,5,,13.4,67.0,,,,,,
2012,,3.25,6.3,,,0,,3,1979-07-21,,,2,,2.3,,,,,,,,,,,,1.0,0.0,1.0,0.0,,2,0,6-3,0.0,,,,0,,,,,,,,,15,,,,-1.0,David Carr,,3.25,,,66.7,0.0,0,19,6.3,CarrDa00,,,,,,,84.0,,,,,,,3.0,1.5,0.0,-3.0,-1.0,-1.5,0.0,,,0.0,,2012,,NYG,,,,1,,,3.0,,,212,-3.0,6,,9.5,9.5,,,,-1.0,0.0,
