,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,,7.08,7.4,,,1,,24,1982-05-17,,,13,,,,,,,,,,,,,,2,0.0,1.0,-1.0,,2,0,6-4,4.2,,,,1,,,,,,,,,36,,,,9,Matt Cassel,,7.28,,,54.2,8.3,2,183,7.6,CassMa00,,,,,,,89.4,,,,,,,6,3.0,0,12,2.0,6.0,0,,,0.0,,2005,,NWE,,,,1,,,6,,,225,12,1,,14.1,91.5,,,,2.0,-1.0,
2006,,1.55,4.0,,,0,,8,1982-05-17,,,5,,8.4,,,,,,,,,,,,1,0.0,0.0,0.0,,6,0,6-4,0.0,,,,0,,,,,,,,,10,,,,5,Matt Cassel,,1.55,,,62.5,0.0,0,32,4.0,CassMa00,,,,,,,70.8,,,,,,,2,0.3,0,4,2.0,0.7,0,,,0.0,,2006,,NWE,,,,3,,,2,,,225,4,15,,6.4,5.3,,,,2.0,0.0,
2007,,-1.0,-1.0,,,0,,7,1982-05-17,,,4,,99.3,,,,,,,,,,,,1,0.0,1.0,-9.0,,6,0,6-4,14.3,,,,1,,,,,,,,,21,,,,15,Matt Cassel,,5.43,,,57.1,0.0,0,38,5.4,CassMa00,,,,,,,32.7,,,,,,,4,0.7,1,12,3.0,2.0,1,,,0.0,,2007,,NWE,,,,0,,,4,,,225,12,0,,9.5,6.3,,,,3.0,-9.0,
2008,105.0,6.04,7.0,107.0,,17,,516,1982-05-17,0.0,,327,108.0,65.3,,,,,,,,,2.0,,,7,0.0,2.0,-24.0,2.0,16,15,6-4,2.1,112.0,,,11,,,,,,,,,76,57.0,,,19,Matt Cassel,101.0,6.17,108.0,,63.4,4.1,21,3693,7.2,CassMa00,QB,,,,1.0,10-5-0,89.4,,,,,,,73,4.6,2,270,3.7,16.9,2,,83.0,0.0,,2008,,NWE,,,,47,57.0,100.0,73,,,225,270,219,104.0,11.3,230.8,,57.0,,3.7,-24.0,
2009,83.0,4.26,5.1,83.0,,7,,493,1982-05-17,,0.0,271,80.0,29.1,,,,,,,,,1.0,,,14,0.0,4.0,-29.0,2.0,15,15,6-4,3.2,95.0,,,16,,,,,,,,,61,,,0.0,13,Matt Cassel,79.0,5.01,83.0,,55.0,3.2,16,2924,5.9,CassMa00,QB,,,,,4-11-0,69.9,0.0,0.0,0.0,,0.0,0.0,50,3.3,0,189,3.8,12.6,0,,86.0,0.0,,2009,,KAN,,,1.0,42,,89.0,50,,,225,189,243,80.0,10.8,194.9,,,,3.8,-29.0,
2010,110.0,6.64,7.4,109.0,,12,,450,1982-05-17,,,262,92.0,60.1,,,,,,,,,1.0,,,3,0.0,0.0,-2.0,2.0,15,15,6-4,1.6,119.0,,,7,,,,,,,,,75,,,,23,Matt Cassel,99.0,6.16,110.0,,58.2,6.0,27,3116,6.9,CassMa00,QB,,,,,10-5-0,93.0,,,,,,,33,2.2,0,125,3.8,8.3,0,,106.0,0.0,,2010,,KAN,,,,26,,120.0,33,,,225,125,182,98.0,11.9,207.7,,,,3.8,-2.0,
2011,86.0,4.77,5.6,86.0,,3,,269,1982-05-17,,100.0,160,96.0,54.7,,,,,,,,,1.0,,,5,0.0,0.0,-3.0,2.0,9,9,6-4,3.3,91.0,,,9,,,,,,,,,52,,,-4.0,11,Matt Cassel,85.0,5.47,90.0,,59.5,3.7,10,1713,6.4,CassMa00,QB,,,,,4-5-0,76.6,0.0,-4.0,-0.4,-4.0,1.0,0.1,25,2.8,0,99,4.0,11.0,0,,89.0,0.0,,2011,,KAN,,,1.0,22,,94.0,26,,,225,95,120,85.0,10.7,190.3,,,,3.7,-3.0,
2012,80.0,4.31,5.0,77.0,,2,,277,1982-05-17,,,161,91.0,26.3,,,,,,,,,1.0,,,8,0.0,1.0,-8.0,1.0,9,8,6-4,4.3,74.0,,,12,,,,,,,,,46,,,,21,Matt Cassel,90.0,5.73,77.0,,58.1,2.2,6,1796,6.5,CassMa00,QB,,,,,1-7-0,66.7,,,,,,,27,3.0,1,145,5.4,16.1,1,,100.0,0.0,,2012,,KAN,,,,19,,76.0,27,,,225,145,101,87.0,11.2,199.6,,,,5.4,-8.0,
2013,96.0,5.69,6.4,94.0,,6,,254,1982-05-17,,,153,95.0,51.6,,,,,,,,,2.0,,,3,0.0,1.0,-3.0,2.0,9,6,6-4,3.5,84.0,,,9,,,,,,,,,79,,,,13,Matt Cassel,102.0,6.38,93.0,,60.2,4.3,11,1807,7.1,CassMa00,qb,,,,,3-3-0,81.6,,,,,,,18,2.0,1,57,3.2,6.3,1,,104.0,0.0,,2013,,MIN,,,,16,,99.0,18,,,225,57,85,100.0,11.8,200.8,,,,3.2,-3.0,
2014,64.0,3.45,4.3,63.0,,1,,71,1982-05-17,,,41,82.0,47.4,,,,,,,,,,,,3,0.0,2.0,-29.0,,3,3,6-4,5.6,48.0,,,4,,,,,,,,,28,,,,13,Matt Cassel,72.0,5.01,69.0,,57.7,4.2,3,425,6.0,CassMa00,qb,,,,,1-2-0,65.8,,,,,,,9,3.0,0,18,2.0,6.0,0,,89.0,0.0,,2014,,MIN,,,,6,,97.0,9,,,225,18,39,71.0,10.4,141.7,,,,2.0,-29.0,
