,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1995,,0.69,2.3,,,0,,29,1971-11-05,,,14,,,,,,,,,,,,,,0.0,,,,,7,1,6-4,3.4,,,,1,,,,,,,,,18,,,,10.0,Todd Collins,,1.97,,,48.3,0.0,0,112,3.9,CollTo00,qb,,,,,0-1-0,44.0,,,,,,,9.0,1.3,0.0,23.0,2.6,3.3,0.0,,,,,1995,,BUF,,,,6,,,9.0,,,223,23.0,43,,8.0,16.0,,,,2.6,,
1996,95.0,4.92,6.0,99.0,,2,,99,1971-11-05,,,55,93.0,,,,,,,,,,1.0,,,3.0,0.0,0.0,0.0,1.0,7,3,6-4,5.1,70.0,,,5,,,,,,,,,95,,,,10.0,Todd Collins,110.0,6.24,91.0,,55.6,4.0,4,739,7.5,CollTo00,qb,,,,,2-1-0,71.9,,,,,,,21.0,3.0,0.0,43.0,2.0,6.1,0.0,,78.0,0.0,,1996,,BUF,,,,11,,102.0,21.0,,,223,43.0,53,119.0,13.4,105.6,,,,2.0,0.0,
1997,86.0,4.06,5.2,89.0,,6,,391,1971-11-05,,,215,93.0,,,,,,,,,,2.0,,,10.0,0.0,0.0,-30.0,4.0,14,13,6-4,3.3,99.0,,,13,,,,,,,,,77,,,,11.0,Todd Collins,82.0,4.86,90.0,,55.0,3.1,12,2367,6.1,CollTo00,QB,,,,,5-8-0,69.5,,,,,,,30.0,2.1,0.0,77.0,2.6,5.5,0.0,,88.0,0.0,,1997,,BUF,,,,39,,90.0,30.0,,,223,77.0,278,87.0,11.0,169.1,,,,2.6,-30.0,
2001,,10.0,10.0,,,0,,4,1971-11-05,,,3,,,,,,,,,,,,,,0.0,,,,,1,0,6-4,0.0,,,,0,,,,,,,,,26,,,,7.0,Todd Collins,,10.0,,,75.0,0.0,0,40,10.0,CollTo00,,,,,,,106.2,,,,,,,2.0,2.0,0.0,6.0,3.0,6.0,0.0,,,,,2001,,KAN,,,,0,,,2.0,,,223,6.0,0,,13.3,40.0,,,,3.0,,
2002,,15.5,15.5,,,0,,6,1971-11-05,,,5,,,,,,,,,,,,,,0.0,,,,,3,0,6-4,0.0,,,,0,,,,,,,,,29,,,,7.0,Todd Collins,,12.17,,,83.3,16.7,1,73,12.2,CollTo00,,,,,,,156.9,,,,,,,1.0,0.3,0.0,7.0,7.0,2.3,0.0,,,,,2002,,KAN,,,,0,,,1.0,,,223,7.0,0,,14.6,24.3,,,,7.0,,
2003,,6.17,6.2,,,0,,12,1971-11-05,,,9,,,,,,,,,,,,,,0.0,,,,,5,0,6-4,0.0,,,,0,,,,,,,,,20,,,,0.0,Todd Collins,,6.17,,,75.0,0.0,0,74,6.2,CollTo00,,,,,,,90.3,,,,,,,8.0,1.6,0.0,-7.0,-0.9,-1.4,0.0,,,,,2003,,KAN,,,,0,,,8.0,,,223,-7.0,0,,8.2,14.8,,,,-0.9,,
2004,,8.4,8.4,,,0,,5,1971-11-05,,,1,,,,,,,,,,,,,,0.0,,,,,2,0,6-4,0.0,,,,0,,,,,,,,,42,,,,4.0,Todd Collins,,8.4,,,20.0,0.0,0,42,8.4,CollTo00,,,,,,,62.1,,,,,,,1.0,0.5,0.0,4.0,4.0,2.0,0.0,,,,,2004,,KAN,,,,0,,,1.0,,,223,4.0,0,,42.0,21.0,,,,4.0,,
2005,,,,,,0,,0,1971-11-05,,,0,,,,,,,,,,,,,,0.0,,,,,1,0,6-4,,,,,0,,,,,,,,,0,,,,-1.0,Todd Collins,,,,,,,0,0,,CollTo00,,,,,,,,,,,,,,2.0,2.0,0.0,-2.0,-1.0,-2.0,0.0,,,,,2005,,KAN,,,,0,,,2.0,,,223,-2.0,0,,,0.0,,,,-1.0,,
2006,,,,,,0,,0,1971-11-05,,,0,,,,,,,,,,,,,,,,,,,1,0,6-4,,,,,0,,,,,,,,,0,,,,,Todd Collins,,,,,,,0,0,,CollTo00,,,,,,,,,,,,,,,,,,,,,,,,,2006,,WAS,,,,0,,,,,,223,,0,,,0.0,,,,,,
2007,136.0,8.4,9.4,142.0,,3,,105,1971-11-05,,,67,111.0,71.8,,,,,,,,,,,,4.0,0.0,1.0,-2.0,,4,3,6-4,0.0,147.0,,,0,,,,,,,,,54,,,,4.0,Todd Collins,126.0,7.51,133.0,,63.8,4.8,5,888,8.5,CollTo00,qb,,,,,3-0-0,106.4,,,,,,,8.0,2.0,0.0,1.0,0.1,0.3,0.0,,99.0,0.0,,2007,,WAS,,,,7,,109.0,8.0,,,223,1.0,47,133.0,13.3,222.0,,,,0.1,-2.0,
