,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1998,93.0,4.61,4.9,86.0,,1,,181,1973-07-05,,,97,87.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,8,5,6-1,2.8,106.0,,,5,,,,,,,,,61,,,,8.0,Koy Detmer,90.0,5.28,88.0,,53.6,2.8,5,1011,5.6,DetmKo00,qb,,,,,1-4-0,67.7,,,,,,,7.0,0.9,0.0,20.0,2.9,2.5,0.0,,126.0,0.0,,1998,,PHI,,,,5,,87.0,7.0,,,195,20.0,29,79.0,10.4,126.4,,,,2.9,0.0,
1999,,5.21,5.2,,,0,,29,1973-07-05,,,10,,,,,,,,,,,,,,0.0,,,,,1,1,6-1,6.9,,,,2,,,,,,,,,50,,,,-1.0,Koy Detmer,,6.24,,,34.5,10.3,3,181,6.2,DetmKo00,qb,,,,,1-0-0,62.6,,,,,,,2.0,2.0,0.0,-2.0,-1.0,-2.0,0.0,,,,,1999,,PHI,,,,0,,,2.0,,,195,-2.0,0,,18.1,181.0,,,,-1.0,,
2000,,-45.0,-45.0,,,0,,1,1973-07-05,,,0,,,,,,,,,,,,,,0.0,,,,,16,0,6-1,100.0,,,,1,,,,,,,,,0,,,,8.0,Koy Detmer,,0.0,,,0.0,0.0,0,0,0.0,DetmKo00,,,,,,,0.0,,,,,,,1.0,0.1,0.0,8.0,8.0,0.5,0.0,,,,,2000,,PHI,,,,0,,,1.0,,,195,8.0,0,,,0.0,,,,8.0,,
2001,,-0.2,0.4,,,0,,14,1973-07-05,,,5,,,,,,,,,,,,,,0.0,,,,,16,0,6-1,7.1,,,,1,,,,,,,,,16,,,,14.0,Koy Detmer,,2.8,,,35.7,0.0,0,51,3.6,DetmKo00,,,,,,,17.3,,,,,,,8.0,0.5,0.0,6.0,0.8,0.4,0.0,,,,,2001,,PHI,,,,1,,,8.0,,,195,6.0,9,,10.2,3.2,,,,0.8,,
2002,,8.83,9.4,,,1,,28,1973-07-05,,,19,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,14,1,6-1,0.0,,,,0,,,,,,,,,37,,,,3.0,Koy Detmer,,7.45,,,67.9,7.1,2,224,8.0,DetmKo00,qb,,,,,1-0-0,115.8,,,,,,,2.0,0.1,1.0,4.0,2.0,0.3,1.0,,,0.0,,2002,,PHI,,,,1,,,2.0,,,195,4.0,8,,11.8,16.0,,,,2.0,0.0,
2003,,6.4,6.4,,,0,,5,1973-07-05,,,3,,,,,,,,,,,,,,,,,,,16,0,6-1,0.0,,,,0,,,,,,,,,15,,,,,Koy Detmer,,6.4,,,60.0,0.0,0,32,6.4,DetmKo00,,,,,,,78.7,,,,,,,,,,,,,,,,,,2003,,PHI,,,,0,,,,,,195,,0,,10.7,2.0,,,,,,
2004,,2.4,2.9,,,1,,40,1973-07-05,,,18,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,16,1,6-1,5.0,,,,2,,,,,,,,,31,,,,2.0,Koy Detmer,,4.55,,,45.0,0.0,0,207,5.2,DetmKo00,qb,,,,,0-1-0,40.3,,,,,,,10.0,0.6,0.0,-7.0,-0.7,-0.4,0.0,,,0.0,,2004,,PHI,,,,2,,,10.0,,,195,-7.0,16,,11.5,12.9,,,,-0.7,0.0,
2005,54.0,1.49,1.8,46.0,,1,,56,1973-07-05,,,32,91.0,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,16,0,6-1,5.4,62.0,,,3,,,,,,,,,24,,,,1.0,Koy Detmer,64.0,3.78,54.0,,57.1,0.0,0,238,4.3,DetmKo00,,,,,,,45.1,,,,,,,1.0,0.1,0.0,1.0,1.0,0.1,0.0,,110.0,0.0,,2005,,PHI,,,,3,,52.0,1.0,,,195,1.0,15,54.0,7.4,14.9,,,,1.0,0.0,
2006,,,,,,0,,0,1973-07-05,,,0,,,,,,,,,,,,,,,,,,,1,0,6-1,,,,,0,,,,,,,,,0,,,,,Koy Detmer,,,,,,,0,0,,DetmKo00,,,,,,,,,,,,,,,,,,,,,,,,,2006,,PHI,,,,0,,,,,,195,,0,,,0.0,,,,,,
Career,,3.93,4.3,,,4,,354,1973-07-05,,,184,,,,,,,,,,,,,,5.0,0.0,1.0,0.0,,104,8,6-1,4.0,,,,14,,,,,,,,,61,,,,14.0,Koy Detmer,,5.1,,,52.0,2.8,10,1944,5.5,DetmKo00,,,,,,3-5-0,61.2,,,,,,,31.0,0.3,1.0,30.0,1.0,0.3,1.0,,,0.0,,Career,,,,,,12,,,31.0,,,195,30.0,77,,10.6,18.7,,,,1.0,0.0,
