,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1994,48.0,1.57,2.2,45.0,,1,,82,1972-03-13,,,38,63.0,,,,,,,,,,,,,2,0,0,0,,5,2,6-4,7.3,34.0,,,6,,,,,,,,,42,,,,15,Trent Dilfer,69.0,4.34,43.0,,46.3,1.2,1,433,5.3,DilfTr00,qb,,,,,0-2-0,36.3,,,,,,,2,0.4,0,27,13.5,5.4,0,,82.0,0.0,,1994,,TAM,,,,8,,68.0,2,,,225,27,42,69.0,11.4,86.6,,,,13.5,0,
1995,75.0,3.71,4.9,82.0,,6,,415,1972-03-13,,,224,87.0,,,,,,,,,,1.0,,,13,0,1,-9,3.0,16,16,6-4,4.3,81.0,,,18,,,,,,,,,64,,,,21,Trent Dilfer,85.0,5.29,74.0,,54.0,1.0,4,2774,6.7,DilfTr00,QB,,,,,7-9-0,60.1,,,,,,,23,1.4,2,115,5.0,7.2,2,,72.0,0.0,,1995,,TAM,,,,47,,62.0,23,,,225,115,331,99.0,12.4,173.4,,,,5.0,-9,
1996,81.0,3.99,4.7,79.0,,8,,482,1972-03-13,,,267,92.0,,,,,,,,,,3.0,,,10,0,4,-4,3.0,16,16,6-4,3.9,87.0,,,19,,,,,,,,,45,,,,19,Trent Dilfer,85.0,5.2,81.0,,55.4,2.5,12,2859,5.9,DilfTr00,QB,,,,,6-10-0,64.8,,,,,,,32,2.0,0,124,3.9,7.8,0,,107.0,0.0,,1996,,TAM,,,,28,,82.0,32,,,225,124,207,81.0,10.7,178.7,,,,3.9,-4,
1997,103.0,5.46,6.4,104.0,,12,,386,1972-03-13,,,217,98.0,,,,,,,,,,3.0,,,9,0,3,-22,3.0,16,16,6-4,2.8,105.0,,,11,,,,,,,,,59,,,,17,Trent Dilfer,97.0,5.64,107.0,,56.2,5.4,21,2555,6.6,DilfTr00,QB,,,,,10-6-0,82.8,,,,,,,33,2.1,1,99,3.0,6.2,1,,96.0,0.0,,1997,,TAM,,,,32,,115.0,33,,,225,99,196,98.0,11.8,159.7,,,,3.0,-22,
1998,98.0,5.05,5.8,96.0,,10,,429,1972-03-13,,,225,83.0,,,,,,,,,,3.0,,,9,0,2,-5,3.0,16,16,6-4,3.5,96.0,,,15,,,,,,,,,79,,,,17,Trent Dilfer,96.0,5.61,96.0,,52.4,4.9,21,2729,6.4,DilfTr00,QB,,,,,8-8-0,74.0,,,,,,,40,2.5,2,141,3.5,8.8,2,,107.0,0.0,,1998,,TAM,,,,27,,109.0,40,,,225,141,172,93.0,12.1,170.6,,,,3.5,-5,
1999,89.0,4.28,5.5,94.0,,6,,244,1972-03-13,,,146,109.0,,,,,,,,,,1.0,,,6,0,0,-4,1.0,10,10,6-4,4.5,83.0,,,11,,,,,,,,,62,,,,28,Trent Dilfer,91.0,5.3,98.0,,59.8,4.5,11,1619,6.6,DilfTr00,QB,,,,,7-3-0,75.8,,,,,,,35,3.5,0,144,4.1,14.4,0,,85.0,0.0,,1999,,TAM,,,,26,,105.0,35,,,225,144,189,98.0,11.1,161.9,,,,4.1,-4,
2000,90.0,4.47,5.5,93.0,,5,,226,1972-03-13,,100.0,134,105.0,,,,,,,,,,1.0,,,8,0,1,-7,1.0,11,8,6-4,4.9,75.0,,,11,,,,,,,,,59,,,-1.0,19,Trent Dilfer,93.0,5.49,98.0,,59.3,5.3,12,1502,6.6,DilfTr00,qb,,,,,7-1-0,76.6,0.0,-1.0,-0.1,-1.0,1.0,0.1,20,1.8,0,75,3.8,6.8,0,,85.0,0.0,,2000,,BAL,,,1.0,23,,117.0,21,,,225,74,135,98.0,11.2,136.5,,,,3.5,-7,
2001,122.0,6.83,8.0,127.0,,3,,122,1972-03-13,,100.0,73,103.0,,,,,,,,,,0.0,,,3,0,0,-3,0.0,6,4,6-4,3.3,99.0,,,4,,,,,,,,,54,,,-5.0,11,Trent Dilfer,123.0,7.14,119.0,,59.8,5.7,7,1014,8.3,DilfTr00,qb,,,,,4-0-0,92.0,0.0,-5.0,-0.8,-5.0,1.0,0.2,11,1.8,0,17,1.5,2.8,0,,95.0,0.0,,2001,,SEA,,,1.0,10,,125.0,12,,,225,12,72,130.0,13.9,169.0,,,,1.0,-3,
2002,103.0,5.46,5.9,98.0,,4,,168,1972-03-13,,,94,88.0,,,,,,,,,,,,,2,0,0,-12,,6,6,6-4,3.6,94.0,,,6,,,,,,,,,83,,,,13,Trent Dilfer,115.0,6.55,88.0,,56.0,2.4,4,1182,7.0,DilfTr00,qb,,,,,2-4-0,71.1,,,,,,,10,1.7,0,27,2.7,4.5,0,,117.0,0.0,,2002,,SEA,,,,7,,77.0,10,,,225,27,36,107.0,12.6,197.0,,,,2.7,-12,
2003,,-0.22,0.8,,,0,,8,1972-03-13,,,4,,,,,,,,,,,,,,2,0,0,0,,5,0,6-4,12.5,,,,1,,,,,,,,,14,,,,0,Trent Dilfer,,2.56,,,50.0,12.5,1,31,3.9,DilfTr00,,,,,,,59.9,,,,,,,2,0.4,0,-1,-0.5,-0.2,0,,,0.0,,2003,,SEA,,,,1,,,2,,,225,-1,8,,7.8,6.2,,,,-0.5,0,
2004,73.0,3.18,3.8,70.0,,1,,58,1972-03-13,,,25,46.0,,,,,,,,,,0.0,,,1,0,0,0,0.0,5,2,6-4,5.2,65.0,,,3,,,,,,,,,56,,,,11,Trent Dilfer,84.0,5.03,57.0,,43.1,1.7,1,333,5.7,DilfTr00,qb,,,,,2-0-0,46.1,,,,,,,10,2.0,0,14,1.4,2.8,0,,101.0,0.0,,2004,,SEA,,,,4,,72.0,10,,,225,14,21,81.0,13.3,66.6,,,,1.4,0,
2005,97.0,5.23,6.0,96.0,,6,,333,1972-03-13,,,199,100.0,,,,,,,,,,1.0,,,9,0,0,-14,1.0,11,11,6-4,3.6,92.0,,,12,,,,,,,,,80,,,,12,Trent Dilfer,102.0,6.13,95.0,,59.8,3.3,11,2321,7.0,DilfTr00,QB,,,,,4-7-0,76.9,,,,,,,20,1.8,0,46,2.3,4.2,0,,101.0,0.0,,2005,,CLE,,,,23,,91.0,20,,,225,46,139,101.0,11.7,211.0,,,,2.3,-14,
2007,60.0,2.37,3.5,62.0,,-2,,219,1972-03-13,,,113,68.0,20.2,,,,,,,,,1.0,,,8,0,6,-13,0.0,7,6,6-4,5.5,62.0,,,12,,,,,,,,,57,,,,11,Trent Dilfer,63.0,4.0,63.0,,51.6,3.2,7,1166,5.3,DilfTr00,qb,,,,,1-5-0,55.1,,,,,,,10,1.4,0,25,2.5,3.6,0,,69.0,0.0,,2007,,SFO,,,,27,,91.0,10,,,225,25,182,68.0,10.3,166.6,,,,2.5,-13,
Career,,4.44,5.4,,,60,,3172,1972-03-13,,100.0,1759,,,,,,,,,,,14.0,,,82,0,17,-93,15.0,130,113,6-4,4.1,,,,129,,,,,,,,,83,,,0.0,28,Trent Dilfer,,5.47,,,55.5,3.6,113,20518,6.5,DilfTr00,,,,,,58-55-0,70.2,0.0,-6.0,0.0,-3.0,2.0,0.0,248,1.9,5,853,3.4,6.6,5,,,0.0,,Career,,,,,2.0,263,,,250,,,225,847,1730,,11.7,157.8,,,,3.4,-93,
