,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1995,,,,,,0,,0,1971-12-29,,,0,,,,,,,,,,,,,,,,,,,0,0,6-2,,,,,0,,,,,,,,,0,,,,,Jay Fiedler,,,,,,,0,0,,FiedJa00,,,,,,,,,,,,,,,,,,,,,,,,,1995,,PHI,,,,0,,,,,,225,,0,,,,,,,,,
1998,,-0.57,-0.6,,,0,,7,1971-12-29,,,3,,,,,,,,,,,,,,0.0,,,,,5,0,6-2,14.3,,,,1,,,,,,,,,19,,,,-1.0,Jay Fiedler,,5.86,,,42.9,0.0,0,41,5.9,FiedJa00,,,,,,,22.6,,,,,,,4.0,0.8,0.0,-6.0,-1.5,-1.2,0.0,,,,,1998,,MIN,,,,0,,,4.0,,,225,-6.0,0,,13.7,8.2,,,,-1.5,,
1999,103.0,5.53,6.4,104.0,,2,,94,1971-12-29,,,61,129.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,7,1,6-2,2.1,116.0,,,2,,,,,,,,,25,,,,15.0,Jay Fiedler,103.0,6.03,107.0,,64.9,2.1,2,656,7.0,FiedJa00,qb,,,,,1-0-0,83.5,,,,,,,13.0,1.9,0.0,26.0,2.0,3.7,0.0,,101.0,0.0,,1999,,JAX,,,,7,,81.0,13.0,,,225,26.0,47,103.0,10.8,93.7,,,,2.0,0.0,
2000,98.0,5.06,5.7,96.0,,10,,357,1971-12-29,,,204,96.0,,,,,,,,,,1.0,,,2.0,0.0,0.0,-8.0,1.0,15,15,6-2,3.9,90.0,,,14,,,,,,,,,61,,,,30.0,Jay Fiedler,102.0,5.98,95.0,,57.1,3.9,14,2402,6.7,FiedJa00,QB,,,,,10-5-0,74.5,,,,,,,54.0,3.6,1.0,267.0,4.9,17.8,1.0,,106.0,0.0,,2000,,MIA,,,,23,,100.0,54.0,,,225,267.0,129,100.0,11.8,160.1,,,,4.9,-8.0,
2001,105.0,5.57,6.3,103.0,,13,,450,1971-12-29,,,273,106.0,,,,,,,,,,4.0,,,6.0,0.0,0.0,0.0,4.0,16,16,6-2,4.2,83.0,,,19,,,,,,,,,74,,,,26.0,Jay Fiedler,112.0,6.52,102.0,,60.7,4.4,20,3290,7.3,FiedJa00,QB,,,,,11-5-0,80.3,,,,,,,73.0,4.6,4.0,321.0,4.4,20.1,4.0,,106.0,0.0,,2001,,MIA,,,,27,,107.0,73.0,,,225,321.0,178,111.0,12.1,205.6,,,,4.4,0.0,
2002,111.0,5.93,6.5,107.0,,9,1.0,292,1971-12-29,,,179,108.0,,,,,,,,,,1.0,,,3.0,0.0,2.0,0.0,1.0,11,10,6-2,3.1,102.0,,,9,,,,,,,,,59,,,,12.0,Jay Fiedler,111.0,6.34,109.0,,61.3,4.8,14,2024,6.9,FiedJa00,QB,,,,,7-3-0,85.2,,,,,,,28.0,2.5,3.0,99.0,3.5,9.0,3.0,,115.0,0.0,,2002,0.0,MIA,,,,13,,113.0,28.0,,,225,99.0,89,105.0,11.3,184.0,,,,3.5,0.0,
2003,94.0,4.95,5.6,93.0,,7,,314,1971-12-29,,,179,92.0,,,,,,,,,,2.0,,,7.0,0.0,2.0,-5.0,3.0,12,11,6-2,4.1,83.0,,,13,,,,,,,,,59,,,,14.0,Jay Fiedler,102.0,6.04,89.0,,57.0,3.5,11,2138,6.8,FiedJa00,QB,,,,,7-4-0,72.4,,,,,,,34.0,2.8,3.0,88.0,2.6,7.3,3.0,,105.0,0.0,,2003,,MIA,,,,19,,92.0,34.0,,,225,88.0,126,100.0,11.9,178.2,,,,2.6,-5.0,
2004,80.0,3.73,5.1,86.0,,1,,190,1971-12-29,,,101,79.0,,,,,,,,,,,,,9.0,0.0,1.0,0.0,,8,7,6-2,4.2,82.0,,,8,,,,,,,,,71,,,,26.0,Jay Fiedler,80.0,4.75,83.0,,53.2,3.7,7,1186,6.2,FiedJa00,qb,,,,,1-6-0,67.1,,,,,,,12.0,1.5,0.0,59.0,4.9,7.4,0.0,,64.0,0.0,,2004,,MIA,,,,25,,95.0,12.0,,,225,59.0,165,90.0,11.7,148.3,,,,4.9,0.0,
2005,,9.77,9.8,,,0,,13,1971-12-29,,,8,,,,,,,,,,,,,,1.0,0.0,1.0,-5.0,,2,0,6-2,0.0,,,,0,,,,,,,,,23,,,,0.0,Jay Fiedler,,8.23,,,61.5,7.7,1,107,8.2,FiedJa00,,,,,,,113.3,,,,,,,1.0,0.5,0.0,0.0,0.0,0.0,0.0,,,0.0,,2005,,NYJ,,,,0,,,1.0,,,225,0.0,0,,13.4,53.5,,,,0.0,-5.0,
Career,,5.2,6.0,,,42,1.0,1717,1971-12-29,,,1008,,,,,,,,,,,8.0,,,29.0,0.0,6.0,-18.0,9.0,76,60,6-2,3.8,,,,66,,,,,,,,,74,,,,30.0,Jay Fiedler,,6.07,,,58.7,4.0,69,11844,6.9,FiedJa00,,,,,,37-23-0,77.1,,,,,,,219.0,2.9,11.0,854.0,3.9,11.2,11.0,,,0.0,,Career,0.0,,,,,114,,,219.0,,,225,854.0,734,,11.8,155.8,,,,3.9,-18.0,
