,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1987,,-4.5,-4.5,,,0.0,,6.0,1965-12-20,,,2.0,,,,,,,,,,,,,,,,,,,4.0,0.0,6-3,16.7,,,,1.0,,,,,,,,,12.0,,,,,Rich Gannon,,3.0,,,33.3,0.0,0.0,18.0,3.0,GannRi00,,,,,,,2.8,,,,,,,,,,,,,,,,,,1987,,MIN,,,,0.0,,,,,,210,,0.0,,9.0,4.5,,,,,,
1988,,3.78,6.0,,,0.0,,15.0,1965-12-20,,,7.0,,,,,,,,,,,,,,0.0,,,,,3.0,0.0,6-3,0.0,,,,0.0,,,,,,,,,19.0,,,,15.0,Rich Gannon,,3.78,,,46.7,0.0,0.0,90.0,6.0,GannRi00,,,,,,,66.0,,,,,,,4.0,1.3,0.0,29.0,7.3,9.7,0.0,,,,,1988,,MIN,,,,3.0,,,4.0,,,210,29.0,22.0,,12.9,30.0,,,,7.3,,
1989,,,,,,0.0,,0.0,1965-12-20,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,6-3,,,,,0.0,,,,,,,,,0.0,,,,,Rich Gannon,,,,,,,0.0,0.0,,GannRi00,,,,,,,,,,,,,,,,,,,,,,,,,1989,,MIN,,,,0.0,,,,,,210,,0.0,,,,,,,,,
1990,89.0,4.41,5.4,89.0,,8.0,,349.0,1965-12-20,,,182.0,84.0,,,,,,,,,,2.0,,,10.0,,6.0,-3.0,2.0,14.0,12.0,6-3,4.6,86.0,,,16.0,,,,,,,,,78.0,,,,27.0,Rich Gannon,89.0,5.46,89.0,,52.1,4.6,16.0,2278.0,6.5,GannRi00,QB,,,,,5-7-0,68.9,,,,,,,52.0,3.7,1.0,268.0,5.2,19.1,1.0,,88.0,0.0,,1990,,MIN,,,,34.0,,107.0,52.0,,,210,268.0,188.0,89.0,12.5,162.7,,,,5.2,-3.0,
1991,104.0,5.48,6.0,99.0,,10.0,,354.0,1965-12-20,,,211.0,109.0,,,,,,,,,,0.0,,,2.0,,0.0,0.0,1.0,15.0,11.0,6-3,1.7,129.0,,,6.0,,,,,,,,,50.0,,,0.0,42.0,Rich Gannon,93.0,5.56,107.0,,59.6,3.4,12.0,2166.0,6.1,GannRi00,QB,,,,,6-5-0,81.5,0.0,0.0,0.0,0.0,1.0,0.1,43.0,2.9,2.0,236.0,5.5,15.7,2.0,,113.0,0.0,,1991,,MIN,,,,19.0,,94.0,44.0,,,210,236.0,91.0,83.0,10.3,144.4,,,,5.4,0.0,
1992,93.0,4.55,5.6,95.0,,8.0,,279.0,1965-12-20,,,159.0,98.0,,,,,,,,,,2.0,,,5.0,,0.0,0.0,2.0,12.0,12.0,6-3,4.7,83.0,,,13.0,,,,,,,,,60.0,,,,14.0,Rich Gannon,97.0,5.68,96.0,,57.0,4.3,12.0,1905.0,6.8,GannRi00,QB,,,,,8-4-0,72.9,,,,,,,45.0,3.8,0.0,187.0,4.2,15.6,0.0,,93.0,0.0,,1992,,MIN,,,,25.0,,107.0,45.0,,,210,187.0,177.0,100.0,12.0,158.8,,,,4.2,0.0,
1993,66.0,2.57,3.6,67.0,,2.0,,125.0,1965-12-20,,,74.0,104.0,,,,,,,,,,,,,3.0,0.0,1.0,0.0,,8.0,4.0,6-3,5.6,67.0,,,7.0,,,,,,,,,54.0,,,,12.0,Rich Gannon,73.0,4.38,77.0,,59.2,2.4,3.0,704.0,5.6,GannRi00,,,,,,1-3-0,59.5,,,,,,,21.0,2.6,1.0,88.0,4.2,11.0,1.0,,71.0,0.0,,1993,,WAS,,,,16.0,,82.0,21.0,,,210,88.0,87.0,78.0,9.5,88.0,,,,4.2,0.0,
1994,,,,,,,,,1965-12-20,,,,,,,,,,,,,,,,,,,,,,,,6-3,,,,,,,,,,,,,,,,,,,Rich Gannon,,,,,,,,,,GannRi00,,,,,,,,,,,,,,,,,,,,,,,,,1994,,,,,,,,,,,,210,,,,,,,,,,,
1995,,5.18,5.2,,,0.0,,11.0,1965-12-20,,,7.0,,,,,,,,,,,,,,0.0,,,,,2.0,0.0,6-3,0.0,,,,0.0,,,,,,,,,18.0,,,,12.0,Rich Gannon,,5.18,,,63.6,0.0,0.0,57.0,5.2,GannRi00,,,,,,,76.7,,,,,,,8.0,4.0,1.0,25.0,3.1,12.5,1.0,,,,,1995,,KAN,,,,0.0,,,8.0,,,210,25.0,0.0,,8.1,28.5,,,,3.1,,
1996,104.0,5.52,6.3,103.0,,2.0,,90.0,1965-12-20,,,54.0,110.0,,,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,1.0,4.0,3.0,6-3,1.1,132.0,,,1.0,,,,,,,,,25.0,,,,19.0,Rich Gannon,74.0,4.73,121.0,,60.0,6.7,6.0,491.0,5.5,GannRi00,,,,,,1-2-0,92.4,,,,,,,12.0,3.0,0.0,81.0,6.8,20.3,0.0,,109.0,0.0,,1996,,KAN,,,,5.0,,135.0,12.0,,,210,81.0,42.0,69.0,9.1,122.8,,,,6.8,0.0,
