,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1999,104.0,5.55,6.1,99.0,,9,,375,1970-02-24,,,225,110.0,,,,,,,,,,,,,5,0,1,-1,,13,10,6-1,2.9,105.0,,,11,,,,,,,,,62,,,,25,Jeff Garcia,106.0,6.26,100.0,,60.0,2.9,11,2544,6.8,GarcJe00,QB,,,,,2-8-0,77.9,,,,,,,45,3.5,2,231,5.1,17.8,2,,119.0,0.0,,1999,,SFO,,,,15,,89.0,45,,,200,231,104,100.0,11.3,195.7,,,,5.1,-1,
2000,129.0,7.34,7.9,125.0,,20,,561,1970-02-24,,,355,121.0,,,,,,,,,,,,,7,0,4,-6,,16,16,6-1,1.8,124.0,,,10,,,,,,,,,69,,,,33,Jeff Garcia,122.0,7.05,127.0,,63.3,5.5,31,4278,7.6,GarcJe00,QB,,,,,6-10-0,97.6,,,,,,,72,4.5,4,414,5.8,25.9,4,,118.0,0.0,,2000,,SFO,,,,24,,119.0,72,,,200,414,155,116.0,12.1,267.4,,,,5.8,-6,
2001,120.0,6.65,7.2,116.0,,18,,504,1970-02-24,,,316,113.0,,,,,,,,,,4.0,,,9,0,5,-1,4.0,16,16,6-1,2.4,113.0,,,12,,,,,,,,,61,,,,25,Jeff Garcia,111.0,6.46,123.0,,62.7,6.3,32,3538,7.0,GarcJe00,QB,,,,,12-4-0,94.8,,,,,,,72,4.5,5,254,3.5,15.9,5,,111.0,0.0,,2001,,SFO,,,,26,,133.0,72,,,200,254,114,105.0,11.2,221.1,,,,3.5,-1,
2002,110.0,5.91,6.3,104.0,,15,,528,1970-02-24,,,328,110.0,,,,,,,,,,2.0,,,2,0,2,-3,4.0,16,16,6-1,1.9,123.0,,,10,,,,,,,,,76,,,,21,Jeff Garcia,102.0,5.97,110.0,,62.1,4.0,21,3344,6.3,GarcJe00,QB,,,,,10-6-0,85.6,,,,,,,73,4.6,3,353,4.8,22.1,3,,123.0,0.0,,2002,,SFO,,,,17,,101.0,73,,,200,353,93,92.0,10.2,209.0,,,,4.8,-3,
2003,105.0,5.75,6.3,102.0,,13,0.0,392,1970-02-24,,100.0,225,93.0,,,,,,,,,,1.0,,,9,0,3,-3,1.0,13,13,6-1,3.3,97.0,,,13,,,,,,,,,75,,,6.0,21,Jeff Garcia,106.0,6.3,99.0,,57.4,4.6,18,2704,6.9,GarcJe00,QB,,,,,5-8-0,80.1,0.0,6.0,0.5,6.0,1.0,0.1,56,4.3,7,319,5.7,24.5,7,,109.0,0.0,,2003,1.0,SFO,,,1.0,21,,106.0,57,,,200,325,104,102.0,12.0,208.0,,,,5.7,-3,
2004,97.0,5.17,6.1,98.0,,6,,252,1970-02-24,,,144,92.0,,,,,,,,,,1.0,,,9,0,0,-9,1.0,11,10,6-1,3.6,93.0,,,9,,,,,,,,,99,,,,21,Jeff Garcia,99.0,5.91,95.0,,57.1,4.0,10,1731,6.9,GarcJe00,QB,,,,,3-7-0,76.7,,,,,,,35,3.2,2,169,4.8,15.4,2,,85.0,0.0,,2004,,CLE,,,,24,,99.0,35,,,200,169,99,101.0,12.0,157.4,,,,4.8,-9,
2005,81.0,3.87,4.2,75.0,,0,,173,1970-02-24,,,102,97.0,,,,,,,,,,0.0,,,1,0,0,-3,1.0,6,5,6-1,3.5,94.0,,,6,,,,,,,,,49,,,,14,Jeff Garcia,84.0,5.04,80.0,,59.0,1.7,3,937,5.4,GarcJe00,qb,,,,,1-4-0,65.1,,,,,,,17,2.8,1,51,3.0,8.5,1,,121.0,0.0,,2005,,DET,,,,6,,73.0,17,,,200,51,34,74.0,9.2,156.2,,,,3.0,-3,
2006,121.0,7.11,7.5,117.0,,5,,188,1970-02-24,,,116,105.0,68.5,,,,,,,,,2.0,,,6,0,2,-7,2.0,8,6,6-1,1.1,133.0,,,2,,,,,,,,,65,,,,12,Jeff Garcia,110.0,6.54,120.0,,61.7,5.3,10,1309,7.0,GarcJe00,qb,,,,,5-1-0,95.8,,,,,,,25,3.1,0,87,3.5,10.9,0,,121.0,0.0,,2006,,PHI,,,,6,,115.0,25,,,200,87,40,103.0,11.3,163.6,,,,3.5,-7,
2007,118.0,6.98,7.7,119.0,,9,,327,1970-02-24,,,209,111.0,63.1,,,,,,,,,0.0,,,4,0,2,-11,1.0,13,13,6-1,1.2,128.0,,,4,,,,,,,,,69,,,,21,Jeff Garcia,112.0,6.75,117.0,,63.9,4.0,13,2440,7.5,GarcJe00,QB,,,,,8-5-0,94.6,,,,,,,35,2.7,1,116,3.3,8.9,1,,104.0,0.0,,2007,,TAM,,,,19,,100.0,35,,,200,116,104,112.0,11.7,187.7,,,,3.3,-11,
2008,110.0,6.47,7.1,109.0,,9,,376,1970-02-24,,,244,113.0,71.3,,,,,,,,,1.0,,,7,0,4,-10,3.0,12,11,6-1,1.6,120.0,,,6,,,,,,,,,71,,,,20,Jeff Garcia,107.0,6.55,109.0,,64.9,3.2,12,2712,7.2,GarcJe00,QB,,,,,6-5-0,90.2,,,,,,,35,2.9,1,148,4.2,12.3,1,,102.0,0.0,,2008,,TAM,,,,23,,90.0,35,,,200,148,100,105.0,11.1,226.0,,,,4.2,-10,
2009,,,,,,0,,0,1970-02-24,,,0,,0.0,,,,,,,,,,,,1,0,0,0,,1,0,6-1,,,,,0,,,,,,,,,0,,,,0,Jeff Garcia,,,,,,,0,0,,GarcJe00,,,,,,,,,,,,,,3,3.0,0,-2,-0.7,-2.0,0,,,0.0,,2009,,PHI,,,,0,,,3,,,200,-2,0,,,0.0,,,,-0.7,0,
Career,,6.24,6.8,,,104,0.0,3676,1970-02-24,,100.0,2264,,,,,,,,,,,11.0,,,60,0,23,-54,17.0,125,116,6-1,2.3,,,,83,,,,,,,,,99,,,6.0,33,Jeff Garcia,,6.38,,,61.6,4.4,161,25537,6.9,GarcJe00,,,,,,58-58-0,87.5,0.0,6.0,0.0,6.0,1.0,0.0,468,3.7,26,2140,4.6,17.1,26,,,0.0,,Career,1.0,,,,1.0,181,,,469,,,200,2146,947,,11.3,204.3,,,,4.6,-54,
