,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2002,,2.28,3.5,,,2,,46,1978-02-14,,,23,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,4,1,6-1,4.3,,,,2,,,,,,,,,22,,,,41.0,David Garrard,,3.6,,,50.0,2.2,1,231,5.0,GarrDa00,qb,,,,,0-1-0,53.8,,,,,,,25.0,6.3,2.0,139.0,5.6,34.8,2.0,,,0.0,,2002,,JAX,,,,7,,,25.0,,,235,139.0,40,,10.0,57.8,,,,5.6,0.0,
2003,,8.83,8.8,,,0,,12,1978-02-14,,,9,,,,,,,,,,,,,,,,,,,2,0,6-1,0.0,,,,0,,,,,,,,,28,,,,,David Garrard,,7.17,,,75.0,8.3,1,86,7.2,GarrDa00,,,,,,,122.2,,,,,,,,,,,,,,,,,,2003,,JAX,,,,0,,,,,,235,,0,,9.6,43.0,,,,,,
2004,87.0,4.28,5.1,87.0,,1,,72,1978-02-14,,,38,78.0,,,,,,,,,,0.0,,,0.0,,,,1.0,4,2,6-1,1.4,131.0,,,1,,,,,,,,,36,,,,12.0,David Garrard,73.0,4.35,88.0,,52.8,2.8,2,374,5.2,GarrDa00,qb,,,,,1-1-0,71.2,,,,,,,12.0,3.0,1.0,76.0,6.3,19.0,1.0,,92.0,,,2004,,JAX,,,,6,,84.0,12.0,,,235,76.0,35,71.0,9.8,93.5,,,,6.3,,
2005,110.0,6.29,6.9,107.0,,6,,168,1978-02-14,,,98,95.0,,,,,,,,,,2.0,,,4.0,0.0,1.0,0.0,2.0,7,5,6-1,0.6,143.0,,,1,,,,,,,,,37,,,,28.0,David Garrard,101.0,6.09,103.0,,58.3,2.4,4,1117,6.6,GarrDa00,qb,,,,,4-1-0,83.9,,,,,,,31.0,4.4,3.0,172.0,5.5,24.6,3.0,,114.0,0.0,,2005,,JAX,,,,8,,80.0,31.0,,,235,172.0,45,96.0,11.4,159.6,,,,5.5,0.0,
2006,100.0,5.41,6.3,102.0,,9,,241,1978-02-14,,,145,100.0,63.1,,,,,,,,,,,,4.0,0.0,1.0,-16.0,,11,10,6-1,3.7,90.0,,,9,,,,,,,,,49,,,,20.0,David Garrard,104.0,6.19,99.0,,60.2,4.1,10,1735,7.2,GarrDa00,QB,,,,,5-5-0,80.5,,,,,,,47.0,4.3,0.0,250.0,5.3,22.7,0.0,,92.0,0.0,,2006,,JAX,,,,20,,102.0,47.0,,,235,250.0,119,107.0,12.0,157.7,,,,5.3,-16.0,
2007,126.0,7.62,8.4,128.0,,13,,325,1978-02-14,,,208,112.0,83.4,,,,,,,,,1.0,,,3.0,0.0,0.0,0.0,2.0,12,12,6-1,0.9,133.0,,,3,,,,,,,,,59,,,,19.0,David Garrard,116.0,6.97,128.0,,64.0,5.5,18,2509,7.7,GarrDa00,QB,,,,,9-3-0,102.2,,,,,,,49.0,4.1,1.0,185.0,3.8,15.4,1.0,,101.0,0.0,,2007,,JAX,,,,21,,117.0,49.0,,,235,185.0,99,117.0,12.1,209.1,,,,3.8,0.0,
2008,96.0,5.28,6.2,98.0,,13,,535,1978-02-14,,100.0,335,105.0,58.5,,,,,,,,,3.0,,,7.0,0.0,3.0,0.0,3.0,16,16,6-1,2.4,108.0,,,13,,,,,,,,,41,,,-6.0,24.0,David Garrard,94.0,5.77,98.0,,62.6,2.8,15,3620,6.8,GarrDa00,QB,,,,,5-11-0,81.7,0.0,-6.0,-0.4,-6.0,1.0,0.1,73.0,4.6,2.0,322.0,4.4,20.1,2.0,,91.0,0.0,,2008,,JAX,,,1.0,42,,86.0,74.0,,,235,316.0,288,97.0,10.8,226.3,,,,4.3,0.0,
2009,101.0,5.75,6.7,102.0,,13,,516,1978-02-14,,,314,100.0,55.5,,,,,,,,,3.0,,,14.0,0.0,2.0,-4.0,4.0,16,16,6-1,1.9,114.0,,,10,,,,,,,,,63,,,,30.0,David Garrard,97.0,6.02,100.0,,60.9,2.9,15,3597,7.0,GarrDa00,QB,,,,,7-9-0,83.5,,,,,,,77.0,4.8,3.0,323.0,4.2,20.2,3.0,,88.0,0.0,,2009,,JAX,,,,42,,85.0,77.0,,,235,323.0,236,100.0,11.5,224.8,,,,4.2,-4.0,
2010,99.0,5.68,6.9,103.0,,12,,366,1978-02-14,,,236,112.0,67.0,,,,,,,,,1.0,,,11.0,0.0,3.0,-12.0,5.0,14,14,6-1,4.1,84.0,,,15,,,,,,,,,75,,,,25.0,David Garrard,100.0,6.22,108.0,,64.5,6.3,23,2734,7.5,GarrDa00,QB,,,,,8-6-0,90.8,,,,,,,66.0,4.7,5.0,279.0,4.2,19.9,5.0,,84.0,0.0,,2010,,JAX,,,,33,,123.0,66.0,,,235,279.0,253,107.0,11.6,195.3,,,,4.2,-12.0,
Career,,5.79,6.7,,,69,,2281,1978-02-14,,100.0,1406,,,,,,,,,,,10.0,,,44.0,0.0,10.0,-32.0,17.0,86,76,6-1,2.4,,,,54,,,,,,,,,75,,,0.0,41.0,David Garrard,,6.05,,,61.6,3.9,89,16003,7.0,GarrDa00,,,,,,39-37-0,85.8,0.0,-6.0,-0.1,-6.0,1.0,0.0,380.0,4.4,17.0,1746.0,4.6,20.3,17.0,,,0.0,,Career,,,,,1.0,179,,,381.0,,,235,1740.0,1115,,11.4,186.1,,,,4.6,-32.0,
