,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1990,86.0,4.22,5.6,92.0,,7,,334,1967-12-08,,,181,91.0,,,,,,,,,,3.0,,,4,,2,0,2.0,13,12,6-4,3.9,96.0,,,13,,,,,,,,,75,,,,6,Jeff George,78.0,4.94,96.0,,54.2,4.8,16,2152,6.4,GeorJe00,QB,,,,,5-7-0,73.8,,,,,,,11,0.8,1,2,0.2,0.2,1,,81.0,0.0,,1990,,IND,,,,37,,110.0,11,,,218,2,320,87.0,11.9,165.5,,,,0.2,0,
1991,84.0,3.86,5.3,89.0,,5,,485,1967-12-08,,,292,111.0,,,,,,,,,,,,,8,,2,-4,,16,16,6-4,2.5,117.0,,,12,,,,,,,,,49,,,,13,Jeff George,73.0,4.49,96.0,,60.2,2.1,10,2910,6.0,GeorJe00,QB,,,,,1-15-0,73.8,,,,,,,16,1.0,0,36,2.3,2.3,0,,81.0,0.0,,1991,,IND,,,,56,,79.0,16,,,218,36,481,80.0,10.0,181.9,,,,2.3,-4,
1992,83.0,3.72,4.7,82.0,,4,,306,1967-12-08,,,167,90.0,,,,,,,,,,1.0,,,6,,1,-2,3.0,10,10,6-4,4.9,79.0,,,15,,,,,,,,,57,,,,13,Jeff George,91.0,5.33,80.0,,54.6,2.3,7,1963,6.4,GeorJe00,QB,,,,,6-4-0,61.5,,,,,,,14,1.4,1,26,1.9,2.6,1,,94.0,0.0,,1992,,IND,,,,27,,84.0,14,,,218,26,188,92.0,11.8,196.3,,,,1.9,-2,
1993,100.0,5.14,5.9,99.0,,6,,407,1967-12-08,,,234,99.0,,,,,,,,,,1.0,,,4,0.0,0,-1,2.0,13,11,6-4,1.5,129.0,,,6,,,,,,,,,72,,,,14,Jeff George,92.0,5.39,99.0,,57.5,2.0,8,2526,6.2,GeorJe00,QB,,,,,2-9-0,76.3,,,,,,,13,1.0,0,39,3.0,3.0,0,,105.0,0.0,,1993,,IND,,,,26,,77.0,13,,,218,39,190,89.0,10.8,194.3,,,,3.0,-1,
1994,106.0,5.72,6.5,105.0,,11,,524,1967-12-08,,,322,110.0,,,,,,,,,,,,,12,0.0,6,-12,,16,16,6-4,3.4,95.0,,,18,,,,,,,,,85,,,,10,Jeff George,108.0,6.35,107.0,,61.5,4.4,23,3734,7.1,GeorJe00,QB,,,,,7-9-0,83.3,,,,,,,30,1.9,0,66,2.2,4.1,0,,103.0,0.0,,1994,,ATL,,,,32,,107.0,30,,,218,66,206,108.0,11.6,233.4,,,,2.2,-12,
1995,117.0,6.43,7.4,121.0,,13,,557,1967-12-08,,,336,108.0,,,,,,,,,,1.0,,,6,0.0,2,-15,4.0,16,16,6-4,2.0,120.0,,,11,,,,,,,,,62,,,,6,Jeff George,112.0,6.46,116.0,,60.3,4.3,24,4143,7.4,GeorJe00,QB,,,,,9-7-0,89.5,,,,,,,27,1.7,0,17,0.6,1.1,0,,93.0,0.0,,1995,,ATL,,,,43,,105.0,27,,,218,17,270,117.0,12.3,258.9,,,,0.6,-15,
1996,95.0,4.9,6.3,103.0,,2,,99,1967-12-08,,,56,97.0,,,,,,,,,,,,,3,0.0,2,-24,,3,3,6-4,3.0,102.0,,,3,,,,,,,,,67,,,,5,Jeff George,94.0,5.58,98.0,,56.6,3.0,3,698,7.1,GeorJe00,qb,,,,,0-3-0,76.1,,,,,,,5,1.7,0,10,2.0,3.3,0,,78.0,0.0,,1996,,ATL,,,,11,,89.0,5,,,218,10,84,108.0,12.5,232.7,,,,2.0,-24,
1997,114.0,6.32,7.9,121.0,,12,,521,1967-12-08,,0.0,290,96.0,,,,,,,,,,0.0,,,7,0.0,3,-14,1.0,16,16,6-4,1.7,121.0,,,9,,,,,,,,,76,,,0.0,12,Jeff George,104.0,6.02,117.0,,55.7,5.6,29,3917,7.5,GeorJe00,QB,,,,,4-12-0,91.2,0.0,0.0,0.0,,0.0,0.0,17,1.1,0,44,2.6,2.8,0,,82.0,0.0,,1997,,OAK,,,1.0,58,,117.0,17,,,218,44,430,115.0,13.5,244.8,,,,2.6,-14,
1998,93.0,4.6,6.2,100.0,,3,,169,1967-12-08,,,93,93.0,,,,,,,,,,0.0,,,7,0.0,1,-6,1.0,8,7,6-4,3.0,104.0,,,5,,,,,,,,,75,,,,8,Jeff George,92.0,5.36,94.0,,55.0,2.4,4,1186,7.0,GeorJe00,QB,,,,,3-4-0,72.7,,,,,,,8,1.0,0,2,0.3,0.3,0,,74.0,0.0,,1998,,OAK,,,,22,,83.0,8,,,218,2,162,105.0,12.8,148.3,,,,0.3,-6,
1999,120.0,7.03,8.3,124.0,,11,,329,1967-12-08,,,191,103.0,,,,,,,,,,2.0,,,8,0.0,2,0,4.0,12,10,6-4,3.6,95.0,,,12,,,,,,,,,80,,,,17,Jeff George,122.0,7.25,119.0,,58.1,7.0,23,2816,8.6,GeorJe00,QB,,,,,8-2-0,94.2,,,,,,,16,1.3,0,41,2.6,3.4,0,,95.0,0.0,,1999,,MIN,,,,28,,130.0,16,,,218,41,228,129.0,14.7,234.7,,,,2.6,0,
2000,106.0,5.66,6.5,106.0,,4,,194,1967-12-08,,,113,101.0,,,,,,,,,,,,,3,0.0,1,-3,,6,5,6-4,3.1,103.0,,,6,,,,,,,,,50,,,,14,Jeff George,108.0,6.29,102.0,,58.2,3.6,7,1389,7.2,GeorJe00,qb,,,,,1-4-0,79.6,,,,,,,7,1.2,0,24,3.4,4.0,0,,107.0,0.0,,2000,,WAS,,,,12,,96.0,7,,,218,24,94,108.0,12.3,231.5,,,,3.4,-3,
2001,,-0.1,0.8,,,0,,42,1967-12-08,,,23,,,,,,,,,,,,,,2,0.0,1,0,,2,2,6-4,7.1,,,,3,,,,,,,,,17,,,,2,Jeff George,,2.71,,,54.8,0.0,0,168,4.0,GeorJe00,qb,,,,,0-2-0,34.6,,,,,,,4,2.0,0,0,0.0,0.0,0,,,0.0,,2001,,WAS,,,,6,,,4,,,218,0,38,,7.3,84.0,,,,0.0,0,
Career,,5.3,6.5,,,78,,3967,1967-12-08,,0.0,2298,,,,,,,,,,,8.0,,,70,0.0,23,-81,17.0,131,124,6-4,2.8,,,,113,,,,,,,,,85,,,0.0,17,Jeff George,,5.76,,,57.9,3.9,154,27602,7.0,GeorJe00,,,,,,46-78-0,80.4,0.0,0.0,0.0,,0.0,0.0,168,1.3,2,307,1.8,2.3,2,,,0.0,,Career,,,,,1.0,358,,,168,,,218,307,2691,,12.0,210.7,,,,1.8,-81,
