,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1992,67.0,2.51,3.2,63.0,,2,,97,1968-11-01,,,42,54.0,,,,,,,,,,,,,1,,1.0,0.0,,6,3,6-5,4.1,91.0,,,4,,,,,,,,,44,,,,15,Kent Graham,69.0,4.05,57.0,,43.3,1.0,1,470,4.8,GrahKe00,qb,,,,,0-3-0,44.6,,,,,,,6,1.0,0,36,6.0,6.0,0,,102.0,0.0,,1992,,NYG,,,,7,,69.0,6,,,231,36,49,62.0,11.2,78.3,,,,6.0,0.0,
1993,,2.04,3.6,,,0,,22,1968-11-01,,,8,,,,,,,,,,,,,,0,,,,,9,0,6-5,0.0,,,,0,,,,,,,,,18,,,,-1,Kent Graham,,2.04,,,36.4,0.0,0,79,3.6,GrahKe00,,,,,,,47.3,,,,,,,2,0.2,0,-3,-1.5,-0.3,0,,,,,1993,,NYG,,,,3,,,2,,,231,-3,28,,9.9,8.8,,,,-1.5,,
1994,88.0,4.42,5.0,84.0,,1,,53,1968-11-01,,0.0,24,60.0,,,,,,,,,,0.0,,,2,0.0,1.0,0.0,1.0,13,1,6-5,3.8,90.0,,,2,,,,,,,,,55,,,0.0,9,Kent Graham,81.0,4.96,84.0,,45.3,5.7,3,295,5.6,GrahKe00,qb,,,,,0-1-0,66.2,0.0,0.0,0.0,,0.0,0.0,2,0.2,0,11,5.5,0.8,0,,117.0,0.0,,1994,,NYG,,,1.0,2,,123.0,2,,,231,11,22,75.0,12.3,22.7,,,,5.5,0.0,
1996,94.0,4.88,5.7,94.0,,5,,274,1968-11-01,,,146,84.0,,,,,,,,,,2.0,,,5,0.0,0.0,0.0,2.0,10,8,6-5,2.6,110.0,,,7,,,,,,,,,69,,,,19,Kent Graham,83.0,5.13,96.0,,53.3,4.4,12,1624,5.9,GrahKe00,qb,,,,,4-4-0,75.1,,,,,,,21,2.1,0,87,4.1,8.7,0,,101.0,0.0,,1996,,ARI,,,,19,,106.0,21,,,231,87,120,81.0,11.1,162.4,,,,4.1,0.0,
1997,89.0,4.32,5.1,88.0,,3,,250,1968-11-01,,,130,82.0,,,,,,,,,,2.0,,,5,0.0,0.0,0.0,2.0,8,6,6-5,2.0,117.0,,,5,,,,,,,,,47,,,,10,Kent Graham,82.0,4.86,86.0,,52.0,1.6,4,1408,5.6,GrahKe00,qb,,,,,1-5-0,65.9,,,,,,,13,1.6,2,23,1.8,2.9,2,,106.0,0.0,,1997,,ARI,,,,16,,75.0,13,,,231,23,115,79.0,10.8,176.0,,,,1.8,0.0,
1998,96.0,4.88,5.5,93.0,,4,,205,1968-11-01,,100.0,105,78.0,,,,,,,,,,1.0,,,2,0.0,0.0,-3.0,1.0,11,6,6-5,2.4,111.0,,,5,,,,,,,,,87,,,16.0,23,Kent Graham,90.0,5.27,92.0,,51.2,3.4,7,1219,5.9,GrahKe00,qb,,,,,5-1-0,70.8,0.0,16.0,1.5,16.0,1.0,0.1,27,2.5,2,138,5.1,12.5,2,,110.0,0.0,,1998,,NYG,,,1.0,12,,94.0,28,,,231,154,75,85.0,11.6,110.8,,,,5.5,-3.0,
1999,90.0,4.34,5.4,93.0,,5,,271,1968-11-01,,100.0,160,106.0,,,,,,,,,,1.0,,,4,0.0,2.0,0.0,1.0,9,9,6-5,3.3,100.0,,,9,,,,,,,,,56,,,-1.0,17,Kent Graham,88.0,5.09,96.0,,59.0,3.3,9,1697,6.3,GrahKe00,QB,,,,,5-4-0,74.6,0.0,-1.0,-0.1,-1.0,1.0,0.1,35,3.9,1,132,3.8,14.7,1,,90.0,0.0,,1999,,NYG,,,1.0,26,,93.0,36,,,231,131,184,92.0,10.6,188.6,,,,3.6,0.0,
2000,96.0,4.86,5.8,96.0,,3,,148,1968-11-01,,,66,46.0,,,,,,,,,,,,,1,0.0,0.0,0.0,,12,5,6-5,0.7,142.0,,,1,,,,,,,,,77,,,,7,Kent Graham,85.0,5.02,80.0,,44.6,0.7,1,878,5.9,GrahKe00,qb,,,,,2-3-0,63.4,,,,,,,8,0.7,0,7,0.9,0.6,0,,93.0,0.0,,2000,,PIT,,,,13,,62.0,8,,,231,7,70,85.0,13.3,73.2,,,,0.9,0.0,
2001,,7.38,9.0,,,0,,19,1968-11-01,,,13,,,,,,,,,,,2.0,,,2,0.0,1.0,-3.0,2.0,3,0,6-5,0.0,,,,0,,,,,,,,,16,,,,0,Kent Graham,,5.48,,,68.4,10.5,2,131,6.9,GrahKe00,,,,,,,122.9,,,,,,,7,2.3,0,-7,-1.0,-2.3,0,,,0.0,,2001,,WAS,,,,2,,,7,,,231,-7,16,,10.1,43.7,,,,-1.0,-3.0,
Career,,4.46,5.3,,,23,,1339,1968-11-01,,66.7,694,,,,,,,,,,,8.0,,,22,0.0,5.0,-6.0,9.0,81,38,6-5,2.5,,,,33,,,,,,,,,87,,,16.0,23,Kent Graham,,4.95,,,51.8,2.9,39,7801,5.8,GrahKe00,,,,,,17-21-0,69.0,0.0,15.0,0.2,7.5,2.0,0.0,121,1.5,5,424,3.5,5.2,5,,,0.0,,Career,,,,,3.0,100,,,123,,,231,439,679,,11.2,96.3,,,,3.6,-6.0,
