,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1998,,-14.33,-14.3,,,0,,3,1975-03-18,,,1,,,,,,,,,,,,,,1,0,0,-1,,1,0,6-3,33.3,,,,1,,,,,,,,,2,,,,0,Brian Griese,,0.67,,,33.3,0.0,0,2,0.7,GrieBr00,,,,,,,2.8,,,,,,,4,4.0,0,-4,-1.0,-4.0,0,,,0.0,,1998,,DEN,,,,0,,,4,,,214,-4,0,,2.0,2.0,,,,-1.0,-1,
1999,100.0,5.23,5.9,98.0,,10,,452,1975-03-18,,,261,101.0,,,,,,,,,,1.0,,,16,0,9,-46,2.0,14,13,6-3,3.1,103.0,,,14,,,,,,,,,88,,,,23,Brian Griese,102.0,5.96,97.0,,57.7,3.1,14,3032,6.7,GrieBr00,QB,,,,,4-9-0,75.6,,,,,,,46,3.3,2,138,3.0,9.9,2,,108.0,0.0,,1999,,DEN,,,,27,,91.0,46,,,214,138,176,99.0,11.6,216.6,,,,3.0,-46,
2000,135.0,7.79,8.6,134.0,,11,,336,1975-03-18,,,216,125.0,,,,,,,,,,0.0,,,5,0,2,-8,1.0,10,10,6-3,1.2,133.0,,,4,,,,,,,,,61,,,,18,Brian Griese,125.0,7.22,135.0,,64.3,5.7,19,2688,8.0,GrieBr00,qb,,,,,7-3-0,102.9,,,,,,,29,2.9,1,102,3.5,10.2,1,,113.0,0.0,,2000,,DEN,,,,17,,121.0,29,,,214,102,139,123.0,12.4,268.8,,,,3.5,-8,
2001,89.0,4.48,5.4,90.0,,11,,451,1975-03-18,,100.0,275,107.0,,,,,,,,,,1.0,,,7,0,2,-1,1.0,15,15,6-3,4.2,84.0,,,19,,,,,,,,,65,,,-6.0,24,Brian Griese,89.0,5.29,99.0,,61.0,5.1,23,2827,6.3,GrieBr00,fb/QB,,,,,7-7-0,78.5,0.0,-6.0,-0.4,-6.0,1.0,0.1,50,3.3,1,173,3.5,11.5,1,,94.0,0.0,,2001,,DEN,,,1.0,38,,116.0,51,,,214,167,241,91.0,10.3,188.5,,,,3.3,-1,
2002,104.0,5.54,6.5,107.0,,11,,436,1975-03-18,,,291,127.0,,,,,,,,,,1.0,,,2,0,1,-3,1.0,13,13,6-3,3.4,96.0,,,15,,,,,,,,,82,,,,13,Brian Griese,110.0,6.33,110.0,,66.7,3.4,15,3214,7.4,GrieBr00,QB,,,,,8-5-0,85.6,,,,,,,37,2.8,1,107,2.9,8.2,1,,95.0,0.0,,2002,,DEN,,,,34,,93.0,37,,,214,107,237,115.0,11.0,247.2,,,,2.9,-3,
2003,81.0,3.94,4.9,84.0,,3,,130,1975-03-18,,,74,92.0,,,,,,,,,,0.0,,,4,0,0,0,1.0,5,5,6-3,4.6,75.0,,,6,,,,,,,,,80,,,,9,Brian Griese,85.0,5.14,85.0,,56.9,3.8,5,813,6.3,GrieBr00,qb,,,,,3-2-0,69.2,,,,,,,5,1.0,0,15,3.0,3.0,0,,87.0,0.0,,2003,,MIA,,,,12,,97.0,5,,,214,15,83,90.0,11.0,162.6,,,,3.0,0,
2004,112.0,6.42,7.4,115.0,,7,,336,1975-03-18,,100.0,233,133.0,,,,,,,,,,1.0,,,6,0,2,-7,1.0,11,10,6-3,3.6,93.0,,,12,,,,,,,,,68,,,-4.0,7,Brian Griese,114.0,6.8,121.0,,69.3,6.0,20,2632,7.8,GrieBr00,QB,,,,,4-6-0,97.5,0.0,-4.0,-0.4,-4.0,1.0,0.1,30,2.7,0,17,0.6,1.5,0,,96.0,0.0,,2004,,TAM,,,1.0,26,,122.0,31,,,214,13,169,118.0,11.3,239.3,,,,0.4,-7,
2005,92.0,4.76,5.5,91.0,,3,,174,1975-03-18,,,112,115.0,,,,,,,,,,,,,2,0,1,0,,6,6,6-3,4.0,85.0,,,7,,,,,,,,,80,,,,7,Brian Griese,95.0,5.7,98.0,,64.4,4.0,7,1136,6.5,GrieBr00,qb,,,,,5-1-0,79.6,,,,,,,13,2.2,0,12,0.9,2.0,0,,102.0,0.0,,2005,,TAM,,,,12,,99.0,13,,,214,12,76,94.0,10.1,189.3,,,,0.9,0,
2006,,3.66,4.7,,,1,,32,1975-03-18,,,18,,13.4,,,,,,,,,1.0,,,1,0,0,0,1.0,6,0,6-3,6.3,,,,2,,,,,,,,,75,,,,0,Brian Griese,,5.66,,,56.3,3.1,1,220,6.9,GrieBr00,,,,,,,62.0,,,,,,,6,1.0,0,-5,-0.8,-0.8,0,,,0.0,,2006,,CHI,,,,3,,,6,,,214,-5,22,,12.2,36.7,,,,-0.8,0,
2007,92.0,4.87,5.6,90.0,,4,,262,1975-03-18,,,161,103.0,44.4,,,,,,,,,2.0,,,6,0,2,-4,2.0,7,6,6-3,4.6,76.0,,,12,,,,,,,,,81,,,,9,Brian Griese,101.0,6.1,91.0,,61.5,3.8,10,1803,6.9,GrieBr00,qb,,,,,3-3-0,75.6,,,,,,,13,1.9,0,28,2.2,4.0,0,,105.0,0.0,,2007,,CHI,,,,15,,98.0,13,,,214,28,114,100.0,11.2,257.6,,,,2.2,-4,
2008,82.0,4.09,4.7,79.0,,0,,184,1975-03-18,,,110,96.0,48.6,,,,,,,,,2.0,,,1,0,0,0,2.0,5,5,6-3,3.8,88.0,,,7,,,,,,,,,38,,,,3,Brian Griese,84.0,5.2,84.0,,59.8,2.7,5,1073,5.8,GrieBr00,qb,,,,,3-2-0,69.4,,,,,,,5,1.0,0,-1,-0.2,-0.2,0,,109.0,0.0,,2008,,TAM,,,,9,,85.0,5,,,214,-1,69,79.0,9.8,214.6,,,,-0.2,0,
Career,,5.37,6.2,,,61,,2796,1975-03-18,,100.0,1752,,,,,,,,,,,9.0,,,51,0,19,-70,12.0,93,83,6-3,3.5,,,,99,,,,,,,,,88,,,0.0,24,Brian Griese,,6.06,,,62.7,4.3,119,19440,7.0,GrieBr00,,,,,,44-38-0,82.7,0.0,-10.0,-0.1,-5.0,2.0,0.0,238,2.6,5,582,2.4,6.3,5,,,0.0,,Career,,,,,2.0,193,,,240,,,214,572,1326,,11.1,209.0,,,,2.4,-70,
