,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1994,,3.82,4.1,,,0,,37,1968-09-13,,,22,,,,,,,,,,,,,,0,,,,,4,0,6-5,0.0,,,,0,,,,,,,,,15,,,,-1,Brad Johnson,,3.82,,,59.5,0.0,0,150,4.1,JohnBr00,,,,,,,68.5,,,,,,,2,0.5,0,-2,-1.0,-0.5,0,,,,,1994,,MIN,,,,1,,,2,,,235,-2,5,,6.8,37.5,,,,-1.0,,
1995,,4.32,5.1,,,1,,36,1968-09-13,,,25,,,,,,,,,,,,,,2,0.0,0.0,0.0,,5,0,6-5,5.6,,,,2,,,,,,,,,39,,,,3,Brad Johnson,,6.68,,,69.4,0.0,0,272,7.6,JohnBr00,,,,,,,68.3,,,,,,,9,1.8,0,-9,-1.0,-1.8,0,,,0.0,,1995,,MIN,,,,2,,,9,,,235,-9,18,,10.9,54.4,,,,-1.0,0.0,
1996,115.0,6.22,6.9,113.0,,7,,311,1968-09-13,,,195,120.0,,,,,,,,,,2.0,,,5,0.0,3.0,-8.0,3.0,12,8,6-5,3.2,99.0,,,10,,,,,,,,,82,,,,13,Brad Johnson,117.0,6.56,117.0,,62.7,5.5,17,2258,7.3,JohnBr00,qb,,,,,5-3-0,89.4,,,,,,,34,2.8,1,90,2.6,7.5,1,,113.0,0.0,,1996,,MIN,,,,15,,120.0,34,,,235,90,119,114.0,11.6,188.2,,,,2.6,-8.0,
1997,106.0,5.72,6.4,104.0,,11,,452,1968-09-13,,100.0,275,115.0,,,,,,,,,,3.0,,,4,0.0,3.0,0.0,4.0,13,13,6-5,2.7,108.0,,,12,,,,,,,,,56,,,3.0,28,Brad Johnson,104.0,6.01,109.0,,60.8,4.4,20,3036,6.7,JohnBr00,QB,,,,,8-5-0,84.5,1.0,3.0,0.2,3.0,1.0,0.1,35,2.7,0,139,4.0,10.7,1,,109.0,0.0,,1997,,MIN,,,1.0,26,,104.0,36,,,235,142,164,100.0,11.0,233.5,,,,3.9,0.0,
1998,110.0,6.02,6.6,105.0,,3,,101,1968-09-13,,,65,131.0,,,,,,,,,,0.0,,,1,0.0,0.0,0.0,1.0,4,2,6-5,5.0,76.0,,,5,,,,,,,,,48,,,,6,Brad Johnson,118.0,6.83,114.0,,64.4,6.9,7,747,7.4,JohnBr00,qb,,,,,2-0-0,89.0,,,,,,,12,3.0,0,15,1.3,3.8,0,,120.0,0.0,,1998,,MIN,,,,4,,130.0,12,,,235,15,30,111.0,11.5,186.8,,,,1.3,0.0,
1999,117.0,6.79,7.5,115.0,,16,,519,1968-09-13,,,316,113.0,,,,,,,,,,3.0,,,12,0.0,2.0,-8.0,4.0,16,16,6-5,2.5,111.0,,,13,,,,,,,,,65,,,,12,Brad Johnson,118.0,6.99,114.0,,60.9,4.6,24,4005,7.7,JohnBr00,QB,,,,,10-6-0,90.0,,,,,,,26,1.6,2,31,1.2,1.9,2,,110.0,0.0,,1999,,WAS,,,,29,,106.0,26,,,235,31,177,115.0,12.7,250.3,,,,1.2,-8.0,
2000,97.0,4.94,5.6,94.0,,7,,365,1968-09-13,,,228,117.0,,,,,,,,,,1.0,,,5,0.0,2.0,-14.0,4.0,12,11,6-5,4.1,87.0,,,15,,,,,,,,,77,,,,21,Brad Johnson,105.0,6.12,97.0,,62.5,3.0,11,2505,6.9,JohnBr00,QB,,,,,7-4-0,75.7,,,,,,,22,1.8,1,58,2.6,4.8,1,,111.0,0.0,,2000,,WAS,,,,20,,89.0,22,,,235,58,150,102.0,11.0,208.8,,,,2.6,-14.0,
2001,94.0,4.81,5.7,94.0,,12,,559,1968-09-13,,,340,106.0,,,,,,,,,,3.0,,,4,0.0,2.0,-1.0,5.0,16,16,6-5,2.0,120.0,,,11,,,,,,,,,47,,,,21,Brad Johnson,88.0,5.2,98.0,,60.8,2.3,13,3406,6.1,JohnBr00,QB,,,,,9-7-0,77.7,,,,,,,39,2.4,3,120,3.1,7.5,3,,96.0,0.0,,2001,,TAM,,,,44,,79.0,39,,,235,120,269,88.0,10.0,212.9,,,,3.1,-1.0,
2002,120.0,6.56,7.1,117.0,,9,,451,1968-09-13,,,281,111.0,,,,,,,,,,0.0,,,8,0.0,2.0,0.0,1.0,13,13,6-5,1.3,132.0,,,6,,,,,,,,,76,,,,6,Brad Johnson,107.0,6.2,121.0,,62.3,4.9,22,3049,6.8,JohnBr00,QB,,,,,10-3-0,92.9,,,,,,,13,1.0,0,30,2.3,2.3,0,,114.0,0.0,,2002,,TAM,,,,21,,114.0,13,,,235,30,121,101.0,10.9,234.5,,,,2.3,0.0,
2003,102.0,5.55,5.9,97.0,,10,,570,1968-09-13,,0.0,354,109.0,,,,,,,,,,,,,6,0.0,4.0,0.0,,16,16,6-5,3.7,91.0,,,21,,,,,,,,,76,,,-2.0,13,Brad Johnson,106.0,6.27,101.0,,62.1,4.6,26,3811,6.7,JohnBr00,QB,,,,,7-9-0,81.5,0.0,-2.0,-0.1,,0.0,0.0,25,1.6,0,33,1.3,2.1,0,,120.0,0.0,,2003,,TAM,,,1.0,20,,106.0,25,,,235,31,111,98.0,10.8,238.2,,,,1.2,0.0,
