,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1987,76.0,3.25,4.5,80.0,,1,,92,1964-11-06,,,45,80.0,,,,,,,,,,1.0,,,0,,,,1.0,3,2,6-1,5.4,79.0,,,5,,,,,,,,,33,,,,11,Erik Kramer,75.0,4.68,82.0,,48.9,4.3,4,559,6.1,KramEr00,qb,,,,,1-1-0,60.0,,,,,,,2,0.7,0,10,5.0,3.3,0,,85.0,,,1987,,ATL,,,,10,,102.0,2,,,200,10,82,82.0,12.4,186.3,,,,5.0,,
1991,100.0,5.09,5.6,94.0,,6,,265,1964-11-06,,,136,79.0,,,,,,,,,,3.0,,,8,,4.0,-5.0,3.0,13,8,6-1,3.0,109.0,,,8,,,,,,,,,73,,,,12,Erik Kramer,94.0,5.59,94.0,,51.3,4.2,11,1635,6.2,KramEr00,qb,,,,,6-2-0,71.8,,,,,,,35,2.7,1,26,0.7,2.0,1,,114.0,0.0,,1991,,DET,,,,14,,103.0,35,,,200,26,74,84.0,12.0,125.8,,,,0.7,-5.0,
1992,79.0,3.4,4.6,82.0,,3,,106,1964-11-06,,,58,90.0,,,,,,,,,,,,,4,,1.0,-1.0,,7,3,6-1,7.5,40.0,,,8,,,,,,,,,77,,,,11,Erik Kramer,97.0,5.71,77.0,,54.7,3.8,4,771,7.3,KramEr00,qb,,,,,1-2-0,59.1,,,,,,,12,1.7,0,34,2.8,4.9,0,,67.0,0.0,,1992,,DET,,,,15,,101.0,12,,,200,34,80,109.0,13.3,110.1,,,,2.8,-1.0,
1993,124.0,6.94,7.4,120.0,,3,,138,1964-11-06,,,87,115.0,,,,,,,,,,2.0,,,1,0.0,0.0,0.0,3.0,5,4,6-1,2.2,118.0,,,3,,,,,,,,,48,,,,4,Erik Kramer,116.0,6.76,124.0,,63.0,5.8,8,1002,7.3,KramEr00,qb,,,,,3-1-0,95.1,,,,,,,10,2.0,0,5,0.5,1.0,0,,121.0,0.0,,1993,,DET,,,,5,,127.0,10,,,200,5,35,110.0,11.5,200.4,,,,0.5,0.0,
1994,94.0,4.9,5.9,97.0,,4,,158,1964-11-06,,,99,114.0,,,,,,,,,,,,,3,0.0,2.0,-5.0,,6,5,6-1,5.1,70.0,,,8,,,,,,,,,85,,,,2,Erik Kramer,103.0,6.06,102.0,,62.7,5.1,8,1129,7.1,KramEr00,qb,,,,,1-4-0,79.9,,,,,,,6,1.0,0,-2,-0.3,-0.3,0,,87.0,0.0,,1994,,CHI,,,,14,,116.0,6,,,200,-2,87,108.0,11.4,188.2,,,,-0.3,-5.0,
1995,129.0,7.21,7.6,124.0,,15,,522,1964-11-06,,,315,108.0,,,,,,,,,,1.0,,,6,0.0,2.0,-13.0,2.0,16,16,6-1,1.9,121.0,,,10,,,,,,,,,76,,,,11,Erik Kramer,124.0,6.97,122.0,,60.3,5.6,29,3838,7.4,KramEr00,QB,,,,,9-7-0,93.5,,,,,,,35,2.2,1,39,1.1,2.4,1,,123.0,0.0,,1995,,CHI,,,,15,,121.0,35,,,200,39,95,115.0,12.2,239.9,,,,1.1,-13.0,
1996,70.0,3.3,3.8,66.0,,-1,,150,1964-11-06,,,73,67.0,,,,,,,,,,,,,1,0.0,1.0,-1.0,,4,4,6-1,4.0,87.0,,,6,,,,,,,,,58,,,,3,Erik Kramer,72.0,4.64,66.0,,48.7,2.0,3,781,5.2,KramEr00,qb,,,,,1-3-0,54.3,,,,,,,8,2.0,0,4,0.5,1.0,0,,114.0,0.0,,1996,,CHI,,,,7,,76.0,8,,,200,4,53,63.0,10.7,195.3,,,,0.5,-1.0,
1997,98.0,5.0,5.6,94.0,,8,,477,1964-11-06,,,275,103.0,,,,,,,,,,1.0,,,11,0.0,3.0,-14.0,1.0,15,13,6-1,2.9,104.0,,,14,,,,,,,,,78,,,,31,Erik Kramer,98.0,5.7,96.0,,57.7,2.9,14,3011,6.3,KramEr00,QB,,,,,4-9-0,74.0,,,,,,,27,1.8,2,83,3.1,5.5,2,,112.0,0.0,,1997,,CHI,,,,25,,89.0,27,,,200,83,149,92.0,10.9,200.7,,,,3.1,-14.0,
1998,112.0,6.22,6.8,107.0,,5,,250,1964-11-06,,,151,115.0,,,,,,,,,,2.0,,,3,0.0,0.0,0.0,3.0,8,8,6-1,2.8,106.0,,,7,,,,,,,,,79,,,,8,Erik Kramer,117.0,6.74,107.0,,60.4,3.6,9,1823,7.3,KramEr00,QB,,,,,3-5-0,83.1,,,,,,,13,1.6,1,17,1.3,2.1,1,,120.0,0.0,,1998,,CHI,,,,10,,96.0,13,,,200,17,71,109.0,12.1,227.9,,,,1.3,0.0,
1999,66.0,2.14,2.7,63.0,,2,,141,1964-11-06,,,78,92.0,,,,,,,,,,1.0,,,3,0.0,1.0,-7.0,1.0,6,4,6-1,7.1,48.0,,,10,,,,,,,,,41,,,,3,Erik Kramer,85.0,4.91,64.0,,55.3,1.4,2,788,5.6,KramEr00,qb,,,,,2-2-0,46.6,,,,,,,5,0.8,0,1,0.2,0.2,0,,114.0,0.0,,1999,,SDG,,,,7,,73.0,5,,,200,1,62,81.0,10.1,131.3,,,,0.2,-7.0,
