,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2003,98.0,5.24,5.7,93.0,,9,,418,1980-01-14,,,239,92.0,,,,,,,,,,1.0,,,11.0,0.0,2.0,0.0,2.0,15,13,6-5,3.8,88.0,,,16,,,,,,,,,84,,,,18.0,Byron Leftwich,105.0,6.24,90.0,,57.2,3.3,14,2819,6.7,LeftBy00,QB,,,,,5-8-0,73.0,,,,,,,25.0,1.7,2.0,108.0,4.3,7.2,2.0,,114.0,0.0,,2003,,JAX,,,,19,,91.0,25.0,,,250,108.0,90,99.0,11.8,187.9,,,,4.3,0.0,
2004,104.0,5.74,6.3,101.0,,9,,441,1980-01-14,,100.0,267,104.0,,,,,,,,,,4.0,,,5.0,0.0,3.0,0.0,4.0,14,14,6-5,2.3,116.0,,,10,,,,,,,,,65,,,-7.0,17.0,Byron Leftwich,102.0,6.07,102.0,,60.5,3.4,15,2941,6.7,LeftBy00,QB,,,,,8-6-0,82.2,0.0,-7.0,-0.5,-7.0,1.0,0.1,39.0,2.8,2.0,148.0,3.8,10.6,2.0,,109.0,0.0,,2004,,JAX,,,1.0,25,,92.0,40.0,,,250,141.0,114,97.0,11.0,210.1,,,,3.5,0.0,
2005,111.0,6.42,7.3,112.0,,9,,302,1980-01-14,,,175,94.0,,,,,,,,,,2.0,,,8.0,0.0,1.0,0.0,3.0,11,11,6-5,1.7,125.0,,,5,,,,,,,,,45,,,,9.0,Byron Leftwich,103.0,6.19,110.0,,57.9,5.0,15,2123,7.0,LeftBy00,QB,,,,,8-3-0,89.3,,,,,,,31.0,2.8,2.0,67.0,2.2,6.1,2.0,,98.0,0.0,,2005,,JAX,,,,23,,110.0,31.0,,,250,67.0,110,102.0,12.1,193.0,,,,2.2,0.0,
2006,99.0,5.34,5.9,95.0,,5,,183,1980-01-14,,,108,96.0,54.8,,,,,,,,,0.0,,,2.0,0.0,1.0,-5.0,1.0,6,6,6-5,2.7,106.0,,,5,,,,,,,,,51,,,,7.0,Byron Leftwich,97.0,5.79,97.0,,59.0,3.8,7,1159,6.3,LeftBy00,qb,,,,,3-3-0,79.0,,,,,,,25.0,4.2,2.0,41.0,1.6,6.8,2.0,,111.0,0.0,,2006,,JAX,,,,9,,98.0,25.0,,,250,41.0,48,90.0,10.7,193.2,,,,1.6,-5.0,
2007,64.0,2.69,3.6,63.0,,1,,58,1980-01-14,,,32,80.0,7.7,,,,,,,,,,,,6.0,0.0,0.0,-3.0,,3,2,6-5,3.4,93.0,,,2,,,,,,,,,23,,,,7.0,Byron Leftwich,59.0,3.78,69.0,,55.2,1.7,1,279,4.8,LeftBy00,qb,,,,,0-2-0,59.5,,,,,,,6.0,2.0,0.0,7.0,1.2,2.3,0.0,,80.0,0.0,,2007,,ATL,,,,6,,74.0,6.0,,,250,7.0,37,57.0,8.7,93.0,,,,1.2,-3.0,
2008,,8.23,9.5,,,1,,36,1980-01-14,,,21,,97.1,,,,,,,,,,,,0.0,,,,,5,0,6-5,0.0,,,,0,,,,,,,,,50,,,,8.0,Byron Leftwich,,7.21,,,58.3,5.6,2,303,8.4,LeftBy00,,,,,,,104.3,,,,,,,4.0,0.8,1.0,7.0,1.8,1.4,1.0,,,,,2008,,PIT,,,,3,,,4.0,,,250,7.0,22,,14.4,60.6,,,,1.8,,
2009,91.0,4.94,5.0,82.0,,1,,107,1980-01-14,,,58,77.0,54.9,,,,,,,,,,,,2.0,0.0,0.0,-4.0,,3,3,6-5,2.8,102.0,,,3,,,,,,,,,47,,,,4.0,Byron Leftwich,87.0,5.45,85.0,,54.2,3.7,4,594,5.6,LeftBy00,qb,,,,,0-3-0,71.2,,,,,,,6.0,2.0,0.0,6.0,1.0,2.0,0.0,,132.0,0.0,,2009,,TAM,,,,2,,95.0,6.0,,,250,6.0,0,73.0,10.2,198.0,,,,1.0,-4.0,
2010,,3.89,6.0,,,0,,7,1980-01-14,,,5,,56.4,,,,,,,,,,,,,,,,,1,0,6-5,0.0,,,,0,,,,,,,,,14,,,,,Byron Leftwich,,3.89,,,71.4,0.0,0,42,6.0,LeftBy00,,,,,,,86.6,,,,,,,,,,,,,,,,,,2010,,PIT,,,,2,,,,,,250,,7,,8.4,42.0,,,,,,
2012,72.0,3.63,4.3,69.0,,1,,53,1980-01-14,,,25,52.0,28.8,,,,,,,,,0.0,,,1.0,0.0,1.0,0.0,0.0,2,1,6-5,1.9,114.0,,,1,,,,,,,,,37,,,,31.0,Byron Leftwich,66.0,4.43,63.0,,47.2,0.0,0,272,5.1,LeftBy00,qb,,,,,0-1-0,54.9,,,,,,,1.0,0.5,1.0,31.0,31.0,15.5,1.0,,109.0,0.0,,2012,,PIT,,,,3,,53.0,1.0,,,250,31.0,24,59.0,10.9,136.0,,,,31.0,0.0,
Career,,5.51,6.1,,,36,,1605,1980-01-14,,100.0,930,,,,,,,,,,,7.0,,,35.0,0.0,8.0,-12.0,10.0,60,50,6-5,2.6,,,,42,,,,,,,,,84,,,0.0,31.0,Byron Leftwich,,5.94,,,57.9,3.6,58,10532,6.6,LeftBy00,,,,,,24-26-0,78.9,0.0,-7.0,-0.1,-7.0,1.0,0.0,137.0,2.3,10.0,415.0,3.0,6.9,10.0,,,0.0,,Career,,,,,1.0,92,,,138.0,,,250,408.0,452,,11.3,175.5,,,,3.0,-12.0,
