,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1983,131.0,7.39,7.9,123.0,,10,,296,1961-09-15,,,173,106.0,,,,,,,,,,1,,,5,,2,0,2,11,9,6-4,2.0,128.0,,,6,,,,,,,,,85,,,,15,Dan Marino,120.0,6.96,125.0,,58.4,6.8,20,2210,7.5,MariDa00,QB,,,,,7-2-0,96.0,,,,,,,28,2.5,2,45,1.6,4.1,2,,129.0,0.0,,1983,,MIA,,,,10,,127.0,28,,,224,45,80,107.0,12.8,200.9,,,,1.6,0,
1984,150.0,8.94,9.4,141.0,,21,,564,1961-09-15,,,362,127.0,,,,,,,,,,2,,,6,,2,-3,3,16,16,6-4,3.0,115.0,,,17,,,,,,,,,80,,,,10,Dan Marino,153.0,8.6,141.0,,64.2,8.5,48,5084,9.0,MariDa00,QB,,,,,14-2-0,108.9,,,,,,,28,1.8,0,-7,-0.3,-0.4,0,,136.0,0.0,,1984,,MIA,,,,13,,148.0,28,,,224,-7,120,140.0,14.0,317.8,,,,-0.3,-3,
1985,117.0,6.21,6.7,109.0,,15,,567,1961-09-15,,,336,113.0,,,,,,,,,,3,,,9,,2,-4,5,16,16,6-4,3.7,105.0,,,21,,,,,,,,,73,,,,6,Dan Marino,118.0,6.8,113.0,,59.3,5.3,30,4137,7.3,MariDa00,QB,,,,,12-4-0,84.1,,,,,,,26,1.6,0,-24,-0.9,-1.5,0,,131.0,0.0,,1985,,MIA,,,,18,,113.0,26,,,224,-24,157,105.0,12.3,258.6,,,,-0.9,-4,
1986,128.0,6.99,7.4,118.0,,18,,623,1961-09-15,,,378,121.0,,,,,,,,,,1,,,8,,4,-12,2,16,16,6-4,3.7,105.0,,,23,,,,,,,,,85,,,,13,Dan Marino,129.0,7.23,124.0,,60.7,7.1,44,4746,7.6,MariDa00,QB,,,,,8-8-0,92.5,,,,,,,12,0.8,0,-3,-0.3,-0.2,0,,130.0,0.0,,1986,,MIA,,,,17,,132.0,12,,,224,-3,119,114.0,12.6,296.6,,,,-0.3,-12,
1987,125.0,6.85,7.2,115.0,,12,,444,1961-09-15,,,263,114.0,,,,,,,,,,2,,,5,,4,-25,2,12,12,6-4,2.9,114.0,,,13,,,,,,,,,59,,,,5,Dan Marino,122.0,6.99,119.0,,59.2,5.9,26,3245,7.3,MariDa00,QB,,,,,7-5-0,89.2,,,,,,,12,1.0,1,-5,-0.4,-0.4,1,,133.0,0.0,,1987,,MIA,,,,9,,118.0,12,,,224,-5,77,107.0,12.3,270.4,,,,-0.4,-25,
1988,118.0,6.42,6.5,106.0,,14,,606,1961-09-15,,,354,111.0,,,,,,,,,,1,,,10,,8,-31,2,16,16,6-4,3.8,101.0,,,23,,,,,,,,,80,,,,6,Dan Marino,125.0,7.19,108.0,,58.4,4.6,28,4434,7.3,MariDa00,QB,,,,,6-10-0,80.8,,,,,,,20,1.3,0,-17,-0.9,-1.1,0,,139.0,0.0,,1988,,MIA,,,,6,,105.0,20,,,224,-17,31,107.0,12.5,277.1,,,,-0.9,-31,
1989,112.0,6.07,6.3,103.0,,12,,550,1961-09-15,,,308,102.0,,,,,,,,,,2,,,7,,0,-4,4,16,16,6-4,4.0,97.0,,,22,,,,,,,,,78,,,,2,Dan Marino,119.0,6.98,102.0,,56.0,4.4,24,3997,7.3,MariDa00,QB,,,,,8-8-0,76.9,,,,,,,14,0.9,2,-7,-0.5,-0.4,2,,135.0,0.0,,1989,,MIA,,,,10,,104.0,14,,,224,-7,86,105.0,13.0,249.8,,,,-0.5,-4,
1990,113.0,6.22,6.6,106.0,,12,,531,1961-09-15,,,306,105.0,,,,,,,,,,3,,,3,,2,0,3,16,16,6-4,2.1,122.0,,,11,,,,,,,,,69,,,,15,Dan Marino,107.0,6.36,109.0,,57.6,4.0,21,3563,6.7,MariDa00,QB,,,,,12-4-0,82.6,,,,,,,16,1.0,0,29,1.8,1.8,0,,127.0,0.0,,1990,,MIA,,,,15,,100.0,16,,,224,29,90,93.0,11.6,222.7,,,,1.8,0,
1991,117.0,6.43,7.1,114.0,,15,,549,1961-09-15,,,318,103.0,,,,,,,,,,1,,,6,,3,-8,3,16,16,6-4,2.4,118.0,,,13,,,,,,,,,54,,,,11,Dan Marino,112.0,6.58,113.0,,57.9,4.6,25,3970,7.2,MariDa00,QB,,,,,8-8-0,85.8,,,,,,,27,1.7,1,32,1.2,2.0,1,,116.0,0.0,,1991,,MIA,,,,27,,108.0,27,,,224,32,182,107.0,12.5,248.1,,,,1.2,-8,
1992,117.0,6.36,7.0,114.0,,15,,554,1961-09-15,,,330,106.0,,,,,,,,,,6,,,5,,2,-12,6,16,16,6-4,2.9,109.0,,,16,,,,,,,,,62,,,,12,Dan Marino,116.0,6.77,112.0,,59.6,4.3,24,4116,7.4,MariDa00,QB,,,,,11-5-0,85.1,,,,,,,20,1.3,0,66,3.3,4.1,0,,114.0,0.0,,1992,,MIA,,,,28,,108.0,20,,,224,66,173,112.0,12.5,257.3,,,,3.3,-12,
1993,133.0,7.65,8.3,131.0,,5,,150,1961-09-15,,,91,108.0,,,,,,,,,,1,,,4,0.0,2,-13,1,5,5,6-4,2.0,121.0,,,3,,,,,,,,,80,,,,4,Dan Marino,130.0,7.49,125.0,,60.7,5.3,8,1218,8.1,MariDa00,qb,,,,,4-1-0,95.9,,,,,,,9,1.8,1,-4,-0.4,-0.8,1,,115.0,0.0,,1993,,MIA,,,,7,,121.0,9,,,224,-4,42,126.0,13.4,243.6,,,,-0.4,-13,
1994,118.0,6.6,7.0,112.0,,15,,615,1961-09-15,,,385,114.0,,,,,,,,,,4,,,9,0.0,3,-4,4,16,16,6-4,2.8,106.0,,,17,,,,,,,,,64,,,,10,Dan Marino,119.0,6.86,115.0,,62.6,4.9,30,4453,7.2,MariDa00,QB,,,,,10-6-0,89.2,,,,,,,22,1.4,1,-6,-0.3,-0.4,1,,123.0,0.0,,1994,,MIA,,,,18,,113.0,22,,,224,-6,113,110.0,11.6,278.3,,,,-0.3,-4,
