,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1996,,4.66,6.2,,,1,,34,1970-02-08,,,23,,,,,,,,,,,1.0,,,2,0.0,1.0,-2.0,1.0,6,0,6-2,5.9,,,,2,,,,,,,,,22,,,,11,Jamie Martin,,5.45,,,67.6,8.8,3,241,7.1,MartJa00,,,,,,,92.9,,,,,,,7,1.2,0,14,2.0,2.3,0,,,0.0,,1996,,STL,,,,4,,,7,,,205,14,34,,10.5,40.2,,,,2.0,-2.0,
1998,,8.19,8.8,,,1,,45,1970-02-08,,,27,,,,,,,,,,,,,,0,,,,,4,1,6-2,0.0,,,,0,,,,,,,,,67,,,,6,Jamie Martin,,7.34,,,60.0,4.4,2,355,7.9,MartJa00,qb,,,,,0-1-0,99.8,,,,,,,5,1.3,0,8,1.6,2.0,0,,,,,1998,,JAX,,,,2,,,5,,,205,8,10,,13.1,88.8,,,,1.6,,
2000,,9.15,9.2,,,1,,33,1970-02-08,,,22,,,,,,,,,,,,,,0,,,,,5,0,6-2,3.0,,,,1,,,,,,,,,65,,,,2,Jamie Martin,,9.3,,,66.7,6.1,2,307,9.3,MartJa00,,,,,,,104.0,,,,,,,7,1.4,0,-6,-0.9,-1.2,0,,,,,2000,,JAX,,,,0,,,7,,,205,-6,0,,14.0,61.4,,,,-0.9,,
2001,,3.0,7.3,,,0,,3,1970-02-08,,,3,,,,,,,,,,,,,,0,,,,,5,0,6-2,0.0,,,,0,,,,,,,,,10,,,,-1,Jamie Martin,,3.0,,,100.0,0.0,0,22,7.3,MartJa00,,,,,,,97.2,,,,,,,8,1.6,0,-9,-1.1,-1.8,0,,,,,2001,,STL,,,,2,,,8,,,205,-9,7,,7.3,4.4,,,,-1.1,,
2002,81.0,4.04,4.6,78.0,,1,,195,1970-02-08,,,124,116.0,,,,,,,,,,0.0,,,2,0.0,0.0,0.0,0.0,5,2,6-2,5.1,67.0,,,10,,,,,,,,,33,,,,5,Jamie Martin,93.0,5.56,89.0,,63.6,3.6,7,1216,6.2,MartJa00,qb,,,,,0-2-0,71.7,,,,,,,5,1.0,0,6,1.2,1.2,0,,111.0,0.0,,2002,,STL,,,,10,,95.0,5,,,205,6,77,90.0,9.8,243.2,,,,1.2,0.0,
2004,,5.69,6.3,,,0,,30,1970-02-08,,,16,,,,,,,,,,,,,,1,0.0,0.0,0.0,,1,0,6-2,0.0,,,,0,,,,,,,,,26,,,,0,Jamie Martin,,5.69,,,53.3,0.0,0,188,6.3,MartJa00,,,,,,,72.6,,,,,,,0,0.0,0,0,,0.0,0,,,0.0,,2004,,STL,,,,2,,,0,,,205,0,6,,11.8,188.0,,,,,0.0,
2005,97.0,5.23,6.0,96.0,,4,,177,1970-02-08,,,124,134.0,,,,,,,,,,2.0,,,2,0.0,0.0,0.0,3.0,8,5,6-2,4.0,86.0,,,7,,,,,,,,,83,,,,9,Jamie Martin,106.0,6.38,103.0,,70.1,2.8,5,1277,7.2,MartJa00,qb,,,,,4-1-0,83.5,,,,,,,9,1.1,0,6,0.7,0.8,0,,105.0,0.0,,2005,,STL,,,,11,,85.0,9,,,205,6,78,105.0,10.3,159.6,,,,0.7,0.0,
2006,,5.69,7.6,,,1,,24,1970-02-08,,,16,,1.8,,,,,,,,,,,,3,0.0,0.0,0.0,,16,0,6-2,4.2,,,,1,,,,,,,,,65,,,,0,Jamie Martin,,6.55,,,66.7,4.2,1,208,8.7,MartJa00,,,,,,,90.3,,,,,,,0,0.0,0,0,,0.0,0,,,0.0,,2006,,NOR,,,,5,,,0,,,205,0,18,,13.0,13.0,,,,,0.0,
2007,,,,,,0,,0,1970-02-08,,,0,,,,,,,,,,,,,,0,,,,,3,0,6-2,,,,,0,,,,,,,,,0,,,,-1,Jamie Martin,,,,,,,0,0,,MartJa00,,,,,,,,,,,,,,3,1.0,0,-3,-1.0,-1.0,0,,,,,2007,,NOR,,,,0,,,3,,,205,-3,0,,,0.0,,,,-1.0,,
Career,,5.27,6.0,,,9,,541,1970-02-08,,,355,,,,,,,,,,,3.0,,,10,0.0,1.0,-2.0,4.0,53,8,6-2,3.9,,,,21,,,,,,,,,83,,,,11,Jamie Martin,,6.21,,,65.6,3.7,20,3814,7.0,MartJa00,,,,,,4-4-0,82.3,,,,,,,44,0.8,0,16,0.4,0.3,0,,,0.0,,Career,,,,,,36,,,44,,,205,16,230,,10.7,72.0,,,,0.4,-2.0,
