,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2004,62.0,2.28,3.8,71.0,,2,,98,1981-07-12,,,48,65.0,,,,,,,,,,,,,2.0,0.0,1.0,-12.0,,5,4,6-4,7.1,31.0,,,7,,,,,,,,,58,,,,11.0,Luke McCown,74.0,4.42,65.0,,49.0,4.1,4,608,6.2,McCoLu00,qb,,,,,0-4-0,52.6,,,,,,,6.0,1.2,0.0,25.0,4.2,5.0,0.0,,70.0,0.0,,2004,,CLE,,,,12,,100.0,6.0,,,217,25.0,122,89.0,12.7,121.6,,,,4.2,-12.0,
2007,101.0,5.65,7.0,109.0,,4,,139,1981-07-12,,,94,125.0,60.1,,,,,,,,,1.0,,,3.0,0.0,1.0,-2.0,1.0,5,3,6-4,2.2,114.0,,,3,,,,,,,,,60,,,,31.0,Luke McCown,97.0,5.88,113.0,,67.6,3.6,5,1009,7.3,McCoLu00,qb,,,,,1-2-0,91.7,,,,,,,12.0,2.4,0.0,117.0,9.8,23.4,0.0,,77.0,0.0,,2007,,TAM,,,,15,,95.0,12.0,,,217,117.0,104,108.0,10.7,201.8,,,,9.8,-2.0,
2008,,0.0,0.0,,,0,,1,1981-07-12,,,0,,1.0,,,,,,,,,,,,0.0,,,,,2,0,6-4,0.0,,,,0,,,,,,,,,0,,,,12.0,Luke McCown,,0.0,,,0.0,0.0,0,0,0.0,McCoLu00,,,,,,,39.6,,,,,,,3.0,1.5,0.0,15.0,5.0,7.5,0.0,,,,,2008,,TAM,,,,0,,,3.0,,,217,15.0,0,,,0.0,,,,5.0,,
2009,,-1.0,0.7,,,0,,3,1981-07-12,,,1,,3.4,,,,,,,,,,,,,,,,,3,0,6-4,0.0,,,,0,,,,,,,,,2,,,,,Luke McCown,,-1.0,,,33.3,0.0,0,2,0.7,McCoLu00,,,,,,,42.4,,,,,,,,,,,,,,,,,,2009,,JAX,,,,2,,,,,,217,,7,,2.0,0.7,,,,,,
2010,,6.32,6.3,,,0,,19,1981-07-12,,,11,,20.8,,,,,,,,,,,,0.0,,,,,1,0,6-4,0.0,,,,0,,,,,,,,,25,,,,4.0,Luke McCown,,6.32,,,57.9,0.0,0,120,6.3,McCoLu00,,,,,,,76.6,,,,,,,1.0,1.0,0.0,4.0,4.0,4.0,0.0,,,,,2010,,JAX,,,,0,,,1.0,,,217,4.0,0,,10.9,120.0,,,,4.0,,
2011,39.0,1.3,2.1,39.0,,1,,56,1981-07-12,,,30,75.0,21.6,,,,,,,,,,,,2.0,0.0,0.0,0.0,,4,2,6-4,7.1,29.0,,,4,,,,,,,,,26,,,,9.0,Luke McCown,62.0,4.3,41.0,,53.6,0.0,0,296,5.3,McCoLu00,qb,,,,,1-1-0,39.0,,,,,,,7.0,1.8,0.0,23.0,3.3,5.8,0.0,,96.0,0.0,,2011,,JAX,,,,4,,52.0,7.0,,,217,23.0,38,63.0,9.9,74.0,,,,3.3,0.0,
2012,,,,,,0,,0,1981-07-12,,,0,,,,,,,,,,,,,,0.0,,,,,2,0,6-4,,,,,0,,,,,,,,,0,,,,-1.0,Luke McCown,,,,,,,0,0,,McCoLu00,,,,,,,,,,,,,,2.0,1.0,0.0,-3.0,-1.5,-1.5,0.0,,,,,2012,,ATL,,,,0,,,2.0,,,217,-3.0,0,,,0.0,,,,-1.5,,
2013,,0.0,0.0,,,0,,1,1981-07-12,,,0,,,,,,,,,,,,,,0.0,,,,,16,0,6-4,0.0,,,,0,,,,,,,,,0,,,,-1.0,Luke McCown,,0.0,,,0.0,0.0,0,0,0.0,McCoLu00,,,,,,,39.6,,,,,,,3.0,0.2,0.0,-4.0,-1.3,-0.3,0.0,,,,,2013,,NOR,,,,0,,,3.0,,,217,-4.0,0,,,0.0,,,,-1.3,,
2014,,,,,,0,,0,1981-07-12,,,0,,,,,,,,,,,,,,,,,,,16,0,6-4,,,,,0,,,,,,,,,0,,,,,Luke McCown,,,,,,,0,0,,McCoLu00,,,,,,,,,,,,,,,,,,,,,,,,,2014,,NOR,,,,0,,,,,,217,,0,,,0.0,,,,,,
2015,,7.25,7.4,,,1,,39,1981-07-12,,,32,,86.1,,,,,,,,,,,,,,,,,8,1,6-4,2.6,,,,1,,,,,,,,,25,,,,,Luke McCown,,8.38,,,82.1,0.0,0,335,8.6,McCoLu00,qb,,,,,0-1-0,91.8,,,,,,,,,,,,,,,,,,2015,,NOR,,,,1,,,,,,217,,0,,10.5,41.9,,,,,,
