,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1987,50.0,1.34,1.8,44.0,,1.0,,92.0,1965-08-09,,,39.0,59.0,,,,,,,,,,,,,0.0,,,,,3.0,2.0,6-2,9.8,18.0,,,9.0,,,,,,,,,57.0,,,,11.0,Chris Miller,88.0,5.31,38.0,,42.4,1.1,1.0,552.0,6.0,MillCh00,qb,,,,,0-2-0,26.4,,,,,,,4.0,1.3,0.0,21.0,5.3,7.0,0.0,,113.0,,,1987,,ATL,,,,5.0,,68.0,4.0,,,212,21.0,37.0,80.0,14.2,184.0,,,,5.3,,
1988,89.0,4.28,5.2,88.0,,5.0,,351.0,1965-08-09,,,184.0,91.0,,,,,,,,,,1.0,,,2.0,,1.0,0.0,3.0,13.0,13.0,6-2,3.4,107.0,,,12.0,,,,,,,,,68.0,,,,29.0,Chris Miller,83.0,5.14,91.0,,52.4,3.1,11.0,2133.0,6.1,MillCh00,QB,,,,,5-8-0,67.3,,,,,,,31.0,2.4,1.0,138.0,4.5,10.6,1.0,,105.0,0.0,,1988,,ATL,,,,24.0,,89.0,31.0,,,212,138.0,207.0,80.0,11.6,164.1,,,,4.5,0.0,
1989,102.0,5.31,6.3,103.0,,10.0,,526.0,1965-08-09,,,280.0,92.0,,,,,100.0,1.0,1.0,,,3.0,,,13.0,,5.0,-3.0,3.0,15.0,15.0,6-2,1.9,125.0,,,10.0,,,,,,23.0,,,72.0,,,,7.0,Chris Miller,91.0,5.54,101.0,,53.2,3.0,16.0,3459.0,6.6,MillCh00,QB,,,,,3-12-0,76.1,,,,,,,10.0,0.7,0.0,20.0,2.0,1.3,0.0,,99.0,0.0,,1989,,ATL,,,,41.0,,88.0,10.0,1.0,1.0,212,20.0,318.0,91.0,12.4,230.6,,,,2.0,-3.0,
1990,103.0,5.5,6.3,102.0,,9.0,,388.0,1965-08-09,,,222.0,103.0,,,,,,,,,,1.0,,,11.0,,4.0,-9.0,1.0,12.0,12.0,6-2,3.6,100.0,,,14.0,,,,,,,,,75.0,,,,18.0,Chris Miller,103.0,6.2,103.0,,57.2,4.4,17.0,2735.0,7.0,MillCh00,QB,,,,,3-9-0,78.7,,,,,,,26.0,2.2,1.0,99.0,3.8,8.3,1.0,,105.0,0.0,,1990,,ATL,,,,26.0,,105.0,26.0,,,212,99.0,167.0,101.0,12.3,227.9,,,,3.8,-9.0,
1991,113.0,6.12,6.8,110.0,,12.0,,413.0,1965-08-09,,,220.0,86.0,,,,,,,,,,3.0,,,5.0,,0.0,0.0,4.0,15.0,14.0,6-2,4.4,89.0,,,18.0,,,,,,,,,80.0,,,,20.0,Chris Miller,116.0,6.78,106.0,,53.3,6.3,26.0,3103.0,7.5,MillCh00,QB,,,,,9-5-0,80.6,,,,,,,32.0,2.1,0.0,229.0,7.2,15.3,0.0,,112.0,0.0,,1991,,ATL,,,,23.0,,128.0,32.0,,,212,229.0,145.0,113.0,14.1,206.9,,,,7.2,0.0,
1992,114.0,6.19,7.0,114.0,,8.0,,253.0,1965-08-09,,,152.0,108.0,,,,,,,,,,,,,6.0,,1.0,-1.0,,8.0,8.0,6-2,2.4,117.0,,,6.0,,,,,,,,,89.0,,,,16.0,Chris Miller,104.0,6.08,120.0,,60.1,5.9,15.0,1739.0,6.9,MillCh00,QB,,,,,3-5-0,90.7,,,,,,,23.0,2.9,0.0,89.0,3.9,11.1,0.0,,107.0,0.0,,1992,,ATL,,,,16.0,,127.0,23.0,,,212,89.0,103.0,101.0,11.4,217.4,,,,3.9,-1.0,
1993,62.0,2.27,3.5,66.0,,1.0,,66.0,1965-08-09,,,32.0,72.0,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,3.0,2.0,6-2,4.5,83.0,,,3.0,,,,,,,,,32.0,,,,6.0,Chris Miller,63.0,3.82,65.0,,48.5,1.5,1.0,345.0,5.2,MillCh00,qb,,,,,0-2-0,50.4,,,,,,,2.0,0.7,0.0,11.0,5.5,3.7,0.0,,74.0,0.0,,1993,,ATL,,,,8.0,,71.0,2.0,,,212,11.0,62.0,70.0,10.8,115.0,,,,5.5,0.0,
1994,91.0,4.64,5.7,94.0,,6.0,,317.0,1965-08-09,,,173.0,89.0,,,,,,,,,,,,,7.0,0.0,3.0,-5.0,,13.0,10.0,6-2,4.4,80.0,,,14.0,,,,,,,,,54.0,,,,16.0,Chris Miller,92.0,5.54,94.0,,54.6,5.0,16.0,2104.0,6.6,MillCh00,QB,,,,,2-8-0,73.6,,,,,,,20.0,1.5,0.0,100.0,5.0,7.7,0.0,,87.0,0.0,,1994,,RAM,,,,28.0,,116.0,20.0,,,212,100.0,193.0,98.0,12.2,161.8,,,,5.0,-5.0,
1995,91.0,4.73,5.7,94.0,,6.0,,405.0,1965-08-09,,,232.0,98.0,,,,,,,,,,,,,4.0,0.0,2.0,-6.0,,13.0,13.0,6-2,3.7,91.0,,,15.0,,,,,,,,,72.0,,,,13.0,Chris Miller,89.0,5.46,97.0,,57.3,4.4,18.0,2623.0,6.5,MillCh00,QB,,,,,7-6-0,76.2,,,,,,,22.0,1.7,0.0,67.0,3.0,5.2,0.0,,93.0,0.0,,1995,,STL,,,,31.0,,107.0,22.0,,,212,67.0,244.0,94.0,11.3,201.8,,,,3.0,-6.0,
1996,,,,,,,,,1965-08-09,,,,,,,,,,,,,,,,,,,,,,,,6-2,,,,,,,,,,,,,,,,,,,Chris Miller,,,,,,,,,,MillCh00,,,,,,,,,,,,,,,,,,,,,,,,,1996,,,,,,,,,,,,212,,,,,,,,,,,
1999,101.0,5.35,6.4,104.0,,2.0,,81.0,1965-08-09,,,46.0,98.0,,,,,,,,,,,,,2.0,0.0,0.0,-6.0,,3.0,3.0,6-2,1.2,128.0,,,1.0,,,,,,,,,42.0,,,,13.0,Chris Miller,93.0,5.41,102.0,,56.8,2.5,2.0,527.0,6.5,MillCh00,qb,,,,,2-1-0,79.6,,,,,,,8.0,2.7,0.0,40.0,5.0,13.3,0.0,,95.0,0.0,,1999,,DEN,,,,7.0,,84.0,8.0,,,212,40.0,51.0,95.0,11.5,175.7,,,,5.0,-6.0,
Career,,5.05,5.9,,,60.0,,2892.0,1965-08-09,,,1580.0,,,,,,100.0,1.0,1.0,,,8.0,,,52.0,0.0,16.0,-30.0,11.0,98.0,92.0,6-2,3.5,,,,102.0,,,,,,23.0,,,89.0,,,,29.0,Chris Miller,,5.74,,,54.6,4.3,123.0,19320.0,6.7,MillCh00,,,,,,34-58-0,74.9,,,,,,,178.0,1.8,2.0,814.0,4.6,8.3,2.0,,,0.0,,Career,,,,,,209.0,,,178.0,1.0,1.0,212,814.0,1527.0,,12.2,197.1,,,,4.6,-30.0,
