,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1991,,,,,,0,,0,1968-01-02,,,0,,,,,,,,,,,,,,,,,,,2,0,6-6,,,,,0,,,,,,,,,0,,,,,Scott Mitchell,,,,,,,0,0,,MitcSc00,,,,,,,,,,,,,,,,,,,,,,,,,1991,,MIA,,,,0,,,,,,240,,0,,,0.0,,,,,,
1992,,-1.63,-1.6,,,0,,8,1968-01-02,,,2,,,,,,,,,,,,,,1.0,,0.0,-1.0,,16,0,6-6,12.5,,,,1,,,,,,,,,18,,,,8.0,Scott Mitchell,,4.0,,,25.0,0.0,0,32,4.0,MitcSc00,,,,,,,4.2,,,,,,,8.0,0.5,0.0,10.0,1.3,0.6,0.0,,,0.0,,1992,,MIA,,,,0,,,8.0,,,240,10.0,0,,16.0,2.0,,,,1.3,-1.0,
1993,121.0,6.68,7.1,115.0,,7,,233,1968-01-02,,,133,98.0,,,,,,,,,,,,,3.0,0.0,1.0,-4.0,,13,7,6-6,3.4,99.0,,,8,,,,,,,,,77,,,,32.0,Scott Mitchell,124.0,7.18,110.0,,57.1,5.2,12,1773,7.6,MitcSc00,QB,,,,,3-4-0,84.2,,,,,,,21.0,1.6,0.0,89.0,4.2,6.8,0.0,,125.0,0.0,,1993,,MIA,,,,7,,118.0,21.0,,,240,89.0,49,116.0,13.3,136.4,,,,4.2,-4.0,
1994,85.0,4.26,4.7,80.0,,4,,246,1968-01-02,,,119,70.0,,,,,,,,,,1.0,,,8.0,0.0,2.0,-5.0,3.0,9,9,6-6,4.5,79.0,,,11,,,,,,,,,34,,,,7.0,Scott Mitchell,90.0,5.4,78.0,,48.4,4.1,10,1456,5.9,MitcSc00,QB,,,,,4-5-0,62.0,,,,,,,15.0,1.7,1.0,24.0,1.6,2.7,1.0,,111.0,0.0,,1994,,DET,,,,12,,103.0,15.0,,,240,24.0,63,83.0,12.2,161.8,,,,1.6,-5.0,
1995,126.0,6.99,7.6,124.0,,17,,583,1968-01-02,,,346,105.0,,,,,,,,,,1.0,,,8.0,0.0,1.0,0.0,2.0,16,16,6-6,2.1,119.0,,,12,,,,,,,,,91,,,,18.0,Scott Mitchell,121.0,6.83,120.0,,59.3,5.5,32,4338,7.4,MitcSc00,QB,,,,,10-6-0,92.3,,,,,,,36.0,2.3,4.0,104.0,2.9,6.5,4.0,,107.0,0.0,,1995,,DET,,,,31,,120.0,36.0,,,240,104.0,145,117.0,12.5,271.1,,,,2.9,0.0,
1996,94.0,4.85,5.7,94.0,,11,,437,1968-01-02,,,253,102.0,,,,,,,,,,,,,9.0,0.0,5.0,-3.0,,14,14,6-6,3.9,88.0,,,17,,,,,,,,,62,,,,9.0,Scott Mitchell,98.0,5.75,96.0,,57.9,3.9,17,2917,6.7,MitcSc00,QB,,,,,4-10-0,74.9,,,,,,,37.0,2.6,4.0,83.0,2.2,5.9,4.0,,94.0,0.0,,1996,,DET,,,,36,,100.0,37.0,,,240,83.0,199,99.0,11.5,208.4,,,,2.2,-3.0,
1997,102.0,5.39,6.4,103.0,,12,,509,1968-01-02,,,293,103.0,,,,,,,,,,3.0,,,15.0,0.0,4.0,-15.0,3.0,16,16,6-6,2.8,107.0,,,14,,,,,,,,,79,,,,13.0,Scott Mitchell,101.0,5.84,103.0,,57.6,3.7,19,3484,6.8,MitcSc00,QB,,,,,9-7-0,79.6,,,,,,,37.0,2.3,1.0,83.0,2.2,5.2,1.0,,97.0,0.0,,1997,,DET,,,,41,,97.0,37.0,,,240,83.0,271,102.0,11.9,217.8,,,,2.2,-15.0,
1998,84.0,3.91,4.5,81.0,,2,,75,1968-01-02,,,38,75.0,,,,,,,,,,,,,1.0,0.0,0.0,-9.0,,2,2,6-6,4.0,89.0,,,3,,,,,,,,,44,,,,17.0,Scott Mitchell,92.0,5.37,76.0,,50.7,1.3,1,452,6.0,MitcSc00,qb,,,,,0-2-0,57.2,,,,,,,7.0,3.5,0.0,30.0,4.3,15.0,0.0,,112.0,0.0,,1998,,DET,,,,4,,72.0,7.0,,,240,30.0,28,87.0,11.9,226.0,,,,4.3,-9.0,
1999,51.0,0.74,1.4,49.0,,1,,56,1968-01-02,,,24,45.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,2,2,6-6,7.1,48.0,,,4,,,,,,,,,28,,,,1.0,Scott Mitchell,60.0,3.32,47.0,,42.9,1.8,1,236,4.2,MitcSc00,qb,,,,,0-2-0,31.5,,,,,,,1.0,0.5,0.0,1.0,1.0,0.5,0.0,,85.0,0.0,,1999,,BAL,,,,6,,77.0,1.0,,,240,1.0,30,58.0,9.8,118.0,,,,1.0,0.0,
2000,69.0,2.88,3.6,67.0,,-1,,187,1968-01-02,,,89,58.0,,,,,,,,,,1.0,,,4.0,0.0,0.0,-6.0,1.0,8,5,6-6,4.3,85.0,,,8,,,,,,,,,38,,,,12.0,Scott Mitchell,73.0,4.35,62.0,,47.6,1.6,3,966,5.2,MitcSc00,qb,,,,,2-3-0,50.8,,,,,,,10.0,1.3,1.0,61.0,6.1,7.6,1.0,,94.0,0.0,,2000,,CIN,,,,16,,72.0,10.0,,,240,61.0,82,70.0,10.9,120.8,,,,6.1,-6.0,
