,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1991,101.0,5.23,6.5,106.0,,7,,286,1966-07-03,,,156,91.0,,,,,,,,,,1.0,,,11,,2.0,-3.0,1.0,12,8,6-3,2.4,117.0,,,7,,,,,,,,,89,,,,22,Neil O'Donnell,93.0,5.53,103.0,,54.5,3.8,11,1963,6.9,ODonNe00,QB,,,,,2-6-0,78.8,,,,,,,18,1.5,1,82,4.6,6.8,1,,86.0,0.0,,1991,,PIT,,,,30,,100.0,18,,,228,82,214,99.0,12.6,163.6,,,,4.6,-3.0,
1992,108.0,5.68,6.8,112.0,,8,,313,1966-07-03,,,185,105.0,,,,,,,,,,2.0,,,6,,4.0,-20.0,3.0,12,12,6-3,2.9,109.0,,,9,,,,,,,,,51,,,,9,Neil O'Donnell,104.0,6.1,110.0,,59.1,4.2,13,2283,7.3,ODonNe00,QB,,,,,9-3-0,83.6,,,,,,,27,2.3,1,5,0.2,0.4,1,,95.0,0.0,,1992,,PIT,,,,27,,106.0,27,,,228,5,208,109.0,12.3,190.3,,,,0.2,-20.0,
1993,103.0,5.39,6.5,107.0,,11,,486,1966-07-03,,,270,93.0,,,,,,,,,,2.0,,,5,0.0,0.0,-2.0,2.0,16,15,6-3,1.4,129.0,,,7,,,,,,,,,71,,,,27,Neil O'Donnell,93.0,5.46,103.0,,55.6,2.9,14,3208,6.6,ODonNe00,QB,,,,,9-6-0,79.5,,,,,,,26,1.6,0,111,4.3,6.9,0,,94.0,0.0,,1993,,PIT,,,,41,,89.0,26,,,228,111,331,97.0,11.9,200.5,,,,4.3,-2.0,
1994,96.0,5.06,6.2,102.0,,8,,370,1966-07-03,,,212,97.0,,,,,,,,,,3.0,,,4,0.0,1.0,0.0,3.0,14,14,6-3,2.4,111.0,,,9,,,,,,,,,60,,,,18,Neil O'Donnell,90.0,5.41,101.0,,57.3,3.5,13,2443,6.6,ODonNe00,QB,,,,,10-4-0,78.9,,,,,,,31,2.2,1,80,2.6,5.7,1,,84.0,0.0,,1994,,PIT,,,,35,,96.0,31,,,228,80,250,97.0,11.5,174.5,,,,2.6,0.0,
1995,120.0,6.66,7.2,117.0,,10,,416,1966-07-03,,,246,104.0,,,,,,,,,,2.0,,,2,0.0,1.0,0.0,4.0,12,12,6-3,1.7,125.0,,,7,,,,,,,,,71,,,,14,Neil O'Donnell,116.0,6.6,113.0,,59.1,4.1,17,2970,7.1,ODonNe00,QB,,,,,9-3-0,87.7,,,,,,,24,2.0,0,45,1.9,3.8,0,,118.0,0.0,,1995,,PIT,,,,15,,102.0,24,,,228,45,126,110.0,12.1,247.5,,,,1.9,0.0,
1996,78.0,3.81,4.9,82.0,,2,,188,1966-07-03,,,110,104.0,,,,,,,,,,,,,2,0.0,0.0,0.0,,6,6,6-3,3.7,91.0,,,7,,,,,,,,,78,,,,17,Neil O'Donnell,79.0,4.95,86.0,,58.5,2.1,4,1147,6.1,ODonNe00,qb,,,,,0-6-0,67.8,,,,,,,6,1.0,0,30,5.0,5.0,0,,87.0,0.0,,1996,,NYJ,,,,18,,77.0,6,,,228,30,127,85.0,10.4,191.2,,,,5.0,0.0,
1997,98.0,5.01,6.1,101.0,,9,,460,1966-07-03,,,259,98.0,,,,,,,,,,0.0,,,9,0.0,2.0,-1.0,0.0,15,14,6-3,1.5,124.0,,,7,,,,,,,,,70,,,,19,Neil O'Donnell,84.0,4.96,104.0,,56.3,3.7,17,2796,6.1,ODonNe00,QB,,,,,8-6-0,80.3,,,,,,,32,2.1,1,36,1.1,2.4,1,,89.0,0.0,,1997,,NYJ,,,,45,,97.0,32,,,228,36,289,87.0,10.8,186.4,,,,1.1,-1.0,
1998,106.0,5.68,6.8,108.0,,7,,343,1966-07-03,,,212,121.0,,,,,,,,,,1.0,,,6,0.0,1.0,-2.0,1.0,13,11,6-3,1.2,128.0,,,4,,,,,,,,,76,,,,10,Neil O'Donnell,92.0,5.36,115.0,,61.8,4.4,15,2216,6.5,ODonNe00,QB,,,,,2-9-0,90.2,,,,,,,13,1.0,0,34,2.6,2.6,0,,95.0,0.0,,1998,,CIN,,,,30,,104.0,13,,,228,34,217,95.0,10.5,170.5,,,,2.6,-2.0,
1999,112.0,6.34,7.0,109.0,,5,,195,1966-07-03,,,116,108.0,,,,,,,,,,2.0,,,5,0.0,3.0,-14.0,2.0,8,5,6-3,2.6,110.0,,,5,,,,,,,,,54,,,,4,Neil O'Donnell,110.0,6.47,111.0,,59.5,5.1,10,1382,7.1,ODonNe00,qb,,,,,4-1-0,87.6,,,,,,,19,2.4,0,1,0.1,0.1,0,,115.0,0.0,,1999,,TEN,,,,9,,111.0,19,,,228,1,63,105.0,11.9,172.8,,,,0.1,-14.0,
2000,113.0,6.15,6.8,110.0,,2,,64,1966-07-03,,,36,93.0,,,,,,,,,,2.0,,,0,,,,2.0,7,1,6-3,4.7,78.0,,,3,,,,,,,,,67,,,,4,Neil O'Donnell,131.0,7.57,95.0,,56.3,3.1,2,530,8.3,ODonNe00,,,,,,1-0-0,74.3,,,,,,,9,1.3,0,-2,-0.2,-0.3,0,,115.0,,,2000,,TEN,,,,3,,91.0,9,,,228,-2,23,128.0,14.7,75.7,,,,-0.2,,
