,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,74.0,3.2,4.0,72.0,,2,,368,1982-11-14,,,190,73.0,,,,,,,,,,0.0,,,12.0,0.0,3.0,-13.0,1.0,15,15,6-4,3.5,93.0,,,13,,,,,,,,,54,,,,15.0,Kyle Orton,71.0,4.22,73.0,,51.6,2.4,9,1869,5.1,OrtoKy00,QB,,,,,10-5-0,59.7,,,,,,,24.0,1.6,0.0,44.0,1.8,2.9,0.0,,95.0,0.0,,2005,,CHI,,,,30,,81.0,24.0,,,228,44.0,190,69.0,9.8,124.6,,,,1.8,-13.0,
2007,97.0,5.32,5.6,90.0,,1,,80,1982-11-14,,,43,75.0,30.1,,,,,,,,,,,,2.0,0.0,2.0,-5.0,,3,3,6-4,2.5,108.0,,,2,,,,,,,,,55,,,,1.0,Kyle Orton,93.0,5.68,89.0,,53.8,3.8,3,478,6.0,OrtoKy00,qb,,,,,2-1-0,73.9,,,,,,,5.0,1.7,0.0,-1.0,-0.2,-0.3,0.0,,124.0,0.0,,2007,,CHI,,,,2,,97.0,5.0,,,228,-1.0,12,81.0,11.1,159.3,,,,-0.2,-5.0,
2008,97.0,5.35,6.0,95.0,,9,,465,1982-11-14,,,272,91.0,48.5,,,,,,,,,2.0,,,6.0,0.0,1.0,-13.0,2.0,15,15,6-4,2.6,106.0,,,12,,,,,,,,,65,,,,12.0,Kyle Orton,93.0,5.72,96.0,,58.5,3.9,18,2972,6.4,OrtoKy00,QB,,,,,9-6-0,79.6,,,,,,,24.0,1.6,3.0,49.0,2.0,3.3,3.0,,104.0,0.0,,2008,,CHI,,,,27,,98.0,24.0,,,228,49.0,160,90.0,10.9,198.1,,,,2.0,-13.0,
2009,106.0,6.18,6.8,104.0,,11,,541,1982-11-14,,,336,104.0,57.7,,,,,,,,,3.0,,,4.0,0.0,1.0,-2.0,3.0,16,15,6-4,2.2,110.0,,,12,,,,,,,,,87,,,,13.0,Kyle Orton,104.0,6.39,104.0,,62.1,3.9,21,3802,7.0,OrtoKy00,QB,,,,,8-7-0,86.8,,,,,,,24.0,1.5,0.0,71.0,3.0,4.4,0.0,,107.0,0.0,,2009,,DEN,,,,29,,97.0,24.0,,,228,71.0,159,101.0,11.3,237.6,,,,3.0,-2.0,
2010,107.0,6.4,7.3,108.0,,11,,498,1982-11-14,,,293,94.0,53.3,,,,,,,,,1.0,,,4.0,0.0,0.0,-1.0,1.0,13,13,6-4,1.8,116.0,,,9,,,,,,,,,71,,,,14.0,Kyle Orton,103.0,6.41,104.0,,58.8,4.0,20,3653,7.3,OrtoKy00,QB,,,,,3-10-0,87.5,,,,,,,22.0,1.7,0.0,98.0,4.5,7.5,0.0,,98.0,0.0,,2010,,DEN,,,,34,,97.0,22.0,,,228,98.0,243,105.0,12.5,281.0,,,,4.5,-1.0,
2011,,5.65,6.1,,,2,,252,1982-11-14,,,150,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,,9,8,6-4,3.6,,,,9,,,,,,,,,52,,,,13.0,Kyle Orton,,6.5,,,59.5,3.6,9,1758,7.0,OrtoKy00,,,,,,3-5-0,77.8,,,,,,,11.0,1.2,0.0,13.0,1.2,1.4,0.0,,,0.0,,2011,,2TM,,,,10,,,11.0,,,228,13.0,54,,11.7,195.3,,,,1.2,0.0,
,,4.73,5.3,,,0,,155,1982-11-14,,,91,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,5,5,6-4,4.5,,,,7,,,,,,,,,52,,,,13.0,Kyle Orton,,5.67,,,58.7,5.2,8,979,6.3,OrtoKy00,qb,,,,,1-4-0,75.7,,,,,,,5.0,1.0,0.0,17.0,3.4,3.4,0.0,,,0.0,,,,DEN,,,,9,,,5.0,,,228,17.0,49,,10.8,195.8,,,,3.4,0.0,
2012,,10.9,10.9,,,0,,10,1982-11-14,,,9,,99.5,,,,,,,,,,,,,,,,,1,0,6-4,0.0,,,,0,,,,,,,,,21,,,,,Kyle Orton,,8.9,,,90.0,10.0,1,89,8.9,OrtoKy00,,,,,,,137.1,,,,,,,,,,,,,,,,,,2012,,DAL,,,,0,,,,,,228,,0,,9.9,89.0,,,,,,
2013,111.0,6.82,6.8,100.0,,1,,51,1982-11-14,,,33,112.0,51.6,,,,,,,,,,,,0.0,,,,,3,1,6-4,3.9,77.0,,,2,,,,,,,,,39,,,,8.0,Kyle Orton,133.0,7.8,98.0,,64.7,3.9,2,398,7.8,OrtoKy00,qb,,,,,0-1-0,85.3,,,,,,,1.0,0.3,0.0,8.0,8.0,2.7,0.0,,151.0,,,2013,,DAL,,,,0,,95.0,1.0,,,228,8.0,0,116.0,12.1,132.7,,,,8.0,,
2014,95.0,5.69,6.6,94.0,,8,,447,1982-11-14,,,287,108.0,43.9,,,,,,,,,2.0,,,3.0,0.0,1.0,0.0,2.0,12,12,6-4,2.2,105.0,,,10,,,,,,,,,84,,,,10.0,Kyle Orton,90.0,5.88,99.0,,64.2,4.0,18,3018,6.8,OrtoKy00,QB,,,,,7-5-0,87.8,,,,,,,15.0,1.3,1.0,14.0,0.9,1.2,1.0,,96.0,0.0,,2014,,BUF,,,,33,,95.0,15.0,,,228,14.0,198,90.0,10.5,251.5,,,,0.9,0.0,
