,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1993,,4.11,5.1,,,0,,8,1968-01-31,,,4,,,,,,,,,,,,,,2.0,0.0,1.0,-1.0,,7,0,6-3,0.0,,,,0,,,,,,,,,12,,,,0.0,Doug Pederson,,4.11,,,50.0,0.0,0,41,5.1,PedeDo00,,,,,,,65.1,,,,,,,2.0,0.3,0.0,-1.0,-0.5,-0.1,0.0,,,0.0,,1993,,MIA,,,,1,,,2.0,,,220,-1.0,4,,10.3,5.9,,,,-0.5,-1.0,
1996,,,,,,0,,0,1968-01-31,,,0,,,,,,,,,,,,,,,,,,,1,0,6-3,,,,,0,,,,,,,,,0,,,,,Doug Pederson,,,,,,,0,0,,PedeDo00,,,,,,,,,,,,,,,,,,,,,,,,,1996,,GNB,,,,0,,,,,,220,,0,,,0.0,,,,,,
1997,,,,,,0,,0,1968-01-31,,,0,,,,,,,,,,,,,,0.0,,,,,1,0,6-3,,,,,0,,,,,,,,,0,,,,-1.0,Doug Pederson,,,,,,,0,0,,PedeDo00,,,,,,,,,,,,,,3.0,3.0,0.0,-4.0,-1.3,-4.0,0.0,,,,,1997,,GNB,,,,0,,,3.0,,,220,-4.0,0,,,0.0,,,,-1.3,,
1998,,6.44,7.0,,,0,,24,1968-01-31,,,14,,,,,,,,,,,,,,1.0,0.0,0.0,-2.0,,12,0,6-3,0.0,,,,0,,,,,,,,,29,,,,1.0,Doug Pederson,,4.84,,,58.3,8.3,2,128,5.3,PedeDo00,,,,,,,100.7,,,,,,,8.0,0.7,0.0,-4.0,-0.5,-0.3,0.0,,,0.0,,1998,,GNB,,,,1,,,8.0,,,220,-4.0,7,,9.1,10.7,,,,-0.5,-2.0,
1999,83.0,3.65,4.5,82.0,,2,,227,1968-01-31,,,119,81.0,,,,,,,,,,1.0,,,7.0,0.0,0.0,0.0,1.0,16,9,6-3,4.0,91.0,,,9,,,,,,,,,84,,,,19.0,Doug Pederson,82.0,4.72,83.0,,52.4,3.1,7,1276,5.6,PedeDo00,QB,,,,,2-7-0,62.9,,,,,,,20.0,1.3,0.0,33.0,1.7,2.1,0.0,,94.0,0.0,,1999,,PHI,,,,20,,90.0,20.0,,,220,33.0,109,81.0,10.7,79.8,,,,1.7,0.0,
2000,67.0,2.69,3.5,66.0,,-1,,210,1968-01-31,,,117,90.0,,,,,,,,,,,,,4.0,0.0,3.0,0.0,,11,8,6-3,3.8,92.0,,,8,,,,,,,,,67,,,,15.0,Doug Pederson,68.0,4.1,71.0,,55.7,1.0,2,1047,5.0,PedeDo00,qb,,,,,1-7-0,56.6,,,,,,,18.0,1.6,0.0,68.0,3.8,6.2,0.0,,96.0,0.0,,2000,,CLE,,,,17,,65.0,18.0,,,220,68.0,116,67.0,8.9,95.2,,,,3.8,0.0,
2001,,,,,,0,,0,1968-01-31,,,0,,,,,,,,,,,,,,0.0,,,,,16,0,6-3,,,,,0,,,,,,,,,0,,,,-1.0,Doug Pederson,,,,,,,0,0,,PedeDo00,,,,,,,,,,,,,,1.0,0.1,0.0,-1.0,-1.0,-0.1,0.0,,,,,2001,,GNB,,,,0,,,1.0,,,220,-1.0,0,,,0.0,,,,-1.0,,
2002,,5.03,5.5,,,0,,28,1968-01-31,,,19,,,,,,,,,,,,,,0.0,,,,,16,0,6-3,0.0,,,,0,,,,,,,,,20,,,,-1.0,Doug Pederson,,4.34,,,67.9,3.6,1,134,4.8,PedeDo00,,,,,,,90.5,,,,,,,1.0,0.1,0.0,-1.0,-1.0,-0.1,0.0,,,,,2002,,GNB,,,,1,,,1.0,,,220,-1.0,8,,7.1,8.4,,,,-1.0,,
2003,,8.0,8.0,,,0,,2,1968-01-31,,,2,,,,,,,,,,,,,,0.0,,,,,16,0,6-3,0.0,,,,0,,,,,,,,,14,,,,0.0,Doug Pederson,,8.0,,,100.0,0.0,0,16,8.0,PedeDo00,,,,,,,100.0,,,,,,,6.0,0.4,0.0,-5.0,-0.8,-0.3,0.0,,,,,2003,,GNB,,,,0,,,6.0,,,220,-5.0,0,,8.0,1.0,,,,-0.8,,
2004,,1.3,1.3,,,0,,23,1968-01-31,,,11,,,,,,,,,,,,,,0.0,,,,,4,0,6-3,8.7,,,,2,,,,,,,,,24,,,,9.0,Doug Pederson,,5.22,,,47.8,0.0,0,120,5.2,PedeDo00,,,,,,,27.4,,,,,,,2.0,0.5,0.0,15.0,7.5,3.8,0.0,,,,,2004,,GNB,,,,0,,,2.0,,,220,15.0,0,,10.9,30.0,,,,7.5,,
Career,,3.39,4.1,,,1,,522,1968-01-31,,,286,,,,,,,,,,,1.0,,,14.0,0.0,4.0,-3.0,1.0,100,17,6-3,3.6,,,,19,,,,,,,,,84,,,,19.0,Doug Pederson,,4.48,,,54.8,2.3,12,2762,5.3,PedeDo00,,,,,,3-14-0,62.3,,,,,,,61.0,0.6,0.0,100.0,1.6,1.0,0.0,,,0.0,,Career,,,,,,40,,,61.0,,,220,100.0,244,,9.7,27.6,,,,1.6,-3.0,
