,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1997,90.0,4.42,6.2,101.0,,7,,296,1974-12-19,,100.0,157,85.0,,,,,,,,,,2,,,6,0,1,-1,2,10,9,6-2,5.1,74.0,,,15,,,,,,,,,70,,,2.0,31,Jake Plummer,94.0,5.49,95.0,,53.0,5.1,15,2203,7.4,PlumJa00,QB,,,,,3-6-0,73.1,0.0,2.0,0.2,2.0,1.0,0.1,39,3.9,2,216,5.5,21.6,2,,53.0,0.0,,1997,,ARI,,,1.0,52,,111.0,40,,,212,218,291,113.0,14.0,220.3,,,,5.5,-1,
1998,96.0,4.86,5.8,96.0,,12,,547,1974-12-19,,,324,110.0,,,,,,,,,,5,,,12,0,3,-2,7,16,16,6-2,3.7,94.0,,,20,,,,,,,,,57,,,,27,Jake Plummer,100.0,5.8,97.0,,59.2,3.1,17,3737,6.8,PlumJa00,QB,,,,,9-7-0,75.0,,,,,,,51,3.2,4,217,4.3,13.6,4,,94.0,0.0,,1998,,ARI,,,,49,,91.0,51,,,212,217,280,101.0,11.5,233.6,,,,4.3,-2,
1999,71.0,2.6,3.2,68.0,,2,,381,1974-12-19,,,201,83.0,,,,,,,,,,2,,,7,0,5,-4,2,12,11,6-2,6.3,59.0,,,24,,,,,,,,,63,,,,17,Jake Plummer,83.0,4.8,69.0,,52.8,2.4,9,2111,5.5,PlumJa00,QB,,,,,3-8-0,50.8,,,,,,,39,3.3,2,121,3.1,10.1,2,,103.0,0.0,,1999,,ARI,,,,27,,83.0,39,,,212,121,152,80.0,10.5,175.9,,,,3.1,-4,
2000,87.0,4.25,4.8,83.0,,7,,475,1974-12-19,,,270,95.0,,,,,,,,,,1,,,8,0,4,-1,1,14,14,6-2,4.4,82.0,,,21,,,,,,,,,70,,,,24,Jake Plummer,96.0,5.62,84.0,,56.8,2.7,13,2946,6.2,PlumJa00,QB,,,,,3-11-0,66.0,,,,,,,37,2.6,0,183,4.9,13.1,0,,116.0,0.0,,2000,,ARI,,,,22,,86.0,37,,,212,183,151,90.0,10.9,210.4,,,,4.9,-1,
2001,107.0,5.74,6.4,105.0,,12,,525,1974-12-19,,,304,96.0,,,,,,,,,,3,,,8,0,5,-3,4,16,16,6-2,2.7,109.0,,,14,,,,,,,,,68,,,,21,Jake Plummer,107.0,6.23,101.0,,57.9,3.4,18,3653,7.0,PlumJa00,QB,,,,,7-9-0,79.6,,,,,,,35,2.2,0,163,4.7,10.2,0,,109.0,0.0,,2001,,ARI,,,,29,,94.0,35,,,212,163,204,104.0,12.0,228.3,,,,4.7,-3,
2002,79.0,3.86,4.6,77.0,,7,,530,1974-12-19,,100.0,284,80.0,,,,,,,,,,2,,,13,0,4,-10,4,16,16,6-2,3.8,90.0,,,20,,,,,,,,,80,,,2.0,34,Jake Plummer,77.0,4.81,80.0,,53.6,3.4,18,2972,5.6,PlumJa00,QB,,,,,5-11-0,65.7,0.0,2.0,0.1,2.0,1.0,0.1,46,2.9,2,283,6.2,17.7,2,,101.0,0.0,,2002,,ARI,,,1.0,36,,92.0,47,,,212,285,248,75.0,10.5,185.8,,,,6.1,-10,
2003,116.0,6.63,7.2,112.0,,10,,302,1974-12-19,,,189,110.0,,,,,,,,,,1,,,4,0,3,0,1,11,11,6-2,2.3,114.0,,,7,,,,,,,,,60,,,,40,Jake Plummer,113.0,6.67,114.0,,62.6,5.0,15,2182,7.2,PlumJa00,QB,,,,,9-2-0,91.2,,,,,,,37,3.4,3,205,5.5,18.6,3,,113.0,0.0,,2003,,DEN,,,,14,,111.0,37,,,212,205,73,108.0,11.5,198.4,,,,5.5,0,
2004,117.0,6.79,7.2,111.0,,14,,521,1974-12-19,,,303,96.0,,,,,,,,,,1,,,6,0,6,-8,4,16,16,6-2,3.8,88.0,,,20,,,,,,,,,85,,,,22,Jake Plummer,125.0,7.46,105.0,,58.2,5.2,27,4089,7.8,PlumJa00,QB,,,,,10-6-0,84.5,,,,,,,62,3.9,1,202,3.3,12.6,1,,126.0,0.0,,2004,,DEN,,,,15,,113.0,62,,,212,202,90,118.0,13.5,255.6,,,,3.3,-8,
2005,116.0,6.85,7.5,114.0,,15,,456,1974-12-19,,,277,103.0,,,,,,,,,,1,,,4,0,1,-10,2,16,16,6-2,1.5,127.0,,,7,,,,,,,,,72,,,,22,Jake Plummer,112.0,6.76,112.0,,60.7,3.9,18,3366,7.4,PlumJa00,QB,,,,,13-3-0,90.2,,,,,,,46,2.9,2,151,3.3,9.4,2,,113.0,0.0,,2005,,DEN,,,,22,,98.0,46,,,212,151,135,108.0,12.2,210.4,,,,3.3,-10,
2006,89.0,4.53,5.1,86.0,,6,,317,1974-12-19,,,175,83.0,47.0,,,,,,,,,2,,,7,0,1,-5,3,16,11,6-2,4.1,84.0,,,13,,,,,,,,,83,,,,19,Jake Plummer,94.0,5.62,84.0,,55.2,3.5,11,1994,6.3,PlumJa00,QB,,,,,7-4-0,68.8,,,,,,,36,2.3,1,112,3.1,7.0,1,,107.0,0.0,,2006,,DEN,,,,18,,94.0,36,,,212,112,111,89.0,11.4,124.6,,,,3.1,-5,
