,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,49.0,1.11,2.4,53.0,,-3.0,,165.0,1984-05-07,,,84.0,71.0,,,,,,,,,,1.0,,,11.0,0.0,6.0,-10.0,2.0,9.0,7.0,6-4,6.7,40.0,,,11.0,,,,,,,,,47.0,,,,19.0,Alex Smith,60.0,3.56,49.0,,50.9,0.6,1.0,875.0,5.3,SmitAl03,qb,,,,,2-5-0,40.8,,,,,,,30.0,3.3,0.0,103.0,3.4,11.4,0.0,,47.0,0.0,,2005,,SFO,,,,29.0,,60.0,30.0,,,213,103.0,185.0,73.0,10.4,97.2,,,,3.4,-10.0,
2006,92.0,4.8,5.6,92.0,,10.0,,442.0,1984-05-07,,,257.0,93.0,41.4,,,,,,,,,1.0,,,10.0,0.0,2.0,0.0,2.0,16.0,16.0,6-4,3.6,92.0,,,16.0,,,,,,,,,75.0,,,,22.0,Alex Smith,94.0,5.64,92.0,,58.1,3.6,16.0,2890.0,6.5,SmitAl03,QB,,,,,7-9-0,74.8,,,,,,,44.0,2.8,2.0,147.0,3.3,9.2,2.0,,94.0,0.0,,2006,,SFO,,,,35.0,,96.0,44.0,,,213,147.0,202.0,94.0,11.2,180.6,,,,3.3,0.0,
2007,69.0,3.11,4.0,69.0,,0.0,,193.0,1984-05-07,,,94.0,57.0,20.4,,,,,,,,,2.0,,,6.0,0.0,0.0,0.0,2.0,7.0,7.0,6-4,2.1,115.0,,,4.0,,,,,,,,,45.0,,,,25.0,Alex Smith,59.0,3.78,66.0,,48.7,1.0,2.0,914.0,4.7,SmitAl03,qb,,,,,2-5-0,57.2,,,,,,,13.0,1.9,0.0,89.0,6.8,12.7,0.0,,88.0,0.0,,2007,,SFO,,,,17.0,,66.0,13.0,,,213,89.0,121.0,56.0,9.7,130.6,,,,6.8,0.0,
2008,,,,,,,,,1984-05-07,,,,,,,,,,,,,,,,,,,,,,,,6-4,,,,,,,,,,,,,,,,,,,Alex Smith,,,,,,,,,,SmitAl03,,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,213,,,,,,,,,,,
2009,93.0,5.17,5.8,92.0,,7.0,,372.0,1984-05-07,,100.0,225.0,98.0,44.4,,,,,,,,,,,,3.0,0.0,1.0,0.0,,11.0,10.0,6-4,3.2,96.0,,,12.0,,,,,,,,,73.0,,,-6.0,11.0,Alex Smith,90.0,5.62,98.0,,60.5,4.8,18.0,2350.0,6.3,SmitAl03,QB,,,,,5-5-0,81.5,0.0,-6.0,-0.5,-6.0,1.0,0.1,24.0,2.2,0.0,51.0,2.1,4.6,0.0,,103.0,0.0,,2009,,SFO,,,1.0,22.0,,109.0,25.0,,,213,45.0,134.0,88.0,10.4,213.6,,,,1.8,0.0,
2010,98.0,5.61,6.4,98.0,,6.0,,342.0,1984-05-07,,,204.0,97.0,44.4,,,,,,,,,,,,4.0,0.0,0.0,0.0,,11.0,10.0,6-4,2.9,101.0,,,10.0,,,,,,,,,62.0,,,,12.0,Alex Smith,98.0,6.08,98.0,,59.6,4.1,14.0,2370.0,6.9,SmitAl03,QB,,,,,3-7-0,82.1,,,,,,,18.0,1.6,0.0,60.0,3.3,5.5,0.0,,95.0,0.0,,2010,,SFO,,,,25.0,,98.0,18.0,,,213,60.0,140.0,98.0,11.6,215.5,,,,3.3,0.0,
2011,104.0,6.13,7.3,108.0,,13.0,,445.0,1984-05-07,,,273.0,103.0,53.0,,,,,,,,,5.0,,,7.0,0.0,4.0,0.0,5.0,16.0,16.0,6-4,1.1,128.0,,,5.0,,,,,,,,,56.0,,,,14.0,Alex Smith,93.0,5.89,108.0,,61.3,3.8,17.0,3144.0,7.1,SmitAl03,QB,,,,,13-3-0,90.7,,,,,,,52.0,3.3,2.0,179.0,3.4,11.2,2.0,,77.0,0.0,,2011,,SFO,,,,44.0,,95.0,52.0,,,213,179.0,263.0,99.0,11.5,196.5,,,,3.4,0.0,
2012,111.0,6.76,8.1,117.0,,7.0,,218.0,1984-05-07,,,153.0,133.0,65.1,,,,,,,,,,,,3.0,0.0,2.0,0.0,,10.0,9.0,6-4,2.3,108.0,,,5.0,,,,,,,,,55.0,,,,24.0,Alex Smith,107.0,6.61,123.0,,70.2,6.0,13.0,1737.0,8.0,SmitAl03,QB,,,,,6-2-1,104.1,,,,,,,31.0,3.1,0.0,132.0,4.3,13.2,0.0,,71.0,0.0,,2012,,SFO,,,,24.0,,118.0,31.0,,,213,132.0,137.0,117.0,11.4,173.7,,,,4.3,0.0,
2013,99.0,5.94,6.8,100.0,,14.0,,508.0,1984-05-07,,100.0,308.0,96.0,47.1,,,,,,,,,1.0,,,8.0,0.0,1.0,-13.0,1.0,15.0,15.0,6-4,1.4,122.0,,,7.0,,,,,,,,,71.0,,,-4.0,26.0,Alex Smith,87.0,5.67,103.0,,60.6,4.5,23.0,3313.0,6.5,SmitAl03,QB,,,,,11-4-0,89.1,0.0,-4.0,-0.3,-4.0,1.0,0.1,76.0,5.1,1.0,431.0,5.7,28.7,1.0,,94.0,0.0,,2013,,KAN,,,1.0,39.0,,102.0,77.0,,,213,427.0,210.0,85.0,10.8,220.9,,,,5.5,-13.0,
2014,101.0,6.14,7.2,104.0,,13.0,,464.0,1984-05-07,,,303.0,112.0,51.7,,,,,,,,,3.0,,,4.0,0.0,2.0,0.0,3.0,15.0,15.0,6-4,1.3,121.0,,,6.0,,,,,,,,,70.0,,,,25.0,Alex Smith,92.0,5.96,107.0,,65.3,3.9,18.0,3265.0,7.0,SmitAl03,QB,,,,,8-7-0,93.4,,,,,,,49.0,3.3,1.0,254.0,5.2,16.9,1.0,,81.0,0.0,,2014,,KAN,,,,45.0,,93.0,49.0,,,213,254.0,229.0,96.0,10.8,217.7,,,,5.2,0.0,
