,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1995,,10.0,11.4,,,3,,7,1972-10-16,,70.0,5,,,,,,,,,,,,,,0,,,,,10,2,6-1,0.0,,,,0,,,,,,,,,32,,,71.0,22,Kordell Stewart,,7.5,,,71.4,14.3,1,60,8.6,StewKo00,qb,,,,,,136.9,1.0,235.0,23.5,16.8,14.0,1.4,15,1.5,1,86,5.7,8.6,2,,,,,1995,,PIT,,,20.0,1,,,29,,,218,321,0,,12.0,6.0,,,,11.1,,
1996,,-0.82,0.3,,,4,,30,1972-10-16,,40.5,11,,,,,,,,,,,0.0,,,1,0.0,0.0,0.0,2.0,16,2,6-1,6.7,,,,2,,,,,,,,,15,,,48.0,80,Kordell Stewart,,1.91,,,36.7,0.0,0,100,3.3,StewKo00,qb,,,,,,18.8,3.0,293.0,18.3,17.2,17.0,1.1,39,2.4,5,171,4.4,10.7,8,,,0.0,,1996,,PIT,,,42.0,3,,,56,,,218,464,37,,9.1,6.3,,,,8.3,0.0,
1997,104.0,5.48,6.1,100.0,,16,,440,1972-10-16,,,236,88.0,,,,,,,,,,4.0,,,6,0.0,1.0,-1.0,5.0,16,16,6-1,3.9,91.0,,,17,,,,,,,,,69,,,,74,Kordell Stewart,108.0,6.23,97.0,,53.6,4.8,21,3020,6.9,StewKo00,QB,,,,,11-5-0,75.2,,,,,,,88,5.5,11,476,5.4,29.8,11,,116.0,0.0,,1997,,PIT,,,,20,,108.0,88,,,218,476,152,102.0,12.8,188.8,,,,5.4,-1.0,
1998,80.0,3.58,4.3,79.0,,6,,458,1972-10-16,0.0,100.0,252,93.0,,,,,,,,,,0.0,,,3,0.0,2.0,0.0,1.0,16,16,6-1,3.9,90.0,,,18,,,,,,,,,55,35.0,,17.0,56,Kordell Stewart,81.0,4.78,82.0,,55.0,2.4,11,2560,5.6,StewKo00,QB,,,,1.0,7-9-0,62.9,0.0,17.0,1.1,17.0,1.0,0.1,81,5.1,2,406,5.0,25.4,2,,103.0,0.0,,1998,,PIT,,,1.0,33,35.0,83.0,82,,,218,423,211,79.0,10.2,160.0,,35.0,,5.2,0.0,
1999,80.0,3.38,4.1,79.0,,6,,275,1972-10-16,,56.3,160,103.0,,,,,,,,,,0.0,,,4,0.0,1.0,0.0,1.0,16,12,6-1,3.6,95.0,,,10,,,,,,,,,42,,,28.0,21,Kordell Stewart,78.0,4.49,85.0,,58.2,2.2,6,1464,5.3,StewKo00,fl/QB,,,,,5-6-0,64.9,1.0,113.0,7.1,12.6,9.0,0.6,56,3.5,2,258,4.6,16.1,3,,98.0,0.0,,1999,,PIT,,,16.0,22,,81.0,65,,,218,371,131,76.0,9.2,91.5,,,,5.7,0.0,
2000,96.0,4.92,6.0,99.0,,10,,289,1972-10-16,,,151,77.0,,,,,,,,,,1.0,,,8,0.0,3.0,-1.0,1.0,16,11,6-1,2.8,109.0,,,8,,,,,,,,,45,,,,45,Kordell Stewart,91.0,5.36,94.0,,52.2,3.8,11,1860,6.4,StewKo00,qb,,,,,7-4-0,73.6,,,,,,,78,4.9,7,436,5.6,27.3,7,,84.0,0.0,,2000,,PIT,,,,30,,99.0,78,,,218,436,150,94.0,12.3,116.3,,,,5.6,-1.0,
2001,107.0,5.77,6.5,107.0,,15,,442,1972-10-16,,,266,104.0,,,,,,,,,,1.0,,,11,0.0,5.0,-11.0,1.0,16,16,6-1,2.5,112.0,,,11,,,,,,,,,90,,,,48,Kordell Stewart,107.0,6.23,104.0,,60.2,3.2,14,3109,7.0,StewKo00,QB,,,,,13-3-0,81.7,,,,,,,96,6.0,5,537,5.6,33.6,5,,103.0,0.0,,2001,,PIT,,,,29,,90.0,96,,,218,537,175,106.0,11.7,194.3,,,,5.6,-11.0,
2002,105.0,5.54,6.1,100.0,,5,,166,1972-10-16,,0.0,109,123.0,,,,,,,,,,1.0,,,4,0.0,2.0,-10.0,1.0,7,5,6-1,3.6,93.0,,,6,,,,,,,,,64,,,0.0,28,Kordell Stewart,112.0,6.41,106.0,,65.7,3.6,6,1155,7.0,StewKo00,qb,,,,,3-2-0,82.8,0.0,0.0,0.0,,0.0,0.0,43,6.1,2,191,4.4,27.3,2,,117.0,0.0,,2002,,PIT,,,1.0,7,,95.0,43,,,218,191,46,106.0,10.6,165.0,,,,4.4,-10.0,
2003,71.0,3.16,4.1,73.0,,3,,251,1972-10-16,,,126,70.0,,,,,,,,,,2.0,,,7,0.0,3.0,-23.0,2.0,9,7,6-1,4.8,72.0,,,12,,,,,,,,,61,,,,25,Kordell Stewart,76.0,4.61,69.0,,50.2,2.8,7,1418,5.6,StewKo00,qb,,,,,2-5-0,56.8,,,,,,,59,6.6,3,290,4.9,32.2,3,,83.0,0.0,,2003,,CHI,,,,25,,84.0,59,,,218,290,146,79.0,11.3,157.6,,,,4.9,-23.0,
2004,,,,,,0,,0,1972-10-16,0.0,,0,,,,,,,,,,,,,,0,,,,,2,0,6-1,,,,,0,,,,,,,,,0,42.0,,,-1,Kordell Stewart,,,,,,,0,0,,StewKo00,,,,,5.0,,,,,,,,,1,0.5,0,-1,-1.0,-0.5,0,,,,,2004,,BAL,,,,0,177.0,,1,,,218,-1,0,,,0.0,,35.4,,-1.0,,
