,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1987,89.0,4.21,5.5,94.0,,4,,165,1963-11-13,,,71,61.0,,,,,,,,,,,,,7.0,,4.0,-3.0,,6,4,6-5,3.6,104.0,,,6,,,,,,,,,40,,,,17.0,Vinny Testaverde,85.0,5.14,82.0,,43.0,3.0,5,1081,6.6,TestVi00,qb,,,,,0-4-0,60.2,,,,,,,13.0,2.2,1.0,50.0,3.8,8.3,1.0,,85.0,0.0,,1987,,TAM,,,,18,,88.0,13.0,,,235,50.0,140,92.0,15.2,180.2,,,,3.8,-3.0,
1988,75.0,3.27,4.1,74.0,,6,,466,1963-11-13,,,222,76.0,,,,,,,,,,2.0,,,8.0,,2.0,0.0,3.0,15,15,6-5,7.5,50.0,,,35,,,,,,,,,59,,,,24.0,Vinny Testaverde,98.0,5.91,67.0,,47.6,2.8,13,3240,7.0,TestVi00,QB,,,,,5-10-0,48.8,,,,,,,28.0,1.9,1.0,138.0,4.9,9.2,1.0,,103.0,0.0,,1988,,TAM,,,,33,,85.0,28.0,,,235,138.0,292,99.0,14.6,216.0,,,,4.9,0.0,
1989,89.0,4.34,5.3,89.0,,9,,480,1963-11-13,,,258,94.0,,,,,,,,,,2.0,,,4.0,,2.0,0.0,2.0,14,14,6-5,4.6,89.0,,,22,,,,,,,,,78,,,,16.0,Vinny Testaverde,89.0,5.48,92.0,,53.8,4.2,20,3133,6.5,TestVi00,QB,,,,,5-9-0,68.9,,,,,,,25.0,1.8,0.0,139.0,5.6,9.9,0.0,,98.0,0.0,,1989,,TAM,,,,38,,101.0,25.0,,,235,139.0,294,89.0,12.1,223.8,,,,5.6,0.0,
1990,97.0,5.01,6.4,104.0,,9,,365,1963-11-13,,,203,97.0,,,,,,,,,,3.0,,,10.0,,3.0,0.0,3.0,14,13,6-5,4.9,81.0,,,18,,,,,,,,,89,,,3.0,48.0,Vinny Testaverde,103.0,6.17,99.0,,55.6,4.7,17,2818,7.7,TestVi00,QB,,,,,6-7-0,75.6,0.0,3.0,0.2,3.0,1.0,0.1,38.0,2.7,1.0,280.0,7.4,20.0,1.0,,85.0,0.0,,1990,,TAM,,,,38,,108.0,39.0,,,235,283.0,330,116.0,13.9,201.3,,,,7.3,0.0,
1991,78.0,3.45,4.5,79.0,,4,,326,1963-11-13,,,166,78.0,,,,,,,,,,,,,5.0,,3.0,0.0,,13,12,6-5,4.6,85.0,,,15,,,,,,,,,87,,,,19.0,Vinny Testaverde,81.0,4.88,76.0,,50.9,2.5,8,1994,6.1,TestVi00,QB,,,,,3-9-0,59.0,,,,,,,32.0,2.5,0.0,101.0,3.2,7.8,0.0,,85.0,0.0,,1991,,TAM,,,,35,,83.0,32.0,,,235,101.0,234,83.0,12.0,153.4,,,,3.2,0.0,
1992,96.0,4.72,5.9,99.0,,9,,358,1963-11-13,,,206,100.0,,,,,,,,,,1.0,,,4.0,,4.0,-8.0,1.0,14,14,6-5,4.5,86.0,,,16,,,,,,,,,81,,,,18.0,Vinny Testaverde,100.0,5.84,97.0,,57.5,3.9,14,2554,7.1,TestVi00,QB,,,,,5-9-0,74.2,,,,,,,36.0,2.6,2.0,197.0,5.5,14.1,2.0,,89.0,0.0,,1992,,TAM,,,,35,,103.0,36.0,,,235,197.0,259,106.0,12.4,182.4,,,,5.5,-8.0,
1993,116.0,6.36,7.3,117.0,,7,,230,1963-11-13,,,130,96.0,,,,,,,,,,1.0,,,4.0,0.0,0.0,0.0,1.0,10,6,6-5,3.9,92.0,,,9,,,,,,,,,62,,,,14.0,Vinny Testaverde,118.0,6.87,112.0,,56.5,6.1,14,1797,7.8,TestVi00,QB,,,,,3-3-0,85.7,,,,,,,18.0,1.8,0.0,74.0,4.1,7.4,0.0,,99.0,0.0,,1993,,CLE,,,,17,,130.0,18.0,,,235,74.0,101,120.0,13.8,179.7,,,,4.1,0.0,
1994,98.0,5.16,5.5,92.0,,8,,376,1963-11-13,,,207,90.0,,,,,,,,,,0.0,,,3.0,0.0,2.0,2.0,1.0,14,13,6-5,4.8,74.0,,,18,,,,,,,,,81,,,,12.0,Vinny Testaverde,110.0,6.42,90.0,,55.1,4.3,16,2575,6.8,TestVi00,QB,,,,,9-4-0,70.7,,,,,,,21.0,1.5,2.0,37.0,1.8,2.6,2.0,,121.0,0.0,,1994,,CLE,,,,12,,106.0,21.0,,,235,37.0,83,102.0,12.4,183.9,,,,1.8,2.0,
1995,119.0,6.57,7.1,115.0,,9,,392,1963-11-13,,100.0,241,112.0,,,,,,,,,,0.0,,,4.0,0.0,0.0,-5.0,1.0,13,12,6-5,2.6,110.0,,,10,,,,,,,,,70,,,7.0,14.0,Vinny Testaverde,121.0,6.84,114.0,,61.5,4.3,17,2883,7.4,TestVi00,QB,,,,,4-8-0,87.8,0.0,7.0,0.5,7.0,1.0,0.1,18.0,1.4,2.0,62.0,3.4,4.8,2.0,,113.0,0.0,,1995,,CLE,,,1.0,17,,106.0,19.0,,,235,69.0,87,115.0,12.0,221.8,,,,3.6,-5.0,
1996,117.0,6.37,7.3,118.0,,16,,549,1963-11-13,,,325,107.0,,,,,,,,,,2.0,,,9.0,0.0,0.0,-11.0,3.0,16,16,6-5,3.5,95.0,,,19,,,,,,,,,86,,,,22.0,Vinny Testaverde,121.0,6.7,116.0,,59.2,6.0,33,4177,7.6,TestVi00,QB,,,,,4-12-0,88.7,,,,,,,34.0,2.1,2.0,188.0,5.5,11.8,2.0,,105.0,0.0,,1996,,BAL,,,,34,,126.0,34.0,,,235,188.0,270,122.0,12.9,261.1,,,,5.5,-11.0,
