,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1989,83.0,3.93,4.5,79.0,,1,,185,1966-02-07,,,89,75.0,,,,,,,,,,2.0,,,4,,1.0,-6.0,2.0,5,5,6-1,4.3,93.0,,,8,,,,,,,,,49,,,,3,Billy Joe Tolliver,85.0,5.27,77.0,,48.1,2.7,5,1097,5.9,TollBi00,qb,,,,,2-3-0,57.9,,,,,,,7,1.4,0,0,0.0,0.0,0,,116.0,0.0,,1989,,SDG,,,,9,,84.0,7,,,217,0,75,77.0,12.3,219.4,,,,0.0,-6.0,
1990,93.0,4.72,5.3,87.0,,9,,410,1966-02-07,,,216,86.0,,,,,,,,,,,,,6,,2.0,0.0,,15,14,6-1,3.9,96.0,,,16,,,,,,,,,45,,,,14,Billy Joe Tolliver,92.0,5.65,89.0,,52.7,3.9,16,2574,6.3,TollBi00,QB,,,,,6-8-0,68.9,,,,,,,14,0.9,0,22,1.6,1.5,0,,116.0,0.0,,1990,,SDG,,,,19,,99.0,14,,,217,22,150,84.0,11.9,171.6,,,,1.6,0.0,
1991,105.0,5.53,6.4,104.0,,2,,82,1966-02-07,,,40,70.0,,,,,,,,,,1.0,,,3,,0.0,-4.0,1.0,7,2,6-1,2.4,117.0,,,2,,,,,,,,,75,,,,7,Billy Joe Tolliver,95.0,5.64,99.0,,48.8,4.9,4,531,6.5,TollBi00,qb,,,,,1-1-0,75.8,,,,,,,9,1.3,0,6,0.7,0.9,0,,96.0,0.0,,1991,,ATL,,,,7,,112.0,9,,,217,6,29,90.0,13.3,75.9,,,,0.7,-4.0,
1992,84.0,3.84,5.1,88.0,,3,,131,1966-02-07,,,73,94.0,,,,,,,,,,1.0,,,5,,0.0,0.0,1.0,9,5,6-1,3.8,95.0,,,5,,,,,,,,,30,,,,15,Billy Joe Tolliver,80.0,4.69,92.0,,55.7,3.8,5,787,6.0,TollBi00,qb,,,,,2-3-0,70.4,,,,,,,4,0.4,0,15,3.8,1.7,0,,76.0,0.0,,1992,,ATL,,,,16,,102.0,4,,,217,15,98,85.0,10.8,87.4,,,,3.8,0.0,
1993,79.0,3.59,3.9,72.0,,2,,76,1966-02-07,,,39,80.0,,,,,,,,,,1.0,,,0,,,,1.0,7,2,6-1,6.6,52.0,,,5,,,,,,,,,42,,,,24,Billy Joe Tolliver,97.0,5.68,72.0,,51.3,3.9,3,464,6.1,TollBi00,qb,,,,,2-0-0,56.0,,,,,,,7,1.0,0,48,6.9,6.9,0,,119.0,,,1993,,ATL,,,,3,,103.0,7,,,217,48,15,87.0,11.9,66.3,,,,6.9,,
1994,74.0,3.47,4.6,78.0,,1,,240,1966-02-07,,,121,76.0,,,,,,,,,,,,,7,0.0,0.0,-3.0,,10,7,6-1,2.9,103.0,,,7,,,,,,,,,44,,,,10,Billy Joe Tolliver,66.0,4.2,79.0,,50.4,2.5,6,1287,5.4,TollBi00,QB,,,,,0-7-0,62.6,,,,,,,12,1.2,2,37,3.1,3.7,2,,74.0,0.0,,1994,,HOU,,,,27,,84.0,12,,,217,37,166,71.0,10.6,128.7,,,,3.1,-3.0,
1997,,4.83,6.3,,,2,,116,1966-02-07,,,64,,,,,,,,,,,,,,7,0.0,2.0,-1.0,,9,1,6-1,0.9,,,,1,,,,,,,,,47,,,,12,Billy Joe Tolliver,,4.41,,,55.2,4.3,5,677,5.8,TollBi00,,,,,,0-1-0,83.2,,,,,,,9,1.0,0,7,0.8,0.8,0,,,0.0,,1997,,2TM,,,,14,,,9,,,217,7,104,,10.6,75.2,,,,0.8,-1.0,
,,4.93,6.4,,,2,,115,1966-02-07,,,63,,,,,,,,,,,,,,6,0.0,1.0,0.0,,6,1,6-1,0.9,,,,1,,,,,,,,,47,,,,12,Billy Joe Tolliver,,4.5,,,54.8,4.3,5,685,6.0,TollBi00,qb,,,,,0-1-0,83.4,,,,,,,7,1.2,0,8,1.1,1.3,0,,,0.0,,,,ATL,,,,14,,,7,,,217,8,104,,10.9,114.2,,,,1.1,0.0,
1998,113.0,6.28,7.1,111.0,,4,,199,1966-02-07,,,110,94.0,,,,,,,,,,,,,3,0.0,0.0,-13.0,,7,4,6-1,2.0,117.0,,,4,,,,,,,,,82,,,,16,Billy Joe Tolliver,110.0,6.38,107.0,,55.3,4.0,8,1427,7.2,TollBi00,qb,,,,,1-3-0,83.1,,,,,,,11,1.6,0,43,3.9,6.1,0,,111.0,0.0,,1998,,NOR,,,,11,,100.0,11,,,217,43,88,107.0,13.0,203.9,,,,3.9,-13.0,
1999,88.0,4.13,5.0,88.0,,5,,268,1966-02-07,,,139,79.0,,,,,,,,,,,,,4,0.0,2.0,-24.0,,10,7,6-1,6.0,63.0,,,16,,,,,,,,,57,,,,33,Billy Joe Tolliver,105.0,6.15,78.0,,51.9,2.6,7,1916,7.1,TollBi00,qb,,,,,1-6-0,58.9,,,,,,,26,2.6,3,142,5.5,14.2,3,,103.0,0.0,,1999,,NOR,,,,19,,86.0,26,,,217,142,152,106.0,13.8,191.6,,,,5.5,-24.0,
