,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1985,,5.5,5.5,,,0,,6,1962-10-23,,,2,,,,,,,,,,,,,,1,,1.0,-13.0,,6,0,6-1,0.0,,,,0,,,,,,,,,24,,,,3,Mike Tomczak,,5.5,,,33.3,0.0,0,33,5.5,TomcMi00,,,,,,,52.8,,,,,,,2,0.3,0,3,1.5,0.5,0,,,0.0,,1985,,CHI,,,,0,,,2,,,202,3,0,,16.5,5.5,,,,1.5,-13.0,
1986,91.0,4.29,4.6,81.0,,3,,151,1962-10-23,,,74,77.0,,,,,,,,,,2.0,,,2,,0.0,0.0,3.0,13,7,6-1,6.6,65.0,,,10,,,,,,,,,85,,,,16,Mike Tomczak,123.0,6.94,68.0,,49.0,1.3,2,1105,7.3,TomcMi00,QB,,,,,7-0-0,50.2,,,,,,,23,1.8,3,117,5.1,9.0,3,,131.0,0.0,,1986,,CHI,,,,4,,68.0,23,,,202,117,30,107.0,14.9,85.0,,,,5.1,0.0,
1987,91.0,4.34,4.9,85.0,,3,,178,1962-10-23,,,97,99.0,,,,,,,,,,1.0,,,6,,1.0,0.0,2.0,12,6,6-1,5.6,77.0,,,10,,,,,,,,,56,,,,10,Mike Tomczak,106.0,6.21,84.0,,54.5,2.8,5,1220,6.9,TomcMi00,qb,,,,,4-2-0,62.0,,,,,,,18,1.5,1,54,3.0,4.5,1,,115.0,0.0,,1987,,CHI,,,,9,,86.0,18,,,202,54,59,98.0,12.6,101.7,,,,3.0,0.0,
1988,118.0,6.47,6.9,111.0,,5,,170,1962-10-23,,,86,86.0,,,,,,,,,,,,,1,,0.0,-3.0,,14,5,6-1,3.5,105.0,,,6,,,,,,,,,76,,,,17,Mike Tomczak,125.0,7.22,101.0,,50.6,4.1,7,1310,7.7,TomcMi00,qb,,,,,4-1-0,75.4,,,,,,,13,0.9,1,40,3.1,2.9,1,,127.0,0.0,,1988,,CHI,,,,5,,100.0,13,,,202,40,47,115.0,15.2,93.6,,,,3.1,-3.0,
1989,98.0,5.03,5.4,91.0,,7,,306,1962-10-23,,,156,85.0,,,,,,,,,,1.0,,,2,,0.0,0.0,1.0,16,11,6-1,5.2,80.0,,,16,,,,,,,,,79,,,,18,Mike Tomczak,106.0,6.3,91.0,,51.0,5.2,16,2058,6.7,TomcMi00,QB,,,,,5-6-0,68.2,,,,,,,24,1.5,1,71,3.0,4.4,1,,126.0,0.0,,1989,,CHI,,,,10,,114.0,24,,,202,71,68,94.0,13.2,128.6,,,,3.0,0.0,
1990,63.0,2.49,3.4,61.0,,2,,104,1962-10-23,,,39,28.0,,,,,,,,,,,,,2,,0.0,-2.0,,16,2,6-1,4.8,83.0,,,5,,,,,,,,,48,,,5.0,14,Mike Tomczak,58.0,3.92,53.0,,37.5,2.9,3,521,5.0,TomcMi00,qb,,,,,1-1-0,43.8,0.0,5.0,0.3,5.0,1.0,0.1,12,0.8,2,41,3.4,2.6,2,,84.0,0.0,,1990,,CHI,,,,11,,88.0,13,,,202,46,70,55.0,13.4,32.6,,,,3.5,-2.0,
1991,96.0,4.78,5.5,92.0,,5,,238,1962-10-23,,,128,88.0,,,,,,,,,,,,,5,,2.0,-1.0,,12,7,6-1,3.8,97.0,,,9,,,,,,,,,75,,,,48,Mike Tomczak,93.0,5.52,95.0,,53.8,4.6,11,1490,6.3,TomcMi00,qb,,,,,2-5-0,72.6,,,,,,,17,1.4,1,93,5.5,7.8,1,,113.0,0.0,,1991,,GNB,,,,13,,109.0,17,,,202,93,105,86.0,11.6,124.2,,,,5.5,-1.0,
1992,117.0,6.43,7.2,117.0,,7,,211,1962-10-23,,,120,97.0,,,,,,,,,,1.0,,,5,,0.0,-7.0,1.0,12,8,6-1,3.3,103.0,,,7,,,,,,,,,52,,,,16,Mike Tomczak,124.0,7.21,105.0,,56.9,3.3,7,1693,8.0,TomcMi00,QB,,,,,4-4-0,80.1,,,,,,,24,2.0,0,39,1.6,3.3,0,,111.0,0.0,,1992,,CLE,,,,12,,96.0,24,,,202,39,85,123.0,14.1,141.1,,,,1.6,-7.0,
1993,69.0,2.79,3.9,72.0,,1,,54,1962-10-23,,,29,88.0,,,,,,,,,,,,,2,0.0,1.0,0.0,,7,1,6-1,9.3,12.0,,,5,,,,,,,,,39,,,,2,Mike Tomczak,99.0,5.82,66.0,,53.7,3.7,2,398,7.4,TomcMi00,qb,,,,,0-1-0,51.3,,,,,,,5,0.7,0,-4,-0.8,-0.6,0,,70.0,0.0,,1993,,PIT,,,,7,,99.0,5,,,202,-4,43,112.0,13.7,56.9,,,,-0.8,0.0,
1994,148.0,8.77,9.5,148.0,,2,,93,1962-10-23,,,54,100.0,,,,,,,,,,1.0,,,2,0.0,0.0,-1.0,2.0,6,2,6-1,0.0,149.0,,,0,,,,,,,,,84,,,,13,Mike Tomczak,140.0,7.95,130.0,,58.1,4.3,4,804,8.6,TomcMi00,qb,,,,,2-0-0,100.8,,,,,,,4,0.7,0,22,5.5,3.7,0,,114.0,0.0,,1994,,PIT,,,,4,,106.0,4,,,202,22,33,140.0,14.9,134.0,,,,5.5,-1.0,
