,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1988,,5.43,8.2,,,0,,6.0,1966-02-06,,,4.0,,,,,,,,,,,,,,,,,,,2,0,6-4,0.0,,,,0.0,,,,,,,,,22.0,,,,,Tom Tupa,,5.43,,,66.7,0.0,0.0,49.0,8.2,TupaTo20,p,,,,,,91.7,,,,,,,,,,,,,,,,,,1988,,PHO,,,,1.0,,,,,,225,,11.0,,12.3,24.5,,,,,,
1989,79.0,3.61,4.7,81.0,,3,,134.0,1966-02-06,0.0,,65.0,76.0,,,,,,,,,,1.0,,,2.0,,1.0,-6.0,1.0,14,2,6-4,6.7,61.0,,,9.0,,,,,,,,,77.0,51.0,,,13.0,Tom Tupa,99.0,5.94,70.0,,48.5,2.2,3.0,973.0,7.3,TupaTo20,p,,,,6.0,0-2-0,52.2,,,,,,,15.0,1.1,0.0,75.0,5.0,5.4,0.0,,84.0,0.0,,1989,,PHO,,,,14.0,280.0,78.0,15.0,,,225,75.0,94.0,105.0,15.0,69.5,,46.7,,5.0,-6.0,
1991,87.0,4.1,5.0,86.0,,5,,315.0,1966-02-06,,,165.0,83.0,,,,,,,,,,,,,8.0,,2.0,0.0,,11,11,6-4,4.1,92.0,,,13.0,,,,,,,,,62.0,,,,17.0,Tom Tupa,92.0,5.47,80.0,,52.4,1.9,6.0,2053.0,6.5,TupaTo20,QB,,,,,4-7-0,62.0,,,,,,,28.0,2.5,1.0,97.0,3.5,8.8,1.0,,101.0,0.0,,1991,,PHO,,,,24.0,,77.0,28.0,,,225,97.0,197.0,91.0,12.4,186.6,,,,3.5,0.0,
1992,,1.21,2.6,,,0,,33.0,1966-02-06,,,17.0,,,,,,,,,,,,,,1.0,,1.0,-1.0,,3,0,6-4,6.1,,,,2.0,,,,,,,,,19.0,,,,10.0,Tom Tupa,,3.05,,,51.5,3.0,1.0,156.0,4.7,TupaTo20,p,,,,,,49.6,,,,,,,3.0,1.0,0.0,9.0,3.0,3.0,0.0,,,0.0,,1992,,IND,,,,5.0,,,3.0,,,225,9.0,40.0,,9.2,52.0,,,,3.0,-1.0,
1995,,25.0,25.0,,,3,,1.0,1966-02-06,0.0,,1.0,,,,,,,,,,,,,,0.0,,,,,16,0,6-4,0.0,,,,0.0,,,,,,,,,25.0,64.0,,,9.0,Tom Tupa,,25.0,,,100.0,0.0,0.0,25.0,25.0,TupaTo20,P,,,,65.0,,118.7,,,,,,,1.0,0.1,0.0,9.0,9.0,0.6,0.0,,,,,1995,,CLE,,,,0.0,2831.0,,1.0,,,225,9.0,0.0,,25.0,1.6,,43.6,,9.0,,
1996,,0.0,0.0,,,2,,2.0,1966-02-06,0.0,,0.0,,,,,,,,,,,,,,,,,,,16,0,6-4,0.0,,,,0.0,,,,,,,,,0.0,62.0,,,,Tom Tupa,,0.0,,,0.0,0.0,0.0,0.0,0.0,TupaTo20,P,,,,63.0,,39.6,,,,,,,,,,,,,,,,,,1996,,NWE,,,,0.0,2739.0,,,,,225,,0.0,,,0.0,,43.5,,,,
1999,,12.5,18.6,,,4,0.0,11.0,1966-02-06,0.0,,6.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,16,0,6-4,0.0,,,,0.0,,,,,,,,,65.0,69.0,,,4.0,Tom Tupa,,9.64,,,54.5,18.2,2.0,165.0,15.0,TupaTo20,P/QB,,,,81.0,,139.2,,,,,,,2.0,0.1,0.0,8.0,4.0,0.5,0.0,,,0.0,,1999,2.0,NYJ,,,,3.0,3659.0,,2.0,,,225,8.0,30.0,,27.5,10.3,,45.2,,4.0,0.0,
2001,,9.0,9.0,,,1,,1.0,1966-02-06,0.0,,1.0,,,,,,,,,,,,,,,,,,,15,0,6-4,0.0,,,,0.0,,,,,,,,,9.0,59.0,,,,Tom Tupa,,9.0,,,100.0,0.0,0.0,9.0,9.0,TupaTo20,,,,,67.0,,104.2,,,,,,,,,,,,,,,,,,2001,,NYJ,,,,0.0,2575.0,,,,,225,,0.0,,9.0,0.6,,38.4,,,,
2002,,-45.0,-45.0,,,3,0.0,1.0,1966-02-06,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,16,0,6-4,100.0,,,,1.0,,,,,,,,,0.0,71.0,,,-9.0,Tom Tupa,,0.0,,,0.0,0.0,0.0,0.0,0.0,TupaTo20,P,,,,90.0,,0.0,,,,,,,1.0,0.1,0.0,-9.0,-9.0,-0.6,0.0,,,0.0,,2002,2.0,TAM,,,,0.0,3856.0,,1.0,,,225,-9.0,0.0,,,0.0,,42.8,,-9.0,,
Career,,3.94,5.0,,,39,0.0,504.0,1966-02-06,2.0,,259.0,,,,,,,,,,,1.0,,,13.0,0.0,4.0,-14.0,1.0,220,13,6-4,5.0,,,,25.0,,,,,,,,,77.0,73.0,,,17.0,Tom Tupa,,5.55,,,51.4,2.4,12.0,3430.0,6.8,TupaTo20,,,,,873.0,4-9-0,60.5,,,,,,,53.0,0.2,1.0,187.0,3.5,0.9,1.0,,,0.0,,Career,6.0,,,,,47.0,37862.0,,53.0,,,225,187.0,372.0,,13.2,15.6,,43.4,,3.5,-14.0,
1990,,,,,,0,,,1966-02-06,,,,,,,,,,,,,,,,,1.0,,0.0,-7.0,,15,0,6-4,,,,,,,,,,,,,,,,,,0.0,Tom Tupa,,,,,,,,,,TupaTo20,p,,,,,,,,,,,,,1.0,0.1,0.0,0.0,0.0,0.0,0.0,,,0.0,,1990,,PHO,,,,,,,1.0,,,225,0.0,,,,,,,,0.0,-7.0,
1998,,,,,,3,,,1966-02-06,0.0,,,,,,,,,,,,,,,,0.0,,,,,16,0,6-4,,,,,,,,,,,,,,,64.0,,,-1.0,Tom Tupa,,,,,,,,,,TupaTo20,P,,,,74.0,,,,,,,,,2.0,0.1,0.0,-2.0,-1.0,-0.1,0.0,,,,,1998,,NWE,,,,,3294.0,,2.0,,,225,-2.0,,,,,,44.5,,-1.0,,
2000,,,,,,4,0.0,,1966-02-06,0.0,,,,,,,,,,,,,,,,,,,,,16,0,6-4,,,,,,,,,,,,,,,70.0,,,,Tom Tupa,,,,,,,,,,TupaTo20,P/QB,,,,83.0,,,,,,,,,,,,,,,,,,0.0,,2000,1.0,NYJ,,,,,3714.0,,,,,225,,,,,,,44.7,,,,
2004,,,,,,3,0.0,,1966-02-06,1.0,,,,,,,,,,,,,,,,,,,,,16,0,6-4,,,,,,,,,,,,,,,61.0,,,,Tom Tupa,,,,,,,,,,TupaTo20,P,,,,103.0,,,,,,,,,,,,,,,,,,0.0,,2004,1.0,WAS,,,,,4544.0,,,,,225,,,,,,,44.1,,,,
1994,,,,,,2,,,1966-02-06,0.0,,,,,,,,,,,,,,,,,,,,,16,0,6-4,,,,,,,,,,,,,,,65.0,,,,Tom Tupa,,,,,,,,,,TupaTo20,P,,,,80.0,,,,,,,,,,,,,,,,,,,,1994,,CLE,,,,,3211.0,,,,,225,,,,,,,40.1,,,,
1997,,,,,,3,,,1966-02-06,1.0,,,,,,,,,,,,,,,,,,,,,16,0,6-4,,,,,,,,,,,,,,,73.0,,,,Tom Tupa,,,,,,,,,,TupaTo20,P,,,,78.0,,,,,,,,,,,,,,,,,,,,1997,,NWE,,,,,3569.0,,,,,225,,,,,,,45.8,,,,
2003,,,,,,3,,,1966-02-06,0.0,,,,,,,,,,,,,,,,,,,,,16,0,6-4,,,,,,,,,,,,,,,60.0,,,,Tom Tupa,,,,,,,,,,TupaTo20,P,,,,83.0,,,,,,,,,,,,,,,,,,,,2003,,TAM,,,,,3590.0,,,,,225,,,,,,,43.3,,,,
