,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2001,87.0,4.31,6.1,100.0,,4.0,,113.0,1980-06-26,,,50.0,49.0,,,,,,,,,,,,,6.0,0.0,0.0,0.0,,8.0,2.0,6-0,2.7,109.0,,,3.0,,,,,,,,,52.0,,,,35.0,Michael Vick,84.0,5.01,77.0,,44.2,1.8,2.0,785.0,6.9,VickMi00,,,,,,1-1-0,62.7,,,,,,,31.0,3.9,1.0,289.0,9.3,36.1,1.0,,45.0,0.0,,2001,,ATL,,,,21.0,,71.0,31.0,,,210,289.0,113.0,104.0,15.7,98.1,,,,9.3,0.0,
2002,110.0,5.93,6.9,113.0,,17.0,,421.0,1980-06-26,,0.0,231.0,85.0,,,,,,,,,,2.0,,,9.0,0.0,1.0,-3.0,2.0,15.0,15.0,6-0,1.9,122.0,,,8.0,,,,,,,,,74.0,,,16.0,46.0,Michael Vick,103.0,6.01,104.0,,54.9,3.8,16.0,2936.0,7.0,VickMi00,QB,,,,,8-6-1,81.6,0.0,16.0,1.1,,0.0,0.0,113.0,7.5,8.0,777.0,6.9,51.8,8.0,,94.0,0.0,,2002,,ATL,,,1.0,33.0,,98.0,113.0,,,210,793.0,206.0,106.0,12.7,195.7,,,,7.0,-3.0,
2003,86.0,4.28,5.3,88.0,,4.0,,100.0,1980-06-26,,,50.0,69.0,,,,,,,,,,1.0,,,4.0,0.0,1.0,0.0,0.0,5.0,4.0,6-0,3.0,103.0,,,3.0,,,,,,,,,49.0,,,,43.0,Michael Vick,79.0,4.78,85.0,,50.0,4.0,4.0,585.0,5.9,VickMi00,,,,,,3-1-0,69.0,,,,,,,40.0,8.0,1.0,255.0,6.4,51.0,1.0,,88.0,0.0,,2003,,ATL,,,,9.0,,99.0,40.0,,,210,255.0,64.0,82.0,11.7,117.0,,,,6.4,0.0,
2004,94.0,4.87,6.4,102.0,,15.0,,321.0,1980-06-26,,,181.0,90.0,,,,,,,,,,3.0,,,16.0,0.0,4.0,-5.0,4.0,15.0,15.0,6-0,3.7,90.0,,,12.0,,,,,,,,,62.0,,,,58.0,Michael Vick,94.0,5.58,97.0,,56.4,4.4,14.0,2313.0,7.2,VickMi00,QB,,,,,11-4-0,78.1,,,,,,,120.0,8.0,3.0,902.0,7.5,60.1,3.0,,58.0,0.0,,2004,,ATL,,,,46.0,,103.0,120.0,,,210,902.0,266.0,107.0,12.8,154.2,,,,7.5,-5.0,
2005,90.0,4.59,5.5,90.0,,13.0,,387.0,1980-06-26,,100.0,214.0,85.0,,,,,,,,,,0.0,,,11.0,0.0,0.0,-6.0,1.0,15.0,15.0,6-0,3.4,96.0,,,13.0,,,,,,,,,58.0,,,-14.0,32.0,Michael Vick,88.0,5.26,90.0,,55.3,3.9,15.0,2412.0,6.2,VickMi00,QB,,,,,8-7-0,73.1,0.0,-14.0,-0.9,-14.0,1.0,0.1,102.0,6.8,6.0,597.0,5.9,39.8,6.0,,93.0,0.0,,2005,,ATL,,,1.0,33.0,,98.0,103.0,,,210,583.0,201.0,89.0,11.3,160.8,,,,5.7,-6.0,
2006,90.0,4.59,5.9,96.0,,15.0,,388.0,1980-06-26,,100.0,204.0,74.0,49.3,,,,,,,,,0.0,,,9.0,0.0,3.0,-4.0,1.0,16.0,16.0,6-0,3.4,96.0,,,13.0,,,,,,,,,55.0,,,1.0,51.0,Michael Vick,83.0,5.01,93.0,,52.6,5.2,20.0,2474.0,6.4,VickMi00,QB,,,,,7-9-0,75.7,0.0,1.0,0.1,1.0,1.0,0.1,123.0,7.7,2.0,1039.0,8.4,64.9,2.0,,75.0,0.0,,2006,,ATL,,,1.0,45.0,,113.0,124.0,,,210,1040.0,303.0,91.0,12.1,154.6,,,,8.4,-4.0,
2007,,,,,,,,,1980-06-26,,,,,,,,,,,,,,,,,,,,,,,,6-0,,,,,,,,,,,,,,,,,,,Michael Vick,,,,,,,,,,VickMi00,,,,,,,,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,210,,,,,,,,,,,
2008,,,,,,,,,1980-06-26,,,,,,,,,,,,,,,,,,,,,,,,6-0,,,,,,,,,,,,,,,,,,,Michael Vick,,,,,,,,,,VickMi00,,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,210,,,,,,,,,,,
2009,,8.15,8.2,,,1.0,,13.0,1980-06-26,,,6.0,,52.9,,,,,,,,,,,,0.0,,,,,12.0,1.0,6-0,0.0,,,,0.0,,,,,,,,,43.0,,,,34.0,Michael Vick,,6.62,,,46.2,7.7,1.0,86.0,6.6,VickMi00,,,,,,,93.7,,,,,,,24.0,2.0,2.0,95.0,4.0,7.9,2.0,,,,,2009,,PHI,,,,0.0,,,24.0,,,210,95.0,0.0,,14.3,7.2,,,,4.0,,
2010,117.0,7.29,8.5,121.0,,15.0,,372.0,1980-06-26,,,233.0,106.0,65.0,,,,,,,,,4.0,,,11.0,0.0,4.0,-3.0,3.0,12.0,12.0,6-0,1.6,119.0,,,6.0,,,,,,,,,91.0,,,,35.0,Michael Vick,112.0,6.92,118.0,,62.6,5.6,21.0,3018.0,8.1,VickMi00,QB,,,,,8-3-0,100.2,,,,,,,100.0,8.3,9.0,676.0,6.8,56.3,9.0,,83.0,0.0,,2010,,PHI,,,,34.0,,116.0,100.0,,,210,676.0,210.0,118.0,13.0,251.5,,,,6.8,-3.0,
