,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1998,,3.55,3.5,,,0,,11,1971-06-22,,,4,,,,,,,,,,,,,,,,,,,1,0,6-2,0.0,,,,0,,,,,,,,,21,,,,,Kurt Warner,,3.55,,,36.4,0.0,0,39,3.5,WarnKu00,,,,,,,47.2,,,,,,,,,,,,,,,,,,1998,,STL,,,,0,,,,,,214,,0,,9.8,39.0,,,,,,
1999,134.0,8.31,9.2,133.0,,19,,499,1971-06-22,,,325,130.0,,,,,,,,,,,,,9.0,0.0,0.0,-4.0,,16,16,6-2,2.6,109.0,,,13,,,,,,,,,75,,,,22.0,Kurt Warner,132.0,7.86,136.0,,65.1,8.2,41,4353,8.7,WarnKu00,QB,,,,,13-3-0,109.2,,,,,,,23.0,1.4,1.0,92.0,4.0,5.8,1.0,,109.0,0.0,,1999,,STL,,,,29,,143.0,23.0,,,214,92.0,201,132.0,13.4,272.1,,,,4.0,-4.0,
2000,137.0,7.97,8.8,136.0,,15,,347,1971-06-22,,,235,138.0,,,,,,,,,,1.0,,,4.0,0.0,0.0,-8.0,2.0,11,11,6-2,5.2,70.0,,,18,,,,,,,,,85,,,,11.0,Kurt Warner,158.0,9.03,128.0,,67.7,6.1,21,3429,9.9,WarnKu00,QB,,,,,8-3-0,98.3,,,,,,,18.0,1.6,0.0,17.0,0.9,1.5,0.0,,109.0,0.0,,2000,,STL,,,,20,,125.0,18.0,,,214,17.0,115,158.0,14.6,311.7,,,,0.9,-8.0,
2001,130.0,7.41,8.4,132.0,,20,,546,1971-06-22,,,375,133.0,,,,,,,,,,1.0,,,10.0,0.0,2.0,-14.0,2.0,16,16,6-2,4.0,87.0,,,22,,,,,,,,,65,,,,23.0,Kurt Warner,137.0,7.87,132.0,,68.7,6.6,36,4830,8.8,WarnKu00,QB,,,,,14-2-0,101.4,,,,,,,28.0,1.8,0.0,60.0,2.1,3.8,0.0,,101.0,0.0,,2001,,STL,,,,38,,136.0,28.0,,,214,60.0,233,140.0,12.9,301.9,,,,2.1,-14.0,
2002,75.0,3.59,4.5,76.0,,2,,220,1971-06-22,,,144,122.0,,,,,,,,,,,,,8.0,0.0,2.0,-3.0,,7,6,6-2,5.0,69.0,,,11,,,,,,,,,43,,,,9.0,Kurt Warner,90.0,5.4,82.0,,65.5,1.4,3,1431,6.5,WarnKu00,qb,,,,,0-6-0,67.4,,,,,,,8.0,1.1,0.0,33.0,4.1,4.7,0.0,,85.0,0.0,,2002,,STL,,,,21,,62.0,8.0,,,214,33.0,130,96.0,9.9,204.4,,,,4.1,-3.0,
2003,85.0,4.25,5.2,88.0,,1,,65,1971-06-22,,,38,97.0,,,,,,,,,,,,,6.0,0.0,1.0,-9.0,,2,1,6-2,1.5,128.0,,,1,,,,,,,,,37,,,,0.0,Kurt Warner,76.0,4.61,90.0,,58.5,1.5,1,365,5.6,WarnKu00,qb,,,,,0-1-0,72.9,,,,,,,1.0,0.5,0.0,0.0,0.0,0.0,0.0,,87.0,0.0,,2003,,STL,,,,6,,68.0,1.0,,,214,0.0,38,78.0,9.6,182.5,,,,0.0,-9.0,
2004,104.0,5.69,7.2,112.0,,7,,277,1971-06-22,,,174,111.0,,,,,,,,,,0.0,,,12.0,0.0,1.0,-3.0,1.0,10,9,6-2,1.4,130.0,,,4,,,,,,,,,62,,,,13.0,Kurt Warner,99.0,5.88,108.0,,62.8,2.2,6,2054,7.4,WarnKu00,QB,,,,,5-4-0,86.5,,,,,,,13.0,1.3,1.0,30.0,2.3,3.0,1.0,,59.0,0.0,,2004,,NYG,,,,39,,77.0,13.0,,,214,30.0,196,110.0,11.8,205.4,,,,2.3,-3.0,
2005,106.0,5.95,6.7,105.0,,7,,375,1971-06-22,,100.0,242,116.0,,,,,,,,,,2.0,,,9.0,0.0,3.0,-9.0,2.0,10,10,6-2,2.4,113.0,,,9,,,,,,,,,63,,,0.0,13.0,Kurt Warner,107.0,6.42,106.0,,64.5,2.9,11,2713,7.2,WarnKu00,QB,,,,,2-8-0,85.8,0.0,0.0,0.0,0.0,1.0,0.1,13.0,1.3,0.0,28.0,2.2,2.8,0.0,,106.0,0.0,,2005,,ARI,,,1.0,23,,87.0,14.0,,,214,28.0,158,106.0,11.2,271.3,,,,2.0,-9.0,
2006,112.0,6.42,7.6,117.0,,5,,168,1971-06-22,,,108,114.0,42.8,,,,,,,,,,,,10.0,0.0,3.0,-12.0,,6,5,6-2,3.0,102.0,,,5,,,,,,,,,64,,,,9.0,Kurt Warner,118.0,6.99,111.0,,64.3,3.6,6,1377,8.2,WarnKu00,qb,,,,,1-4-0,89.3,,,,,,,13.0,2.2,0.0,3.0,0.2,0.5,0.0,,92.0,0.0,,2006,,ARI,,,,14,,95.0,13.0,,,214,3.0,104,127.0,12.8,229.5,,,,0.2,-12.0,
2007,112.0,6.48,7.1,110.0,,10,,451,1971-06-22,,,281,106.0,75.8,,,,,,,,,1.0,,,12.0,0.0,5.0,-28.0,1.0,14,11,6-2,3.8,88.0,,,17,,,,,,,,,62,,,,9.0,Kurt Warner,116.0,6.96,111.0,,62.3,6.0,27,3417,7.6,WarnKu00,QB,,,,,5-6-0,89.8,,,,,,,17.0,1.2,1.0,15.0,0.9,1.1,1.0,,112.0,0.0,,2007,,ARI,,,,20,,123.0,17.0,,,214,15.0,140,114.0,12.2,244.1,,,,0.9,-28.0,
2008,116.0,7.0,7.6,115.0,,16,,598,1971-06-22,,,401,120.0,69.8,,,,,,,,,1.0,,,11.0,0.0,2.0,-7.0,1.0,16,16,6-2,2.3,109.0,,,14,,,,,,,,,79,,,,11.0,Kurt Warner,116.0,7.05,117.0,,67.1,5.0,30,4583,7.7,WarnKu00,QB,,,,,9-7-0,96.9,,,,,,,18.0,1.1,0.0,-2.0,-0.1,-0.1,0.0,,113.0,0.0,,2008,,ARI,,,,26,,111.0,18.0,,,214,-2.0,182,114.0,11.4,286.4,,,,-0.1,-7.0,
2009,109.0,6.46,7.1,107.0,,11,,513,1971-06-22,,,339,117.0,68.1,,,,,,,,,1.0,,,11.0,0.0,0.0,-2.0,2.0,15,15,6-2,2.7,103.0,,,14,,,,,,,,,45,,,,10.0,Kurt Warner,109.0,6.67,112.0,,66.1,5.1,26,3753,7.3,WarnKu00,QB,,,,,10-5-0,93.2,,,,,,,21.0,1.4,0.0,10.0,0.5,0.7,0.0,,112.0,0.0,,2009,,ARI,,,,24,,112.0,21.0,,,214,10.0,172,106.0,11.1,250.2,,,,0.5,-2.0,
Career,,6.71,7.6,,,113,,4070,1971-06-22,,100.0,2666,,,,,,,,,,,7.0,,,102.0,0.0,19.0,-99.0,11.0,124,116,6-2,3.1,,,,128,,,,,,,,,85,,,0.0,23.0,Kurt Warner,,7.08,,,65.5,5.1,208,32344,7.9,WarnKu00,,,,,,67-49-0,93.7,0.0,0.0,0.0,0.0,1.0,0.0,173.0,1.4,3.0,286.0,1.7,2.3,3.0,,,0.0,,Career,,,,,1.0,260,,,174.0,,,214,286.0,1669,,12.1,260.8,,,,1.6,-99.0,
