,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,69.0,3.03,3.8,70.0,150.0,2,,89,1986-11-14,,,54,100.0,47.9,,,,,,,,,,,,1,0.0,0.0,0.0,,5,2,6-4,3.4,94.0,,,3,0.0,30.0,1.0,,,,,30.0,46,,,,16,Joe Webb,70.0,4.42,74.0,,60.7,0.0,0,477,5.4,WebbJo00,qb,,,,,1-1-0,60.9,,,,,,,18,3.6,2,120,6.7,24.0,2,,84.0,0.0,,2010,,MIN,,,,8,,52.0,18,,,231,120,48,70.0,8.8,95.4,30.0,,,6.7,0.0,
2011,88.0,4.92,5.5,84.0,,2,,63,1986-11-14,,20.0,34,77.0,57.0,,,,,,,,,0.0,,,1,0.0,0.0,0.0,1.0,11,1,6-4,3.2,94.0,,,2,,,,,,,,,36,,,9.0,65,Joe Webb,83.0,5.38,87.0,,54.0,4.8,3,376,6.0,WebbJo00,wr,,,,,,74.6,0.0,9.0,0.8,9.0,1.0,0.1,22,2.0,2,154,7.0,14.0,2,,114.0,0.0,,2011,,MIN,,,5.0,3,,105.0,23,,,231,163,21,77.0,11.1,34.2,,,,7.1,0.0,
2012,,,,,,0,,0,1986-11-14,,,0,,24.4,,,,,,,,,,,,0,,,,,1,0,6-4,,,,,0,,,,,,,,,0,,,,-1,Joe Webb,,,,,,,0,0,,WebbJo00,,,,,,,,,,,,,,1,1.0,0,-1,-1.0,-1.0,0,,,,,2012,,MIN,,,,0,,,1,,,231,-1,0,,,0.0,,,,-1.0,,
2013,,,,,42.0,0,0.0,0,1986-11-14,,45.5,0,,,,,,,,,,,,,,0,,,,,16,1,6-4,,,,,0,0.0,9.0,1.0,,,,,9.0,0,,,15.0,0,Joe Webb,,,,,,,0,0,,WebbJo00,wr,,,,,,,0.0,33.0,2.1,6.6,5.0,0.3,0,0.0,0,0,,0.0,0,,,0.0,,2013,2.0,MIN,,,11.0,0,,,5,,,231,33,0,,,0.0,9.0,,,6.6,,
2014,,,,,69.0,0,0.0,0,1986-11-14,,33.3,0,,,,,,,,,,,,,,0,,,,,7,0,6-4,,,,,0,0.0,53.0,2.0,,,,,27.0,0,,,16.0,0,Joe Webb,,,,,,,0,0,,WebbJo00,,,,,,,,0.0,16.0,2.3,16.0,1.0,0.1,0,0.0,0,0,,0.0,0,,,0.0,,2014,1.0,CAR,,,3.0,0,,,1,,,231,16,0,,,0.0,26.5,,,16.0,,
2015,,,,,191.0,0,1.0,0,1986-11-14,,,0,,0.6,,,,,,,,,,,,0,0.0,1.0,14.0,,16,0,6-4,,,,,0,0.0,178.0,8.0,,,,,27.0,0,,,,-1,Joe Webb,,,,,,,0,0,,WebbJo00,,,,,,,,,,,,,,1,0.1,0,-1,-1.0,-0.1,0,,,0.0,,2015,7.0,CAR,,,,0,,,1,,,231,-1,0,,,0.0,22.3,,,-1.0,14.0,
2016,,,,,134.0,0,0.0,0,1986-11-14,,33.3,0,,,,,,,,,,,,,,0,,,,,14,0,6-4,,,,,0,0.0,131.0,6.0,,,,,37.0,0,,,3.0,0,Joe Webb,,,,,,,0,0,,WebbJo00,,,,,,,,0.0,3.0,0.2,3.0,1.0,0.1,0,0.0,0,0,,0.0,0,,,0.0,,2016,6.0,CAR,,,3.0,0,,,1,,,231,3,0,,,0.0,21.8,,,3.0,,
2017,,-1.43,-1.4,,,0,4.0,7,1986-11-14,,,2,,67.6,,,,,,,,,0.0,,,0,,,,1.0,16,0,6-4,14.3,,,,1,,,,,,,,,34,,,,22,Joe Webb,,5.0,,,28.6,0.0,0,35,5.0,WebbJo00,,,,,,,8.3,,,,,,,8,0.5,0,54,6.8,3.4,0,,,0.0,,2017,4.0,BUF,,,,0,,,8,,,231,54,0,,17.5,2.2,,,,6.8,,
2018,,,,,,0,0.0,0,1986-11-14,,66.7,0,,,,,,,,,,,,,,0,,,,,16,0,6-4,,,,,0,,,,,,,,,0,,,7.0,0,Joe Webb,,,,,,,0,0,,WebbJo00,,,,,,,,0.0,13.0,0.8,6.5,2.0,0.1,0,0.0,0,0,,0.0,0,,,0.0,,2018,3.0,HOU,,,3.0,0,,,2,,,231,13,0,,,0.0,,,,6.5,,
Career,,3.58,4.3,,815.0,4,5.0,159,1986-11-14,,40.0,90,,,,,,,,,,,0.0,,,2,0.0,1.0,14.0,2.0,102,4,6-4,3.8,,,,6,0.0,401.0,18.0,,,,,37.0,46,,,16.0,65,Joe Webb,,4.82,,,56.6,1.9,3,888,5.6,WebbJo00,,,,,,1-1-0,63.1,0.0,74.0,0.7,7.4,10.0,0.1,50,0.5,4,326,6.5,3.2,4,,,0.0,,Career,23.0,,,,25.0,11,,,60,,,231,400,69,,9.9,8.7,22.3,,,6.7,14.0,
