,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1985,75.0,3.0,4.6,81.0,,4,,138,1961-10-11,,,72,88.0,,,,,,,,,,1.0,,,4,,1.0,-1.0,1.0,5,5,6-2,5.8,77.0,,,8,,,,,,,,,59,,,,20,Steve Young,81.0,4.89,77.0,,52.2,2.2,3,935,6.8,YounSt00,qb,,,,,1-4-0,56.9,,,,,,,40,8.0,1,233,5.8,46.6,1,,69.0,0.0,,1985,,TAM,,,,21,,78.0,40,,,215,233,158,94.0,13.0,187.0,,,,5.8,-1.0,
1986,83.0,3.73,5.1,88.0,,9,,363,1961-10-11,,,195,95.0,,,,,,,,,,,,,11,,4.0,-24.0,,14,14,6-2,3.6,106.0,,,13,,,,,,,,,46,,,,31,Steve Young,77.0,4.77,88.0,,53.7,2.2,8,2282,6.3,YounSt00,QB,,,,,2-12-0,65.5,,,,,,,74,5.3,5,425,5.7,30.4,5,,79.0,0.0,,1986,,TAM,,,,47,,78.0,74,,,215,425,326,84.0,11.7,163.0,,,,5.7,-24.0,
1987,173.0,10.35,11.2,168.0,,4,,69,1961-10-11,,,37,96.0,,,,,,,,,,,,,0,,,,,8,3,6-2,0.0,156.0,,,0,,,,,,,,,50,,,,29,Steve Young,134.0,7.57,160.0,,53.6,14.5,10,570,8.3,YounSt00,,,,,,2-1-0,120.8,,,,,,,26,3.3,1,190,7.3,23.8,1,,119.0,,,1987,,SFO,,,,3,,209.0,26,,,215,190,25,127.0,15.4,71.3,,,,7.3,,
1988,94.0,4.65,6.0,99.0,,4,,101,1961-10-11,,,54,95.0,,,,,,,,,,1.0,,,5,,2.0,-10.0,1.0,11,3,6-2,3.0,113.0,,,3,,,,,,,,,73,,,,49,Steve Young,86.0,5.31,97.0,,53.5,3.0,3,680,6.7,YounSt00,,,,,,2-1-0,72.2,,,,,,,27,2.5,1,184,6.8,16.7,1,,73.0,0.0,,1988,,SFO,,,,13,,87.0,27,,,215,184,75,94.0,12.6,61.8,,,,6.8,-10.0,
1989,151.0,9.06,11.2,166.0,,5,,92,1961-10-11,,,64,149.0,,,,,,,,,,0.0,,,2,,1.0,0.0,1.0,10,3,6-2,3.3,107.0,,,3,,,,,,,,,50,,,,22,Steve Young,156.0,8.82,159.0,,69.6,8.7,8,1001,10.9,YounSt00,,,,,,3-0-0,120.8,,,,,,,38,3.8,2,126,3.3,12.6,2,,70.0,0.0,,1989,,SFO,,,,12,,155.0,38,,,215,126,84,182.0,15.6,100.1,,,,3.3,0.0,
1990,111.0,6.09,7.5,119.0,,2,,62,1961-10-11,,,38,119.0,,,,,,,,,,1.0,,,1,,0.0,0.0,1.0,6,1,6-2,0.0,152.0,,,0,,,,,,,,,34,,,,31,Steve Young,90.0,5.51,123.0,,61.3,3.2,2,427,6.9,YounSt00,,,,,,0-1-0,92.6,,,,,,,15,2.5,0,159,10.6,26.5,0,,72.0,0.0,,1990,,SFO,,,,8,,92.0,15,,,215,159,41,97.0,11.2,71.2,,,,10.6,0.0,
1991,140.0,8.28,8.9,140.0,,14,,279,1961-10-11,,,180,127.0,,,,,,,,,,,,,3,,1.0,-6.0,,11,10,6-2,2.9,111.0,,,8,,,,,,,,,97,,,,21,Steve Young,145.0,8.35,135.0,,64.5,6.1,17,2517,9.0,YounSt00,QB,,,,,5-5-0,101.8,,,,,,,66,6.0,4,415,6.3,37.7,4,,117.0,0.0,,1991,,SFO,,,,13,,126.0,66,,,215,415,79,145.0,14.0,228.8,,,,6.3,-6.0,
1992,139.0,8.12,9.1,142.0,,22,,402,1961-10-11,,,268,129.0,,,,,,,,,,3.0,,,9,,3.0,-13.0,5.0,16,16,6-2,1.7,126.0,,,7,,,,,,,,,80,,,,39,Steve Young,132.0,7.69,142.0,,66.7,6.2,25,3465,8.6,YounSt00,QB,,,,,14-2-0,107.0,,,,,,,76,4.8,4,537,7.1,33.6,4,,102.0,0.0,,1992,,SFO,,,,29,,130.0,76,,,215,537,152,134.0,12.9,216.6,,,,7.1,-13.0,
1993,132.0,7.55,8.4,133.0,,23,,462,1961-10-11,,100.0,314,130.0,,,,,,,,,,,,,8,0.0,2.0,-4.0,,16,16,6-2,3.5,99.0,,,16,,,,,,,,,80,,,6.0,35,Steve Young,136.0,7.84,133.0,,68.0,6.3,29,4023,8.7,YounSt00,QB,,,,,10-6-0,101.5,0.0,2.0,0.1,1.0,2.0,0.1,69,4.3,2,407,5.9,25.4,2,,103.0,0.0,,1993,,SFO,,,2.0,31,,133.0,71,,,215,409,160,138.0,12.8,251.4,,,,5.8,-4.0,
1994,141.0,8.24,9.2,143.0,,23,,461,1961-10-11,,,324,138.0,,,,,,,,,,1.0,,,4,0.0,1.0,-4.0,1.0,16,16,6-2,2.2,115.0,,,10,,,,,,,,,69,,,,27,Steve Young,136.0,7.74,147.0,,70.3,7.6,35,3969,8.6,YounSt00,QB,,,,,13-3-0,112.8,,,,,,,58,3.6,7,293,5.1,18.3,7,,100.0,0.0,,1994,,SFO,,,,31,,147.0,58,,,215,293,163,139.0,12.3,248.1,,,,5.1,-4.0,
