,Name,player_id
0,Paul Justin,JustPa00
1,Kurt Warner,WarnKu00
2,Brad Johnson,JohnBr00
3,Rodney Peete,PeetRo00
4,Peyton Manning,MannPe00
5,Steve Walsh,WalsSt00
6,Steve Beuerlein,BeueSt00
7,Steve Bono,BonoSt00
8,Daunte Culpepper,CulpDa00
9,Randall Cunningham,CunnRa00
10,Jeff George,GeorJe00
11,Mark Brunell,BrunMa00
12,Jay Fiedler,FiedJa00
13,Steve McNair,McNaSt00
14,Neil O'Donnell,ODonNe00
15,Elvis Grbac,GrbaEl00
16,Warren Moon,MoonWa00
17,Rich Gannon,GannRi00
18,Bobby Hoying,HoyiBo00
19,Brett Favre,FavrBr00
20,Matt Hasselbeck,HassMa00
21,Troy Aikman,AikmTr00
22,Jason Garrett,GarrJa00
23,Glenn Foley,FoleGl00
24,Jon Kitna,KitnJo00
25,Damon Huard,HuarDa00
26,Dan Marino,MariDa00
27,Tony Banks,BankTo00
28,Stoney Case,CaseSt00
29,Scott Mitchell,MitcSc00
30,Charlie Batch,BatcCh00
31,Gus Frerotte,FrerGu00
32,Doug Flutie,FlutDo00
33,Rob Johnson,JohnRo00
34,Alex Van Pelt,VanPAl00
35,Kordell Stewart,StewKo00
36,Mike Tomczak,TomcMi00
37,Bubby Brister,BrisBu00
38,Brian Griese,GrieBr00
39,Chris Miller,MillCh00
40,Ray Lucas,LucaRa00
41,Rick Mirer,MireRi00
42,Vinny Testaverde,TestVi00
43,Tom Tupa,TupaTo20
44,Kerry Collins,CollKe00
45,Kent Graham,GrahKe00
46,Drew Bledsoe,BledDr00
47,John Friesz,FrieJo00
48,Jeff Garcia,GarcJe00
49,Steve Stenstrom,StenSt00
50,Steve Young,YounSt00
51,Chris Chandler,ChanCh00
52,Tony Graziani,GrazTo00
53,Danny Kanell,KaneDa00
54,Jeff Blake,BlakJe00
55,Scott Covington,CoviSc00
56,Akili Smith,SmitAk00
57,Koy Detmer,DetmKo00
58,Donovan McNabb,McNaDo00
59,Doug Pederson,PedeDo00
60,Shane Matthews,MattSh00
61,Cade McNown,McNoCa00
62,Jim Miller,MillJi00
63,Trent Dilfer,DilfTr00
64,Shaun King,KingSh00
65,Eric Zeier,ZeieEr00
66,Jim Harbaugh,HarbJi00
67,Erik Kramer,KramEr00
68,Moses Moreno,MoreMo00
69,Jake Delhomme,DelhJa00
70,Billy Joe Hobert,HobeBi00
71,Billy Joe Tolliver,TollBi00
72,Danny Wuerffel,WuerDa00
73,Dave Brown,BrowDa00
74,Jake Plummer,PlumJa00
75,Tim Couch,CoucTi00
76,Ty Detmer,DetmTy00
0,Trent Green,GreeTr00
13,Tim Rattay,RattTi00
15,Jamie Martin,MartJa00
19,Aaron Brooks,BrooAa00
29,Chris Redman,RedmCh00
37,Chad Pennington,PennCh01
40,Brock Huard,HuarBr00
42,Matt Lytle,LytlMa00
51,Clint Stoerner,StoeCl00
52,Anthony Wright,WrigAn00
56,Tom Brady,BradTo00
59,Ryan Leaf,LeafRy00
62,Doug Johnson,JohnDo00
73,Spergon Wynn,WynnSp00
3,Mark Rypien,RypiMa00
8,Marques Tuiasosopo,TuiaMa00
13,Tommy Maddox,MaddTo00
18,A.J. Feeley,FeelA.00
27,Billy Volek,VoleBi00
30,Drew Brees,BreeDr00
34,Todd Collins,CollTo00
51,Michael Vick,VickMi00
52,Todd Bouman,BoumTo00
56,Kelly Holcomb,HolcKe00
59,Mike McMahon,McMaMi00
66,Chris Weinke,WeinCh00
67,Quincy Carter,CartQu00
8,Tim Hasselbeck,HassTi00
26,Sage Rosenfels,RoseSa00
45,David Garrard,GarrDa00
49,Marc Bulger,BulgMa00
54,Patrick Ramsey,RamsPa00
56,Joey Harrington,HarrJo00
58,Henry Burris,BurrHe00
64,Josh McCown,McCoJo01
69,Chad Hutchinson,HutcCh00
70,David Carr,CarrDa00
15,Kyle Boller,BollKy00
43,Kurt Kittner,KittKu00
53,Rex Grossman,GrosRe00
57,Byron Leftwich,LeftBy00
5,Philip Rivers,RivePh00
8,J.T. O'Sullivan,OSulJ.00
13,J.P. Losman,LosmJ.00
20,Carson Palmer,PalmCa00
22,Ben Roethlisberger,RoetBe00
23,Brian St. Pierre,St.PBr20
33,Matt Schaub,SchaMa00
35,Brooks Bollinger,BollBr00
47,Eli Manning,MannEl00
51,Chris Simms,SimmCh00
54,Drew Henson,HensDr00
55,Tony Romo,RomoTo00
61,Luke McCown,McCoLu00
67,Ken Dorsey,DorsKe00
68,Cody Pickett,PickCo00
75,Craig Krenzel,KrenCr00
1,Seneca Wallace,WallSe00
8,Cleo Lemon,LemoCl00
19,Matt Cassel,CassMa00
22,Ryan Fitzpatrick,FitzRy00
25,Quinn Gray,GrayQu00
41,Shaun Hill,HillSh00
45,Matt Mauck,MaucMa00
49,Aaron Rodgers,RodgAa00
61,Kyle Orton,OrtoKy00
64,Dan Orlovsky,OrloDa00
72,Alex Smith,SmitAl03
76,Charlie Frye,FryeCh00
2,Charlie Whitehurst,WhitCh02
32,Brodie Croyle,CroyBr00
36,Vince Young,YounVi00
37,Jay Cutler,CutlJa00
39,Kellen Clemens,ClemKe00
42,Matt Leinart,LeinMa00
45,Jason Campbell,CampJa00
56,Tarvaris Jackson,JackTa00
65,Derek Anderson,AndeDe00
68,Bruce Gradkowski,GradBr00
73,Andrew Walter,WaltAn00
18,Brady Quinn,QuinBr00
37,Kevin Kolb,KolbKe00
53,JaMarcus Russell,RussJa00
57,Troy Smith,SmitTr02
60,John Beck,BeckJo00
65,Matt Moore,MoorMa01
67,Brock Berlin,BerlBr00
74,Trent Edwards,EdwaTr01
78,Tyler Thigpen,ThigTy00
16,Matt Ryan,RyanMa00
17,Joe Flacco,FlacJo00
37,Dennis Dixon,DixoDe00
40,Chad Henne,HennCh01
59,Drew Stanton,StanDr00
12,Brian Hoyer,HoyeBr00
14,Curtis Painter,PainCu00
36,Mark Sanchez,SancMa00
40,Caleb Hanie,HaniCa00
58,Matthew Stafford,StafMa00
60,Brian Brohm,BrohBr00
65,Josh Freeman,FreeJo00
66,Josh Johnson,JohnJo05
74,Keith Null,NullKe00
13,Stephen McGee,McGeSt00
35,Rusty Smith,SmitRu01
42,Tim Tebow,TeboTi00
56,Sam Bradford,BradSa00
58,John Skelton,SkelJo00
64,Joe Webb,WebbJo00
69,Colt McCoy,McCoCo00
71,Jimmy Clausen,ClauJi00
7,Cam Newton,NewtCa00
18,T.J. Yates,YateT.00
19,Colin Kaepernick,KaepCo00
22,Tyrod Taylor,TaylTy00
33,Terrelle Pryor,PryoTe00
37,Andy Dalton,DaltAn00
40,Christian Ponder,PondCh00
46,Jake Locker,LockJa00
59,Blaine Gabbert,GabbBl00
2,Brock Osweiler,OsweBr00
4,Kirk Cousins,CousKi00
5,Robert Griffin III,GrifRo01
13,Russell Wilson,WilsRu00
32,Andrew Luck,LuckAn00
43,Thaddeus Lewis,LewiTh01
45,Brandon Weeden,WeedBr00
52,Ryan Tannehill,TannRy00
53,Greg McElroy,McElGr00
57,Nick Foles,FoleNi00
63,Ryan Lindley,LindRy00
5,Matt Barkley,BarkMa00
14,Scott Tolzien,TolzSc00
33,Landry Jones,JoneLa02
43,EJ Manuel,ManuEJ00
44,Jeff Tuel,TuelJe00
47,Matt McGloin,McGlMa01
58,Geno Smith,SmitGe00
60,Mike Glennon,GlenMi00
62,Case Keenum,KeenCa00
7,Jimmy Garoppolo,GaroJi00
27,Tom Savage,SavaTo00
38,Teddy Bridgewater,BridTe00
41,Austin Davis,DaviAu00
55,Johnny Manziel,ManzJo00
56,Connor Shaw,ShawCo00
62,Zach Mettenberger,MettZa00
64,Derek Carr,CarrDe02
67,Blake Bortles,BortBl00
37,Trevor Siemian,SiemTr00
38,Jameis Winston,WinsJa00
57,Marcus Mariota,MariMa01
67,Kellen Moore,MoorKe02
4,Jacoby Brissett,BrisJa00
6,Brett Hundley,HundBr00
8,Dak Prescott,PresDa01
31,Carson Wentz,WentCa00
54,Bryce Petty,PettBr01
57,Kevin Hogan,HogaKe00
58,Cody Kessler,KessCo00
62,Jared Goff,GoffJa00
8,Patrick Mahomes,MahoPa00
28,Taylor Heinicke,HeinTa00
30,Deshaun Watson,WatsDe00
36,C.J. Beathard,BeatC.00
56,Mitchell Trubisky,TrubMi00
63,DeShone Kizer,KizeDe00
23,Lamar Jackson,JackLa00
26,Kyle Allen,AlleKy00
31,Jeff Driskel,DrisJe00
35,Baker Mayfield,MayfBa00
39,Nick Mullens,MullNi00
41,Sam Darnold,DarnSa00
56,Josh Allen,AlleJo02
64,Josh Rosen,RoseJo01
24,Kyler Murray,MurrKy00
27,David Blough,BlouDa00
30,Daniel Jones,JoneDa05
44,Gardner Minshew II,MinsGa00
45,Devlin Hodges,HodgDe00
47,Mason Rudolph,RudoMa00
49,Drew Lock,LockDr00
54,Dwayne Haskins,HaskDw00
