,Name,player_id,position
2,Drew Brees,BreeDr00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
3,Mark Brunell,BrunMa00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', '', 'qb', '', '', '']"
11,Brett Favre,FavrBr00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
22,Tarvaris Jackson,JackTa00,"['', 'QB', 'qb', '', '', 'QB', '', '', '', '']"
47,Aaron Rodgers,RodgAa00,"['', '', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', '']"
47,Philip Rivers,RivePh00,"['', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
58,Billy Volek,VoleBi00,"['', 'qb', 'QB', 'qb', '', '', '', '', '', '']"
21,Jeff Garcia,GarcJe00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'qb', 'QB', 'QB', '', '']"
36,Kevin Kolb,KolbKe00,"['', '', 'qb', 'qb', 'QB', 'qb', '']"
41,Donovan McNabb,McNaDo00,"['qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', '']"
54,Michael Vick,VickMi00,"['', 'QB', '', 'QB', 'QB', 'QB', None, None, '', 'QB', 'QB', 'QB', 'qb', '', '', '']"
8,Tom Brady,BradTo00,"['', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
21,Brian Hoyer,HoyeBr00,"['', '', '', '', '', 'QB', 'QB', 'qb', '', '', '', '', '']"
38,Peyton Manning,MannPe00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', None, 'QB', 'QB', 'QB', 'QB', '']"
43,Curtis Painter,PainCu00,"['', 'QB', '', '']"
11,David Carr,CarrDa00,"['QB', 'QB', 'QB', 'QB', 'QB', 'qb', '', '', '', '', '']"
31,Eli Manning,MannEl00,"['qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', '']"
12,Joe Flacco,FlacJo00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
47,Troy Smith,SmitTr02,"['qb', '', '', 'qb', '']"
24,Rex Grossman,GrosRe00,"['qb', 'qb', 'qb', 'QB', 'qb', 'qb', '', 'qb', 'QB', '', '']"
47,Matt Schaub,SchaMa00,"['', '', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '', '', '', '', '', '']"
31,Matt Leinart,LeinMa00,"['QB', 'qb', '', 'qb', 'qb', '', '']"
45,Brian St. Pierre,St.PBr20,"['', '', 'qb', '']"
52,Kurt Warner,WarnKu00,"['', 'QB', 'QB', 'QB', 'qb', 'qb', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', '']"
1,Charlie Batch,BatcCh00,"['QB', 'QB', 'QB', 'QB', '', 'qb', 'qb', 'qb', '', 'qb', 'qb', 'qb', '']"
8,Dennis Dixon,DixoDe00,"['', 'qb', 'qb', '', '', '']"
44,Ben Roethlisberger,RoetBe00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '', '']"
44,Chris Redman,RedmCh00,"['', '', 'qb', '', 'qb', 'qb', '', '', '']"
47,Matt Ryan,RyanMa00,"['QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
38,Tony Romo,RomoTo00,"['', '', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', 'QB', 'qb', '', '']"
29,Chad Henne,HennCh01,"['', 'QB', 'QB', '', 'qb', 'QB', '', '', '', '', '']"
40,Chad Pennington,PennCh01,"['', '', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', 'qb', 'qb', '']"
51,Tyler Thigpen,ThigTy00,"['', 'QB', '', '', 'qb', '', '', '', '']"
9,Kerry Collins,CollKe00,"['QB', 'QB', 'QB', '', 'qb', 'qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'qb', 'QB', 'qb', 'qb', 'qb', '']"
60,Vince Young,YounVi00,"['QB', 'QB', '', 'QB', 'QB', '', '']"
1,Kellen Clemens,ClemKe00,"['', 'QB', '', 'qb', '', 'qb', '', 'QB', '', '', '', '', '']"
40,Mark Sanchez,SancMa00,"['QB', 'QB', 'QB', 'QB', 'qb', '', '', '', '']"
21,Shaun Hill,HillSh00,"['', 'qb', 'QB', 'qb', 'QB', '', '', '', 'QB', '', 'qb', '']"
43,Alex Smith,SmitAl03,"['qb', 'QB', 'qb', None, 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
13,Jay Cutler,CutlJa00,"['qb', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', '']"
22,Caleb Hanie,HaniCa00,"['', '', 'qb', '', '']"
38,Kyle Orton,OrtoKy00,"['QB', 'qb', 'QB', 'QB', 'QB', '', 'qb', '', 'qb', 'QB', '']"
47,Chris Simms,SimmCh00,"['qb', 'QB', 'qb', '', 'qb', '']"
11,Jake Delhomme,DelhJa00,"['qb', '', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'qb', '', '']"
35,Josh McCown,McCoJo01,"['', 'qb', 'QB', 'qb', '', 'QB', '', '', 'qb', '', 'qb', 'QB', 'QB', 'qb', 'QB', 'qb', '', '']"
37,Matt Moore,MoorMa01,"['qb', 'qb', 'qb', 'QB', '', '', '', '', 'qb', 'qb', 'qb', '']"
39,J.T. O'Sullivan,OSulJ.00,"['', '', 'QB', '', '']"
41,Carson Palmer,PalmCa00,"['QB', 'QB', 'QB', 'QB', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', '']"
9,Matt Cassel,CassMa00,"['', '', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'qb', '', 'qb', 'qb', 'qb', '', '']"
18,Brodie Croyle,CroyBr00,"['', 'qb', 'qb', 'qb', 'qb', '']"
59,Tyler Thigpen,ThigTy00,"['', 'QB', '', '', 'qb', '', '', '', '']"
17,David Garrard,GarrDa00,"['qb', '', 'qb', 'qb', 'QB', 'QB', 'QB', 'QB', 'QB', '']"
36,Luke McCown,McCoLu00,"['qb', 'qb', '', '', '', 'qb', '', '', '', 'qb', '']"
16,Matt Hasselbeck,HassMa00,"['', '', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'QB', 'qb', 'QB', 'QB', 'QB', 'qb', '', '', 'QB', '']"
54,Seneca Wallace,WallSe00,"['', 'qb', '', 'QB', 'qb', 'qb', 'qb', 'qb', '']"
