,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1989,72.0,3.09,3.8,70.0,,2,,293,1966-11-21,,,155,91.0,,,,,,,,,,,,,6,,3,0,,11,11,6-4,6.1,68.0,,,18,,,,,,,,,75,,,-13.0,25,Troy Aikman,82.0,5.11,74.0,,52.9,3.1,9,1749,6.0,AikmTr00,QB,,,,,0-11-0,55.7,0.0,-13.0,-1.2,-13.0,1.0,0.1,38,3.5,0,302,7.9,27.5,0,,106.0,0.0,,1989,,DAL,,,,19,,88.0,39,,,219,289,155,78.0,11.3,159.0,,,,7.4,0,
1990,81.0,3.88,5.0,83.0,,7,,399,1966-11-21,,,226,101.0,,,,,,,,,,4.0,,,5,,1,0,6.0,15,15,6-4,4.5,87.0,,,18,,,,,,,,,61,,,,20,Troy Aikman,84.0,5.23,86.0,,56.6,2.8,11,2579,6.5,AikmTr00,QB,,,,,7-8-0,66.6,,,,,,,40,2.7,1,172,4.3,11.5,1,,88.0,0.0,,1990,,DAL,,,,39,,86.0,40,,,219,172,288,88.0,11.4,171.9,,,,4.3,0,
1991,109.0,5.82,7.0,112.0,,11,,363,1966-11-21,,,237,130.0,,,,,,,,,,2.0,,,4,,0,0,2.0,12,12,6-4,2.8,113.0,,,10,,,,,,,,,61,,,-6.0,9,Troy Aikman,109.0,6.41,114.0,,65.3,3.0,11,2754,7.6,AikmTr00,QB,,,,,7-5-0,86.7,0.0,-6.0,-0.5,-6.0,1.0,0.1,16,1.3,1,5,0.3,0.4,1,,95.0,0.0,,1991,,DAL,,,,32,,90.0,17,,,219,-1,224,114.0,11.6,229.5,,,,-0.1,0,
1992,117.0,6.38,6.9,113.0,,17,,473,1966-11-21,,,302,120.0,,,,,,,,,,1.0,,,4,,1,0,1.0,16,16,6-4,3.0,108.0,,,14,,,,,,,,,87,,,,19,Troy Aikman,115.0,6.72,118.0,,63.8,4.9,23,3445,7.3,AikmTr00,QB,,,,,13-3-0,89.5,,,,,,,37,2.3,1,105,2.8,6.6,1,,115.0,0.0,,1992,,DAL,,,,23,,114.0,37,,,219,105,112,109.0,11.4,215.3,,,,2.8,0,
1993,126.0,7.12,8.0,127.0,,16,,392,1966-11-21,,,271,133.0,,,,,,,,,,0.0,,,7,0.0,3,-3,1.0,14,14,6-4,1.5,128.0,,,6,,,,,,,,,80,,,,20,Troy Aikman,122.0,7.05,129.0,,69.1,3.8,15,3100,7.9,AikmTr00,QB,,,,,11-3-0,99.0,,,,,,,32,2.3,0,125,3.9,8.9,0,,104.0,0.0,,1993,,DAL,,,,26,,101.0,32,,,219,125,153,122.0,11.4,221.4,,,,3.9,-3,
1994,113.0,6.23,6.6,108.0,,12,,361,1966-11-21,,,233,120.0,,,,,,,,,,0.0,,,2,0.0,2,0,1.0,14,14,6-4,3.3,97.0,,,12,,,,,,,,,90,,,,13,Troy Aikman,121.0,6.98,109.0,,64.5,3.6,13,2676,7.4,AikmTr00,QB,,,,,10-4-0,84.9,,,,,,,30,2.1,1,62,2.1,4.4,1,,117.0,0.0,,1994,,DAL,,,,14,,98.0,30,,,219,62,59,114.0,11.5,191.1,,,,2.1,0,
1995,129.0,7.22,7.7,124.0,,15,,432,1966-11-21,,,280,123.0,,,,,,,,,,2.0,,,5,0.0,2,-15,2.0,16,16,6-4,1.6,126.0,,,7,,,,,,,,,50,,,,12,Troy Aikman,130.0,7.21,122.0,,64.8,3.7,16,3304,7.6,AikmTr00,QB,,,,,12-4-0,93.6,,,,,,,21,1.3,1,32,1.5,2.0,1,,120.0,0.0,,1995,,DAL,,,,14,,97.0,21,,,219,32,89,122.0,11.8,206.5,,,,1.5,-15,
1996,104.0,5.51,6.0,99.0,,10,,465,1966-11-21,,,296,124.0,,,,,,,,,,2.0,,,6,0.0,2,-8,2.0,15,15,6-4,2.8,106.0,,,13,,,,,,,,,61,,,,10,Troy Aikman,109.0,6.22,103.0,,63.7,2.6,12,3126,6.7,AikmTr00,QB,,,,,10-5-0,80.1,,,,,,,35,2.3,1,42,1.2,2.8,1,,118.0,0.0,,1996,,DAL,,,,18,,83.0,35,,,219,42,120,100.0,10.6,208.4,,,,1.2,-8,
1997,100.0,5.18,6.0,99.0,,10,,518,1966-11-21,,,292,98.0,,,,,,,,,,3.0,,,6,0.0,0,-5,3.0,16,16,6-4,2.3,113.0,,,12,,,,,,,,,64,,,,13,Troy Aikman,93.0,5.47,101.0,,56.4,3.7,19,3283,6.3,AikmTr00,QB,,,,,6-10-0,78.0,,,,,,,25,1.6,0,79,3.2,4.9,0,,106.0,0.0,,1997,,DAL,,,,33,,97.0,25,,,219,79,269,92.0,11.2,205.2,,,,3.2,-5,
1998,122.0,7.06,7.4,115.0,,9,,315,1966-11-21,,,187,111.0,,,,,,,,,,,,,3,0.0,0,-20,,11,11,6-4,1.6,123.0,,,5,,,,,,,,,67,,,,23,Troy Aikman,122.0,7.01,113.0,,59.4,3.8,12,2330,7.4,AikmTr00,QB,,,,,7-4-0,88.5,,,,,,,22,2.0,2,69,3.1,6.3,2,,126.0,0.0,,1998,,DAL,,,,9,,98.0,22,,,219,69,58,111.0,12.5,211.8,,,,3.1,-20,
