,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1998,105.0,5.61,7.0,110.0,,9,,303,1974-12-05,,,173,102.0,,,,,,,,,,2.0,,,2.0,0.0,0.0,0.0,2.0,12,12,6-2,2.0,117.0,,,6,,,,,,,,,98,,,,17.0,Charlie Batch,99.0,5.75,107.0,,57.1,3.6,11,2178,7.2,BatcCh00,QB,,,,,5-7-0,83.5,,,,,,,41.0,3.4,1.0,229.0,5.6,19.1,1.0,,78.0,0.0,,1998,,DET,,,,37,,96.0,41.0,,,216,229.0,222,108.0,12.6,181.5,,,,5.6,0.0,
1999,104.0,5.61,7.0,110.0,,7,,270,1974-12-05,,,151,95.0,,,,,,,,,,1.0,,,4.0,0.0,0.0,0.0,1.0,11,10,6-2,2.6,110.0,,,7,,,,,,,,,74,,,,12.0,Charlie Batch,99.0,5.79,107.0,,55.9,4.8,13,1957,7.2,BatcCh00,QB,,,,,6-4-0,84.1,,,,,,,28.0,2.5,2.0,87.0,3.1,7.9,2.0,,72.0,0.0,,1999,,DET,,,,36,,108.0,28.0,,,216,87.0,186,108.0,13.0,177.9,,,,3.1,0.0,
2000,85.0,4.04,5.0,87.0,,8,,412,1974-12-05,,,221,82.0,,,,,,,,,,3.0,,,6.0,0.0,1.0,-5.0,5.0,15,15,6-2,3.6,95.0,,,15,,,,,,,,,59,,,,19.0,Charlie Batch,84.0,4.96,85.0,,53.6,3.2,13,2489,6.0,BatcCh00,QB,,,,,8-7-0,67.3,,,,,,,44.0,2.9,2.0,199.0,4.5,13.3,2.0,,87.0,0.0,,2000,,DET,,,,41,,91.0,44.0,,,216,199.0,242,87.0,11.3,165.9,,,,4.5,-5.0,
2001,98.0,5.12,6.1,101.0,,6,,341,1974-12-05,,,198,97.0,,,,,,,,,,,,,6.0,0.0,2.0,0.0,,10,9,6-2,3.5,95.0,,,12,,,,,,,,,76,,,,12.0,Charlie Batch,101.0,5.93,97.0,,58.1,3.5,12,2392,7.0,BatcCh00,QB,,,,,0-9-0,76.8,,,,,,,12.0,1.2,0.0,45.0,3.8,4.5,0.0,,87.0,0.0,,2001,,DET,,,,33,,95.0,12.0,,,216,45.0,176,105.0,12.1,239.2,,,,3.8,0.0,
2003,,5.0,5.9,,,0,,8,1974-12-05,,,4,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,4,0,6-2,0.0,,,,0,,,,,,,,,22,,,,11.0,Charlie Batch,,5.0,,,50.0,0.0,0,47,5.9,BatcCh00,,,,,,,68.2,,,,,,,1.0,0.3,0.0,11.0,11.0,2.8,0.0,,,0.0,,2003,,PIT,,,,1,,,1.0,,,216,11.0,2,,11.8,11.8,,,,11.0,0.0,
2005,,5.81,6.1,,,1,,36,1974-12-05,,,23,,,,,,,,,,,1.0,,,1.0,0.0,2.0,0.0,1.0,4,2,6-2,2.8,,,,1,,,,,,,,,43,,,,15.0,Charlie Batch,,6.49,,,63.9,2.8,1,246,6.8,BatcCh00,qb,,,,,2-0-0,81.5,,,,,,,11.0,2.8,1.0,30.0,2.7,7.5,1.0,,,0.0,,2005,,PIT,,,,1,,,11.0,,,216,30.0,6,,10.7,61.5,,,,2.7,0.0,
2006,161.0,10.34,11.2,164.0,,2,,53,1974-12-05,,,31,94.0,86.4,,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,1.0,8,1,6-2,0.0,150.0,,,0,,,,,,,,,87,,,,12.0,Charlie Batch,145.0,8.55,153.0,,58.5,9.4,5,492,9.3,BatcCh00,qb,,,,,1-0-0,121.0,,,,,,,13.0,1.6,0.0,15.0,1.2,1.9,0.0,,107.0,0.0,,2006,,PIT,,,,3,,162.0,13.0,,,216,15.0,13,149.0,15.9,61.5,,,,1.2,0.0,
2007,,3.81,3.8,,,1,,36,1974-12-05,,,17,,38.4,,,,,,,,,,,,0.0,,,,,7,1,6-2,8.3,,,,3,,,,,,,,,59,,,,0.0,Charlie Batch,,6.44,,,47.2,5.6,2,232,6.4,BatcCh00,qb,,,,,0-1-0,52.1,,,,,,,12.0,1.7,0.0,-7.0,-0.6,-1.0,0.0,,,,,2007,,PIT,,,,0,,,12.0,,,216,-7.0,0,,13.6,33.1,,,,-0.6,,
2009,,8.5,8.5,,,0,,2,1974-12-05,,,1,,97.4,,,,,,,,,,,,,,,,,1,0,6-2,0.0,,,,0,,,,,,,,,17,,,,,Charlie Batch,,8.5,,,50.0,0.0,0,17,8.5,BatcCh00,,,,,,,79.2,,,,,,,,,,,,,,,,,,2009,,PIT,,,,0,,,,,,216,,0,,17.0,17.0,,,,,,
2010,,4.83,5.7,,,1,,49,1974-12-05,,,29,,51.8,,,,,,,,,,,,2.0,0.0,1.0,-3.0,,3,2,6-2,6.1,,,,3,,,,,,,,,46,,,,24.0,Charlie Batch,,6.25,,,59.2,6.1,3,352,7.2,BatcCh00,qb,,,,,1-1-0,76.2,,,,,,,7.0,2.3,0.0,30.0,4.3,10.0,0.0,,,0.0,,2010,,PIT,,,,4,,,7.0,,,216,30.0,21,,12.1,117.3,,,,4.3,-3.0,
