,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1988,96.0,4.82,6.3,102.0,,6.0,,238.0,1965-03-07,,,105.0,65.0,,,,,,,,,,0.0,,,6.0,,2.0,-1.0,1.0,10.0,8.0,6-3,2.9,113.0,,,7.0,,,,,,,,,57.0,,,21.0,20.0,Steve Beuerlein,88.0,5.41,90.0,,44.1,3.4,8.0,1643.0,6.9,BeueSt00,qb,,,,,4-4-0,66.6,0.0,21.0,2.1,21.0,1.0,0.1,30.0,3.0,0.0,35.0,1.2,3.5,0.0,,83.0,0.0,,1988,,RAI,,,,26.0,,92.0,31.0,,,220,56.0,215.0,98.0,15.6,164.3,,,,1.8,-1.0,
1989,106.0,5.68,7.1,112.0,,6.0,,217.0,1965-03-07,,,108.0,80.0,,,,,,,,,,2.0,,,6.0,,3.0,-8.0,3.0,10.0,7.0,6-3,4.1,95.0,,,9.0,,,,,,,,,67.0,,,,10.0,Steve Beuerlein,105.0,6.28,104.0,,49.8,6.0,13.0,1677.0,7.7,BeueSt00,qb,,,,,4-3-0,78.4,,,,,,,16.0,1.6,0.0,39.0,2.4,3.9,0.0,,86.0,0.0,,1989,,RAI,,,,22.0,,123.0,16.0,,,220,39.0,175.0,115.0,15.5,167.7,,,,2.4,-8.0,
1990,,,,,,,,,1965-03-07,,,,,,,,,,,,,,,,,,,,,,,,6-3,,,,,,,,,,,,,,,,,,,Steve Beuerlein,,,,,,,,,,BeueSt00,,,,,,,,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,,,220,,,,,,,,,,,
1991,112.0,6.08,6.7,109.0,,3.0,,137.0,1965-03-07,,,68.0,73.0,,,,,,,,,,2.0,,,0.0,,,,2.0,8.0,4.0,6-3,1.5,132.0,,,2.0,,,,,,,,,66.0,,,,-1.0,Steve Beuerlein,102.0,6.01,101.0,,49.6,3.6,5.0,909.0,6.6,BeueSt00,qb,,,,,4-0-0,77.2,,,,,,,7.0,0.9,0.0,-14.0,-2.0,-1.8,0.0,,119.0,,,1991,,DAL,,,,6.0,,97.0,7.0,,,220,-14.0,49.0,94.0,13.4,113.6,,,,-2.0,,
1992,,5.94,5.9,,,1.0,,18.0,1965-03-07,,,12.0,,,,,,,,,,,,,,0.0,,,,,16.0,0.0,6-3,5.6,,,,1.0,,,,,,,,,27.0,,,,-1.0,Steve Beuerlein,,8.44,,,66.7,0.0,0.0,152.0,8.4,BeueSt00,,,,,,,69.7,,,,,,,4.0,0.3,0.0,-7.0,-1.8,-0.4,0.0,,,,,1992,,DAL,,,,0.0,,,4.0,,,220,-7.0,0.0,,12.7,9.5,,,,-1.8,,
1993,108.0,5.71,6.6,108.0,,11.0,,418.0,1965-03-07,,,258.0,111.0,,,,,,,,,,1.0,,,8.0,0.0,2.0,0.0,1.0,16.0,14.0,6-3,4.1,90.0,,,17.0,,,,,,,,,65.0,,,,20.0,Steve Beuerlein,114.0,6.62,107.0,,61.7,4.3,18.0,3164.0,7.6,BeueSt00,QB,,,,,6-8-0,82.5,,,,,,,22.0,1.4,0.0,45.0,2.0,2.8,0.0,,102.0,0.0,,1993,,PHO,,,,29.0,,107.0,22.0,,,220,45.0,206.0,116.0,12.3,197.8,,,,2.0,0.0,
1994,82.0,4.04,4.9,82.0,,3.0,,255.0,1965-03-07,,,130.0,78.0,,,,,,,,,,2.0,,,8.0,0.0,3.0,-13.0,2.0,9.0,7.0,6-3,3.5,94.0,,,9.0,,,,,,,,,63.0,,,,19.0,Steve Beuerlein,85.0,5.15,77.0,,51.0,2.0,5.0,1545.0,6.1,BeueSt00,qb,,,,,3-4-0,61.6,,,,,,,22.0,2.4,1.0,39.0,1.8,4.3,1.0,,93.0,0.0,,1994,,ARI,,,,20.0,,77.0,22.0,,,220,39.0,129.0,86.0,11.9,171.7,,,,1.8,-13.0,
1995,78.0,3.86,5.0,84.0,,3.0,,142.0,1965-03-07,,,71.0,73.0,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,7.0,6.0,6-3,4.9,71.0,,,7.0,,,,,,,,,71.0,,,,13.0,Steve Beuerlein,86.0,5.34,75.0,,50.0,2.8,4.0,952.0,6.7,BeueSt00,qb,,,,,1-5-0,60.5,,,,,,,5.0,0.7,0.0,32.0,6.4,4.6,0.0,,69.0,0.0,,1995,,JAX,,,,17.0,,86.0,5.0,,,220,32.0,103.0,99.0,13.4,136.0,,,,6.4,0.0,
1996,108.0,5.77,7.7,125.0,,3.0,,123.0,1965-03-07,,,69.0,95.0,,,,,,,,,,1.0,,,9.0,0.0,2.0,-7.0,1.0,8.0,4.0,6-3,1.6,124.0,,,2.0,,,,,,,,,40.0,,,,13.0,Steve Beuerlein,87.0,5.27,123.0,,56.1,6.5,8.0,879.0,7.1,BeueSt00,qb,,,,,3-1-0,93.5,,,,,,,12.0,1.5,0.0,17.0,1.4,2.1,0.0,,61.0,0.0,,1996,,CAR,,,,18.0,,133.0,12.0,,,220,17.0,136.0,111.0,12.7,109.9,,,,1.4,-7.0,
1997,102.0,5.33,6.6,107.0,,4.0,,153.0,1965-03-07,,,89.0,105.0,,,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,1.0,7.0,3.0,6-3,2.0,118.0,,,3.0,,,,,,,,,52.0,,,,20.0,Steve Beuerlein,92.0,5.42,108.0,,58.2,3.9,6.0,1032.0,6.7,BeueSt00,qb,,,,,1-2-0,83.6,,,,,,,4.0,0.6,0.0,32.0,8.0,4.6,0.0,,82.0,0.0,,1997,,CAR,,,,17.0,,99.0,4.0,,,220,32.0,111.0,100.0,11.6,147.4,,,,8.0,0.0,
