,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1985,,-0.67,0.5,,,0,,10,1962-05-11,,,1,,,,,,,,,,,,,,,,,,,1,0,6-4,0.0,,,,0,,,,,,,,,5,,,,,Steve Bono,,-0.67,,,10.0,0.0,0,5,0.5,BonoSt00,,,,,,,39.6,,,,,,,,,,,,,,,,,,1985,,MIN,,,,2,,,,,,215,,13,,5.0,5.0,,,,,,
1986,,3.0,3.0,,,0,,1,1962-05-11,,,1,,,,,,,,,,,,,,,,,,,1,0,6-4,0.0,,,,0,,,,,,,,,3,,,,,Steve Bono,,3.0,,,100.0,0.0,0,3,3.0,BonoSt00,,,,,,,79.2,,,,,,,,,,,,,,,,,,1986,,MIN,,,,0,,,,,,215,,0,,3.0,3.0,,,,,,
1987,103.0,5.23,6.1,101.0,,2,,74,1962-05-11,,,34,70.0,,,,,,,,,,0.0,,,5.0,,3.0,0.0,1.0,3,3,6-4,2.7,118.0,,,2,,,,,,,,,57,,,2.0,23.0,Steve Bono,84.0,5.1,103.0,,45.9,6.8,5,438,5.9,BonoSt00,qb,,,,,2-1-0,76.3,0.0,2.0,0.7,2.0,1.0,0.3,8.0,2.7,1.0,27.0,3.4,9.0,1.0,,99.0,0.0,,1987,,PIT,,,,6,,128.0,9.0,,,215,29.0,30,78.0,12.9,146.0,,,,3.2,0.0,
1988,,0.89,1.1,,,0,,35,1962-05-11,,,10,,,,,,,,,,,,,,,,,,,2,0,6-4,5.7,,,,2,,,,,,,,,15,,,,,Steve Bono,,2.83,,,28.6,2.9,1,110,3.1,BonoSt00,,,,,,,25.9,,,,,,,,,,,,,,,,,,1988,,PIT,,,,1,,,,,,215,,8,,11.0,55.0,,,,,,
1989,,16.4,16.4,,,0,,5,1962-05-11,,,4,,,,,,,,,,,,,,,,,,,1,0,6-4,0.0,,,,0,,,,,,,,,45,,,,,Steve Bono,,12.4,,,80.0,20.0,1,62,12.4,BonoSt00,,,,,,,157.9,,,,,,,,,,,,,,,,,,1989,,SFO,,,,0,,,,,,215,,0,,15.5,62.0,,,,,,
1991,115.0,6.31,7.0,113.0,,7,,237,1962-05-11,,,141,109.0,,,,,,,,,,2.0,,,7.0,,0.0,-8.0,2.0,9,6,6-4,1.7,129.0,,,4,,,,,,,,,78,,,,18.0,Steve Bono,104.0,6.15,117.0,,59.5,4.6,11,1617,6.8,BonoSt00,qb,,,,,5-1-0,88.5,,,,,,,17.0,1.9,0.0,46.0,2.7,5.1,0.0,,117.0,0.0,,1991,,SFO,,,,11,,109.0,17.0,,,215,46.0,91,98.0,11.5,179.7,,,,2.7,-8.0,
1992,123.0,6.88,7.4,119.0,,2,,56,1962-05-11,,,36,121.0,,,,,,,,,,,,,2.0,,1.0,-3.0,,16,0,6-4,3.6,99.0,,,2,,,,,,,,,36,,,,19.0,Steve Bono,133.0,7.74,115.0,,64.3,3.6,2,463,8.3,BonoSt00,,,,,,,87.1,,,,,,,15.0,0.9,0.0,23.0,1.5,1.4,0.0,,123.0,0.0,,1992,,SFO,,,,2,,99.0,15.0,,,215,23.0,14,128.0,12.9,28.9,,,,1.5,-3.0,
1993,104.0,5.43,6.1,101.0,,2,,61,1962-05-11,,,39,118.0,,,,,,,,,,,,,0.0,,,,,8,0,6-4,1.6,126.0,,,1,,,,,,,,,33,,,,10.0,Steve Bono,105.0,6.12,100.0,,63.9,0.0,0,416,6.8,BonoSt00,,,,,,,76.9,,,,,,,12.0,1.5,1.0,14.0,1.2,1.8,1.0,,104.0,,,1993,,SFO,,,,4,,51.0,12.0,,,215,14.0,18,101.0,10.7,52.0,,,,1.2,,
1994,109.0,5.95,5.9,98.0,,2,,117,1962-05-11,,,66,95.0,,,,,,,,,,,,,0.0,,,,,7,2,6-4,3.4,95.0,,,4,,,,,,,,,62,,,,2.0,Steve Bono,117.0,6.8,95.0,,56.4,3.4,4,796,6.8,BonoSt00,qb,,,,,0-2-0,74.6,,,,,,,4.0,0.6,0.0,-1.0,-0.3,-0.1,0.0,,142.0,,,1994,,KAN,,,,0,,95.0,4.0,,,215,-1.0,0,101.0,12.1,113.7,,,,-0.3,,
1995,102.0,5.42,5.9,98.0,,11,,520,1962-05-11,,,293,95.0,,,,,,,,,,3.0,,,10.0,0.0,1.0,-5.0,1.0,16,16,6-4,1.9,121.0,,,10,,,,,,,,,60,,,,76.0,Steve Bono,90.0,5.48,102.0,,56.3,4.0,21,3121,6.0,BonoSt00,QB,,,,,13-3-0,79.5,,,,,,,28.0,1.8,5.0,113.0,4.0,7.1,5.0,,115.0,0.0,,1995,,KAN,,,,21,,102.0,28.0,,,215,113.0,158,82.0,10.7,195.1,,,,4.0,-5.0,
