,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,88.0,4.73,5.4,87.0,,9.0,,590,1987-11-08,,,354,98.0,47.0,,,,,,,,,,,,7.0,0.0,3.0,-2.0,,16,16.0,6-4,2.5,106.0,,,15,,,,,,,,,49,,,,17.0,Sam Bradford,84.0,5.24,92.0,,60.0,3.1,18,3512,6.0,BradSa00,QB,,,,,7-9-0,76.5,,,,,,,27.0,1.7,1.0,63.0,2.3,3.9,1.0,,106.0,0.0,,2010,,STL,,,,34,,86.0,27.0,,,224,63.0,244,81.0,9.9,219.5,,,,2.3,-2.0,
2011,82.0,4.49,5.6,86.0,,3.0,,357,1987-11-08,,,191,75.0,30.5,,,,,,,,,1.0,,,10.0,0.0,2.0,-16.0,1.0,10,10.0,6-4,1.7,119.0,,,6,,,,,,,,,68,,,,17.0,Sam Bradford,73.0,4.88,82.0,,53.5,1.7,6,2164,6.1,BradSa00,QB,,,,,1-9-0,70.5,,,,,,,18.0,1.8,0.0,26.0,1.4,2.6,0.0,,76.0,0.0,,2011,,STL,,,,36,,71.0,18.0,,,224,26.0,248,79.0,11.3,216.4,,,,1.4,-16.0,
2012,97.0,5.64,6.4,96.0,,9.0,,551,1987-11-08,,,328,96.0,51.6,,,,,,,,,4.0,,,7.0,0.0,3.0,-1.0,3.0,16,16.0,6-4,2.4,107.0,,,13,,,,,,,,,80,,,,21.0,Sam Bradford,94.0,5.92,97.0,,59.5,3.8,21,3702,6.7,BradSa00,QB,,,,,7-8-1,82.6,,,,,,,36.0,2.3,1.0,124.0,3.4,7.8,1.0,,104.0,0.0,,2012,,STL,,,,35,,95.0,36.0,,,224,124.0,233,92.0,11.3,231.4,,,,3.4,-1.0,
2013,102.0,6.1,6.8,100.0,,6.0,,262,1987-11-08,,,159,96.0,58.8,,,,,,,,,1.0,,,3.0,0.0,1.0,0.0,1.0,7,7.0,6-4,1.5,119.0,,,4,,,,,,,,,73,,,,23.0,Sam Bradford,89.0,5.74,105.0,,60.7,5.3,14,1687,6.4,BradSa00,qb,,,,,3-4-0,90.9,,,,,,,15.0,2.1,0.0,31.0,2.1,4.4,0.0,,108.0,0.0,,2013,,STL,,,,15,,111.0,15.0,,,224,31.0,97,83.0,10.6,241.0,,,,2.1,0.0,
2014,,,,,,,,0,1987-11-08,,,0,,,,,,,,,,,0.0,,,,,,,0.0,0,,6-4,,,,,0,,,,,,,,,0,,,,,Sam Bradford,,,,,,,0,0,,BradSa00,,,,,,,,,,,,,,,,,,,,,,,,,2014,,STL,,,,0,,,,,,224,,0,,,,,,,,,
2015,95.0,5.85,6.5,93.0,,9.0,,532,1987-11-08,,,346,108.0,42.1,,,,,,,,,0.0,,,10.0,0.0,4.0,-32.0,2.0,14,14.0,6-4,2.6,96.0,,,14,,,,,,,,,78,,,,14.0,Sam Bradford,98.0,6.29,95.0,,65.0,3.6,19,3725,7.0,BradSa00,QB,,,,,7-7-0,86.4,,,,,,,26.0,1.9,0.0,39.0,1.5,2.8,0.0,,108.0,0.0,,2015,,PHI,,,,28,,89.0,26.0,,,224,39.0,200,95.0,10.8,266.1,,,,1.5,-32.0,
2016,104.0,6.41,7.3,105.0,,11.0,,552,1987-11-08,,100.0,395,135.0,57.3,,,,,,,,,1.0,,,10.0,0.0,3.0,-6.0,1.0,15,15.0,6-4,0.9,126.0,,,5,,,,,,,,,71,,,5.0,24.0,Sam Bradford,96.0,6.11,115.0,,71.6,3.6,20,3877,7.0,BradSa00,QB,,,,,7-8-0,99.3,0.0,5.0,0.3,5.0,1.0,0.1,20.0,1.3,0.0,53.0,2.7,3.5,0.0,,98.0,0.0,,2016,,MIN,,,1.0,37,,91.0,21.0,,,224,58.0,276,97.0,9.8,258.5,,,,2.8,-6.0,
2017,,8.38,10.3,,,1.0,,43,1987-11-08,,,32,,75.3,,,,,,,,,,,,0.0,,,,,2,2.0,6-4,0.0,,,,0,,,,,,,,,44,,,,-1.0,Sam Bradford,,7.13,,,74.4,7.0,3,382,8.9,BradSa00,,,,,,2-0-0,124.4,,,,,,,2.0,1.0,0.0,-3.0,-1.5,-1.5,0.0,,,,,2017,,MIN,,,,5,,,2.0,,,224,-3.0,40,,11.9,191.0,,,,-1.5,,
2018,54.0,2.64,3.3,49.0,,1.0,,80,1987-11-08,,,50,96.0,24.0,,,,,,,,,,,,3.0,0.0,0.0,0.0,,3,3.0,6-4,5.0,56.0,,,4,,,,,,,,,35,,,,8.0,Sam Bradford,62.0,4.27,63.0,,62.5,2.5,2,400,5.0,BradSa00,,,,,,0-3-0,62.5,,,,,,,2.0,0.7,0.0,7.0,3.5,2.3,0.0,,97.0,0.0,,2018,,ARI,,,,6,,79.0,2.0,,,224,7.0,33,57.0,8.0,133.3,,,,3.5,0.0,
Career,,5.5,6.3,,,49.0,,2967,1987-11-08,,100.0,1855,,,,,,,,,,,7.0,,,50.0,0.0,16.0,-57.0,8.0,83,83.0,6-4,2.1,,,,61,,,,,,,,,80,,,5.0,24.0,Sam Bradford,,5.72,,,62.5,3.5,103,19449,6.6,BradSa00,,,,,,34-48-1,84.5,0.0,5.0,0.1,5.0,1.0,0.0,146.0,1.8,2.0,340.0,2.3,4.1,2.0,,,0.0,,Career,,,,,1.0,196,,,147.0,,,224,345.0,1371,,10.5,234.3,,,,2.3,-57.0,
