,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1986,62.0,2.18,3.4,64.0,,1,,60,1962-08-15,,,21,24.0,,,,,,,,,,,,,1.0,,0.0,0.0,,2,2,6-3,3.3,110.0,,,2,,,,,,,,,58,,,,9.0,Bubby Brister,51.0,3.55,51.0,,35.0,0.0,0,291,4.9,BrisBu00,qb,,,,,0-2-0,37.6,,,,,,,6.0,3.0,1.0,10.0,1.7,5.0,1.0,,93.0,0.0,,1986,,PIT,,,,6,,53.0,6.0,,,205,10.0,57,51.0,13.9,145.5,,,,1.7,0.0,
1987,,-9.21,-9.6,,,0,,12,1962-08-15,,,4,,,,,,,,,,,,,,,,,,,2,0,6-3,25.0,,,,3,,,,,,,,,10,,,,,Bubby Brister,,0.43,,,33.3,0.0,0,20,1.7,BrisBu00,,,,,,,2.8,,,,,,,,,,,,,,,,,,1987,,PIT,,,,2,,,,,,205,,14,,5.0,10.0,,,,,,
1988,95.0,4.76,6.0,99.0,,10,,370,1962-08-15,,,175,75.0,,,,,,,,,,1.0,,,8.0,,2.0,0.0,1.0,13,13,6-3,3.8,102.0,,,14,,,,,,,,,89,,,,20.0,Bubby Brister,96.0,5.77,88.0,,47.3,3.0,11,2634,7.1,BrisBu00,QB,,,,,4-9-0,65.3,,,,,,,45.0,3.5,6.0,209.0,4.6,16.1,6.0,,89.0,0.0,,1988,,PIT,,,,36,,87.0,45.0,,,205,209.0,292,102.0,15.1,202.6,,,,4.6,0.0,
1989,88.0,4.25,6.1,100.0,,8,,342,1962-08-15,,,187,98.0,,,,,,,,,,1.0,,,4.0,,1.0,0.0,1.0,14,14,6-3,2.9,111.0,,,10,,,,,,,,,79,,,-10.0,15.0,Bubby Brister,79.0,4.94,97.0,,54.7,2.6,9,2365,6.9,BrisBu00,QB,,,,,8-6-0,73.1,0.0,-10.0,-0.7,-10.0,1.0,0.1,27.0,1.9,0.0,25.0,0.9,1.8,0.0,,70.0,0.0,,1989,,PIT,,,,45,,83.0,28.0,,,205,15.0,452,98.0,12.6,168.9,,,,0.5,0.0,
1990,103.0,5.5,6.4,104.0,,10,,387,1962-08-15,,,223,105.0,,,,,,,,,,2.0,,,9.0,,4.0,-28.0,2.0,16,16,6-3,3.6,100.0,,,14,,,,,,,,,90,,,,11.0,Bubby Brister,100.0,6.05,107.0,,57.6,5.2,20,2725,7.0,BrisBu00,QB,,,,,9-7-0,81.6,,,,,,,25.0,1.6,0.0,64.0,2.6,4.0,0.0,,102.0,0.0,,1990,,PIT,,,,28,,114.0,25.0,,,205,64.0,213,101.0,12.2,170.3,,,,2.6,-28.0,
1991,95.0,4.78,5.9,98.0,,4,,190,1962-08-15,,,103,90.0,,,,,,,,,,0.0,,,4.0,,2.0,0.0,2.0,8,8,6-3,4.7,83.0,,,9,,,,,,,,,65,,,,8.0,Bubby Brister,99.0,5.88,95.0,,54.2,4.7,9,1350,7.1,BrisBu00,qb,,,,,5-3-0,72.9,,,,,,,11.0,1.4,0.0,17.0,1.5,2.1,0.0,,100.0,0.0,,1991,,PIT,,,,15,,110.0,11.0,,,205,17.0,145,104.0,13.1,168.8,,,,1.5,0.0,
1992,79.0,3.46,4.6,82.0,,3,,116,1962-08-15,,,63,89.0,,,,,,,,,,2.0,,,2.0,,2.0,-2.0,2.0,6,4,6-3,4.3,88.0,,,5,,,,,,,,,42,,,,8.0,Bubby Brister,83.0,4.89,79.0,,54.3,1.7,2,719,6.2,BrisBu00,qb,,,,,2-2-0,61.0,,,,,,,10.0,1.7,0.0,16.0,1.6,2.7,0.0,,81.0,0.0,,1992,,PIT,,,,13,,77.0,10.0,,,205,16.0,88,88.0,11.4,119.8,,,,1.6,-2.0,
1993,105.0,5.52,6.3,105.0,,6,,309,1962-08-15,,,181,102.0,,,,,,,,,,2.0,,,3.0,0.0,0.0,0.0,2.0,10,8,6-3,1.6,127.0,,,5,,,,,,,,,58,,,,13.0,Bubby Brister,91.0,5.36,111.0,,58.6,4.5,14,1905,6.2,BrisBu00,QB,,,,,4-4-0,84.9,,,,,,,20.0,2.0,0.0,39.0,2.0,3.9,0.0,,106.0,0.0,,1993,,PHI,,,,19,,110.0,20.0,,,205,39.0,148,88.0,10.5,190.5,,,,2.0,0.0,
1994,106.0,5.72,6.6,107.0,,1,,76,1962-08-15,,,51,128.0,,,,,,,,,,,,,0.0,,,,,7,2,6-3,1.3,128.0,,,1,,,,,,,,,53,,,,7.0,Bubby Brister,97.0,5.78,115.0,,67.1,2.6,2,507,6.7,BrisBu00,qb,,,,,0-2-0,89.1,,,,,,,1.0,0.1,0.0,7.0,7.0,1.0,0.0,,100.0,,,1994,,PHI,,,,5,,85.0,1.0,,,205,7.0,39,98.0,9.9,72.4,,,,7.0,,
1995,45.0,1.74,2.6,46.0,,-4,,170,1962-08-15,,100.0,93,89.0,,,,,,,,,,1.0,,,4.0,0.0,3.0,-9.0,1.0,9,4,6-3,4.7,75.0,,,8,,,,,,,,,32,,,2.0,7.0,Bubby Brister,38.0,3.25,65.0,,54.7,2.4,4,726,4.3,BrisBu00,qb,,,,,1-3-0,53.7,0.0,2.0,0.2,2.0,1.0,0.1,16.0,1.8,0.0,18.0,1.1,2.0,0.0,,83.0,0.0,,1995,,NYJ,,,1.0,16,,80.0,17.0,,,205,20.0,122,39.0,7.8,80.7,,,,1.2,-9.0,
