,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1994,,2.72,3.5,,,0,,27,1970-09-17,,,12,,,,,,,,,,,,,,1.0,0.0,0.0,-2.0,,2,0,6-1,0.0,,,,0,,,,,,,,,25,,,,5.0,Mark Brunell,,2.72,,,44.4,0.0,0,95,3.5,BrunMa00,,,,,,,53.8,,,,,,,6.0,3.0,1.0,7.0,1.2,3.5,1.0,,,0.0,,1994,,GNB,,,,2,,,6.0,,,215,7.0,16,,7.9,47.5,,,,1.2,-2.0,
1995,95.0,4.97,6.2,102.0,,9,,346,1970-09-17,,,201,100.0,,,,,,,,,,2.0,,,5.0,0.0,3.0,0.0,2.0,13,10,6-1,2.0,119.0,,,7,,,,,,,,,45,,,,27.0,Mark Brunell,79.0,5.01,106.0,,58.1,4.3,15,2168,6.3,BrunMa00,QB,,,,,3-7-0,82.6,,,,,,,67.0,5.2,4.0,480.0,7.2,36.9,4.0,,73.0,0.0,,1995,,JAX,,,,39,,106.0,67.0,,,215,480.0,238,88.0,10.8,166.8,,,,7.2,0.0,
1996,110.0,5.91,6.9,113.0,,16,,557,1970-09-17,,,353,123.0,,,,,,,,,,3.0,,,14.0,0.0,5.0,-14.0,3.0,16,16,6-1,3.6,93.0,,,20,,,,,,,,,62,,,,33.0,Mark Brunell,122.0,6.77,109.0,,63.4,3.4,19,4367,7.8,BrunMa00,QB,,,,,9-7-0,84.0,,,,,,,80.0,5.0,3.0,396.0,5.0,24.8,3.0,,90.0,0.0,,1996,,JAX,,,,50,,94.0,80.0,,,215,396.0,257,128.0,12.4,272.9,,,,5.0,-14.0,
1997,119.0,6.7,7.6,119.0,,15,,435,1970-09-17,,,264,115.0,,,,,,,,,,1.0,,,4.0,0.0,0.0,-5.0,1.0,14,14,6-1,1.6,123.0,,,7,,,,,,,,,75,,,,15.0,Mark Brunell,115.0,6.61,117.0,,60.7,4.1,18,3281,7.5,BrunMa00,QB,,,,,9-5-0,91.2,,,,,,,48.0,3.4,2.0,257.0,5.4,18.4,2.0,,100.0,0.0,,1997,,JAX,,,,33,,101.0,48.0,,,215,257.0,189,115.0,12.4,234.4,,,,5.4,-5.0,
1998,113.0,6.35,7.3,114.0,,12,,354,1970-09-17,,,208,108.0,,,,,,,,,,4.0,,,3.0,0.0,2.0,-1.0,4.0,13,13,6-1,2.5,109.0,,,9,,,,,,,,,78,,,,18.0,Mark Brunell,110.0,6.36,115.0,,58.8,5.6,20,2601,7.3,BrunMa00,QB,,,,,10-3-0,89.9,,,,,,,49.0,3.8,0.0,192.0,3.9,14.8,0.0,,99.0,0.0,,1998,,JAX,,,,28,,117.0,49.0,,,215,192.0,172,110.0,12.5,200.1,,,,3.9,-1.0,
1999,107.0,5.87,6.7,106.0,,12,,441,1970-09-17,,,259,105.0,,,,,,,,,,2.0,,,6.0,0.0,3.0,-2.0,3.0,15,15,6-1,2.0,117.0,,,9,,,,,,,,,62,,,,15.0,Mark Brunell,104.0,6.14,105.0,,58.7,3.2,14,3060,6.9,BrunMa00,QB,,,,,13-2-0,82.0,,,,,,,47.0,3.1,1.0,208.0,4.4,13.9,1.0,,105.0,0.0,,1999,,JAX,,,,29,,91.0,47.0,,,215,208.0,174,103.0,11.8,204.0,,,,4.4,-2.0,
2000,104.0,5.51,6.7,108.0,,14,,512,1970-09-17,,,311,111.0,,,,,,,,,,0.0,,,7.0,0.0,3.0,-2.0,2.0,16,16,6-1,2.7,109.0,,,14,,,,,,,,,67,,,,16.0,Mark Brunell,101.0,5.92,108.0,,60.7,3.9,20,3640,7.1,BrunMa00,QB,,,,,7-9-0,84.0,,,,,,,48.0,3.0,2.0,236.0,4.9,14.8,2.0,,84.0,0.0,,2000,,JAX,,,,54,,100.0,48.0,,,215,236.0,289,107.0,11.7,227.5,,,,4.9,-2.0,
2001,98.0,5.13,6.6,107.0,,12,,473,1970-09-17,,,289,107.0,,,,,,,,,,1.0,,,8.0,0.0,2.0,-8.0,1.0,15,15,6-1,2.7,107.0,,,13,,,,,,,,,44,,,,38.0,Mark Brunell,94.0,5.51,107.0,,61.1,4.0,19,3309,7.0,BrunMa00,QB,,,,,6-9-0,84.1,,,,,,,39.0,2.6,1.0,224.0,5.7,14.9,1.0,,75.0,0.0,,2001,,JAX,,,,57,,101.0,39.0,,,215,224.0,387,105.0,11.4,220.6,,,,5.7,-8.0,
2002,108.0,5.78,6.8,111.0,,12,,416,1970-09-17,,,245,99.0,,,,,,,,,,0.0,,,5.0,0.0,2.0,0.0,1.0,15,15,6-1,1.7,126.0,,,7,,,,,,,,,79,,,,27.0,Mark Brunell,97.0,5.73,110.0,,58.9,4.1,17,2788,6.7,BrunMa00,QB,,,,,6-9-0,85.7,,,,,,,43.0,2.9,0.0,207.0,4.8,13.8,0.0,,92.0,0.0,,2002,,JAX,,,,34,,102.0,43.0,,,215,207.0,210,100.0,11.4,185.9,,,,4.8,0.0,
2003,98.0,5.25,6.4,102.0,,1,,82,1970-09-17,,,54,121.0,,,,,,,,,,,,,1.0,0.0,0.0,-5.0,,3,3,6-1,0.0,154.0,,,0,,,,,,,,,65,,,,12.0,Mark Brunell,79.0,4.81,112.0,,65.9,2.4,2,484,5.9,BrunMa00,qb,,,,,0-3-0,89.7,,,,,,,8.0,2.7,1.0,19.0,2.4,6.3,1.0,,77.0,0.0,,2003,,JAX,,,,9,,79.0,8.0,,,215,19.0,46,83.0,9.0,161.3,,,,2.4,-5.0,
