,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,101.0,5.48,5.9,96.0,,5,,207,1981-12-31,,,110,76.0,55.6,,,,,,,,,1.0,,,1,0,1,0,1.0,7,7,6-5,2.9,104.0,,,6,,,,,,,,,66,,,,15,Jason Campbell,97.0,5.8,94.0,,53.1,4.8,10,1297,6.3,CampJa00,qb,,,,,2-5-0,76.5,,,,,,,24,3.4,0,107,4.5,15.3,0,,120.0,0.0,,2006,,WAS,,,,7,,109.0,24,,,235,107,55,89.0,11.8,185.3,,,,4.5,0,
2007,97.0,5.33,5.9,94.0,,9,,417,1981-12-31,,,250,97.0,62.6,,,,,,,,,1.0,,,13,0,4,-9,2.0,13,13,6-5,2.6,106.0,,,11,,,,,,,,,54,,,,29,Jason Campbell,97.0,5.91,94.0,,60.0,2.9,12,2700,6.5,CampJa00,QB,,,,,6-7-0,77.6,,,,,,,36,2.8,1,185,5.1,14.2,1,,109.0,0.0,,2007,,WAS,,,,21,,87.0,36,,,235,185,110,92.0,10.8,207.7,,,,5.1,-9,
2008,98.0,5.46,6.4,100.0,,10,,506,1981-12-31,,,315,104.0,55.8,,,,,,,,,1.0,,,7,0,1,0,3.0,16,16,6-5,1.2,126.0,,,6,,,,,,,,,67,,,,23,Jason Campbell,89.0,5.48,102.0,,62.3,2.6,13,3245,6.4,CampJa00,QB,,,,,8-8-0,84.3,,,,,,,47,2.9,1,258,5.5,16.1,1,,93.0,0.0,,2008,,WAS,,,,38,,83.0,47,,,235,258,266,90.0,10.3,202.8,,,,5.5,0,
2009,98.0,5.56,6.6,101.0,,11,,507,1981-12-31,,,327,112.0,54.7,,,,,,,,,1.0,,,13,0,5,-25,1.0,16,16,6-5,3.0,100.0,,,15,,,,,,,,,84,,,,21,Jason Campbell,98.0,6.06,104.0,,64.5,3.9,20,3618,7.1,CampJa00,QB,,,,,4-12-0,86.4,,,,,,,46,2.9,1,236,5.1,14.8,1,,86.0,0.0,,2009,,WAS,,,,43,,98.0,46,,,235,236,285,103.0,11.1,226.1,,,,5.1,-25,
2010,100.0,5.74,7.0,104.0,,9,,329,1981-12-31,,,194,95.0,49.2,,,,,,,,,2.0,,,9,0,5,-15,2.0,13,12,6-5,2.4,107.0,,,8,,,,,,,,,73,,,,24,Jason Campbell,97.0,6.02,101.0,,59.0,4.0,13,2387,7.3,CampJa00,QB,,,,,7-5-0,84.5,,,,,,,47,3.6,1,222,4.7,17.1,1,,78.0,0.0,,2010,,OAK,,,,33,,97.0,47,,,235,222,208,103.0,12.3,183.6,,,,4.7,-15,
2011,107.0,6.42,6.7,101.0,,4,,165,1981-12-31,,,100,100.0,55.1,,,,,,,,,1.0,,,3,0,1,0,1.0,6,6,6-5,2.4,107.0,,,4,,,,,,,,,58,,,,17,Jason Campbell,110.0,6.77,99.0,,60.6,3.6,6,1170,7.1,CampJa00,qb,,,,,4-2-0,84.2,,,,,,,18,3.0,2,60,3.3,10.0,2,,127.0,0.0,,2011,,OAK,,,,5,,93.0,18,,,235,60,19,100.0,11.7,195.0,,,,3.3,0,
2012,63.0,2.91,4.2,68.0,,1,,51,1981-12-31,,,32,107.0,9.2,,,,,,,,,,,,2,0,1,0,,6,1,6-5,3.9,81.0,,,2,,,,,,,,,45,,,,13,Jason Campbell,54.0,3.79,85.0,,62.7,3.9,2,265,5.2,CampJa00,,,,,,0-1-0,72.8,,,,,,,7,1.2,0,28,4.0,4.7,0,,66.0,0.0,,2012,,CHI,,,,6,,96.0,7,,,235,28,49,61.0,8.3,44.2,,,,4.0,0,
2013,91.0,5.32,5.9,87.0,,4,,317,1981-12-31,,,180,82.0,41.4,,,,,,,,,,,,3,0,0,0,,9,8,6-5,2.5,102.0,,,8,,,,,,,,,80,,,,21,Jason Campbell,89.0,5.74,87.0,,56.8,3.5,11,2015,6.4,CampJa00,QB,,,,,1-7-0,76.9,,,,,,,14,1.6,0,107,7.6,11.9,0,,113.0,0.0,,2013,,CLE,,,,16,,90.0,14,,,235,107,104,81.0,11.2,223.9,,,,7.6,0,
2014,,3.7,3.9,,,0,,19,1981-12-31,,,11,,8.5,,,,,,,,,,,,1,0,0,0,,4,0,6-5,0.0,,,,0,,,,,,,,,38,,,,1,Jason Campbell,,3.7,,,57.9,0.0,0,74,3.9,CampJa00,,,,,,,66.6,,,,,,,1,0.3,0,1,1.0,0.3,0,,,0.0,,2014,,CIN,,,,1,,,1,,,235,1,0,,6.7,18.5,,,,1.0,0,
Career,,5.47,6.3,,,53,,2518,1981-12-31,,,1519,,,,,,,,,,,7.0,,,52,0,18,-49,10.0,90,79,6-5,2.4,,,,60,,,,,,,,,84,,,,29,Jason Campbell,,5.83,,,60.3,3.5,87,16771,6.7,CampJa00,,,,,,32-47-0,81.7,,,,,,,240,2.7,6,1204,5.0,13.4,6,,,0.0,,Career,,,,,,170,,,240,,,235,1204,1096,,11.0,186.3,,,,5.0,-49,
