,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1988,90.0,4.43,5.3,90.0,,8,,233,1965-10-12,,,129,101.0,,,,,,,,,,1.0,,,8,,5.0,-6.0,1.0,15,13,6-4,5.2,83.0,,,12,,,,,,,,,54,,,,29,Chris Chandler,99.0,5.94,90.0,,55.4,3.4,8,1619,6.9,ChanCh00,QB,,,,,9-4-0,67.2,,,,,,,46,3.1,3,139,3.0,9.3,3,,100.0,0.0,,1988,,IND,,,,18,,92.0,46,,,224,139,128,99.0,12.6,107.9,,,,3.0,-6.0,
1989,99.0,5.12,5.5,92.0,,2,,80,1965-10-12,,,39,77.0,,,,,,,,,,,,,0,,,,,3,3,6-4,3.8,100.0,,,3,,,,,,,,,82,,,,23,Chris Chandler,105.0,6.27,84.0,,48.8,2.5,2,537,6.7,ChanCh00,qb,,,,,1-2-0,63.4,,,,,,,7,2.3,1,57,8.1,19.0,1,,123.0,,,1989,,IND,,,,3,,81.0,7,,,224,57,17,93.0,13.8,179.0,,,,8.1,,
1990,44.0,1.13,2.6,49.0,,2,,83,1965-10-12,,,42,78.0,,,,,,,,,,,,,5,,1.0,-2.0,,7,3,6-4,7.2,49.0,,,6,,,,,,,,,68,,,,18,Chris Chandler,53.0,3.68,50.0,,50.6,1.2,1,464,5.6,ChanCh00,qb,,,,,0-3-0,41.4,,,,,,,13,1.9,1,71,5.5,10.1,1,,48.0,0.0,,1990,,TAM,,,,15,,68.0,13,,,224,71,103,68.0,11.0,66.3,,,,5.5,-2.0,
1991,,2.12,3.2,,,3,,154,1965-10-12,,,78,,,,,,,,,,,1.0,,,6,,2.0,-7.0,1.0,9,5,6-4,6.5,,,,10,,,,,,,,,45,,,,12,Chris Chandler,,4.16,,,50.6,3.2,5,846,5.5,ChanCh00,,,,,,0-5-0,50.9,,,,,,,26,2.9,0,111,4.3,12.3,0,,,0.0,,1991,,2TM,,,,17,,,26,,,224,111,134,,10.8,94.0,,,,4.3,-7.0,
,,2.82,4.4,,,1,,50,1965-10-12,,,25,,,,,,,,,,,,,,3,,1.0,-7.0,,3,2,6-4,4.0,,,,2,,,,,,,,,45,,,,12,Chris Chandler,,4.05,,,50.0,2.0,1,289,5.8,ChanCh00,qb,,,,,0-2-0,57.8,,,,,,,8,2.7,0,32,4.0,10.7,0,,,0.0,,,,PHO,,,,7,,,8,,,224,32,58,,11.6,96.3,,,,4.0,-7.0,
1992,100.0,5.05,5.9,100.0,,9,,413,1965-10-12,,,245,105.0,,,,,,,,,,2.0,,,9,,2.0,-11.0,2.0,15,13,6-4,3.6,98.0,,,15,,,,,,,,,72,,,,18,Chris Chandler,101.0,5.9,101.0,,59.3,3.6,15,2832,6.9,ChanCh00,QB,,,,,4-9-0,77.1,,,,,,,36,2.4,1,149,4.1,9.9,1,,103.0,0.0,,1992,,PHO,,,,29,,100.0,36,,,224,149,226,101.0,11.6,188.8,,,,4.1,-11.0,
1993,83.0,3.89,4.3,76.0,,2,,103,1965-10-12,,,52,78.0,,,,,,,,,,,,,2,0.0,0.0,0.0,,4,2,6-4,1.9,122.0,,,2,,,,,,,,,27,,,,1,Chris Chandler,69.0,4.17,84.0,,50.5,2.9,3,471,4.6,ChanCh00,qb,,,,,1-1-0,64.8,,,,,,,3,0.8,0,2,0.7,0.5,0,,120.0,0.0,,1993,,PHO,,,,4,,89.0,3,,,224,2,25,57.0,9.1,117.8,,,,0.7,0.0,
1994,129.0,7.41,8.0,127.0,,5,,176,1965-10-12,,,108,110.0,,,,,,,,,,,,,3,0.0,0.0,-10.0,,12,6,6-4,1.1,131.0,,,2,,,,,,,,,72,,,,22,Chris Chandler,124.0,7.14,121.0,,61.4,4.0,7,1352,7.7,ChanCh00,qb,,,,,2-4-0,93.8,,,,,,,18,1.5,1,61,3.4,5.1,1,,116.0,0.0,,1994,,RAM,,,,7,,102.0,18,,,224,61,46,120.0,12.5,112.7,,,,3.4,-10.0,
1995,107.0,5.77,6.6,108.0,,8,,356,1965-10-12,,,225,117.0,,,,,,,,,,,,,12,0.0,5.0,-9.0,,13,13,6-4,2.8,106.0,,,10,,,,,,,,,76,,,,9,Chris Chandler,103.0,6.07,114.0,,63.2,4.8,17,2460,6.9,ChanCh00,QB,,,,,5-8-0,87.8,,,,,,,28,2.2,2,58,2.1,4.5,2,,104.0,0.0,,1995,,HOU,,,,21,,111.0,28,,,224,58,173,104.0,10.9,189.2,,,,2.1,-9.0,
1996,98.0,5.13,6.0,99.0,,8,,320,1965-10-12,,,184,100.0,,,,,,,,,,2.0,,,8,0.0,3.0,-4.0,2.0,12,12,6-4,3.4,95.0,,,11,,,,,,,,,63,,,,16,Chris Chandler,95.0,5.64,103.0,,57.5,5.0,16,2099,6.6,ChanCh00,QB,,,,,6-6-0,79.7,,,,,,,28,2.3,0,113,4.0,9.4,0,,96.0,0.0,,1996,,HOU,,,,25,,114.0,28,,,224,113,153,96.0,11.4,174.9,,,,4.0,-4.0,
