,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,,-5.4,0.0,,,0,,1,1983-06-07,,,0,,0.8,,,,,,,,,,,,1.0,0.0,0.0,0.0,,2,0,6-2,0.0,,,,0,,,,,,,,,0,,,,8.0,Kellen Clemens,,-5.4,,,0.0,0.0,0,0,0.0,ClemKe00,,,,,,,39.6,,,,,,,2.0,1.0,0.0,10.0,5.0,5.0,0.0,,,0.0,,2006,,NYJ,,,,4,,,2.0,,,220,10.0,27,,,0.0,,,,5.0,0.0,
2007,77.0,3.76,4.7,78.0,,3,,250,1983-06-07,,,130,69.0,33.5,,,,,,,,,1.0,,,4.0,0.0,1.0,-1.0,2.0,10,8,6-2,4.0,85.0,,,10,,,,,,,,,56,,,,18.0,Kellen Clemens,81.0,5.02,71.0,,52.0,2.0,5,1529,6.1,ClemKe00,QB,,,,,3-5-0,60.9,,,,,,,27.0,2.7,1.0,111.0,4.1,11.1,1.0,,77.0,0.0,,2007,,NYJ,,,,27,,77.0,27.0,,,220,111.0,138,84.0,11.8,152.9,,,,4.1,-1.0,
2008,,-3.8,-3.8,,,0,,5,1983-06-07,,,3,,3.1,,,,,,,,,,,,0.0,,,,,2,0,6-2,20.0,,,,1,,,,,,,,,11,,,,-1.0,Kellen Clemens,,5.2,,,60.0,0.0,0,26,5.2,ClemKe00,,,,,,,34.2,,,,,,,3.0,1.5,0.0,-3.0,-1.0,-1.5,0.0,,,,,2008,,NYJ,,,,0,,,3.0,,,220,-3.0,0,,8.7,13.0,,,,-1.0,,
2009,,3.47,4.8,,,0,,26,1983-06-07,,,13,,9.7,,,,,,,,,,,,2.0,0.0,1.0,-12.0,,10,1,6-2,0.0,,,,0,,,,,,,,,26,,,,6.0,Kellen Clemens,,3.47,,,50.0,0.0,0,125,4.8,ClemKe00,qb,,,,,1-0-0,63.8,,,,,,,12.0,1.2,0.0,1.0,0.1,0.1,0.0,,,0.0,,2009,,NYJ,,,,4,,,12.0,,,220,1.0,21,,9.6,12.5,,,,0.1,-12.0,
2010,,3.0,3.0,,,0,,2,1983-06-07,,,1,,100.0,,,,,,,,,,,,0.0,,,,,1,0,6-2,0.0,,,,0,,,,,,,,,6,,,,10.0,Kellen Clemens,,3.0,,,50.0,0.0,0,6,3.0,ClemKe00,,,,,,,56.2,,,,,,,2.0,2.0,1.0,9.0,4.5,9.0,1.0,,,,,2010,,NYJ,,,,0,,,2.0,,,220,9.0,0,,6.0,6.0,,,,4.5,,
2011,85.0,4.73,5.9,90.0,,1,,91,1983-06-07,,0.0,48,72.0,33.1,,,,,,,,,,,,2.0,0.0,1.0,0.0,,3,3,6-2,1.1,128.0,,,1,,,,,,,,,36,,,0.0,18.0,Kellen Clemens,71.0,4.78,86.0,,52.7,2.2,2,546,6.0,ClemKe00,qb,,,,,0-3-0,73.8,0.0,0.0,0.0,,0.0,0.0,6.0,2.0,1.0,37.0,6.2,12.3,1.0,,77.0,0.0,,2011,,STL,,,1.0,9,,76.0,6.0,,,220,37.0,68,78.0,11.4,182.0,,,,6.2,0.0,
2012,,-2.0,-2.0,,,0,,3,1983-06-07,,,1,,5.2,,,,,,,,,,,,1.0,0.0,1.0,0.0,,2,0,6-2,33.3,,,,1,,,,,,,,,39,,,,5.0,Kellen Clemens,,13.0,,,33.3,0.0,0,39,13.0,ClemKe00,,,,,,,42.4,,,,,,,2.0,1.0,0.0,5.0,2.5,2.5,0.0,,,0.0,,2012,,STL,,,,0,,,2.0,,,220,5.0,0,,39.0,19.5,,,,2.5,0.0,
2013,90.0,5.25,6.3,92.0,,6,,242,1983-06-07,,,142,89.0,39.4,,,,,,,,,,,,7.0,0.0,1.0,-3.0,,10,9,6-2,2.9,95.0,,,7,,,,,,,,,81,,,,16.0,Kellen Clemens,91.0,5.84,89.0,,58.7,3.3,8,1673,6.9,ClemKe00,QB,,,,,4-5-0,78.8,,,,,,,23.0,2.3,0.0,64.0,2.8,6.4,0.0,,87.0,0.0,,2013,,STL,,,,21,,88.0,23.0,,,220,64.0,138,95.0,11.8,167.3,,,,2.8,-3.0,
2014,,0.25,3.3,,,0,,3,1983-06-07,,,1,,1.7,,,,,,,,,,,,,,,,,2,0,6-2,0.0,,,,0,,,,,,,,,10,,,,,Kellen Clemens,,0.25,,,33.3,0.0,0,10,3.3,ClemKe00,,,,,,,43.7,,,,,,,,,,,,,,,,,,2014,,SDG,,,,1,,,,,,220,,9,,10.0,5.0,,,,,,
2015,,13.83,13.8,,,0,,6,1983-06-07,,,5,,100.0,,,,,,,,,,,,0.0,,,,,2,0,6-2,0.0,,,,0,,,,,,,,,19,,,,-1.0,Kellen Clemens,,10.5,,,83.3,16.7,1,63,10.5,ClemKe00,,,,,,,150.0,,,,,,,1.0,0.5,0.0,-1.0,-1.0,-0.5,0.0,,,,,2015,,SDG,,,,0,,,1.0,,,220,-1.0,0,,12.6,31.5,,,,-1.0,,
2016,,0.0,0.0,,,0,,1,1983-06-07,,,0,,0.1,,,,,,,,,,,,0.0,,,,,12,0,6-2,0.0,,,,0,,,,,,,,,0,,,,0.0,Kellen Clemens,,0.0,,,0.0,0.0,0,0,0.0,ClemKe00,,,,,,,39.6,,,,,,,2.0,0.2,0.0,-1.0,-0.5,-0.1,0.0,,,,,2016,,SDG,,,,0,,,2.0,,,220,-1.0,0,,,0.0,,,,-0.5,,
