,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1995,85.0,4.36,4.9,82.0,,5,,433,1972-12-30,,,214,71.0,,,,,,,,,,1.0,,,13.0,0.0,4.0,-15.0,3.0,15,13,6-5,4.4,80.0,,,19,,,,,,,,,89,,,,10.0,Kerry Collins,93.0,5.62,77.0,,49.4,3.2,14,2717,6.3,CollKe00,QB,,,,,7-6-0,61.9,,,,,,,42.0,2.8,3.0,74.0,1.8,4.9,3.0,,106.0,0.0,,1995,,CAR,,,,24,,91.0,42.0,,,247,74.0,150,89.0,12.7,181.1,,,,1.8,-15.0,
1996,109.0,5.8,6.4,105.0,,9,,364,1972-12-30,,,204,95.0,,,,,,,,,,1.0,,,6.0,0.0,1.0,0.0,1.0,13,12,6-5,2.5,111.0,,,9,,,,,,,,,55,,,,14.0,Kerry Collins,107.0,6.13,102.0,,56.0,3.8,14,2454,6.7,CollKe00,QB,,,,,9-3-0,79.4,,,,,,,32.0,2.5,0.0,38.0,1.2,2.9,0.0,,112.0,0.0,,1996,,CAR,,,,18,,99.0,32.0,,,247,38.0,114,101.0,12.0,188.8,,,,1.2,0.0,
1997,72.0,2.94,3.7,71.0,,3,,381,1972-12-30,,,200,83.0,,,,,,,,,,,,,8.0,0.0,2.0,-14.0,,13,13,6-5,5.5,68.0,,,21,,,,,,,,,59,,,,21.0,Kerry Collins,79.0,4.72,73.0,,52.5,2.9,11,2124,5.6,CollKe00,QB,,,,,6-7-0,55.7,,,,,,,26.0,2.0,1.0,65.0,2.5,5.0,1.0,,102.0,0.0,,1997,,CAR,,,,27,,88.0,26.0,,,247,65.0,200,78.0,10.6,163.4,,,,2.5,-14.0,
1998,,4.13,5.0,,,4,,353,1972-12-30,,100.0,170,,,,,,,,,,,,,,13.0,0.0,2.0,-9.0,,11,11,6-5,4.2,,,,15,,,,,,,,,89,,,0.0,20.0,Kerry Collins,,5.27,,,48.2,3.4,12,2213,6.3,CollKe00,,,,,,2-9-0,62.0,0.0,-11.0,-1.0,-11.0,1.0,0.1,30.0,2.7,1.0,153.0,5.1,13.9,1.0,,,0.0,,1998,,2TM,,,1.0,31,,,31.0,,,247,142.0,191,,13.0,201.2,,,,4.6,-9.0,
,,5.2,5.8,,,3,,162,1972-12-30,,,76,,,,,,,,,,,,,,5.0,0.0,0.0,-1.0,,4,4,6-5,3.1,,,,5,,,,,,,,,72,,,-11.0,16.0,Kerry Collins,,5.58,,,46.9,4.9,8,1011,6.2,CollKe00,qb,,,,,0-4-0,70.8,0.0,-11.0,-2.8,-11.0,1.0,0.3,7.0,1.8,0.0,40.0,5.7,10.0,0.0,,,0.0,,,,CAR,,,1.0,10,,,8.0,,,247,29.0,51,,13.3,252.8,,,,3.6,-1.0,
1999,102.0,5.39,6.0,99.0,,6,,331,1972-12-30,,,190,100.0,,,,,,,,,,2.0,,,11.0,0.0,2.0,-27.0,2.0,10,7,6-5,3.3,100.0,,,11,,,,,,,,,80,,,,11.0,Kerry Collins,108.0,6.36,95.0,,57.4,2.4,8,2318,7.0,CollKe00,qb,,,,,2-5-0,73.3,,,,,,,19.0,1.9,2.0,36.0,1.9,3.6,2.0,,114.0,0.0,,1999,,NYG,,,,16,,84.0,19.0,,,247,36.0,112,104.0,12.2,231.8,,,,1.9,-27.0,
2000,108.0,5.78,6.6,107.0,,12,,529,1972-12-30,,,311,103.0,,,,,,,,,,3.0,,,7.0,0.0,1.0,-13.0,3.0,16,16,6-5,2.5,113.0,,,13,,,,,,,,,59,,,,15.0,Kerry Collins,104.0,6.04,107.0,,58.8,4.2,22,3610,6.8,CollKe00,QB,,,,,12-4-0,83.1,,,,,,,41.0,2.6,1.0,65.0,1.6,4.1,1.0,,112.0,0.0,,2000,,NYG,,,,28,,103.0,41.0,,,247,65.0,243,101.0,11.6,225.6,,,,1.6,-13.0,
2001,101.0,5.33,6.0,99.0,,10,,568,1972-12-30,,100.0,327,95.0,,,,,,,,,,3.0,,,23.0,0.0,7.0,-48.0,4.0,16,16,6-5,2.8,106.0,,,16,,,,,,,,,76,,,-2.0,11.0,Kerry Collins,101.0,5.89,97.0,,57.6,3.3,19,3764,6.6,CollKe00,QB,,,,,7-9-0,77.1,0.0,-2.0,-0.1,-2.0,1.0,0.1,39.0,2.4,0.0,73.0,1.9,4.6,0.0,,105.0,0.0,,2001,,NYG,,,1.0,36,,92.0,40.0,,,247,71.0,206,98.0,11.5,235.3,,,,1.8,-48.0,
2002,119.0,6.45,7.0,115.0,,12,,545,1972-12-30,,,335,108.0,,,,,,,,,,5.0,,,8.0,0.0,4.0,-15.0,5.0,16,16,6-5,2.6,111.0,,,14,,,,,,,,,82,,,,8.0,Kerry Collins,122.0,6.89,109.0,,61.5,3.5,19,4073,7.5,CollKe00,QB,,,,,10-6-0,85.4,,,,,,,44.0,2.8,0.0,-3.0,-0.1,-0.2,0.0,,115.0,0.0,,2002,,NYG,,,,24,,94.0,44.0,,,247,-3.0,152,117.0,12.2,254.6,,,,-0.1,-15.0,
2003,91.0,4.71,5.3,88.0,,7,,500,1972-12-30,,,284,91.0,,,,,,,,,,1.0,,,12.0,0.0,3.0,-24.0,3.0,13,13,6-5,3.2,99.0,,,16,,,,,,,,,77,,,,22.0,Kerry Collins,93.0,5.58,87.0,,56.8,2.6,13,3110,6.2,CollKe00,QB,,,,,4-9-0,70.7,,,,,,,17.0,1.3,0.0,49.0,2.9,3.8,0.0,,108.0,0.0,,2003,,NYG,,,,28,,81.0,17.0,,,247,49.0,164,89.0,11.0,239.2,,,,2.9,-24.0,
