,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1999,,,,,,0,,0,1977-01-28,,,0,,,,,,,,,,,,,,1,0,1,-2,,1,0,6-4,,,,,0,,,,,,,,,0,,,,9,Daunte Culpepper,,,,,,,0,0,,CulpDa00,,,,,,,,,,,,,,3,3.0,0,6,2.0,6.0,0,,,0.0,,1999,,MIN,,,,0,,,3,,,260,6,0,,,0.0,,,,2.0,-2,
2000,128.0,7.28,8.2,128.0,,21,,474,1977-01-28,,,297,118.0,,,,,,,,,,3.0,,,11,0,5,-23,4.0,16,16,6-4,3.4,99.0,,,16,,,,,,,,,78,,,,27,Daunte Culpepper,128.0,7.39,128.0,,62.7,7.0,33,3937,8.3,CulpDa00,QB,,,,,11-5-0,98.0,,,,,,,89,5.6,7,470,5.3,29.4,7,,102.0,0.0,,2000,,MIN,,,,34,,136.0,89,,,260,470,181,129.0,13.3,246.1,,,,5.3,-23,
2001,101.0,5.32,6.3,103.0,,11,,366,1977-01-28,,100.0,235,118.0,,,,,,,,,,2.0,,,16,0,7,-17,2.0,11,11,6-4,3.6,94.0,,,13,,,,,,,,,57,,,0.0,34,Daunte Culpepper,104.0,6.08,106.0,,64.2,3.8,14,2612,7.1,CulpDa00,QB,,,,,4-7-0,83.3,0.0,0.0,0.0,0.0,1.0,0.1,71,6.5,5,416,5.9,37.8,5,,91.0,0.0,,2001,,MIN,,,1.0,33,,99.0,72,,,260,416,186,108.0,11.1,237.5,,,,5.8,-17,
2002,95.0,4.92,5.8,96.0,,16,,549,1977-01-28,,,333,105.0,,,,,,,,,,3.0,,,23,0,6,-9,4.0,16,16,6-4,4.2,83.0,,,23,,,,,,,,,61,,,,38,Daunte Culpepper,104.0,6.06,94.0,,60.7,3.3,18,3853,7.0,CulpDa00,QB,,,,,6-10-0,75.3,,,,,,,106,6.6,10,609,5.7,38.1,10,,90.0,0.0,,2002,,MIN,,,,47,,91.0,106,,,260,609,244,107.0,11.6,240.8,,,,5.7,-9,
2003,117.0,6.7,7.7,119.0,,16,,454,1977-01-28,,,295,118.0,,,,,,,,,,0.0,,,16,0,6,0,1.0,14,14,6-4,2.4,113.0,,,11,,,,,,,,,59,,,,42,Daunte Culpepper,113.0,6.69,120.0,,65.0,5.5,25,3479,7.7,CulpDa00,QB,,,,,7-7-0,96.4,,,,,,,73,5.2,4,422,5.8,30.1,4,,93.0,0.0,,2003,,MIN,,,,37,,117.0,73,,,260,422,196,116.0,11.8,248.5,,,,5.8,0,
2004,132.0,8.02,9.1,135.0,,20,,548,1977-01-28,,,379,133.0,,,,,,,,,,1.0,,,9,0,0,-11,3.0,16,16,6-4,2.0,120.0,,,11,,,,,,,,,82,,,,16,Daunte Culpepper,126.0,7.54,138.0,,69.2,7.1,39,4717,8.6,CulpDa00,QB,,,,,8-8-0,110.9,,,,,,,88,5.5,2,406,4.6,25.4,2,,92.0,0.0,,2004,,MIN,,,,46,,136.0,88,,,260,406,238,131.0,12.4,294.8,,,,4.6,-11,
2005,82.0,3.95,5.3,88.0,,5,,216,1977-01-28,,,139,115.0,,,,,,,,,,1.0,,,5,0,0,-4,1.0,7,7,6-4,5.6,59.0,,,12,,,,,,,,,68,,,,18,Daunte Culpepper,94.0,5.65,88.0,,64.4,2.8,6,1564,7.2,CulpDa00,qb,,,,,2-5-0,72.0,,,,,,,24,3.4,1,147,6.1,21.0,1,,63.0,0.0,,2005,,MIN,,,,31,,85.0,24,,,260,147,169,106.0,11.3,223.4,,,,6.1,-4,
2006,88.0,4.41,6.2,100.0,,2,,134,1977-01-28,,,81,101.0,22.0,,,,,,,,,0.0,,,3,0,1,0,1.0,4,4,6-4,2.2,114.0,,,3,,,,,,,,,52,,,,7,Daunte Culpepper,83.0,5.03,95.0,,60.4,1.5,2,929,6.9,CulpDa00,qb,,,,,1-3-0,77.0,,,,,,,10,2.5,1,20,2.0,5.0,1,,55.0,0.0,,2006,,MIA,,,,21,,71.0,10,,,260,20,150,102.0,11.5,232.3,,,,2.0,0,
2007,96.0,5.2,6.5,102.0,,4,,186,1977-01-28,,,108,91.0,42.7,,,,,,,,,1.0,,,9,0,4,-7,1.0,7,6,6-4,2.7,105.0,,,5,,,,,,,,,59,,,,9,Daunte Culpepper,95.0,5.8,94.0,,58.1,2.7,5,1331,7.2,CulpDa00,qb,,,,,2-4-0,78.0,,,,,,,20,2.9,3,40,2.0,5.7,3,,75.0,0.0,,2007,,OAK,,,,21,,85.0,20,,,260,40,130,106.0,12.3,190.1,,,,2.0,-7,
2008,80.0,3.88,5.2,85.0,,2,,115,1977-01-28,,,60,71.0,25.2,,,,,,,,,,,,5,0,1,0,,5,5,6-4,5.2,68.0,,,6,,,,,,,,,70,,,,9,Daunte Culpepper,87.0,5.36,77.0,,52.2,3.5,4,786,6.8,CulpDa00,qb,,,,,0-5-0,63.9,,,,,,,12,2.4,1,25,2.1,5.0,1,,66.0,0.0,,2008,,DET,,,,14,,93.0,12,,,260,25,95,98.0,13.1,157.2,,,,2.1,0,
