,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1985,43.0,0.57,2.6,54.0,,2.0,,81.0,1963-03-27,,,34.0,51.0,,,,,,,,,,0.0,,,3.0,,0.0,0.0,1.0,6.0,4.0,6-4,9.9,22.0,,,8.0,,,,,,,,,69.0,,,,37.0,Randall Cunningham,62.0,3.94,41.0,,42.0,1.2,1.0,548.0,6.8,CunnRa00,qb,,,,,1-3-0,29.8,,,,,,,29.0,4.8,0.0,205.0,7.1,34.2,0.0,,29.0,0.0,,1985,,PHI,,,,20.0,,67.0,29.0,,,212,205.0,150.0,94.0,16.1,91.3,,,,7.1,0.0,
1986,68.0,2.66,5.9,99.0,,7.0,,209.0,1963-03-27,0.0,,111.0,92.0,,,,,,,,,,1.0,,,7.0,,4.0,0.0,1.0,15.0,5.0,6-4,3.3,109.0,,,7.0,,,,,,,,,75.0,39.0,,,20.0,Randall Cunningham,44.0,3.21,98.0,,53.1,3.8,8.0,1391.0,6.7,CunnRa00,qb,,,,2.0,1-3-1,72.9,,,,,,,66.0,4.4,5.0,540.0,8.2,36.0,5.0,,-4.0,0.0,,1986,,PHI,,,,72.0,54.0,96.0,66.0,,,212,540.0,489.0,92.0,12.5,92.7,,27.0,,8.2,0.0,
1987,100.0,5.06,6.7,109.0,,11.0,,406.0,1963-03-27,,,223.0,100.0,,,,,,,,,,2.0,,,12.0,,6.0,-7.0,3.0,12.0,12.0,6-4,3.0,114.0,,,12.0,,,,,,,,,70.0,,,-3.0,45.0,Randall Cunningham,87.0,5.23,111.0,,54.9,5.7,23.0,2786.0,6.9,CunnRa00,QB,,,,,7-5-0,83.0,0.0,-3.0,-0.3,-3.0,1.0,0.1,76.0,6.3,3.0,505.0,6.6,42.1,3.0,,73.0,0.0,,1987,,PHI,,,,54.0,,116.0,77.0,,,212,502.0,380.0,98.0,12.5,232.2,,,,6.5,-7.0,
1988,99.0,5.07,6.4,104.0,,17.0,,560.0,1963-03-27,0.0,,301.0,96.0,,,,,,,,,,3.0,,,12.0,,6.0,0.0,3.0,16.0,16.0,6-4,2.9,114.0,,,16.0,,,,,,,,,80.0,58.0,,,33.0,Randall Cunningham,89.0,5.46,104.0,,53.8,4.3,24.0,3808.0,6.8,CunnRa00,QB,,,,3.0,10-6-0,77.6,,,,,,,93.0,5.8,6.0,624.0,6.7,39.0,6.0,,87.0,0.0,,1988,,PHI,,,,57.0,167.0,102.0,93.0,,,212,624.0,442.0,95.0,12.7,238.0,,55.7,,6.7,0.0,
1989,96.0,4.86,5.9,97.0,,15.0,,532.0,1963-03-27,0.0,,290.0,97.0,,,,,,,,,,4.0,,,17.0,,4.0,-6.0,5.0,16.0,16.0,6-4,2.8,113.0,,,15.0,,,,,,,,,66.0,91.0,,,51.0,Randall Cunningham,86.0,5.3,100.0,,54.5,3.9,21.0,3400.0,6.4,CunnRa00,QB,,,,6.0,11-5-0,75.5,,,,,,,104.0,6.5,4.0,621.0,6.0,38.8,4.0,,95.0,0.0,,1989,,PHI,,,,45.0,319.0,99.0,104.0,,,212,621.0,343.0,87.0,11.7,212.5,,53.2,,6.0,-6.0,
1990,109.0,5.93,7.5,119.0,,19.0,,465.0,1963-03-27,,,271.0,107.0,,,,,,,,,,3.0,,,9.0,,3.0,-4.0,3.0,16.0,16.0,6-4,2.8,112.0,,,13.0,,,,,,,,,95.0,,,,52.0,Randall Cunningham,98.0,5.9,122.0,,58.3,6.5,30.0,3466.0,7.5,CunnRa00,QB,,,,,10-6-0,91.6,,,,,,,118.0,7.4,5.0,942.0,8.0,58.9,5.0,,84.0,0.0,,1990,,PHI,,,,49.0,,129.0,118.0,,,212,942.0,431.0,110.0,12.8,216.6,,,,8.0,-4.0,
1991,,0.5,4.8,,,0.0,,4.0,1963-03-27,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,6-4,0.0,,,,0.0,,,,,,,,,19.0,,,,,Randall Cunningham,,0.5,,,25.0,0.0,0.0,19.0,4.8,CunnRa00,qb,,,,,1-0-0,46.9,,,,,,,,,,,,,,,,,,1991,,PHI,,,,2.0,,,,,,212,,16.0,,19.0,19.0,,,,,,
1992,99.0,5.01,6.9,113.0,,15.0,,384.0,1963-03-27,,0.0,233.0,110.0,,,,,,,,,,1.0,,,13.0,,3.0,0.0,1.0,15.0,15.0,6-4,2.9,110.0,,,11.0,,,,,,,,,75.0,,,0.0,30.0,Randall Cunningham,90.0,5.27,115.0,,60.7,4.9,19.0,2775.0,7.2,CunnRa00,QB,,,,,10-5-0,87.3,0.0,0.0,0.0,,0.0,0.0,87.0,5.8,5.0,549.0,6.3,36.6,5.0,,60.0,0.0,,1992,,PHI,,,1.0,60.0,,115.0,87.0,,,212,549.0,437.0,108.0,11.9,185.0,,,,6.3,0.0,
1993,110.0,5.91,6.6,108.0,,3.0,,110.0,1963-03-27,,,76.0,133.0,,,,,,,,,,2.0,,,3.0,0.0,0.0,0.0,2.0,4.0,4.0,6-4,4.5,83.0,,,5.0,,,,,,,,,80.0,,,,26.0,Randall Cunningham,120.0,6.98,115.0,,69.1,4.5,5.0,850.0,7.7,CunnRa00,qb,,,,,4-0-0,88.1,,,,,,,18.0,4.5,1.0,110.0,6.1,27.5,1.0,,105.0,0.0,,1993,,PHI,,,,7.0,,110.0,18.0,,,212,110.0,33.0,119.0,11.2,212.5,,,,6.1,0.0,
1994,95.0,4.94,6.0,99.0,,11.0,,490.0,1963-03-27,0.0,,265.0,87.0,,,,,,,,,,2.0,,,10.0,0.0,2.0,-15.0,2.0,14.0,14.0,6-4,2.7,107.0,,,13.0,,,,,,,,,93.0,80.0,,,22.0,Randall Cunningham,90.0,5.43,95.0,,54.1,3.3,16.0,3229.0,6.6,CunnRa00,QB,,,,1.0,7-7-0,74.4,,,,,,,65.0,4.6,3.0,288.0,4.4,20.6,3.0,,88.0,0.0,,1994,,PHI,,,,43.0,80.0,93.0,65.0,,,212,288.0,333.0,97.0,12.2,230.6,,80.0,,4.4,-15.0,
