,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,105.0,5.81,7.0,110.0,,3,,137,1983-04-29,,,81,96.0,42.5,,,,,,,,,,,,8,0,3,-8,,5,5,6-3,3.6,92.0,,,5,,,,,,,,,71,,,,9,Jay Cutler,102.0,6.11,110.0,,59.1,6.6,9,1001,7.3,CutlJa00,qb,,,,,2-3-0,88.5,,,,,,,12,2.4,0,18,1.5,3.6,0,,86.0,0.0,,2006,,DEN,,,,13,,129.0,12,,,231,18,85,109.0,12.4,200.2,,,,1.5,-8,
2007,110.0,6.3,7.0,109.0,,12,,467,1983-04-29,,,297,110.0,63.8,,,,,,,,,2.0,,,11,0,3,-31,3.0,16,16,6-3,3.0,100.0,,,14,,,,,,,,,68,,,,31,Jay Cutler,113.0,6.77,108.0,,63.6,4.3,20,3497,7.5,CutlJa00,QB,,,,,7-9-0,88.1,,,,,,,44,2.8,1,205,4.7,12.8,1,,104.0,0.0,,2007,,DEN,,,,27,,103.0,44,,,231,205,153,112.0,11.8,218.6,,,,4.7,-31,
2008,111.0,6.61,6.8,105.0,,15,,616,1983-04-29,,,384,104.0,65.7,,,,,,,,,3.0,,,5,0,0,-11,4.0,16,16,6-3,2.9,101.0,,,18,,,,,,,,,93,,,,18,Jay Cutler,117.0,7.11,104.0,,62.3,4.1,25,4526,7.3,CutlJa00,QB,,,,,8-8-0,86.0,,,,,,,57,3.6,2,200,3.5,12.5,2,,130.0,0.0,,2008,,DEN,,,,11,,100.0,57,,,231,200,69,108.0,11.8,282.9,,,,3.5,-11,
2009,89.0,4.8,5.5,88.0,,10,,555,1983-04-29,,,336,99.0,50.3,,,,,,,,,2.0,,,9,0,5,-8,4.0,16,16,6-3,4.7,75.0,,,26,,,,,,,,,71,,,,30,Jay Cutler,95.0,5.87,92.0,,60.5,4.9,27,3666,6.6,CutlJa00,QB,,,,,7-9-0,76.8,,,,,,,40,2.5,1,173,4.3,10.8,1,,101.0,0.0,,2009,,CHI,,,,35,,109.0,40,,,231,173,204,93.0,10.9,229.1,,,,4.3,-8,
2010,97.0,5.5,7.0,104.0,,12,0.0,432,1983-04-29,,,261,99.0,51.1,,,,,,,,,4.0,,,10,0,1,0,4.0,15,15,6-3,3.7,90.0,,,16,,,,,,,,,89,,,,25,Jay Cutler,97.0,6.04,103.0,,60.4,5.3,23,3274,7.6,CutlJa00,QB,,,,,10-5-0,86.3,,,,,,,50,3.3,1,232,4.6,15.5,1,,66.0,0.0,,2010,1.0,CHI,,,,52,,112.0,50,,,231,232,352,109.0,12.5,218.3,,,,4.6,0,
2011,105.0,6.25,7.2,107.0,,7,,314,1983-04-29,,,182,91.0,63.6,,,,,,,,,1.0,,,7,0,4,-8,1.0,10,10,6-3,2.2,110.0,,,7,,,,,,,,,56,,,,12,Jay Cutler,103.0,6.41,101.0,,58.0,4.1,13,2319,7.4,CutlJa00,QB,,,,,7-3-0,85.7,,,,,,,18,1.8,1,55,3.1,5.5,1,,95.0,0.0,,2011,,CHI,,,,23,,98.0,18,,,231,55,159,106.0,12.7,231.9,,,,3.1,-8,
2012,93.0,5.37,6.4,96.0,,11,,434,1983-04-29,,,255,93.0,48.1,,,,,,,,,1.0,,,8,0,1,0,1.0,15,15,6-3,3.2,92.0,,,14,,,,,,,,,60,,,,24,Jay Cutler,93.0,5.9,95.0,,58.8,4.4,19,3033,7.0,CutlJa00,QB,,,,,10-5-0,81.3,,,,,,,41,2.7,0,233,5.7,15.5,0,,87.0,0.0,,2012,,CHI,,,,38,,101.0,41,,,231,233,250,97.0,11.9,202.2,,,,5.7,0,
2013,103.0,6.23,6.9,101.0,,9,,355,1983-04-29,,,224,106.0,70.9,,,,,,,,,3.0,,,5,0,1,-10,3.0,11,11,6-3,3.4,87.0,,,12,,,,,,,,,67,,,,18,Jay Cutler,108.0,6.66,103.0,,63.1,5.4,19,2621,7.4,CutlJa00,QB,,,,,5-6-0,89.2,,,,,,,23,2.1,0,118,5.1,10.7,0,,111.0,0.0,,2013,,CHI,,,,19,,111.0,23,,,231,118,132,106.0,11.7,238.3,,,,5.1,-10,
2014,93.0,5.57,6.3,92.0,,11,,561,1983-04-29,,,370,115.0,51.8,,,,,,,,,1.0,,,12,0,4,-29,1.0,15,15,6-3,3.2,89.0,,,18,,,,,,,,,74,,,,25,Jay Cutler,93.0,5.99,100.0,,66.0,5.0,28,3812,6.8,CutlJa00,QB,,,,,5-10-0,88.6,,,,,,,39,2.6,2,191,4.9,12.7,2,,100.0,0.0,,2014,,CHI,,,,38,,106.0,39,,,231,191,223,91.0,10.3,254.1,,,,4.9,-29,
2015,108.0,6.71,7.4,106.0,,12,,483,1983-04-29,,,311,106.0,59.9,,,,,,,,,4.0,,,8,0,2,-8,4.0,15,15,6-3,2.3,102.0,,,11,,,,,,,,,87,,,,26,Jay Cutler,111.0,6.85,104.0,,64.4,4.3,21,3659,7.6,CutlJa00,QB,,,,,6-9-0,92.3,,,,,,,38,2.5,1,201,5.3,13.4,1,,103.0,0.0,,2015,,CHI,,,,29,,99.0,38,,,231,201,150,109.0,11.8,243.9,,,,5.3,-8,
2016,87.0,5.26,6.7,96.0,,2,,137,1983-04-29,,,81,86.0,23.2,,,,,,,,,,,,6,0,2,0,,5,5,6-3,3.6,77.0,,,5,,,,,,,,,54,,,,12,Jay Cutler,98.0,6.2,85.0,,59.1,2.9,4,1059,7.7,CutlJa00,qb,,,,,1-4-0,78.1,,,,,,,5,1.0,0,24,4.8,4.8,0,,59.0,0.0,,2016,,CHI,,,,17,,83.0,5,,,231,24,104,113.0,13.1,211.8,,,,4.8,0,
2017,85.0,5.04,5.6,81.0,,5,,429,1983-04-29,,,266,95.0,45.6,,,,,,,,,2.0,,,6,0,6,-5,3.0,14,14,6-3,3.3,85.0,,,14,,,,,,,,,65,,,,9,Jay Cutler,86.0,5.59,88.0,,62.0,4.4,19,2666,6.2,CutlJa00,QB,,,,,6-8-0,80.8,,,,,,,19,1.4,0,32,1.7,2.3,0,,114.0,0.0,,2017,,MIA,,,,20,,100.0,19,,,231,32,154,80.0,10.0,190.4,,,,1.7,-5,
Career,,5.81,6.6,,,109,0.0,4920,1983-04-29,,,3048,,,,,,,,,,,23.0,,,95,0,32,-118,28.0,153,153,6-3,3.3,,,,160,,,,,,,,,93,,,,31,Jay Cutler,,6.31,,,62.0,4.6,227,35133,7.1,CutlJa00,,,,,,74-79-0,85.3,,,,,,,386,2.5,9,1682,4.4,11.0,9,,,0.0,,Career,1.0,,,,,322,,,386,,,231,1682,2035,,11.5,229.6,,,,4.4,-118,
