,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,73.0,3.11,3.7,69.0,,3,,135,1982-11-24,,,76,89.0,,,,,,,,,,1.0,,,3.0,0.0,1.0,-3.0,1.0,4,3,6-2,5.9,52.0,,,8,,,,,,,,,56,,,,14.0,Ryan Fitzpatrick,84.0,5.06,71.0,,56.3,3.0,4,777,5.8,FitzRy00,,,,,,0-3-0,58.2,,,,,,,14.0,3.5,2.0,64.0,4.6,16.0,2.0,,103.0,0.0,,2005,,STL,,,,9,,87.0,14.0,,,228,64.0,49,80.0,10.2,194.3,,,,4.6,-3.0,
2006,,,,,,0,,0,1982-11-24,,,0,,99.4,,,,,,,,,,,,0.0,,,,,1,0,6-2,,,,,0,,,,,,,,,0,,,,2.0,Ryan Fitzpatrick,,,,,,,0,0,,FitzRy00,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,2006,,STL,,,,0,,,3.0,,,228,0.0,0,,,0.0,,,,0.0,,
2007,,,,,,0,,0,1982-11-24,,,0,,,,,,,,,,,,,,,,,,,1,0,6-2,,,,,0,,,,,,,,,0,,,,,Ryan Fitzpatrick,,,,,,,0,0,,FitzRy00,,,,,,,,,,,,,,,,,,,,,,,,,2007,,CIN,,,,0,,,,,,228,,0,,,0.0,,,,,,
2008,76.0,3.58,4.5,77.0,,3,,372,1982-11-24,,100.0,221,94.0,50.4,,,,,,,,,,,,11.0,0.0,8.0,-12.0,,13,12,6-2,2.4,108.0,,,9,,,,,,,,,79,,,-3.0,22.0,Ryan Fitzpatrick,67.0,4.18,84.0,,59.4,2.2,8,1905,5.1,FitzRy00,QB,,,,,4-7-1,70.0,0.0,-3.0,-0.2,-3.0,1.0,0.1,60.0,4.6,2.0,304.0,5.1,23.4,2.0,,77.0,0.0,,2008,,CIN,,,1.0,38,,79.0,61.0,,,228,301.0,193,66.0,8.6,146.5,,,,4.9,-12.0,
2009,81.0,4.13,5.1,83.0,,3,,227,1982-11-24,,,127,83.0,35.3,,,,,,,,,1.0,,,3.0,0.0,0.0,-1.0,2.0,10,8,6-2,4.4,79.0,,,10,,,,,,,,,98,,,,31.0,Ryan Fitzpatrick,83.0,5.22,83.0,,55.9,4.0,9,1422,6.3,FitzRy00,QB,,,,,4-4-0,69.7,,,,,,,31.0,3.1,1.0,141.0,4.5,14.1,1.0,,81.0,0.0,,2009,,BUF,,,,21,,98.0,31.0,,,228,141.0,127,87.0,11.2,142.2,,,,4.5,-1.0,
2010,99.0,5.68,6.3,97.0,,9,,441,1982-11-24,,,255,91.0,50.7,,,,,,,,,1.0,,,8.0,0.0,3.0,0.0,1.0,13,13,6-2,3.4,94.0,,,15,,,,,,,,,65,,,,22.0,Ryan Fitzpatrick,99.0,6.14,98.0,,57.8,5.2,23,3000,6.8,FitzRy00,QB,,,,,4-9-0,81.8,,,,,,,40.0,3.1,0.0,269.0,6.7,20.7,0.0,,108.0,0.0,,2010,,BUF,,,,24,,111.0,40.0,,,228,269.0,145,95.0,11.8,230.8,,,,6.7,0.0,
2011,93.0,5.29,5.8,88.0,,11,,569,1982-11-24,,,353,105.0,50.5,,,,,,,,,2.0,,,7.0,0.0,4.0,0.0,2.0,16,16,6-2,4.0,80.0,,,23,,,,,,,,,60,,,,18.0,Ryan Fitzpatrick,100.0,6.23,93.0,,62.0,4.2,24,3832,6.7,FitzRy00,QB,,,,,6-10-0,79.1,,,,,,,56.0,3.5,0.0,215.0,3.8,13.4,0.0,,120.0,0.0,,2011,,BUF,,,,22,,99.0,56.0,,,228,215.0,148,93.0,10.9,239.5,,,,3.8,0.0,
2012,96.0,5.61,6.3,94.0,,11,,505,1982-11-24,,,306,99.0,43.8,,,,,,,,,0.0,,,8.0,0.0,2.0,0.0,1.0,16,16,6-2,3.2,93.0,,,16,,,,,,,,,68,,,,20.0,Ryan Fitzpatrick,96.0,6.05,97.0,,60.6,4.8,24,3400,6.7,FitzRy00,QB,,,,,6-10-0,83.3,,,,,,,48.0,3.0,1.0,197.0,4.1,12.3,1.0,,107.0,0.0,,2012,,BUF,,,,30,,105.0,48.0,,,228,197.0,161,92.0,11.1,212.5,,,,4.1,0.0,
2013,95.0,5.62,6.3,92.0,,9,,350,1982-11-24,,100.0,217,101.0,57.2,,,,,,,,,2.0,,,9.0,0.0,4.0,-3.0,2.0,11,9,6-2,3.4,86.0,,,12,,,,,,,,,77,,,0.0,26.0,Ryan Fitzpatrick,101.0,6.32,94.0,,62.0,4.0,14,2454,7.0,FitzRy00,QB,,,,,3-6-0,82.0,0.0,0.0,0.0,0.0,1.0,0.1,43.0,3.9,3.0,225.0,5.2,20.5,3.0,,106.0,0.0,,2013,,TEN,,,1.0,21,,96.0,44.0,,,228,225.0,109,97.0,11.3,223.1,,,,5.1,-3.0,
2014,114.0,7.15,7.9,113.0,,9,,312,1982-11-24,,,197,103.0,61.1,,,,,,,,,,,,5.0,0.0,4.0,-2.0,,12,12,6-2,2.6,100.0,,,8,,,,,,,,,76,,,,16.0,Ryan Fitzpatrick,119.0,7.21,109.0,,63.1,5.4,17,2483,8.0,FitzRy00,QB,,,,,6-6-0,95.3,,,,,,,50.0,4.2,2.0,184.0,3.7,15.3,2.0,,100.0,0.0,,2014,,HOU,,,,21,,111.0,50.0,,,228,184.0,83,118.0,12.6,206.9,,,,3.7,-2.0,
