,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1986,,5.79,7.2,,,1.0,,46.0,1962-10-23,,,23.0,,,,,,,,,,,1.0,,,3.0,,2.0,-4.0,1.0,4.0,1.0,5-10,4.3,,,,2.0,,,,,,,,,58.0,,,,19.0,Doug Flutie,,6.37,,,50.0,6.5,3.0,361.0,7.8,FlutDo00,qb,,,,,1-0-0,80.1,,,,,,,9.0,2.3,1.0,36.0,4.0,9.0,1.0,,,0.0,,1986,,CHI,,,,6.0,,,9.0,,,180,36.0,30.0,,15.7,90.3,,,,4.0,-4.0,
1987,,8.31,8.8,,,1.0,,25.0,1962-10-23,,,15.0,,,,,,,,,,,,,,1.0,,1.0,0.0,,2.0,1.0,5-10,0.0,,,,0.0,,,,,,,,,30.0,,,,13.0,Doug Flutie,,7.54,,,60.0,4.0,1.0,199.0,8.0,FlutDo00,,,,,,1-0-0,98.6,,,,,,,6.0,3.0,0.0,43.0,7.2,21.5,0.0,,,0.0,,1987,,2TM,,,,1.0,,,6.0,,,180,43.0,3.0,,13.3,99.5,,,,7.2,0.0,
,,,,,,0.0,,0.0,1962-10-23,,,0.0,,,,,,,,,,,,,,1.0,,1.0,0.0,,1.0,0.0,5-10,,,,,0.0,,,,,,,,,0.0,,,,13.0,Doug Flutie,,,,,,,0.0,0.0,,FlutDo00,,,,,,,,,,,,,,6.0,6.0,0.0,43.0,7.2,43.0,0.0,,,0.0,,,,CHI,,,,0.0,,,6.0,,,180,43.0,0.0,,,0.0,,,,7.2,0.0,
1988,87.0,4.18,4.8,83.0,,3.0,,179.0,1962-10-23,,,92.0,88.0,,,,,,,,,,1.0,,,3.0,,0.0,0.0,1.0,11.0,9.0,5-10,5.6,77.0,,,10.0,,,,,,,,,80.0,,,,16.0,Doug Flutie,94.0,5.71,86.0,,51.4,4.5,8.0,1150.0,6.4,FlutDo00,QB,,,,,6-3-0,63.3,,,,,,,38.0,3.5,1.0,179.0,4.7,16.3,1.0,,109.0,0.0,,1988,,NWE,,,,11.0,,104.0,38.0,,,180,179.0,65.0,87.0,12.5,104.5,,,,4.7,0.0,
1989,72.0,3.1,3.9,70.0,,2.0,,91.0,1962-10-23,,,36.0,45.0,,,,,,,,,,,,,1.0,,0.0,0.0,,5.0,3.0,5-10,4.4,91.0,,,4.0,,,,,,,,,36.0,,,,22.0,Doug Flutie,71.0,4.55,62.0,,39.6,2.2,2.0,493.0,5.4,FlutDo00,qb,,,,,1-2-0,46.6,,,,,,,16.0,3.2,0.0,87.0,5.4,17.4,0.0,,106.0,0.0,,1989,,NWE,,,,6.0,,78.0,16.0,,,180,87.0,52.0,66.0,13.7,98.6,,,,5.4,0.0,
1990,,,,,,,,,1962-10-23,,,,,,,,,,,,,,,,,,,,,,,,5-10,,,,,,,,,,,,,,,,,,,Doug Flutie,,,,,,,,,,FlutDo00,,,,,,,,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,,,180,,,,,,,,,,,
1998,121.0,6.93,7.4,115.0,,13.0,,354.0,1962-10-23,,,202.0,102.0,,,,,,,,,,2.0,,,3.0,0.0,4.0,-13.0,2.0,13.0,10.0,5-10,3.1,102.0,,,11.0,,,,,,,,,84.0,,,,23.0,Doug Flutie,125.0,7.19,112.0,,57.1,5.6,20.0,2711.0,7.7,FlutDo00,QB,,,,,7-3-0,87.4,,,,,,,48.0,3.7,1.0,248.0,5.2,19.1,1.0,,123.0,0.0,,1998,,BUF,,,,12.0,,117.0,48.0,,,180,248.0,78.0,116.0,13.4,208.5,,,,5.2,-13.0,
1999,100.0,5.27,5.9,98.0,,14.0,,478.0,1962-10-23,,,264.0,92.0,,,,,,,,,,2.0,,,6.0,0.0,1.0,-5.0,2.0,15.0,15.0,5-10,3.3,99.0,,,16.0,,,,,,,,,54.0,,,,24.0,Doug Flutie,101.0,5.94,97.0,,55.2,4.0,19.0,3171.0,6.6,FlutDo00,QB,,,,,10-5-0,75.1,,,,,,,88.0,5.9,1.0,476.0,5.4,31.7,1.0,,111.0,0.0,,1999,,BUF,,,,26.0,,99.0,88.0,,,180,476.0,176.0,98.0,12.0,211.4,,,,5.4,-5.0,
2000,123.0,6.88,7.5,119.0,,6.0,1.0,231.0,1962-10-23,,,132.0,96.0,,,,,,,,,,1.0,,,5.0,0.0,2.0,-9.0,3.0,11.0,5.0,5-10,1.3,132.0,,,3.0,,,,,,,,,52.0,,,,32.0,Doug Flutie,117.0,6.77,112.0,,57.1,3.5,8.0,1700.0,7.4,FlutDo00,qb,,,,,4-1-0,86.5,,,,,,,36.0,3.3,1.0,161.0,4.5,14.6,1.0,,118.0,0.0,,2000,0.0,BUF,,,,10.0,,95.0,36.0,,,180,161.0,68.0,111.0,12.9,154.5,,,,4.5,-9.0,
2001,98.0,5.1,5.7,94.0,,11.0,,521.0,1962-10-23,,,294.0,91.0,,,,,,,,,,1.0,,,7.0,0.0,5.0,-8.0,1.0,16.0,16.0,5-10,3.5,96.0,,,18.0,,,,,,,,,78.0,,,,16.0,Doug Flutie,103.0,6.04,90.0,,56.4,2.9,15.0,3464.0,6.6,FlutDo00,QB,,,,,5-11-0,72.0,,,,,,,53.0,3.3,1.0,192.0,3.6,12.0,1.0,,113.0,0.0,,2001,,SDG,,,,25.0,,86.0,53.0,,,180,192.0,168.0,98.0,11.8,216.5,,,,3.6,-8.0,
