,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1994,88.0,4.44,4.8,81.0,,2,,100,1971-07-31,,,46,62.0,,,,,,,,,,,,,4.0,0.0,2.0,-4.0,,4,4,6-3,5.0,71.0,,,5,,,,,,,,,51,,,,2.0,Gus Frerotte,95.0,5.65,77.0,,46.0,5.0,5,600,6.0,FrerGu00,qb,,,,,1-3-0,61.2,,,,,,,4.0,1.0,0.0,1.0,0.3,0.3,0.0,,122.0,0.0,,1994,,WAS,,,,3,,115.0,4.0,,,237,1.0,18,84.0,13.0,150.0,,,,0.3,-4.0,
1995,100.0,5.33,6.1,101.0,,8,,396,1971-07-31,,,199,74.0,,,,,,,,,,1.0,,,7.0,0.0,4.0,-16.0,0.0,16,11,6-3,3.3,98.0,,,13,,,,,,,,,73,,,,10.0,Gus Frerotte,104.0,6.11,89.0,,50.3,3.3,13,2751,6.9,FrerGu00,QB,,,,,3-8-0,70.2,,,,,,,22.0,1.4,1.0,16.0,0.7,1.0,1.0,,104.0,0.0,,1995,,WAS,,,,23,,92.0,22.0,,,237,16.0,192,105.0,13.8,171.9,,,,0.7,-16.0,
1996,115.0,6.23,6.8,111.0,,14,,470,1971-07-31,,,270,100.0,,,,,,,,,,,,,12.0,0.0,1.0,-12.0,,16,16,6-3,2.3,113.0,,,11,,,,,,,,,52,,,,17.0,Gus Frerotte,122.0,6.75,102.0,,57.4,2.6,12,3453,7.3,FrerGu00,QB,,,,,9-7-0,79.3,,,,,,,28.0,1.8,0.0,16.0,0.6,1.0,0.0,,114.0,0.0,,1996,,WAS,,,,22,,83.0,28.0,,,237,16.0,134,116.0,12.8,215.8,,,,0.6,-12.0,
1997,104.0,5.5,6.2,101.0,,9,,402,1971-07-31,,,204,77.0,,,,,,,,,,0.0,,,8.0,0.0,2.0,-16.0,2.0,13,13,6-3,3.0,103.0,,,12,,,,,,,,,52,,,,26.0,Gus Frerotte,103.0,5.97,96.0,,50.7,4.2,17,2682,6.7,FrerGu00,QB,,,,,6-6-1,73.8,,,,,,,25.0,1.9,2.0,65.0,2.6,5.0,2.0,,110.0,0.0,,1997,,WAS,,,,23,,102.0,25.0,,,237,65.0,146,99.0,13.1,206.3,,,,2.6,-16.0,
1998,57.0,1.62,3.1,66.0,,1,,54,1971-07-31,,,25,58.0,,,,,,,,,,,,,0.0,,,,,3,2,6-3,5.6,68.0,,,3,,,,,,,,,22,,,,20.0,Gus Frerotte,56.0,3.36,61.0,,46.3,1.9,1,283,5.2,FrerGu00,qb,,,,,0-2-0,45.5,,,,,,,3.0,1.0,0.0,20.0,6.7,6.7,0.0,,35.0,,,1998,,WAS,,,,12,,78.0,3.0,,,237,20.0,61,73.0,11.3,94.3,,,,6.7,,
1999,104.0,5.63,6.9,108.0,,7,,288,1971-07-31,,,175,113.0,,,,,,,,,,2.0,,,3.0,0.0,1.0,0.0,2.0,9,6,6-3,2.4,112.0,,,7,,,,,,,,,77,,,,8.0,Gus Frerotte,103.0,6.06,107.0,,60.8,3.1,9,2117,7.4,FrerGu00,qb,,,,,2-4-0,83.6,,,,,,,15.0,1.7,0.0,33.0,2.2,3.7,0.0,,89.0,0.0,,1999,,DET,,,,28,,91.0,15.0,,,237,33.0,202,109.0,12.1,235.2,,,,2.2,0.0,
2000,114.0,6.23,6.9,111.0,,7,,232,1971-07-31,,,138,105.0,,,,,,,,,,2.0,,,5.0,0.0,0.0,0.0,2.0,10,6,6-3,3.4,98.0,,,8,,,,,,,,,44,,,,13.0,Gus Frerotte,120.0,6.96,106.0,,59.5,3.9,9,1776,7.7,FrerGu00,,,,,,4-2-0,82.1,,,,,,,22.0,2.2,1.0,64.0,2.9,6.4,1.0,,113.0,0.0,,2000,,DEN,,,,12,,100.0,22.0,,,237,64.0,77,117.0,12.9,177.6,,,,2.9,0.0,
2001,,6.8,7.7,,,1,,48,1971-07-31,,,30,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,,4,1,6-3,0.0,,,,0,,,,,,,,,26,,,,4.0,Gus Frerotte,,5.63,,,62.5,6.3,3,308,6.4,FrerGu00,qb,,,,,0-1-0,101.7,,,,,,,10.0,2.5,1.0,9.0,0.9,2.3,1.0,,,0.0,,2001,,DEN,,,,3,,,10.0,,,237,9.0,21,,10.3,77.0,,,,0.9,0.0,
2002,45.0,1.66,2.7,48.0,,1,,85,1971-07-31,,,44,73.0,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,4,3,6-3,5.9,54.0,,,5,,,,,,,,,51,,,,9.0,Gus Frerotte,56.0,3.82,50.0,,51.8,1.2,1,437,5.1,FrerGu00,qb,,,,,0-3-0,46.1,,,,,,,4.0,1.0,0.0,22.0,5.5,5.5,0.0,,72.0,0.0,,2002,,CIN,,,,10,,60.0,4.0,,,237,22.0,74,65.0,9.9,109.3,,,,5.5,0.0,
2003,162.0,10.26,11.4,166.0,,2,,65,1971-07-31,,,38,97.0,,,,,,,,,,,,,2.0,0.0,2.0,-2.0,,16,2,6-3,3.1,101.0,,,2,,,,,,,,,72,,,,4.0,Gus Frerotte,165.0,9.54,148.0,,58.5,10.8,7,690,10.6,FrerGu00,qb,,,,,2-0-0,118.1,,,,,,,12.0,0.8,0.0,-2.0,-0.2,-0.1,0.0,,95.0,0.0,,2003,,MIN,,,,5,,183.0,12.0,,,237,-2.0,22,170.0,18.2,43.1,,,,-0.2,-2.0,
