,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1990,,2.87,3.3,,,0,,22,1967-05-19,,,11,,,,,,,,,,,,,,0.0,,,,,1,1,6-4,4.5,,,,1,,,,,,,,,17,,,,3.0,John Friesz,,3.96,,,50.0,4.5,1,98,4.5,FrieJo00,qb,,,,,0-1-0,58.5,,,,,,,1.0,1.0,0.0,3.0,3.0,3.0,0.0,,,,,1990,,SDG,,,,1,,,1.0,,,214,3.0,7,,8.9,98.0,,,,3.0,,
1991,90.0,4.33,5.1,86.0,,9,,487,1967-05-19,,,262,88.0,,,,,,,,,,2.0,,,10.0,,2.0,-21.0,3.0,16,16,6-4,3.1,108.0,,,15,,,,,,,,,58,,,,11.0,John Friesz,86.0,5.17,87.0,,53.8,2.5,12,2896,5.9,FrieJo00,QB,,,,,4-12-0,67.1,,,,,,,10.0,0.6,0.0,18.0,1.8,1.1,0.0,,107.0,0.0,,1991,,SDG,,,,32,,83.0,10.0,,,214,18.0,214,79.0,11.1,181.0,,,,1.8,-21.0,
1993,97.0,4.94,5.6,95.0,,5,,238,1967-05-19,,,128,88.0,,,,,,,,,,2.0,,,2.0,0.0,1.0,-3.0,2.0,12,6,6-4,1.7,126.0,,,4,,,,,,,,,66,,,,2.0,John Friesz,88.0,5.17,95.0,,53.8,2.5,6,1402,5.9,FrieJo00,qb,,,,,2-4-0,72.8,,,,,,,10.0,0.8,0.0,3.0,0.3,0.3,0.0,,108.0,0.0,,1993,,SDG,,,,14,,84.0,10.0,,,214,3.0,98,83.0,11.0,116.8,,,,0.3,-3.0,
1994,102.0,5.46,5.9,97.0,,4,,180,1967-05-19,,,105,101.0,,,,,,,,,,,,,2.0,0.0,1.0,0.0,,16,4,6-4,5.0,71.0,,,9,,,,,,,,,73,,,,1.0,John Friesz,113.0,6.56,99.0,,58.3,5.6,10,1266,7.0,FrieJo00,qb,,,,,1-3-0,77.7,,,,,,,1.0,0.1,0.0,1.0,1.0,0.1,0.0,,120.0,0.0,,1994,,WAS,,,,6,,122.0,1.0,,,214,1.0,45,106.0,12.1,79.1,,,,1.0,0.0,
1995,114.0,6.24,6.5,106.0,,3,,120,1967-05-19,,,64,84.0,,,,,,,,,,1.0,,,2.0,0.0,1.0,-3.0,1.0,6,3,6-4,2.5,111.0,,,3,,,,,,,,,43,,,,2.0,John Friesz,110.0,6.37,103.0,,53.3,5.0,6,795,6.6,FrieJo00,qb,,,,,1-2-0,80.4,,,,,,,11.0,1.8,0.0,0.0,0.0,0.0,0.0,,125.0,0.0,,1995,,SEA,,,,3,,114.0,11.0,,,214,0.0,12,97.0,12.4,132.5,,,,0.0,-3.0,
1996,125.0,6.87,7.6,123.0,,6,,211,1967-05-19,,,120,98.0,,,,,,,,,,2.0,,,7.0,0.0,2.0,-6.0,1.0,8,6,6-4,1.9,120.0,,,4,,,,,,,,,80,,,,3.0,John Friesz,127.0,6.96,112.0,,56.9,3.8,8,1629,7.7,FrieJo00,qb,,,,,4-2-0,86.4,,,,,,,12.0,1.5,0.0,1.0,0.1,0.1,0.0,,108.0,0.0,,1996,,SEA,,,,12,,98.0,12.0,,,214,1.0,77,125.0,13.6,203.6,,,,0.1,-6.0,
1997,,-0.21,0.1,,,0,,36,1967-05-19,,,15,,,,,,,,,,,,,,1.0,0.0,1.0,-2.0,,2,1,6-4,8.3,,,,3,,,,,,,,,22,,,,0.0,John Friesz,,3.34,,,41.7,0.0,0,138,3.8,FrieJo00,qb,,,,,0-1-0,18.1,,,,,,,1.0,0.5,0.0,0.0,0.0,0.0,0.0,,,0.0,,1997,,SEA,,,,2,,,1.0,,,214,0.0,11,,9.2,69.0,,,,0.0,-2.0,
1998,,7.04,7.3,,,1,,49,1967-05-19,,,29,,,,,,,,,,,,,,0.0,,,,,6,1,6-4,4.1,,,,2,,,,,,,,,81,,,,8.0,John Friesz,,8.04,,,59.2,4.1,2,409,8.3,FrieJo00,qb,,,,,1-0-0,82.8,,,,,,,5.0,0.8,0.0,5.0,1.0,0.8,0.0,,,,,1998,,SEA,,,,1,,,5.0,,,214,5.0,7,,14.1,68.2,,,,1.0,,
1999,,,,,,0,,0,1967-05-19,,,0,,,,,,,,,,,,,,0.0,,,,,1,0,6-4,,,,,0,,,,,,,,,0,,,,-1.0,John Friesz,,,,,,,0,0,,FrieJo00,,,,,,,,,,,,,,2.0,2.0,0.0,-2.0,-1.0,-2.0,0.0,,,,,1999,,NWE,,,,0,,,2.0,,,214,-2.0,0,,,0.0,,,,-1.0,,
2000,,0.21,1.0,,,0,,21,1967-05-19,,,11,,,,,,,,,,,,,,,,,,,1,0,6-4,4.8,,,,1,,,,,,,,,17,,,,,John Friesz,,2.08,,,52.4,0.0,0,66,3.1,FrieJo00,,,,,,,39.0,,,,,,,,,,,,,,,,,,2000,,NWE,,,,3,,,,,,214,,16,,6.0,66.0,,,,,,
