,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1997,,0.0,0.0,,,0.0,,1.0,1970-07-09,,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,6-3,0.0,,,,0.0,,,,,,,,,0.0,,,,,Trent Green,,0.0,,,0.0,0.0,0.0,0.0,0.0,GreeTr00,,,,,,,39.6,,,,,,,,,,,,,,,,,,1997,,WAS,,,,0.0,,,,,,217,,0.0,,,0.0,,,,,,
1998,103.0,5.5,6.7,107.0,,11.0,,509.0,1970-07-09,,100.0,278.0,92.0,,,,,,,,,,2.0,,,14.0,0.0,4.0,0.0,2.0,15.0,14.0,6-3,2.2,115.0,,,11.0,,,,,,,,,75.0,,,0.0,13.0,Trent Green,95.0,5.56,105.0,,54.6,4.5,23.0,3441.0,6.8,GreeTr00,QB,,,,,6-8-0,81.8,0.0,-8.0,-0.5,-4.0,2.0,0.1,42.0,2.8,2.0,117.0,2.8,7.8,2.0,,91.0,0.0,,1998,,WAS,,,2.0,49.0,,105.0,44.0,,,217,109.0,338.0,100.0,12.4,229.4,,,,2.5,0.0,
1999,,,,,,,,,1970-07-09,,,,,,,,,,,,,,,,,,,,,,,,6-3,,,,,,,,,,,,,,,,,,,Trent Green,,,,,,,,,,GreeTr00,,,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,,,,,,,,217,,,,,,,,,,,
2000,133.0,7.63,9.0,139.0,,10.0,,240.0,1970-07-09,,,145.0,109.0,,,,,,,,,,0.0,,,3.0,0.0,0.0,0.0,1.0,8.0,5.0,6-3,2.1,119.0,,,5.0,,,,,,,,,64.0,,,,18.0,Trent Green,126.0,7.27,133.0,,60.4,6.7,16.0,2063.0,8.6,GreeTr00,qb,,,,,2-3-0,101.8,,,,,,,20.0,2.5,1.0,69.0,3.5,8.6,1.0,,86.0,0.0,,2000,,STL,,,,24.0,,133.0,20.0,,,217,69.0,145.0,134.0,14.2,257.9,,,,3.5,0.0,
2001,97.0,5.06,5.8,96.0,,13.0,,523.0,1970-07-09,,100.0,296.0,92.0,,,,,,,,,,2.0,,,11.0,0.0,5.0,-5.0,3.0,16.0,16.0,6-3,4.6,77.0,,,24.0,,,,,,,,,67.0,,,1.0,16.0,Trent Green,110.0,6.38,89.0,,56.6,3.3,17.0,3783.0,7.2,GreeTr00,QB,,,,,6-10-0,71.1,0.0,1.0,0.1,1.0,1.0,0.1,35.0,2.2,0.0,158.0,4.5,9.9,0.0,,99.0,0.0,,2001,,KAN,,,1.0,39.0,,91.0,36.0,,,217,159.0,198.0,109.0,12.8,236.4,,,,4.4,-5.0,
2002,127.0,7.02,7.7,126.0,,18.0,,470.0,1970-07-09,,,287.0,107.0,,,,,,,,,,4.0,,,1.0,0.0,1.0,-3.0,4.0,16.0,16.0,6-3,2.8,108.0,,,13.0,,,,,,,,,99.0,,,,24.0,Trent Green,128.0,7.16,120.0,,61.1,5.5,26.0,3690.0,7.9,GreeTr00,QB,,,,,8-8-0,92.6,,,,,,,31.0,1.9,1.0,225.0,7.3,14.1,1.0,,108.0,0.0,,2002,,KAN,,,,26.0,,123.0,31.0,,,217,225.0,141.0,126.0,12.9,230.6,,,,7.3,-3.0,
2003,122.0,7.09,7.6,118.0,,18.0,,523.0,1970-07-09,,,330.0,112.0,,,,,,,,,,1.0,,,5.0,0.0,0.0,-19.0,2.0,16.0,16.0,6-3,2.3,115.0,,,12.0,,,,,,,,,67.0,,,,14.0,Trent Green,122.0,7.2,115.0,,63.1,4.6,24.0,4039.0,7.7,GreeTr00,QB,,,,,13-3-0,92.6,,,,,,,26.0,1.6,2.0,83.0,3.2,5.2,2.0,,118.0,0.0,,2003,,KAN,,,,20.0,,106.0,26.0,,,217,83.0,130.0,117.0,12.2,252.4,,,,3.2,-19.0,
2004,120.0,7.04,7.9,120.0,,17.0,,556.0,1970-07-09,,,369.0,123.0,,,,,,,,,,3.0,,,11.0,0.0,3.0,-6.0,3.0,16.0,16.0,6-3,3.1,102.0,,,17.0,,,,,,,,,70.0,,,,13.0,Trent Green,124.0,7.42,119.0,,66.4,4.9,27.0,4591.0,8.3,GreeTr00,QB,,,,,7-9-0,95.2,,,,,,,25.0,1.6,0.0,85.0,3.4,5.3,0.0,,108.0,0.0,,2004,,KAN,,,,32.0,,109.0,25.0,,,217,85.0,227.0,125.0,12.4,286.9,,,,3.4,-6.0,
2005,116.0,6.86,7.7,117.0,,15.0,,507.0,1970-07-09,,,317.0,109.0,,,,,,,,,,2.0,,,8.0,0.0,1.0,-10.0,3.0,16.0,16.0,6-3,2.0,120.0,,,10.0,,,,,,,,,60.0,,,,13.0,Trent Green,117.0,7.07,111.0,,62.5,3.4,17.0,4014.0,7.9,GreeTr00,QB,,,,,10-6-0,90.1,,,,,,,35.0,2.2,0.0,82.0,2.3,5.1,0.0,,105.0,0.0,,2005,,KAN,,,,32.0,,92.0,35.0,,,217,82.0,204.0,118.0,12.7,250.9,,,,2.3,-10.0,
2006,86.0,4.28,5.4,90.0,,5.0,,198.0,1970-07-09,,,121.0,103.0,41.9,,,,,,,,,1.0,,,5.0,0.0,0.0,-8.0,1.0,8.0,8.0,6-3,4.5,77.0,,,9.0,,,,,,,,,39.0,,,,10.0,Trent Green,91.0,5.47,91.0,,61.1,3.5,7.0,1342.0,6.8,GreeTr00,QB,,,,,4-4-0,74.1,,,,,,,19.0,2.4,0.0,59.0,3.1,7.4,0.0,,72.0,0.0,,2006,,KAN,,,,24.0,,95.0,19.0,,,217,59.0,127.0,99.0,11.1,167.8,,,,3.1,-8.0,
2007,91.0,4.86,5.5,88.0,,3.0,,141.0,1970-07-09,,,85.0,99.0,45.5,,,,,,,,,,,,2.0,0.0,1.0,-13.0,,5.0,5.0,6-3,5.0,70.0,,,7.0,,,,,,,,,43.0,,,,23.0,Trent Green,104.0,6.31,87.0,,60.3,3.5,5.0,987.0,7.0,GreeTr00,qb,,,,,0-5-0,72.6,,,,,,,7.0,1.4,0.0,32.0,4.6,6.4,0.0,,109.0,0.0,,2007,,MIA,,,,7.0,,95.0,7.0,,,217,32.0,53.0,102.0,11.6,197.4,,,,4.6,-13.0,
2008,64.0,2.53,3.5,66.0,,1.0,,72.0,1970-07-09,,,38.0,73.0,21.1,,,,,,,,,,,,0.0,,,,,3.0,1.0,6-3,8.3,23.0,,,6.0,,,,,,,,,53.0,,,,3.0,Trent Green,98.0,5.99,51.0,,52.8,0.0,0.0,525.0,7.3,GreeTr00,qb,,,,,0-1-0,41.7,,,,,,,3.0,1.0,0.0,4.0,1.3,1.3,0.0,,88.0,,,2008,,STL,,,,6.0,,55.0,3.0,,,217,4.0,58.0,107.0,13.8,175.0,,,,1.3,,
Career,,6.24,7.1,,,111.0,,3740.0,1970-07-09,,100.0,2266.0,,,,,,,,,,,15.0,,,60.0,0.0,15.0,-64.0,19.0,120.0,113.0,6-3,3.0,,,,114.0,,,,,,,,,99.0,,,1.0,24.0,Trent Green,,6.72,,,60.6,4.3,162.0,28475.0,7.6,GreeTr00,,,,,,56-57-0,86.0,0.0,-7.0,-0.1,-2.3,3.0,0.0,243.0,2.0,6.0,914.0,3.8,7.6,6.0,,,0.0,,Career,,,,,3.0,259.0,,,246.0,,,217,907.0,1621.0,,12.6,237.3,,,,3.7,-64.0,
