,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2003,97.0,5.14,6.0,97.0,,1,,72,1980-08-23,,,38,78.0,,,,,,,,,,0.0,,,3.0,0.0,1.0,-1.0,1.0,3.0,3.0,6-1,1.4,130.0,,,1,,,,,,,,,59,,,,0.0,Rex Grossman,87.0,5.21,93.0,,52.8,2.8,2,437,6.1,GrosRe00,qb,,,,,2-1-0,74.8,,,,,,,3.0,1.0,0.0,-1.0,-0.3,-0.3,0.0,,108.0,0.0,,2003,,CHI,,,,4,,83.0,3.0,,,225,-1.0,41,87.0,11.5,145.7,,,,-0.3,-1.0,
2004,99.0,5.28,5.9,96.0,,1,,84,1980-08-23,,,47,88.0,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,3.0,3.0,6-1,3.6,93.0,,,3,,,,,,,,,40,,,,8.0,Rex Grossman,110.0,6.57,84.0,,56.0,1.2,1,607,7.2,GrosRe00,qb,,,,,1-2-0,67.9,,,,,,,11.0,3.7,1.0,48.0,4.4,16.0,1.0,,107.0,0.0,,2004,,CHI,,,,5,,66.0,11.0,,,225,48.0,22,107.0,12.9,202.3,,,,4.4,0.0,
2005,,4.5,4.8,,,1,,39,1980-08-23,,,20,,,,,,,,,,,,,,,,,,,2.0,1.0,6-1,5.1,,,,2,,,,,,,,,54,,,,,Rex Grossman,,6.25,,,51.3,2.6,1,259,6.6,GrosRe00,qb,,,,,1-0-0,59.7,,,,,,,,,,,,,,,,,,2005,,CHI,,,,1,,,,,,225,,9,,13.0,129.5,,,,,,
2006,97.0,5.21,5.7,94.0,,10,,480,1980-08-23,,100.0,262,81.0,48.0,,,,,,,,,1.0,,,8.0,0.0,2.0,-4.0,2.0,16.0,16.0,6-1,4.2,83.0,,,20,,,,,,,,,62,,,-4.0,22.0,Rex Grossman,102.0,6.09,90.0,,54.6,4.8,23,3193,6.7,GrosRe00,QB,,,,,13-3-0,73.9,0.0,-4.0,-0.3,-4.0,1.0,0.1,24.0,1.5,0.0,2.0,0.1,0.1,0.0,,114.0,0.0,,2006,,CHI,,,1.0,21,,109.0,25.0,,,225,-2.0,142,96.0,12.2,199.6,,,,-0.1,-4.0,
2007,79.0,3.91,5.2,85.0,,3,,225,1980-08-23,,,122,77.0,25.7,,,,,,,,,2.0,,,6.0,0.0,1.0,-1.0,2.0,8.0,7.0,6-1,3.1,99.0,,,7,,,,,,,,,59,,,,12.0,Rex Grossman,78.0,4.85,78.0,,54.2,1.8,4,1411,6.3,GrosRe00,qb,,,,,2-5-0,66.4,,,,,,,14.0,1.8,0.0,27.0,1.9,3.4,0.0,,76.0,0.0,,2007,,CHI,,,,25,,75.0,14.0,,,225,27.0,198,87.0,11.6,176.4,,,,1.9,-1.0,
2008,71.0,3.11,3.3,63.0,,1,,62,1980-08-23,,,32,69.0,22.1,,,,,,,,,1.0,,,0.0,,,,1.0,4.0,1.0,6-1,3.2,97.0,,,2,,,,,,,,,29,,,,2.0,Rex Grossman,62.0,3.89,72.0,,51.6,3.2,2,257,4.1,GrosRe00,qb,,,,,0-1-0,59.7,,,,,,,3.0,0.8,2.0,4.0,1.3,1.0,2.0,,120.0,,,2008,,CHI,,,,2,,91.0,3.0,,,225,4.0,8,47.0,8.0,64.3,,,,1.3,,
2009,,-1.33,-1.3,,,0,,9,1980-08-23,,,3,,13.8,,,,,,,,,,,,1.0,0.0,1.0,-4.0,,1.0,0.0,6-1,11.1,,,,1,,,,,,,,,21,,,,8.0,Rex Grossman,,3.67,,,33.3,0.0,0,33,3.7,GrosRe00,,,,,,,5.6,,,,,,,3.0,3.0,0.0,9.0,3.0,9.0,0.0,,,0.0,,2009,,HOU,,,,0,,,3.0,,,225,9.0,0,,11.0,33.0,,,,3.0,-4.0,
2010,96.0,5.4,6.3,97.0,,2,,133,1980-08-23,,,74,84.0,34.5,,,,,,,,,0.0,,,4.0,0.0,0.0,0.0,1.0,4.0,3.0,6-1,3.0,99.0,,,4,,,,,,,,,64,,,,5.0,Rex Grossman,91.0,5.68,97.0,,55.6,5.3,7,884,6.6,GrosRe00,qb,,,,,1-2-0,81.2,,,,,,,3.0,0.8,0.0,6.0,2.0,1.5,0.0,,99.0,0.0,,2010,,WAS,,,,9,,112.0,3.0,,,225,6.0,77,93.0,11.9,221.0,,,,2.0,0.0,
2011,87.0,4.91,5.6,86.0,,6,,458,1980-08-23,,,265,90.0,42.7,,,,,,,,,2.0,,,8.0,0.0,2.0,-9.0,2.0,13.0,13.0,6-1,4.4,75.0,,,20,,,,,,,,,51,,,,6.0,Rex Grossman,97.0,6.11,84.0,,57.9,3.5,16,3151,6.9,GrosRe00,QB,,,,,5-8-0,72.4,,,,,,,20.0,1.5,1.0,11.0,0.6,0.8,1.0,,108.0,0.0,,2011,,WAS,,,,25,,91.0,20.0,,,225,11.0,201,96.0,11.9,242.4,,,,0.6,-9.0,
2012,,,,,,0,,0,1980-08-23,,,0,,,,,,,,,,,0.0,,,,,,,0.0,,,6-1,,,,,0,,,,,,,,,0,,,,,Rex Grossman,,,,,,,0,0,,GrosRe00,,,,,,,,,,,,,,,,,,,,,,,,,2012,,WAS,,,,0,,,,,,225,,0,,,,,,,,,
