,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1987,,1.13,5.6,,,0,,11,1963-12-23,,,8,,,,,,,,,,,,,,0,,,,,6,0,6-3,0.0,,,,0,,,,,,,,,21,,,,9,Jim Harbaugh,,1.13,,,72.7,0.0,0,62,5.6,HarbJi00,,,,,,,86.2,,,,,,,4,0.7,0,15,3.8,2.5,0,,,,,1987,,CHI,,,,4,,,4,,,215,15,45,,7.8,10.3,,,,3.8,,
1988,80.0,3.64,4.4,77.0,,2,,97,1963-12-23,,,47,79.0,,,,,,,,,,1.0,,,1,,0.0,-1.0,1.0,10,2,6-3,2.1,125.0,,,2,,,,,,,,,56,,,,19,Jim Harbaugh,70.0,4.51,76.0,,48.5,0.0,0,514,5.3,HarbJi00,qb,,,,,1-1-0,55.9,,,,,,,19,1.9,1,110,5.8,11.0,1,,108.0,0.0,,1988,,CHI,,,,6,,55.0,19,,,215,110,49,63.0,10.9,51.4,,,,5.8,-1.0,
1989,85.0,4.05,5.1,86.0,,5,,178,1963-12-23,,,111,124.0,,,,,,,,,,,,,2,,0.0,0.0,,12,5,6-3,5.1,83.0,,,9,,,,,,,,,49,,,,26,Jim Harbaugh,92.0,5.6,94.0,,62.4,2.8,5,1204,6.8,HarbJi00,qb,,,,,1-4-0,70.5,,,,,,,45,3.8,3,276,6.1,23.0,3,,86.0,0.0,,1989,,CHI,,,,18,,85.0,45,,,215,276,106,95.0,10.8,100.3,,,,6.1,0.0,
1990,104.0,5.55,6.8,108.0,,10,,312,1963-12-23,,,180,105.0,,,,,,,,,,1.0,,,8,,3.0,-4.0,3.0,14,14,6-3,1.9,124.0,,,6,,,,,,,,,80,,,,21,Jim Harbaugh,94.0,5.75,108.0,,57.7,3.2,10,2178,7.0,HarbJi00,QB,,,,,10-4-0,81.9,,,,,,,51,3.6,4,321,6.3,22.9,4,,87.0,0.0,,1990,,CHI,,,,31,,91.0,51,,,215,321,206,99.0,12.1,155.6,,,,6.3,-4.0,
1991,99.0,5.06,5.7,94.0,,13,,478,1963-12-23,,,275,102.0,,,,,,,,,,3.0,,,6,,0.0,-3.0,3.0,16,16,6-3,3.3,104.0,,,16,,,,,,,,,84,,,,20,Jim Harbaugh,100.0,5.89,96.0,,57.5,3.1,15,3121,6.5,HarbJi00,QB,,,,,11-5-0,73.7,,,,,,,70,4.4,2,338,4.8,21.1,2,,115.0,0.0,,1991,,CHI,,,,24,,91.0,70,,,215,338,163,92.0,11.3,195.1,,,,4.8,-3.0,
1992,102.0,5.24,6.2,103.0,,10,,358,1963-12-23,,,202,96.0,,,,,,,,,,1.0,,,6,,3.0,0.0,1.0,16,13,6-3,3.4,102.0,,,12,,,,,,,,,83,,,,17,Jim Harbaugh,102.0,5.96,100.0,,56.4,3.6,13,2486,6.9,HarbJi00,QB,,,,,5-8-0,76.2,,,,,,,47,2.9,1,272,5.8,17.0,1,,94.0,0.0,,1992,,CHI,,,,31,,100.0,47,,,215,272,167,102.0,12.3,155.4,,,,5.8,0.0,
1993,84.0,3.9,5.1,87.0,,8,,325,1963-12-23,,100.0,200,111.0,,,,,,,,,,1.0,,,15,0.0,4.0,-1.0,1.0,15,15,6-3,3.4,100.0,,,11,,,,,,,,,48,,,1.0,25,Jim Harbaugh,82.0,4.87,94.0,,61.5,2.2,7,2002,6.2,HarbJi00,QB,,,,,7-8-0,72.1,0.0,1.0,0.1,1.0,1.0,0.1,60,4.0,4,277,4.6,18.5,4,,69.0,0.0,,1993,,CHI,,,1.0,43,,79.0,61,,,215,278,210,88.0,10.0,133.5,,,,4.6,-1.0,
1994,107.0,5.84,6.7,108.0,,7,,202,1963-12-23,,,125,112.0,,,,,,,,,,,,,1,0.0,0.0,0.0,,12,9,6-3,3.0,102.0,,,6,,,,,,,,,85,,,,41,Jim Harbaugh,106.0,6.25,110.0,,61.9,4.5,9,1440,7.1,HarbJi00,QB,,,,,4-5-0,85.8,,,,,,,39,3.3,0,223,5.7,18.6,0,,90.0,0.0,,1994,,IND,,,,17,,108.0,39,,,215,223,72,108.0,11.5,120.0,,,,5.7,0.0,
1995,127.0,7.06,8.6,139.0,,12,,314,1963-12-23,,100.0,200,119.0,,,,,,,,,,3.0,,,4,0.0,1.0,-20.0,4.0,15,12,6-3,1.6,126.0,,,5,,,,,,,,,52,,,-9.0,21,Jim Harbaugh,119.0,6.73,132.0,,63.7,5.4,17,2575,8.2,HarbJi00,QB,,,,,7-5-0,100.7,0.0,-9.0,-0.6,-9.0,1.0,0.1,52,3.5,2,235,4.5,15.7,2,,72.0,0.0,,1995,,IND,,,1.0,36,,119.0,53,,,215,226,219,136.0,12.9,171.7,,,,4.3,-20.0,
1996,96.0,5.0,5.9,98.0,,10,,405,1963-12-23,,,232,100.0,,,,,,,,,,2.0,,,8,0.0,4.0,-3.0,2.0,14,14,6-3,2.7,107.0,,,11,,,,,,,,,51,,,,21,Jim Harbaugh,93.0,5.53,98.0,,57.3,3.2,13,2630,6.5,HarbJi00,QB,,,,,7-7-0,76.3,,,,,,,48,3.4,1,192,4.0,13.7,1,,90.0,0.0,,1996,,IND,,,,36,,91.0,48,,,215,192,190,95.0,11.3,187.9,,,,4.0,-3.0,
