,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1999,,4.73,6.1,,,0,1.0,10,1975-09-25,,,3,,,,,,,,,,,,,,1,0.0,1.0,-16.0,,16,0,6-4,0.0,,,,0,,,,,,,,,19,,,,13,Matt Hasselbeck,,2.91,,,30.0,10.0,1,41,4.1,HassMa00,,,,,,,77.5,,,,,,,6,0.4,0,15,2.5,0.9,0,,,0.0,,1999,0.0,GNB,,,,1,,,6,,,235,15,9,,13.7,2.6,,,,2.5,-16.0,
2000,,6.1,6.5,,,0,,19,1975-09-25,,,10,,,,,,,,,,,,,,0,,,,,16,0,6-4,0.0,,,,0,,,,,,,,,27,,,,-1,Matt Hasselbeck,,5.1,,,52.6,5.3,1,104,5.5,HassMa00,,,,,,,86.3,,,,,,,4,0.3,0,-5,-1.3,-0.3,0,,,,,2000,,GNB,,,,1,,,4,,,235,-5,2,,10.4,6.5,,,,-1.3,,
2001,87.0,4.32,5.6,93.0,,7,,321,1975-09-25,,,176,86.0,,,,,,,,,,0.0,,,6,0.0,0.0,-16.0,2.0,13,12,6-4,2.5,112.0,,,8,,,,,,,,,64,,,,17,Matt Hasselbeck,83.0,4.94,88.0,,54.8,2.2,7,2023,6.3,HassMa00,QB,,,,,5-7-0,70.9,,,,,,,40,3.1,0,141,3.5,10.8,0,,76.0,0.0,,2001,,SEA,,,,38,,77.0,40,,,235,141,251,92.0,11.5,155.6,,,,3.5,-16.0,
2002,115.0,6.25,7.0,115.0,,11,,419,1975-09-25,,,267,116.0,,,,,,,,,,1.0,,,5,0.0,1.0,0.0,3.0,16,10,6-4,2.4,114.0,,,10,,,,,,,,,49,,,,21,Matt Hasselbeck,116.0,6.59,113.0,,63.7,3.6,15,3075,7.3,HassMa00,QB,,,,,5-5-0,87.8,,,,,,,40,2.5,1,202,5.1,12.6,1,,104.0,0.0,,2002,,SEA,,,,26,,95.0,40,,,235,202,143,114.0,11.5,192.2,,,,5.1,0.0,
2003,110.0,6.2,7.2,113.0,,15,,513,1975-09-25,,,313,105.0,,,,,,,,,,2.0,,,4,0.0,0.0,-7.0,3.0,16,16,6-4,2.9,104.0,,,15,,,,,,,,,80,,,,18,Matt Hasselbeck,109.0,6.48,111.0,,61.0,5.1,26,3841,7.5,HassMa00,QB,,,,,10-6-0,88.8,,,,,,,36,2.3,2,125,3.5,7.8,2,,92.0,0.0,,2003,,SEA,,,,42,,112.0,36,,,235,125,246,113.0,12.3,240.1,,,,3.5,-7.0,
2004,107.0,5.94,6.6,105.0,,11,,474,1975-09-25,,,279,98.0,,,,,,,,,,,,,5,0.0,2.0,-8.0,,14,14,6-4,3.2,100.0,,,15,,,,,,,,,60,,,,19,Matt Hasselbeck,107.0,6.4,103.0,,58.9,4.6,22,3382,7.1,HassMa00,QB,,,,,7-7-0,83.1,,,,,,,27,1.9,1,90,3.3,6.4,1,,104.0,0.0,,2004,,SEA,,,,30,,107.0,27,,,235,90,155,105.0,12.1,241.6,,,,3.3,-8.0,
2005,120.0,7.15,7.9,119.0,,15,,449,1975-09-25,,,294,119.0,,,,,,,,,,2.0,,,4,0.0,0.0,0.0,2.0,16,16,6-4,2.0,120.0,,,9,,,,,,,,,56,,,,23,Matt Hasselbeck,116.0,6.99,122.0,,65.5,5.3,24,3459,7.7,HassMa00,QB,,,,,13-3-0,98.2,,,,,,,36,2.3,1,124,3.4,7.8,1,,110.0,0.0,,2005,,SEA,,,,24,,115.0,36,,,235,124,154,114.0,11.8,216.2,,,,3.4,0.0,
2006,91.0,4.69,5.7,94.0,,8,,371,1975-09-25,,,210,88.0,54.1,,,,,,,,,3.0,,,3,0.0,2.0,-3.0,4.0,12,12,6-4,4.0,85.0,,,15,,,,,,,,,72,,,,19,Matt Hasselbeck,91.0,5.46,93.0,,56.6,4.9,18,2442,6.6,HassMa00,QB,,,,,7-5-0,76.0,,,,,,,18,1.5,0,110,6.1,9.2,0,,88.0,0.0,,2006,,SEA,,,,34,,110.0,18,,,235,110,229,95.0,11.6,203.5,,,,6.1,-3.0,
2007,110.0,6.36,7.1,110.0,,12,,562,1975-09-25,,,352,107.0,60.1,,,,,,,,,2.0,,,9,0.0,3.0,-26.0,2.0,16,16,6-4,2.1,114.0,,,12,,,,,,,,,65,,,,12,Matt Hasselbeck,105.0,6.32,113.0,,62.6,5.0,28,3966,7.1,HassMa00,QB,,,,,10-6-0,91.4,,,,,,,39,2.4,0,89,2.3,5.6,0,,104.0,0.0,,2007,,SEA,,,,33,,111.0,39,,,235,89,204,104.0,11.3,247.9,,,,2.3,-26.0,
2008,73.0,3.28,4.1,73.0,,0,,209,1975-09-25,,,109,70.0,36.9,,,,,,,,,,,,1,0.0,0.0,0.0,,7,7,6-4,4.8,74.0,,,10,,,,,,,,,34,,,,15,Matt Hasselbeck,78.0,4.81,70.0,,52.2,2.4,5,1216,5.8,HassMa00,qb,,,,,1-6-0,57.8,,,,,,,11,1.6,0,69,6.3,9.9,0,,84.0,0.0,,2008,,SEA,,,,19,,81.0,11,,,235,69,119,79.0,11.2,173.7,,,,6.3,0.0,
2009,87.0,4.61,5.3,86.0,,7,,488,1975-09-25,,,293,97.0,35.0,,,,,,,,,0.0,,,11,0.0,5.0,-17.0,1.0,14,14,6-4,3.5,92.0,,,17,,,,,,,,,53,,,,23,Matt Hasselbeck,87.0,5.42,90.0,,60.0,3.5,17,3029,6.2,HassMa00,QB,,,,,5-9-0,75.1,,,,,,,26,1.9,0,119,4.6,8.5,0,,99.0,0.0,,2009,,SEA,,,,32,,92.0,26,,,235,119,209,86.0,10.3,216.4,,,,4.6,-17.0,
2010,90.0,4.86,5.6,89.0,,8,,444,1975-09-25,,,266,98.0,50.3,,,,,,,,,0.0,,,7,0.0,1.0,0.0,0.0,14,14,6-4,3.8,88.0,,,17,,,,,,,,,87,,,,20,Matt Hasselbeck,96.0,5.97,88.0,,59.9,2.7,12,3001,6.8,HassMa00,QB,,,,,6-8-0,73.2,,,,,,,23,1.6,3,60,2.6,4.3,3,,100.0,0.0,,2010,,SEA,,,,29,,82.0,23,,,235,60,175,95.0,11.3,214.4,,,,2.6,0.0,
2011,100.0,5.86,6.4,96.0,,9,,518,1975-09-25,,,319,103.0,51.4,,,,,,,,,2.0,,,4,0.0,1.0,0.0,3.0,16,16,6-4,2.7,102.0,,,14,,,,,,,,,80,,,,21,Matt Hasselbeck,102.0,6.36,97.0,,61.6,3.5,18,3571,6.9,HassMa00,QB,,,,,9-7-0,82.4,,,,,,,20,1.3,0,52,2.6,3.3,0,,122.0,0.0,,2011,,TEN,,,,19,,91.0,20,,,235,52,153,96.0,11.2,223.2,,,,2.6,0.0,
2012,89.0,5.02,5.8,88.0,,3,,221,1975-09-25,,,138,106.0,45.0,,,,,,,,,2.0,,,3,0.0,2.0,-4.0,2.0,8,5,6-4,2.3,108.0,,,5,,,,,,,,,37,,,,16,Matt Hasselbeck,83.0,5.38,95.0,,62.4,3.2,7,1367,6.2,HassMa00,qb,,,,,2-3-0,81.0,,,,,,,13,1.6,0,38,2.9,4.8,0,,104.0,0.0,,2012,,TEN,,,,14,,87.0,13,,,235,38,103,81.0,9.9,170.9,,,,2.9,-4.0,
2013,,7.08,7.1,,,0,,12,1975-09-25,,,7,,27.5,,,,,,,,,,,,0,,,,,3,0,6-4,8.3,,,,1,,,,,,,,,57,,,,-1,Matt Hasselbeck,,10.83,,,58.3,0.0,0,130,10.8,HassMa00,,,,,,,61.1,,,,,,,2,0.7,0,-2,-1.0,-0.7,0,,,,,2013,,IND,,,,0,,,2,,,235,-2,0,,18.6,43.3,,,,-1.0,,
2014,,7.26,7.8,,,1,,44,1975-09-25,,,30,,57.9,,,,,,,,,,,,1,0.0,0.0,0.0,,4,0,6-4,0.0,,,,0,,,,,,,,,32,,,,0,Matt Hasselbeck,,6.39,,,68.2,4.5,2,301,6.8,HassMa00,,,,,,,102.6,,,,,,,8,2.0,0,-11,-1.4,-2.8,0,,,0.0,,2014,,IND,,,,2,,,8,,,235,-11,7,,10.0,75.3,,,,-1.4,0.0,
2015,92.0,5.68,6.4,91.0,,4,,256,1975-09-25,,,156,92.0,48.0,,,,,,,,,1.0,,,3,0.0,0.0,0.0,2.0,8,8,6-4,2.0,108.0,,,5,,,,,,,,,57,,,,10,Matt Hasselbeck,88.0,5.84,92.0,,60.9,3.5,9,1690,6.6,HassMa00,QB,,,,,5-3-0,84.0,,,,,,,16,2.0,0,15,0.9,1.9,0,,101.0,0.0,,2015,,IND,,,,16,,89.0,16,,,235,15,101,85.0,10.8,211.3,,,,0.9,0.0,
Career,,5.58,6.4,,,111,1.0,5330,1975-09-25,,,3222,,,,,,,,,,,15.0,,,67,0.0,18.0,-97.0,24.0,209,160,6-4,2.9,,,,153,,,,,,,,,87,,,,23,Matt Hasselbeck,,6.04,,,60.5,4.0,212,36638,6.9,HassMa00,,,,,,85-75-0,82.4,,,,,,,365,1.7,8,1231,3.4,5.9,8,,,0.0,,Career,0.0,,,,,360,,,365,,,235,1231,2260,,11.4,175.3,,,,3.4,-97.0,
