,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2008,,5.58,5.6,,,0,,12,1985-07-02,,,7,,85.8,,,,,,,,,,,,,,,,,3,0,6-3,0.0,,,,0,,,,,,,,,19,,,,,Chad Henne,,5.58,,,58.3,0.0,0,67,5.6,HennCh01,,,,,,,74.0,,,,,,,,,,,,,,,,,,2008,,MIA,,,,0,,,,,,222,,0,,9.6,22.3,,,,,,
2009,90.0,4.85,5.5,88.0,,8,,451,1985-07-02,,,274,99.0,52.8,,,,,,,,,3.0,,,4.0,0.0,2.0,-6.0,3.0,14,13,6-3,3.1,98.0,,,14,,,,,,,,,67,,,,12.0,Chad Henne,91.0,5.66,90.0,,60.8,2.7,12,2878,6.4,HennCh01,QB,,,,,7-6-0,75.2,,,,,,,16.0,1.1,1.0,32.0,2.0,2.3,1.0,,104.0,0.0,,2009,,MIA,,,,26,,82.0,16.0,,,222,32.0,176,89.0,10.5,205.6,,,,2.0,-6.0,
2010,91.0,4.94,5.6,89.0,,7,,490,1985-07-02,,,301,103.0,46.9,,,,,,,,,0.0,,,5.0,0.0,3.0,-22.0,1.0,15,14,6-3,3.9,87.0,,,19,,,,,,,,,57,,,,10.0,Chad Henne,96.0,6.01,90.0,,61.4,3.1,15,3301,6.7,HennCh01,QB,,,,,6-8-0,75.4,,,,,,,35.0,2.3,0.0,52.0,1.5,3.5,0.0,,103.0,0.0,,2010,,MIA,,,,30,,86.0,35.0,,,222,52.0,178,94.0,11.0,220.1,,,,1.5,-22.0,
2011,98.0,5.7,6.9,102.0,,3,,112,1985-07-02,,,64,88.0,62.8,,,,,,,,,,,,1.0,0.0,0.0,-4.0,,4,4,6-3,3.6,88.0,,,4,,,,,,,,,41,,,,20.0,Chad Henne,105.0,6.51,93.0,,57.1,3.6,4,868,7.8,HennCh01,,,,,,0-4-0,79.0,,,,,,,15.0,3.8,1.0,112.0,7.5,28.0,1.0,,78.0,0.0,,2011,,MIA,,,,11,,92.0,15.0,,,222,112.0,67,113.0,13.6,217.0,,,,7.5,-4.0,
2012,87.0,4.88,5.9,89.0,,4,,308,1985-07-02,,0.0,166,76.0,27.7,,,,,,,,,,,,4.0,0.0,2.0,-2.0,,10,6,6-3,3.6,87.0,,,11,,,,,,,,,81,,,-6.0,15.0,Chad Henne,90.0,5.7,84.0,,53.9,3.6,11,2084,6.8,HennCh01,qb,,,,,1-5-0,72.2,0.0,-6.0,-0.6,-6.0,1.0,0.1,19.0,1.9,1.0,64.0,3.4,6.4,1.0,,84.0,0.0,,2012,,JAX,,,0.0,28,,92.0,20.0,,,222,58.0,169,93.0,12.6,208.4,,,,2.9,-2.0,
2013,85.0,4.86,5.7,84.0,,6,1.0,503,1985-07-02,,,305,96.0,35.0,,,,,,,,,1.0,,,2.0,0.0,2.0,-1.0,1.0,15,13,6-3,2.8,97.0,,,14,,,,,,,,,62,,,,14.0,Chad Henne,84.0,5.54,86.0,,60.6,2.6,13,3241,6.4,HennCh01,QB,,,,,4-9-0,76.5,,,,,,,27.0,1.8,0.0,77.0,2.9,5.1,0.0,,95.0,0.0,,2013,0.0,JAX,,,,38,,79.0,27.0,,,222,77.0,243,84.0,10.6,216.1,,,,2.9,-1.0,
2014,75.0,4.28,6.5,94.0,,1,,78,1985-07-02,,,42,66.0,26.2,,,,,,,,,,,,1.0,0.0,0.0,0.0,,3,3,6-3,1.3,122.0,,,1,,,,,,,,,63,,,,12.0,Chad Henne,53.0,4.12,90.0,,53.8,3.8,3,492,6.3,HennCh01,,,,,,0-3-0,80.7,,,,,,,4.0,1.3,0.0,25.0,6.3,8.3,0.0,,18.0,0.0,,2014,,JAX,,,,16,,93.0,4.0,,,222,25.0,105,79.0,11.7,164.0,,,,6.3,0.0,
2016,,,,,,0,,0,1985-07-02,,,0,,,,,,,,,,,,,,0.0,,,,,1,0,6-3,,,,,0,,,,,,,,,0,,,,-2.0,Chad Henne,,,,,,,0,0,,HennCh01,,,,,,,,,,,,,,1.0,1.0,0.0,-2.0,-2.0,-2.0,0.0,,,,,2016,,JAX,,,,0,,,1.0,,,222,-2.0,0,,,0.0,,,,-2.0,,
2017,,0.0,0.0,,,0,,2,1985-07-02,,,0,,2.4,,,,,,,,,,,,0.0,,,,,2,0,6-3,0.0,,,,0,,,,,,,,,0,,,,-1.0,Chad Henne,,0.0,,,0.0,0.0,0,0,0.0,HennCh01,,,,,,,39.6,,,,,,,5.0,2.5,0.0,-5.0,-1.0,-2.5,0.0,,,,,2017,,JAX,,,,0,,,5.0,,,222,-5.0,0,,,0.0,,,,-1.0,,
2018,,9.67,9.7,,,0,,3,1985-07-02,,,2,,80.7,,,,,,,,,,,,0.0,,,,,1,0,6-3,0.0,,,,0,,,,,,,,,22,,,,3.0,Chad Henne,,9.67,,,66.7,0.0,0,29,9.7,HennCh01,,,,,,,97.9,,,,,,,1.0,1.0,0.0,3.0,3.0,3.0,0.0,,,,,2018,,KAN,,,,0,,,1.0,,,222,3.0,0,,14.5,29.0,,,,3.0,,
